Dates;Open;High;Low;Close;Volume
2017-12-27;313.6;314.4;312.3;313.2;20575
2017-12-22;312.2;314.4;312.2;313.6;19300
2017-12-21;312.0;314.3;310.7;314.0;33454
2017-12-20;311.2;312.0;311.0;311.5;26480
2017-12-19;311.3;311.5;310.2;310.7;12545
2017-12-18;311.0;312.9;310.1;311.3;18211
2017-12-15;311.0;311.9;308.6;311.9;22346
2017-12-14;310.2;311.6;310.1;310.1;14593
2017-12-13;310.0;310.7;309.5;310.2;11272
2017-12-12;309.7;310.7;308.6;309.5;13209
2017-12-11;311.0;311.9;309.0;309.3;19063
2017-12-08;310.0;311.6;309.5;310.0;8578
2017-12-07;309.2;310.7;308.0;308.6;18916
2017-12-06;311.1;311.9;307.7;307.7;19935
2017-12-05;311.5;312.0;311.0;311.8;10613
2017-12-04;310.7;312.2;310.7;311.0;27574
2017-12-01;310.0;310.8;308.6;310.2;9466
2017-11-30;311.7;311.7;308.3;310.8;19039
2017-11-29;311.1;312.0;310.5;310.5;26164
2017-11-28;309.8;311.4;308.8;310.4;20823
2017-11-27;308.9;309.7;306.1;309.6;15638
2017-11-24;305.1;309.9;305.1;308.9;26307
2017-11-23;304.2;307.2;302.1;305.7;22165
2017-11-22;304.7;305.9;302.8;305.8;32573
2017-11-21;301.3;305.0;300.6;304.3;17984
2017-11-20;301.0;301.9;300.0;300.0;31496
2017-11-17;301.0;301.7;300.0;300.2;21625
2017-11-16;300.6;300.9;298.6;300.1;24568
2017-11-15;300.5;300.5;298.2;298.8;17852
2017-11-14;300.9;301.0;299.8;300.5;19169
2017-11-13;302.6;304.0;295.8;300.2;45176
2017-11-10;304.0;304.5;300.6;302.4;20474
2017-11-09;302.9;303.7;302.1;302.2;30646
2017-11-08;304.0;305.7;301.5;302.8;19775
2017-11-07;306.5;306.5;303.0;304.6;17312
2017-11-06;308.0;308.7;304.4;306.0;19971
2017-11-03;305.3;307.9;304.9;307.0;13647
2017-11-02;311.5;311.5;304.5;305.3;25479
2017-11-01;312.0;313.0;308.4;308.7;24288
2017-10-31;310.0;311.9;309.9;310.6;16851
2017-10-30;308.6;310.7;307.6;309.0;13104
2017-10-27;304.1;309.8;304.0;309.0;36323
2017-10-26;300.2;305.0;295.0;304.5;68837
2017-10-25;314.0;314.4;297.2;300.2;178722
2017-10-24;315.3;315.3;313.2;314.0;46322
2017-10-23;318.0;318.0;315.3;315.3;33413
2017-10-20;317.5;319.8;315.8;316.5;30507
2017-10-19;320.0;320.0;317.0;317.4;56818
2017-10-18;317.9;319.9;317.0;319.5;56017
2017-10-17;315.6;318.0;315.5;317.9;44709
2017-10-13;313.9;315.0;313.0;314.7;54940
2017-10-12;311.7;313.0;311.5;312.7;23589
2017-10-11;314.1;314.1;311.5;311.8;28441
2017-10-10;314.2;314.7;313.6;314.0;34450
2017-10-09;313.7;314.5;313.6;314.1;29129
2017-10-06;312.5;313.7;312.5;313.5;25294
2017-10-05;313.9;313.9;312.2;312.8;26309
2017-10-04;314.4;314.4;313.6;313.9;21372
2017-10-03;319.3;319.3;313.5;314.3;14942
2017-10-02;314.5;315.0;313.2;313.2;21475
2017-09-29;312.2;314.4;312.2;314.0;14416
2017-09-28;312.0;314.8;310.7;313.0;43234
2017-09-27;317.8;317.8;317.1;317.8;37825
2017-09-26;315.5;317.9;315.0;317.3;53685
2017-09-25;312.0;315.8;311.3;315.3;44549
2017-09-22;311.6;312.7;311.2;311.2;39105
2017-09-21;313.9;313.9;311.2;311.2;19428
2017-09-20;314.0;314.0;311.8;311.8;8183
2017-09-19;312.0;312.6;311.5;312.0;31685
2017-09-18;313.9;315.0;312.4;312.4;32182
2017-09-15;315.8;315.8;312.5;312.5;29083
2017-09-14;315.7;316.0;314.7;315.4;20030
2017-09-13;315.5;316.9;314.5;314.7;25026
2017-09-12;313.4;315.3;313.4;315.3;45965
2017-09-11;313.3;313.5;312.0;313.3;40647
2017-09-08;310.0;313.3;309.7;312.8;42380
2017-09-07;308.0;310.0;307.7;309.7;41032
2017-09-06;308.0;308.4;306.2;307.3;21395
2017-09-04;308.0;308.0;306.9;307.1;19712
2017-09-01;307.0;308.0;306.8;307.5;23886
2017-08-31;307.0;307.2;306.5;306.7;13544
2017-08-30;306.0;306.9;305.4;306.9;24474
2017-08-29;306.0;307.5;304.4;305.5;38390
2017-08-28;302.3;306.7;302.3;306.0;30409
2017-08-25;300.6;302.9;300.6;302.2;33298
2017-08-24;300.0;301.0;299.6;300.2;31733
2017-08-23;300.0;300.0;299.6;299.6;31692
2017-08-22;299.6;300.0;299.4;299.6;22591
2017-08-21;298.6;299.8;298.6;299.5;25989
2017-08-18;299.0;299.1;298.0;298.6;18838
2017-08-17;299.8;299.8;298.9;299.0;14648
2017-08-16;299.2;299.8;298.9;298.9;30484
2017-08-15;299.7;299.8;299.0;299.1;32383
2017-08-14;298.0;299.6;298.0;299.1;15235
2017-08-11;298.0;298.3;297.0;297.7;14319
2017-08-10;299.0;299.3;297.5;298.0;17827
2017-08-09;299.0;299.3;298.0;298.9;15550
2017-08-08;297.1;298.1;297.1;297.6;7197
2017-08-07;298.0;299.4;297.1;297.1;10265
2017-08-04;296.1;298.1;296.1;298.1;19897
2017-08-03;297.1;297.1;296.1;296.1;7459
2017-08-02;297.7;297.7;296.4;296.4;6461
2017-08-01;297.2;297.6;296.5;296.6;14237
2017-07-31;296.2;297.8;296.1;297.0;7922
2017-07-28;297.0;297.2;295.5;296.0;17074
2017-07-27;297.2;297.2;295.9;296.9;8229
2017-07-26;296.8;297.9;296.4;297.1;6571
2017-07-25;295.0;297.0;295.0;296.8;9547
2017-07-24;294.3;296.3;293.6;295.0;13642
2017-07-21;296.0;296.8;293.5;294.3;9638
2017-07-20;295.5;296.0;295.4;296.0;3886
2017-07-19;295.3;295.3;293.1;295.1;15229
2017-07-18;297.5;297.5;294.2;295.2;10500
2017-07-17;297.0;297.5;296.0;296.9;12391
2017-07-14;296.3;297.5;296.3;297.0;4572
2017-07-13;298.1;298.1;295.0;296.3;16433
2017-07-12;296.0;298.6;295.9;297.0;7204
2017-07-11;295.5;297.0;295.4;296.0;15742
2017-07-10;295.0;295.5;293.6;295.5;11690
2017-07-07;295.0;295.0;292.7;293.5;16820
2017-07-06;296.3;296.3;292.8;294.5;27074
2017-07-05;296.0;296.3;294.2;294.5;17788
2017-07-04;296.0;297.9;295.9;296.1;13285
2017-07-03;294.0;297.2;294.0;296.0;26877
2017-06-30;294.0;295.5;293.0;293.3;19575
2017-06-29;296.7;296.8;293.9;293.9;19312
2017-06-28;300.9;301.6;300.0;300.5;30728
2017-06-27;301.4;301.5;300.3;300.9;20755
2017-06-26;300.5;301.5;300.0;300.9;28161
2017-06-23;;300.3;300.3;300.3;0
2017-06-22;300.1;301.0;299.3;300.3;19704
2017-06-21;300.7;301.0;299.6;300.2;13744
2017-06-20;300.1;301.4;300.1;300.7;19563
2017-06-19;300.0;300.6;299.1;300.0;18845
2017-06-16;298.6;301.4;298.0;298.0;30088
2017-06-15;301.7;301.7;298.7;300.5;15317
2017-06-14;300.5;301.7;300.0;301.7;17723
2017-06-13;300.0;300.6;298.0;300.5;25906
2017-06-12;299.0;300.5;298.1;300.1;20760
2017-06-09;297.2;299.0;297.0;299.0;11401
2017-06-08;299.0;299.0;297.1;297.8;16200
2017-06-07;296.9;300.0;296.0;297.8;21752
2017-06-06;;296.5;296.5;296.5;0
2017-06-05;296.5;296.5;295.0;296.5;38490
2017-06-02;296.5;296.5;295.3;296.1;15251
2017-06-01;295.5;296.5;294.3;295.0;18909
2017-05-31;295.0;296.0;294.3;295.4;18839
2017-05-30;294.0;294.7;293.2;294.3;15706
2017-05-29;295.0;295.0;293.2;293.9;19754
2017-05-26;293.6;295.0;293.6;294.7;22965
2017-05-24;295.0;295.0;293.8;295.0;7581
2017-05-23;293.5;295.0;293.2;295.0;20533
2017-05-22;293.9;293.9;291.7;293.5;7982
2017-05-19;293.7;293.7;291.2;291.2;20979
2017-05-18;294.0;294.0;292.7;292.7;29125
2017-05-17;294.2;294.7;292.1;292.7;23491
2017-05-16;293.2;295.0;293.2;294.0;27620
2017-05-15;293.0;294.9;293.0;293.3;24358
2017-05-12;294.4;292.7;292.7;292.7;15745
2017-05-11;292.0;294.7;291.9;293.5;24229
2017-05-10;289.4;293.0;289.4;292.4;27943
2017-05-09;287.5;289.8;286.6;289.8;45798
2017-05-08;287.5;288.0;286.8;287.4;40521
2017-05-05;287.9;287.9;286.4;287.6;31213
2017-05-04;287.9;288.0;286.3;287.2;32840
2017-05-03;287.3;287.4;286.1;287.1;36102
2017-05-02;286.0;287.3;286.0;287.3;48220
2017-05-01;;286.0;286.0;286.0;0
2017-04-28;285.4;286.2;285.4;286.0;52672
2017-04-27;285.8;285.8;285.0;285.2;28208
2017-04-26;285.8;286.0;284.7;285.1;34851
2017-04-25;284.1;285.4;283.1;284.4;68954
2017-04-24;283.8;284.3;283.1;284.0;56873
2017-04-21;283.0;283.9;282.6;283.1;19941
2017-04-20;282.8;283.0;282.1;283.0;24388
2017-04-19;281.1;284.2;281.1;282.8;32333
2017-04-18;282.4;282.4;281.0;281.1;36823
2017-04-13;281.2;282.3;281.1;282.0;8554
2017-04-12;280.6;281.9;279.8;281.2;21817
2017-04-11;281.8;281.8;279.7;280.1;26350
2017-04-10;281.0;281.9;281.0;281.9;36400
2017-04-07;278.9;281.9;278.3;280.4;31354
2017-04-06;277.7;278.8;276.7;278.4;48219
2017-04-05;278.5;278.5;276.5;276.9;19823
2017-04-04;276.4;277.1;275.1;277.0;31026
2017-04-03;279.4;280.0;276.4;276.5;43040
2017-03-31;280.4;280.8;276.9;279.9;45580
2017-03-30;281.5;281.5;280.3;280.4;29442
2017-03-29;285.0;285.7;283.5;284.7;43160
2017-03-28;283.6;285.1;283.1;284.4;21670
2017-03-27;285.7;285.7;283.2;284.8;26398
2017-03-24;286.9;286.9;284.2;284.2;25610
2017-03-23;284.1;286.9;282.7;286.9;22212
2017-03-22;286.8;286.8;282.2;283.8;23513
2017-03-21;286.5;286.9;284.5;284.9;14176
2017-03-20;283.3;285.8;283.2;284.9;18141
2017-03-17;283.6;283.6;282.8;283.0;8363
2017-03-16;282.4;283.8;282.2;283.7;19827
2017-03-15;281.3;282.6;281.3;282.3;25087
2017-03-14;282.7;282.9;281.2;281.4;18104
2017-03-13;283.3;284.0;282.5;282.8;10264
2017-03-10;281.5;283.3;283.3;283.3;14350
2017-03-09;282.9;284.5;281.0;281.7;19370
2017-03-08;284.1;284.5;281.7;282.2;22258
2017-03-07;284.0;285.7;283.3;283.7;25076
2017-03-06;285.1;285.7;280.1;284.0;22628
2017-03-03;285.5;284.8;284.8;284.8;20247
2017-03-02;288.0;288.0;284.0;285.3;17147
2017-03-01;288.3;289.5;286.2;286.9;10249
2017-02-28;286.0;289.9;286.0;288.5;15871
2017-02-27;288.1;288.5;285.0;287.0;40715
2017-02-24;289.1;291.0;288.1;288.4;16022
2017-02-23;289.0;290.9;288.5;289.0;15004
2017-02-22;290.1;291.2;288.3;289.9;15301
2017-02-21;288.3;290.0;288.0;290.0;27295
2017-02-20;287.5;288.7;287.3;288.3;15244
