Dates;Open;High;Low;Close;Volume
2017-12-27;102.9;104.0;102.2;102.5;287268
2017-12-22;103.7;104.0;102.7;102.9;97658
2017-12-21;103.0;104.3;102.5;103.6;146404
2017-12-20;103.1;103.8;102.7;103.0;147995
2017-12-19;103.3;103.9;102.8;103.0;147515
2017-12-18;102.4;103.9;102.4;103.5;204110
2017-12-15;102.8;102.8;101.1;102.3;205658
2017-12-14;103.2;103.5;102.3;102.8;205134
2017-12-13;102.4;103.4;102.2;103.2;149809
2017-12-12;102.6;103.2;101.7;102.4;143018
2017-12-11;101.1;102.8;101.0;102.5;227847
2017-12-08;101.0;101.8;100.4;100.9;215025
2017-12-07;100.8;101.6;100.3;100.3;266174
2017-12-06;101.1;101.3;100.3;100.8;208053
2017-12-05;101.5;102.3;101.2;101.7;225631
2017-12-04;101.9;102.4;101.0;101.8;214185
2017-12-01;102.4;102.4;100.7;100.9;258004
2017-11-30;101.9;102.5;101.3;102.5;435843
2017-11-29;102.9;103.4;101.8;102.0;201768
2017-11-28;101.9;103.1;101.7;102.8;159922
2017-11-27;102.9;103.4;101.4;101.9;208866
2017-11-24;103.3;103.8;102.6;102.9;136894
2017-11-23;103.6;103.6;102.3;103.2;268070
2017-11-22;106.0;106.2;103.5;103.6;245930
2017-11-21;103.7;105.9;103.3;105.7;259573
2017-11-20;103.0;103.9;102.2;103.5;167594
2017-11-17;104.1;104.2;102.7;103.0;225041
2017-11-16;102.6;104.4;102.6;103.6;187803
2017-11-15;103.5;103.8;101.0;102.5;260311
2017-11-14;102.7;104.2;102.6;103.4;238875
2017-11-13;104.6;104.6;101.5;102.6;309544
2017-11-10;104.5;104.9;103.4;104.3;171332
2017-11-09;105.2;106.8;104.2;104.3;446976
2017-11-08;110.4;110.4;104.8;104.8;583848
2017-11-07;112.1;113.2;110.4;110.5;474473
2017-11-06;115.3;115.4;112.0;112.4;351469
2017-11-03;114.1;115.3;114.1;115.3;132950
2017-11-02;114.3;114.4;112.1;114.0;506584
2017-11-01;116.4;116.6;115.3;115.6;408845
2017-10-31;115.7;117.0;115.7;116.3;252964
2017-10-30;116.0;116.5;115.1;115.1;246853
2017-10-27;115.1;116.1;115.1;115.9;190118
2017-10-26;114.1;115.0;113.4;115.0;234846
2017-10-25;114.2;114.8;113.6;113.8;173144
2017-10-24;114.2;114.6;113.7;114.2;128354
2017-10-23;114.5;114.6;113.8;114.2;121672
2017-10-20;114.5;114.9;113.8;114.6;244272
2017-10-19;115.7;115.7;113.4;114.5;147049
2017-10-18;115.1;115.8;114.1;115.0;120537
2017-10-17;115.7;116.0;114.3;114.9;172741
2017-10-13;115.5;116.0;115.0;115.5;132378
2017-10-12;114.0;115.9;113.7;115.6;194169
2017-10-11;113.5;114.3;113.3;114.0;114224
2017-10-10;112.9;114.0;112.5;113.8;229132
2017-10-09;112.5;113.8;112.5;112.8;132181
2017-10-06;112.7;113.0;111.6;112.5;192585
