Dates;Open;High;Low;Close;Volume
2017-12-27;342.0;345.7;341.5;343.9;64923
2017-12-22;344.5;346.1;339.9;343.7;74451
2017-12-21;344.4;347.9;343.3;346.0;143992
2017-12-20;347.2;349.3;344.2;345.6;109556
2017-12-19;347.1;347.8;340.7;346.4;105946
2017-12-18;340.8;349.1;339.4;346.9;90887
2017-12-15;344.5;345.4;340.1;340.5;180272
2017-12-14;348.5;349.0;342.1;346.0;89356
2017-12-13;345.4;349.3;345.4;348.5;82160
2017-12-12;347.1;349.0;345.3;346.8;112479
2017-12-11;350.0;350.0;343.4;346.5;121169
2017-12-08;349.5;350.9;346.3;348.4;167475
2017-12-07;347.0;352.1;340.1;347.0;207423
2017-12-06;347.6;350.4;343.3;348.8;126721
2017-12-05;350.4;350.6;346.4;348.7;150501
2017-12-04;348.1;352.5;346.2;350.6;214864
2017-12-01;345.5;345.5;339.2;342.3;161210
2017-11-30;338.5;345.2;337.3;345.0;387005
2017-11-29;338.9;342.7;337.4;338.0;162437
2017-11-28;331.7;340.6;331.6;337.9;153521
2017-11-27;334.0;336.7;332.1;332.3;148226
2017-11-24;330.5;335.9;329.7;333.5;177306
2017-11-23;329.4;330.6;326.1;329.6;248525
2017-11-22;339.5;339.9;323.4;329.1;726708
2017-11-21;339.8;348.6;336.9;348.6;263124
2017-11-20;332.2;339.8;331.8;339.8;141229
2017-11-17;336.6;337.2;331.4;332.1;97908
2017-11-16;330.3;339.0;330.0;336.6;349689
2017-11-15;327.4;329.2;325.0;328.7;233679
2017-11-14;322.5;329.4;321.7;328.8;295130
2017-11-13;325.6;325.6;318.2;321.4;125594
2017-11-10;320.9;324.7;318.2;323.8;134055
2017-11-09;322.8;326.7;318.9;320.6;180307
2017-11-08;320.0;324.4;310.1;322.8;438708
2017-11-07;338.8;338.8;330.0;330.0;166866
2017-11-06;341.0;342.3;335.4;337.2;161533
2017-11-03;334.6;339.5;334.6;339.4;66721
2017-11-02;333.0;333.8;330.8;332.6;105782
2017-11-01;335.9;340.2;333.1;333.1;178271
2017-10-31;333.0;339.6;332.3;335.9;182321
2017-10-30;332.2;332.8;328.6;332.3;211747
2017-10-27;334.9;335.7;330.1;332.7;151029
2017-10-26;329.4;334.9;329.4;334.9;98389
2017-10-25;328.7;333.3;327.5;330.2;123334
2017-10-24;328.8;329.8;325.0;328.1;136605
2017-10-23;327.3;331.6;327.3;329.5;104015
2017-10-20;327.3;330.8;327.2;328.2;205498
2017-10-19;329.1;329.9;325.9;326.9;130272
2017-10-18;325.0;331.5;324.6;329.9;131039
2017-10-17;328.0;329.7;324.3;324.4;96668
2017-10-13;326.6;329.0;324.7;327.9;121568
2017-10-12;322.0;327.7;320.1;326.0;134379
2017-10-11;319.6;322.2;317.7;320.8;102795
2017-10-10;317.0;318.8;315.2;318.2;70322
2017-10-09;316.3;317.7;315.5;317.1;65480
2017-10-06;319.6;319.6;316.5;316.6;99244
