Dates;Open;High;Low;Close;Volume
2017-12-27;57.85;57.9;56.55;56.75;1209144
2017-12-22;61.2;61.2;57.45;57.9;3831730
2017-12-21;60.7;62.15;60.35;62.0;599451
2017-12-20;61.05;61.4;60.4;60.65;486771
2017-12-19;61.95;62.3;61.0;61.05;356860
2017-12-18;61.45;62.95;61.45;61.95;971950
2017-12-15;61.3;61.5;60.6;61.45;422000
2017-12-14;62.05;62.1;61.05;61.3;536099
2017-12-13;61.8;62.35;61.15;62.05;701079
2017-12-12;61.5;62.8;61.5;61.8;1066028
2017-12-11;62.4;62.75;61.05;61.4;827705
2017-12-08;60.55;62.4;60.55;62.15;1744158
2017-12-07;60.1;61.1;59.5;60.45;1275721
2017-12-06;58.85;61.4;58.85;59.9;3670809
2017-12-05;58.75;58.85;56.9;57.65;1255354
2017-12-04;59.0;59.25;58.4;58.75;312791
2017-12-01;59.5;59.8;58.5;58.55;836155
2017-11-30;59.65;60.55;59.4;59.4;948904
2017-11-29;60.7;61.45;59.5;59.5;778834
2017-11-28;59.95;62.0;59.95;60.65;1139155
2017-11-27;60.75;62.05;59.85;59.85;1272047
2017-11-24;60.5;61.25;59.9;60.6;493132
2017-11-23;61.5;62.15;59.7;60.4;1616776
2017-11-22;62.5;64.15;61.3;61.45;1380678
2017-11-21;60.25;62.3;60.25;61.65;903362
2017-11-20;60.0;60.85;59.7;60.4;413260
2017-11-17;61.15;61.15;59.7;60.05;463145
2017-11-16;59.45;61.2;59.45;61.0;457523
2017-11-15;60.0;60.1;58.7;59.35;703840
2017-11-14;61.0;61.1;60.05;60.05;500189
2017-11-13;61.75;62.55;60.4;60.8;580038
2017-11-10;60.4;61.95;59.75;61.35;1187275
2017-11-09;62.25;62.25;59.7;60.45;837179
2017-11-08;62.55;63.25;61.8;62.25;702841
2017-11-07;64.05;64.1;62.5;62.55;608727
2017-11-06;64.2;64.7;63.9;64.1;309140
2017-11-03;64.0;64.25;63.55;64.25;334467
2017-11-02;65.5;65.5;63.15;64.0;1254979
2017-11-01;66.35;66.8;65.3;65.4;760942
2017-10-31;65.1;66.8;65.05;66.35;964154
2017-10-30;68.0;68.0;63.15;64.95;2582500
2017-10-27;63.9;70.75;63.9;67.85;4257356
2017-10-26;61.5;62.0;60.75;61.15;806038
2017-10-25;61.35;62.2;61.05;61.5;1174838
2017-10-24;60.9;61.75;60.6;61.35;567441
2017-10-23;61.8;61.8;60.85;61.15;434061
2017-10-20;62.1;62.4;61.3;61.8;357678
2017-10-19;62.8;63.6;61.7;62.3;504805
2017-10-18;62.0;63.3;62.0;62.7;967336
2017-10-17;64.1;64.2;61.25;61.9;1201259
2017-10-13;63.85;66.4;63.65;65.15;773972
2017-10-12;64.45;64.45;63.7;63.85;496190
2017-10-11;63.75;64.8;63.0;64.45;712693
2017-10-10;63.6;64.35;63.25;63.25;832007
2017-10-09;63.0;64.8;63.0;63.65;740694
2017-10-06;63.65;63.65;62.35;62.9;522468
2017-10-05;64.0;64.4;63.4;63.65;937137
2017-10-04;64.3;64.8;63.9;64.35;614224
2017-10-03;63.55;64.35;63.1;64.1;802099
2017-10-02;63.15;64.1;62.95;63.55;562944
2017-09-29;64.05;64.05;62.35;63.2;779738
2017-09-28;62.1;64.05;62.0;63.9;1158874
2017-09-27;61.95;63.9;61.4;62.2;1637081
2017-09-26;65.45;65.45;62.55;62.55;2032305
2017-09-25;67.35;67.55;65.1;66.55;1292005
2017-09-22;69.95;70.3;66.05;67.35;1975350
2017-09-21;71.35;71.75;69.9;70.95;802264
2017-09-20;72.5;72.65;70.85;71.4;458010
2017-09-19;72.65;73.85;72.35;72.55;369036
2017-09-18;72.75;73.0;72.3;72.65;457818
2017-09-15;74.25;74.3;72.65;72.65;628104
2017-09-14;75.0;75.1;73.6;74.3;407300
2017-09-13;75.65;75.7;74.7;75.0;218126
2017-09-12;75.7;76.25;75.25;75.7;168247
2017-09-11;75.0;76.65;75.0;76.25;187653
2017-09-08;75.9;75.9;75.0;75.3;168565
2017-09-07;75.75;76.2;75.45;75.95;172617
2017-09-06;76.7;76.8;75.3;75.55;268852
2017-09-04;75.65;77.0;75.65;76.0;113618
2017-09-01;75.9;77.65;75.75;77.4;296368
2017-08-31;75.0;76.15;74.9;75.95;312522
2017-08-30;74.85;75.7;74.85;75.15;263697
2017-08-29;75.05;75.25;74.15;74.8;368256
2017-08-28;76.0;76.0;74.7;75.5;228043
2017-08-25;76.0;76.85;75.7;76.25;583339
2017-08-24;76.8;76.95;75.9;76.2;259649
2017-08-23;77.95;77.95;76.8;77.05;300105
2017-08-22;76.55;78.15;76.55;78.0;206658
2017-08-21;77.1;78.35;76.8;77.05;466789
2017-08-18;77.05;77.6;76.35;77.35;215155
2017-08-17;78.5;79.0;77.75;77.75;249537
2017-08-16;77.6;78.6;77.6;78.55;170734
2017-08-15;78.05;78.5;77.15;77.6;173491
2017-08-14;77.0;79.15;77.0;77.9;212994
2017-08-11;78.0;78.0;76.1;77.0;339352
2017-08-10;79.1;79.35;78.3;78.3;160535
2017-08-09;78.9;79.15;78.2;79.05;190811
2017-08-08;78.7;79.3;78.55;79.0;240185
2017-08-07;79.0;79.45;78.35;78.8;224537
2017-08-04;78.8;79.2;78.2;79.0;274062
2017-08-03;78.0;79.35;78.0;78.8;327197
2017-08-02;78.25;78.95;78.0;78.5;391442
2017-08-01;77.75;78.45;77.65;78.25;185205
2017-07-31;77.7;78.5;77.6;77.9;223891
2017-07-28;78.5;78.5;77.1;77.7;316785
2017-07-27;78.2;79.05;78.2;78.8;280309
2017-07-26;78.4;78.8;77.95;78.3;326749
2017-07-25;78.4;78.7;77.55;78.25;365135
2017-07-24;79.0;79.75;78.5;78.5;529476
2017-07-21;77.8;79.4;77.55;79.0;636969
2017-07-20;76.5;78.15;76.5;77.8;636162
2017-07-19;76.3;77.25;76.2;76.85;617607
2017-07-18;75.05;77.1;74.5;76.6;654530
2017-07-17;76.95;77.05;74.7;75.4;419989
2017-07-14;76.0;77.65;76.0;76.95;777337
2017-07-13;72.0;76.45;72.0;76.25;1487519
2017-07-12;71.35;71.8;71.2;71.6;849842
2017-07-11;71.95;72.4;71.2;71.45;276047
2017-07-10;72.25;72.5;71.2;71.85;312671
2017-07-07;72.3;72.35;71.45;72.05;341331
2017-07-06;73.35;73.35;71.15;72.0;402484
2017-07-05;72.95;73.45;72.45;73.15;361571
2017-07-04;73.1;73.45;72.6;73.25;2295172
2017-07-03;73.5;73.95;72.9;73.5;639788
2017-06-30;72.5;74.35;72.25;73.65;431163
2017-06-29;74.5;74.5;72.15;72.75;461182
2017-06-28;74.25;74.6;73.3;74.3;441704
2017-06-27;74.0;74.85;73.5;74.5;477025
2017-06-26;74.65;75.85;73.8;74.1;389965
2017-06-23;;74.65;74.65;74.65;0
2017-06-22;75.0;75.2;74.25;74.65;270878
2017-06-21;75.7;75.75;74.35;74.85;389000
2017-06-20;73.45;75.7;73.2;75.7;826923
2017-06-19;72.8;73.75;72.8;73.1;314211
2017-06-16;71.8;72.95;71.8;72.5;960574
2017-06-15;71.75;72.45;71.1;71.85;686879
2017-06-14;71.05;72.3;71.0;71.75;899784
2017-06-13;69.85;71.5;69.3;71.0;431864
2017-06-12;71.3;71.3;69.05;69.6;371158
2017-06-09;71.5;71.95;71.0;71.55;316344
2017-06-08;71.1;72.1;71.05;71.4;437030
2017-06-07;71.05;71.35;70.35;70.85;316794
2017-06-06;;70.9;70.9;70.9;0
2017-06-05;70.9;71.35;70.55;70.9;237387
2017-06-02;71.4;71.6;70.6;70.9;412464
2017-06-01;70.9;71.45;70.7;71.0;453507
2017-05-31;71.7;71.75;70.4;70.95;1070279
2017-05-30;71.7;71.95;71.05;71.75;364501
2017-05-29;72.35;72.35;71.3;71.45;296063
2017-05-26;71.45;72.45;71.4;72.0;279054
2017-05-24;70.65;71.4;70.6;71.2;220031
2017-05-23;70.9;71.35;70.3;71.3;392634
2017-05-22;71.15;71.45;69.0;70.9;380395
2017-05-19;70.0;71.7;69.85;71.3;451197
2017-05-18;70.9;70.9;69.6;70.3;677699
2017-05-17;71.25;71.6;70.65;70.95;420783
2017-05-16;71.5;71.7;69.3;71.25;562147
2017-05-15;73.0;73.3;71.15;71.5;444272
2017-05-12;71.0;73.0;73.0;73.0;599014
2017-05-11;71.25;71.25;70.05;70.8;527176
2017-05-10;71.1;71.25;70.65;71.05;931194
2017-05-09;70.25;71.3;70.25;71.05;473858
2017-05-08;68.7;70.0;68.3;69.9;410641
2017-05-05;68.05;69.05;67.9;68.9;242929
2017-05-04;67.6;68.0;66.2;68.0;394570
2017-05-03;69.7;69.7;68.3;68.75;508015
2017-05-02;68.2;69.55;67.5;69.45;605716
