Dates;Open;High;Low;Close;Volume
2017-12-27;79.65;80.1;79.0;79.7;397516
2017-12-22;79.6;79.8;79.2;79.65;361698
2017-12-21;78.6;79.6;78.45;79.6;532018
2017-12-20;78.9;79.2;78.3;78.6;514430
2017-12-19;79.75;79.75;78.55;78.75;706641
2017-12-18;79.7;80.45;79.45;79.8;465240
2017-12-15;80.5;80.5;79.45;79.7;718470
2017-12-14;80.35;81.3;79.95;80.75;519402
2017-12-13;80.9;81.1;80.3;80.7;308185
2017-12-12;80.8;81.1;80.25;80.9;386940
2017-12-11;80.3;81.35;80.0;80.8;389953
2017-12-08;80.3;80.85;79.75;80.3;385666
2017-12-07;80.6;80.85;79.75;80.1;375738
2017-12-06;80.65;80.9;79.55;80.6;473037
2017-12-05;81.0;81.6;80.5;81.1;447926
2017-12-04;80.1;81.2;79.95;81.1;449037
2017-12-01;79.8;80.15;79.2;79.6;825090
2017-11-30;79.95;80.1;79.1;79.8;717387
2017-11-29;80.3;80.6;79.85;79.95;371784
2017-11-28;79.5;80.25;79.2;80.1;305595
2017-11-27;79.45;80.1;79.2;79.45;491281
2017-11-24;79.0;79.8;78.9;79.6;369767
2017-11-23;78.9;79.65;78.6;79.1;302625
2017-11-22;80.25;80.35;79.25;79.25;394488
2017-11-21;79.3;80.3;78.55;80.25;569455
2017-11-20;80.0;80.0;78.7;79.3;802043
2017-11-17;79.6;80.6;78.7;80.5;824973
2017-11-16;78.0;79.8;77.05;79.55;719933
2017-11-15;77.75;77.75;76.15;77.05;680602
2017-11-14;77.95;78.35;77.5;77.8;430267
2017-11-13;78.6;78.8;77.5;78.0;451861
2017-11-10;79.7;79.75;78.5;78.65;488333
2017-11-09;81.0;81.2;79.55;79.8;689952
2017-11-08;82.0;82.4;80.9;81.45;556804
2017-11-07;82.3;82.35;81.6;81.75;474367
2017-11-06;84.25;84.25;81.85;82.35;626237
2017-11-03;83.95;84.5;83.6;84.5;748862
2017-11-02;84.0;84.3;83.4;83.6;348096
2017-11-01;83.9;84.95;83.65;83.75;600323
2017-10-31;83.05;84.1;83.05;83.75;1597985
2017-10-30;84.3;84.3;82.85;83.0;667141
2017-10-27;83.45;84.75;83.4;84.35;584169
2017-10-26;82.45;83.4;82.2;83.4;671339
2017-10-25;82.25;82.85;81.8;82.5;498198
2017-10-24;82.25;83.0;82.25;82.45;407354
2017-10-23;82.2;82.85;82.1;82.35;359294
2017-10-20;81.85;82.55;81.8;82.2;371856
2017-10-19;82.2;82.5;81.3;81.9;432060
2017-10-18;81.55;82.5;81.15;82.15;401684
2017-10-17;82.05;82.2;81.55;81.7;431823
2017-10-13;80.85;82.05;80.55;81.8;524567
2017-10-12;80.55;81.5;80.55;80.85;430433
2017-10-11;80.65;81.55;80.35;80.95;645219
2017-10-10;80.25;80.6;79.8;80.55;888588
2017-10-09;80.25;81.0;80.1;80.25;390964
2017-10-06;80.9;81.2;79.9;80.3;510388
2017-10-05;81.45;81.45;80.55;81.0;659024
2017-10-04;82.0;82.25;81.3;81.55;429552
2017-10-03;82.0;82.65;81.65;82.0;549647
2017-10-02;82.05;82.55;81.5;81.9;640673
2017-09-29;81.2;82.2;80.85;82.05;615367
2017-09-28;80.15;81.4;80.15;81.2;694510
2017-09-27;79.75;80.35;79.75;80.1;315875
2017-09-26;79.5;80.15;79.45;79.75;684773
2017-09-25;79.6;80.35;79.4;79.5;526969
2017-09-22;79.65;79.8;79.0;79.6;452761
2017-09-21;79.0;79.7;78.5;79.65;606234
2017-09-20;78.6;79.2;78.0;78.55;627102
2017-09-19;78.3;79.0;78.15;78.6;688136
2017-09-18;77.7;78.3;77.35;78.3;494411
2017-09-15;77.65;78.0;77.05;77.4;768548
2017-09-14;77.2;77.75;76.95;77.65;552444
2017-09-13;77.1;77.3;76.6;77.15;950749
2017-09-12;76.0;77.1;75.85;77.0;720485
2017-09-11;75.1;75.85;75.0;75.65;536918
2017-09-08;74.45;75.1;74.0;75.0;712357
2017-09-07;73.55;74.5;73.5;74.4;717005
2017-09-06;73.25;73.7;72.85;73.55;685681
2017-09-04;73.05;73.3;72.6;73.3;387224
2017-09-01;73.6;74.05;73.4;73.6;582407
2017-08-31;72.9;73.45;72.9;73.15;598119
2017-08-30;72.55;72.9;72.25;72.9;487211
2017-08-29;72.4;72.5;71.8;72.3;1329067
2017-08-28;72.15;72.55;71.6;72.35;387875
2017-08-25;72.55;73.1;72.15;72.15;468994
2017-08-24;73.4;73.65;72.2;72.55;945102
2017-08-23;74.05;74.05;72.55;73.3;991969
2017-08-22;72.55;74.25;72.45;73.9;2345650
2017-08-21;70.95;72.5;70.95;72.0;2422772
2017-08-18;73.7;73.7;70.25;70.5;2640119
2017-08-17;76.45;76.45;75.1;75.3;844905
2017-08-16;76.1;76.65;75.8;76.35;1779807
2017-08-15;78.55;78.55;75.25;76.05;1593943
2017-08-14;77.95;78.95;77.85;78.6;491083
2017-08-11;78.5;78.5;77.15;77.65;494778
2017-08-10;80.0;80.1;79.0;79.05;609532
2017-08-09;80.45;80.65;79.75;80.6;538317
2017-08-08;79.95;80.9;79.75;80.55;523446
2017-08-07;78.65;80.0;78.65;79.85;416446
2017-08-04;77.6;78.9;77.1;78.65;340166
2017-08-03;77.9;78.35;77.6;77.7;312726
2017-08-02;78.5;78.8;77.65;77.75;578810
2017-08-01;77.3;78.6;77.3;78.2;413049
2017-07-31;77.8;77.95;77.05;77.05;490181
2017-07-28;79.0;79.0;77.75;77.8;540921
2017-07-27;79.4;79.75;79.05;79.3;520061
2017-07-26;78.6;79.45;78.35;79.4;1352743
2017-07-25;78.45;79.15;78.45;79.0;336853
2017-07-24;78.95;79.15;78.35;78.55;359418
2017-07-21;80.1;80.15;78.25;79.0;479416
2017-07-20;80.75;81.0;79.95;80.3;690554
2017-07-19;80.45;80.7;79.7;80.55;388931
2017-07-18;81.2;81.45;80.15;80.55;305863
2017-07-17;80.65;81.45;80.2;81.45;383880
2017-07-14;80.6;80.7;80.15;80.65;273019
