Dates;Open;High;Low;Close;Volume
2017-12-27;69.95;70.3;69.1;70.0;185251
2017-12-22;70.05;70.45;69.2;70.1;154489
2017-12-21;69.0;70.45;68.65;70.2;269742
2017-12-20;69.25;69.75;67.9;69.1;404781
2017-12-19;68.4;69.35;68.35;69.05;203905
2017-12-18;68.5;69.3;68.3;68.5;242508
2017-12-15;67.95;68.65;67.25;68.6;301784
2017-12-14;68.05;68.8;67.65;67.95;406435
2017-12-13;68.6;68.9;68.0;68.05;186903
2017-12-12;68.75;69.0;67.95;68.6;417894
2017-12-11;68.6;68.95;66.7;68.45;439239
2017-12-08;68.9;69.7;68.2;68.5;351040
2017-12-07;68.5;69.7;68.4;69.05;160217
2017-12-06;68.55;68.8;67.0;68.4;286803
2017-12-05;69.35;69.65;68.4;68.9;192799
2017-12-04;68.5;69.3;67.65;69.3;171659
2017-12-01;68.2;68.55;67.35;68.0;197857
2017-11-30;68.75;69.1;67.75;68.0;347030
2017-11-29;67.35;69.85;67.35;68.75;485834
2017-11-28;66.55;67.25;66.3;67.1;193101
2017-11-27;66.85;67.55;66.2;66.4;314992
2017-11-24;66.5;67.9;66.5;66.8;143953
2017-11-23;67.55;67.55;66.05;66.35;246499
2017-11-22;67.6;67.8;66.75;67.55;536242
2017-11-21;67.15;67.5;66.8;67.5;446149
2017-11-20;67.2;67.4;66.8;67.05;242131
2017-11-17;68.55;68.6;66.95;67.3;532885
2017-11-16;67.45;69.1;67.3;68.45;288952
2017-11-15;68.9;68.9;66.7;67.05;764012
2017-11-14;69.0;69.0;68.15;68.8;215299
2017-11-13;71.2;71.45;68.1;68.7;316726
2017-11-10;71.35;71.6;70.2;70.9;221044
2017-11-09;72.2;72.2;70.4;71.2;370498
2017-11-08;72.75;72.9;70.7;72.15;604072
2017-11-07;72.55;73.8;71.65;72.2;733378
2017-11-06;76.4;76.95;72.0;72.4;1014093
2017-11-03;72.7;73.4;71.8;73.15;383044
2017-11-02;69.1;72.5;69.1;72.35;623136
2017-11-01;69.0;70.8;68.8;69.1;557105
2017-10-31;69.2;70.35;67.75;68.7;1587533
2017-10-30;69.5;69.75;66.2;68.15;4919844
2017-10-27;75.1;77.0;69.7;70.25;1525480
2017-10-26;73.9;75.1;73.05;75.05;198375
2017-10-25;73.65;74.6;73.65;73.85;150580
2017-10-24;75.5;75.55;73.15;73.5;384669
2017-10-23;76.6;76.6;75.4;75.55;172383
2017-10-20;77.8;77.8;75.85;76.6;130457
2017-10-19;76.5;77.65;75.85;76.75;168774
2017-10-18;75.65;77.0;75.55;76.75;415877
2017-10-17;77.2;77.65;75.5;75.55;261329
