Dates;Open;High;Low;Close;Volume
2017-12-27;185.2;186.8;183.1;184.4;663070
2017-12-22;185.3;185.8;184.3;185.2;781071
2017-12-21;184.9;186.1;184.2;185.7;1005340
2017-12-20;185.4;186.6;184.8;185.0;1303564
2017-12-19;186.2;187.5;185.1;185.4;1188229
2017-12-18;183.5;187.4;183.5;186.2;2173080
2017-12-15;182.7;183.9;182.3;183.0;1702911
2017-12-14;183.0;185.3;182.5;182.9;1594906
2017-12-13;184.5;185.0;182.6;183.5;1519904
2017-12-12;186.0;187.4;184.8;185.0;1598083
2017-12-11;184.3;187.3;184.2;186.0;1586208
2017-12-08;183.1;185.4;183.1;184.3;1707692
2017-12-07;184.3;186.2;184.2;184.7;1489032
2017-12-06;188.3;188.3;183.8;184.5;2191994
2017-12-05;189.0;190.4;186.6;189.2;2304066
2017-12-04;188.8;191.7;187.7;189.5;2207815
2017-12-01;189.5;189.6;185.9;187.2;1684718
2017-11-30;193.2;193.2;188.4;189.2;3283224
2017-11-29;192.0;194.7;191.6;193.1;3068322
2017-11-28;188.3;192.4;187.9;191.6;3258898
2017-11-27;187.5;189.4;186.1;188.2;1673192
2017-11-24;185.8;188.5;185.4;187.6;1467199
2017-11-23;186.0;186.4;184.2;186.0;1261713
2017-11-22;189.7;189.7;186.2;186.2;1516127
2017-11-21;186.4;190.0;185.3;189.4;1763421
2017-11-20;183.8;187.2;182.8;186.2;1644661
2017-11-17;186.1;186.9;183.7;184.3;1751934
2017-11-16;185.7;186.7;184.4;186.1;1383104
2017-11-15;183.1;186.5;182.7;185.1;2261901
2017-11-14;183.0;185.2;182.6;183.9;1243891
2017-11-13;183.6;184.1;181.3;183.2;1375250
2017-11-10;182.5;184.4;182.2;183.4;1703743
2017-11-09;187.4;188.2;182.8;182.9;2410296
2017-11-08;186.4;187.5;185.1;187.3;2592057
2017-11-07;186.4;187.4;185.6;186.4;1818587
2017-11-06;189.0;189.8;185.0;186.2;2888838
2017-11-03;188.4;189.0;186.9;188.3;1773353
2017-11-02;191.7;192.2;186.5;187.6;3937861
2017-11-01;195.0;198.1;191.5;191.6;4385402
2017-10-31;186.0;197.7;183.0;194.7;6744595
2017-10-30;187.5;188.8;184.8;185.8;2639991
2017-10-27;184.9;187.6;184.7;186.4;1953163
2017-10-26;183.4;184.8;182.7;184.8;2476859
2017-10-25;182.9;186.2;181.7;183.4;2926316
2017-10-24;182.3;183.4;179.8;183.0;2358511
2017-10-23;180.7;183.3;180.4;182.6;1476450
2017-10-20;180.8;183.1;180.2;181.0;3667903
2017-10-19;179.0;180.2;178.5;179.5;2802336
2017-10-18;176.2;179.0;175.6;178.5;2230731
2017-10-17;178.7;179.2;176.0;176.4;1690630
2017-10-13;177.2;178.4;175.7;178.1;1835549
2017-10-12;174.4;177.3;174.4;176.7;2032286
2017-10-11;172.8;174.3;172.0;174.0;1887189
2017-10-10;174.7;174.9;171.9;172.7;2988492
2017-10-09;176.3;177.1;174.7;175.1;1620836
2017-10-06;178.4;178.8;175.8;176.3;1338572
2017-10-05;178.3;178.5;177.2;178.2;1432258
2017-10-04;178.2;178.8;176.6;178.6;1558718
2017-10-03;176.7;178.6;176.5;177.8;1878067
2017-10-02;179.0;179.1;175.3;175.7;2477767
2017-09-29;175.9;177.5;175.1;177.5;2057229
2017-09-28;173.9;175.8;173.2;175.7;2055549
2017-09-27;172.2;175.0;172.2;173.7;2420141
2017-09-26;170.9;173.0;170.4;171.8;1644038
2017-09-25;169.9;172.5;169.6;171.3;1841000
2017-09-22;170.3;170.4;168.8;170.2;1573361
2017-09-21;169.5;170.5;168.7;170.4;1506715
2017-09-20;169.7;170.3;167.9;168.9;1359826
2017-09-19;168.7;170.1;168.2;169.7;3200714
2017-09-18;166.2;167.1;165.9;166.9;1901192
2017-09-15;164.2;166.0;164.2;165.3;3349125
2017-09-14;163.5;164.5;163.0;164.2;2604602
2017-09-13;161.8;163.5;161.4;163.1;2842377
2017-09-12;162.4;164.2;161.8;161.9;2584013
2017-09-11;158.5;162.7;158.5;161.4;2801472
2017-09-08;156.2;158.0;156.0;157.6;1703859
2017-09-07;156.4;157.3;155.5;156.7;1900136
2017-09-06;157.1;157.7;154.7;155.5;2422606
2017-09-04;158.0;159.8;157.8;159.1;1153870
2017-09-01;159.0;160.7;158.6;159.5;2514922
2017-08-31;158.0;159.8;158.0;158.8;1887186
2017-08-30;155.8;157.9;155.0;157.7;2125128
2017-08-29;157.3;157.4;154.5;154.5;2382859
2017-08-28;158.1;159.2;157.6;158.3;1004804
2017-08-25;159.0;162.3;158.2;159.1;3390291
2017-08-24;160.5;161.5;158.9;159.2;2511847
2017-08-23;159.1;161.1;158.6;159.3;2161673
2017-08-22;157.4;160.0;157.1;159.3;2069724
2017-08-21;155.8;157.4;155.6;156.5;1850032
2017-08-18;155.6;156.9;154.8;156.6;1702848
2017-08-17;159.0;159.4;156.2;157.4;2367152
2017-08-16;157.7;160.1;157.2;159.4;1830770
2017-08-15;158.0;158.5;155.6;156.9;1651239
2017-08-14;158.3;159.2;156.9;157.9;1666442
2017-08-11;158.0;158.4;155.6;157.2;1775957
2017-08-10;160.7;161.0;158.5;159.0;1643920
2017-08-09;160.5;161.0;159.2;160.7;1396199
2017-08-08;159.6;162.1;159.2;161.6;1986729
2017-08-07;160.0;160.5;158.7;159.4;2415442
2017-08-04;160.5;161.2;159.8;160.4;1517097
2017-08-03;160.4;161.6;159.3;160.6;1518300
2017-08-02;163.5;163.8;159.9;160.8;1942201
2017-08-01;160.6;163.9;160.4;163.0;1970930
2017-07-31;161.9;161.9;160.6;160.6;1554692
2017-07-28;162.1;162.9;160.4;162.1;2465610
2017-07-27;163.3;164.7;162.3;162.4;2173527
2017-07-26;164.0;165.0;163.2;163.9;2645306
2017-07-25;163.5;164.8;162.6;164.4;2910218
2017-07-24;166.2;166.8;163.2;163.3;3481867
2017-07-21;177.2;177.2;162.3;165.9;8833663
2017-07-20;176.8;177.7;172.4;173.8;3499505
2017-07-19;176.0;178.0;173.8;176.2;2608318
2017-07-18;173.1;176.5;172.5;176.2;2955440
2017-07-17;175.6;176.0;170.6;174.3;3292262
2017-07-14;175.6;176.3;174.6;175.5;1455850
2017-07-13;178.0;178.0;175.8;175.9;1478527
2017-07-12;174.7;179.7;174.7;178.0;2361042
2017-07-11;175.6;176.6;173.6;173.8;1806315
2017-07-10;173.0;175.7;172.2;175.4;2222506
2017-07-07;171.9;172.6;171.0;172.2;1260901
2017-07-06;171.4;172.0;169.7;172.0;1912907
2017-07-05;169.7;172.5;168.4;171.9;1956193
2017-07-04;171.1;172.0;169.0;169.5;1740290
2017-07-03;171.6;173.3;171.6;172.4;1494267
2017-06-30;171.0;173.3;170.5;170.7;2324605
2017-06-29;174.3;174.9;170.5;171.1;2522296
2017-06-28;173.5;175.4;169.7;173.9;3025881
2017-06-27;177.1;177.9;173.2;173.5;5505010
2017-06-26;182.6;184.2;180.3;180.4;2229091
2017-06-23;;182.9;182.9;182.9;0
