Dates;Open;High;Low;Close;Volume
2017-12-27;98.1;98.45;96.8;97.0;4542936
2017-12-22;98.75;99.0;97.75;98.1;3352520
2017-12-21;97.65;99.1;97.05;99.1;3184722
2017-12-20;99.0;99.1;97.5;97.85;5720691
2017-12-19;99.2;99.9;98.7;99.0;3759848
2017-12-18;98.3;99.35;98.3;99.25;5050605
2017-12-15;98.45;99.15;97.4;97.9;6906193
2017-12-14;99.35;99.75;98.3;98.4;4689928
2017-12-13;99.85;100.3;99.4;99.7;3431554
2017-12-12;99.65;100.6;99.45;99.95;3938654
2017-12-11;99.5;100.5;99.3;99.85;3754024
2017-12-08;98.7;100.5;98.65;99.4;8765049
2017-12-07;97.3;98.15;97.3;97.75;3582546
2017-12-06;98.0;98.0;97.0;97.2;2814532
2017-12-05;99.4;99.95;98.0;98.6;4476333
2017-12-04;98.6;99.7;98.25;99.45;4929818
2017-12-01;99.4;99.45;97.95;97.95;4506706
2017-11-30;99.05;100.6;98.3;99.4;8808316
2017-11-29;98.4;99.45;98.3;98.8;5229025
2017-11-28;97.55;98.15;97.5;98.1;3856053
2017-11-27;98.0;98.5;97.55;97.55;4221667
2017-11-24;98.0;98.65;97.7;98.25;3292830
2017-11-23;97.65;98.1;97.15;98.05;3037902
2017-11-22;98.9;99.6;97.85;98.05;5400808
2017-11-21;98.9;99.55;98.65;98.75;6141178
2017-11-20;99.0;99.8;98.7;99.0;5343454
2017-11-17;101.0;101.6;99.15;99.45;7025635
2017-11-16;101.2;101.3;100.4;101.0;3551252
2017-11-15;101.3;101.9;99.9;101.0;6784759
2017-11-14;102.6;102.9;101.4;101.6;4163993
2017-11-13;102.9;103.2;101.7;102.7;3760783
2017-11-10;103.2;103.8;102.9;102.9;2792477
2017-11-09;103.8;104.2;103.0;103.3;4076655
2017-11-08;104.0;104.1;103.3;104.0;3724879
2017-11-07;103.6;105.0;103.4;104.1;4942711
2017-11-06;102.6;103.3;102.1;103.0;3536283
2017-11-03;103.5;103.6;102.2;102.9;1374864
2017-11-02;103.0;103.7;102.8;103.4;2757477
2017-11-01;103.5;103.7;102.9;103.0;3060865
2017-10-31;102.2;103.3;102.2;103.2;3218942
2017-10-30;102.6;102.9;102.1;102.5;3617765
2017-10-27;102.5;102.7;101.6;102.5;5025815
2017-10-26;101.6;102.5;101.0;102.2;8053267
2017-10-25;103.0;104.1;101.4;102.0;8638406
2017-10-24;104.8;104.8;103.4;104.0;7897839
2017-10-23;105.2;105.5;104.6;104.8;3779328
2017-10-20;104.0;105.5;103.6;105.3;5881817
2017-10-19;104.0;104.2;102.9;103.4;5483675
2017-10-18;104.8;104.9;103.7;104.1;5816950
2017-10-17;103.9;105.1;103.7;104.6;5484530
2017-10-13;105.7;105.7;103.8;104.8;5613815
2017-10-12;105.0;106.1;104.8;105.6;3095170
2017-10-11;106.0;106.2;104.9;105.2;4704131
2017-10-10;106.1;106.4;105.2;105.8;3344361
2017-10-09;106.6;107.0;105.9;106.1;3477297
2017-10-06;106.9;106.9;105.8;106.5;3902191
2017-10-05;106.1;106.8;105.9;106.5;3647135
2017-10-04;107.2;107.2;106.1;106.3;4958140
2017-10-03;106.6;107.2;106.5;106.9;2909510
2017-10-02;107.2;107.3;106.1;106.4;5108960
2017-09-29;106.3;107.3;106.1;107.3;4314683
2017-09-28;106.9;107.1;106.1;106.4;3632923
2017-09-27;104.5;107.0;104.4;106.4;5682821
2017-09-26;104.0;104.5;103.5;104.2;3808999
2017-09-25;103.9;104.2;103.5;103.8;2900456
2017-09-22;103.8;104.1;103.3;104.1;3372632
2017-09-21;102.7;104.2;102.7;103.7;4017316
2017-09-20;102.0;102.5;101.9;102.3;2905742
2017-09-19;101.8;102.2;101.6;101.9;3094777
2017-09-18;102.2;102.6;101.7;101.8;3827914
2017-09-15;102.8;102.8;101.3;101.8;5882822
2017-09-14;102.8;103.1;102.5;102.8;4416153
2017-09-13;102.6;103.0;102.3;102.8;4648874
2017-09-12;102.0;102.6;101.8;102.5;4260006
2017-09-11;100.9;101.8;100.7;101.7;4240403
2017-09-08;100.1;100.6;99.65;100.2;4694370
2017-09-07;100.6;101.0;99.45;100.2;6758735
2017-09-06;100.4;100.9;99.95;100.1;4799543
2017-09-04;102.5;102.7;101.6;101.9;2808718
2017-09-01;103.4;103.8;102.5;103.1;3592296
2017-08-31;103.4;104.4;103.1;103.4;5118742
2017-08-30;102.4;103.0;102.3;102.9;3414621
2017-08-29;102.0;102.2;101.4;101.7;4823686
2017-08-28;102.0;103.0;102.0;102.4;2389660
2017-08-25;102.0;103.0;102.0;102.3;3208008
2017-08-24;102.4;102.8;101.9;102.1;3770558
2017-08-23;102.2;102.7;101.9;102.4;3836817
2017-08-22;102.0;102.6;101.6;102.4;3575877
2017-08-21;101.6;102.0;101.3;101.6;3256007
2017-08-18;101.4;102.1;101.0;102.1;3794234
2017-08-17;103.7;103.7;101.8;102.2;4584228
2017-08-16;103.1;104.4;103.1;103.6;3648954
