Dates;Open;High;Low;Close;Volume
2017-12-27;132.9;133.1;130.8;131.2;1909
2017-12-22;134.0;134.0;132.4;132.7;5585
2017-12-21;132.9;134.5;131.9;134.5;3654
2017-12-20;133.0;133.7;132.3;133.1;3176
2017-12-19;133.9;134.0;133.2;133.2;11044
2017-12-18;132.0;133.8;132.0;133.3;11518
2017-12-15;132.0;132.3;130.3;132.0;6020
2017-12-14;131.6;133.2;131.6;132.0;4984
2017-12-13;129.0;132.4;129.0;130.9;5132
2017-12-12;130.0;130.0;126.9;127.6;5135
2017-12-11;130.7;130.7;128.0;130.0;5020
2017-12-08;126.4;129.3;126.4;129.0;8189
2017-12-07;124.0;128.0;124.0;126.5;12106
2017-12-06;128.5;128.5;126.1;128.0;9029
2017-12-05;127.4;128.5;126.3;127.0;4568
2017-12-04;127.0;127.8;125.6;127.4;3500
2017-12-01;127.5;128.2;125.8;126.4;4068
2017-11-30;130.0;130.3;128.4;128.4;2401
2017-11-29;130.6;131.5;129.2;129.2;2170
2017-11-28;130.0;130.3;128.8;130.1;26731
2017-11-27;131.8;132.2;129.6;129.6;6012
2017-11-24;132.3;132.4;131.2;131.8;2674
2017-11-23;131.4;132.4;130.0;132.3;3253
2017-11-22;134.3;134.3;132.0;132.6;2782
2017-11-21;134.1;134.5;132.2;134.3;5338
2017-11-20;131.2;134.7;130.2;134.1;3976
2017-11-17;131.9;131.9;128.4;131.2;3861
2017-11-16;131.0;131.3;129.5;131.3;2531
2017-11-15;130.9;131.0;127.7;129.7;3224
2017-11-14;129.1;131.9;129.1;130.6;12408
2017-11-13;128.9;130.5;128.0;129.0;8051
2017-11-10;130.0;131.1;129.3;129.6;5404
2017-11-09;132.0;132.6;128.3;129.2;7133
2017-11-08;132.0;133.3;130.8;132.0;8405
2017-11-07;134.3;134.3;131.7;132.0;5180
2017-11-06;134.0;135.7;133.6;134.3;7131
2017-11-03;134.4;134.9;133.3;134.9;9166
2017-11-02;134.0;134.3;132.7;133.0;3073
2017-11-01;132.1;134.4;132.0;133.2;3934
2017-10-31;131.0;132.0;130.0;132.0;2318
2017-10-30;133.0;133.0;130.0;131.0;5754
2017-10-27;128.8;132.8;128.6;132.8;9955
2017-10-26;128.5;129.6;127.0;129.0;26187
2017-10-25;125.8;128.3;124.8;127.0;39094
2017-10-24;124.6;126.3;123.9;125.8;16736
2017-10-23;121.7;125.0;121.7;124.2;18331
2017-10-20;120.7;122.2;120.7;121.7;17257
2017-10-19;120.0;120.9;120.0;120.8;3436
2017-10-18;118.4;121.0;118.4;120.1;6733
2017-10-17;119.0;119.0;117.6;118.5;5098
2017-10-13;120.6;121.0;119.7;120.3;2940
2017-10-12;118.9;121.0;118.9;120.6;6107
2017-10-11;120.1;120.1;117.9;118.9;8914
2017-10-10;119.8;120.6;118.8;120.1;6354
2017-10-09;118.9;119.7;118.0;119.7;10050
2017-10-06;120.0;122.1;118.5;118.6;22601
2017-10-05;117.4;119.0;117.4;118.0;7127
2017-10-04;117.2;118.3;116.3;118.0;4909
2017-10-03;115.9;117.2;115.5;117.2;4316
2017-10-02;114.5;116.5;114.5;116.0;5194
2017-09-29;114.8;115.3;114.5;115.3;3716
2017-09-28;114.8;114.8;113.5;114.8;7674
2017-09-27;113.5;114.9;113.3;114.3;6670
2017-09-26;112.9;113.7;112.1;113.5;4931
2017-09-25;112.6;113.2;111.9;112.5;361
2017-09-22;115.0;115.0;112.1;112.6;1893
2017-09-21;110.6;113.5;110.6;113.0;1998
2017-09-20;110.5;112.3;110.5;110.6;4244
2017-09-19;111.7;111.7;110.1;110.8;2791
2017-09-18;109.0;111.7;109.0;111.7;4988
2017-09-15;109.4;109.5;108.0;109.0;3681
2017-09-14;110.8;110.8;109.0;109.3;1497
2017-09-13;109.4;110.8;109.4;110.8;4893
2017-09-12;107.5;109.6;107.5;109.4;5808
2017-09-11;105.6;107.5;105.6;107.5;2721
2017-09-08;105.0;106.5;104.5;105.6;1603
2017-09-07;105.0;105.0;103.7;105.0;2595
2017-09-06;103.0;104.0;102.7;104.0;6001
2017-09-04;105.0;105.7;104.4;105.2;2283
2017-09-01;106.3;106.5;105.7;105.7;10056
2017-08-31;105.5;106.7;104.2;104.6;2241
2017-08-30;103.6;105.6;103.2;105.5;8252
2017-08-29;105.5;105.7;103.5;103.7;4464
2017-08-28;111.0;111.0;104.4;105.7;11361
2017-08-25;111.0;112.8;111.0;112.0;4098
2017-08-24;111.0;111.0;109.2;110.0;7426
2017-08-23;110.6;111.5;109.7;110.7;10325
2017-08-22;109.2;110.6;109.2;110.6;6738
2017-08-21;109.8;110.8;109.0;109.2;6513
2017-08-18;111.0;111.5;110.4;110.9;4029
2017-08-17;110.0;112.3;110.0;112.0;4658
2017-08-16;109.9;110.4;109.2;110.0;1477
2017-08-15;109.9;110.1;108.0;109.2;4343
2017-08-14;109.0;111.1;109.0;109.9;3123
2017-08-11;108.0;110.0;107.2;110.0;4241
2017-08-10;110.8;110.8;108.1;108.7;1778
2017-08-09;111.2;111.2;109.7;110.8;1906
2017-08-08;110.0;111.2;109.8;111.2;3597
2017-08-07;110.9;111.2;110.0;110.4;3903
2017-08-04;109.0;110.2;108.5;110.2;3870
2017-08-03;109.5;109.5;108.3;108.8;910
2017-08-02;110.4;110.4;108.8;108.8;2092
2017-08-01;109.0;110.4;108.4;109.9;6299
2017-07-31;111.6;111.6;108.9;108.9;2794
2017-07-28;114.5;114.5;110.5;111.6;3323
2017-07-27;112.5;114.9;112.5;114.1;5818
2017-07-26;109.9;113.5;109.8;111.8;7660
2017-07-25;112.7;112.7;107.4;109.9;7677
2017-07-24;114.2;114.2;111.9;112.7;3946
2017-07-21;114.7;115.5;112.8;113.5;7558
2017-07-20;115.0;115.9;113.5;114.1;15482
2017-07-19;114.0;114.4;112.4;113.4;4015
2017-07-18;115.0;115.5;113.4;114.9;3239
2017-07-17;115.0;115.9;114.1;115.9;9117
2017-07-14;114.5;115.1;113.9;114.6;7198
2017-07-13;114.5;115.8;114.5;115.2;10373
2017-07-12;112.0;115.5;112.0;114.6;11641
2017-07-11;111.0;111.5;110.0;111.3;14044
2017-07-10;109.7;112.4;108.9;110.6;3722
2017-07-07;111.8;111.8;109.0;109.7;3334
2017-07-06;112.6;112.9;110.2;111.6;3038
2017-07-05;113.0;113.0;112.0;112.0;2988
2017-07-04;112.0;113.0;110.6;112.8;4549
2017-07-03;111.0;114.5;110.5;111.9;3532
2017-06-30;111.0;111.5;109.4;111.0;10910
2017-06-29;114.5;116.2;110.0;110.9;7722
2017-06-28;114.7;115.1;112.9;114.5;10585
2017-06-27;117.0;117.2;114.7;114.7;4621
2017-06-26;116.5;118.4;115.5;117.0;6763
2017-06-23;;116.5;116.5;116.5;0
2017-06-22;118.0;119.0;115.8;116.5;3664
2017-06-21;118.1;118.6;115.7;118.0;17857
2017-06-20;119.4;119.4;117.8;118.1;6035
2017-06-19;116.1;119.5;116.1;119.5;24588
2017-06-16;113.1;116.0;113.1;116.0;10465
2017-06-15;116.0;116.0;113.0;113.7;3146
2017-06-14;116.9;117.0;115.4;116.0;4130
2017-06-13;116.0;117.2;115.4;116.7;1639
2017-06-12;117.1;117.5;115.0;115.9;5451
2017-06-09;116.0;117.0;115.5;117.0;5552
2017-06-08;115.3;116.0;115.0;115.5;7216
2017-06-07;113.0;115.5;113.0;115.3;8033
2017-06-06;;113.5;113.5;113.5;0
2017-06-05;113.4;113.5;112.6;113.5;6943
2017-06-02;113.2;114.6;112.6;113.8;2910
2017-06-01;113.4;115.0;112.8;113.2;3898
2017-05-31;114.4;114.5;112.6;113.4;10176
2017-05-30;115.1;116.0;114.4;114.4;3392
2017-05-29;115.5;115.9;114.5;115.1;1164
2017-05-26;115.1;116.1;114.1;115.3;810
2017-05-24;114.8;116.2;113.9;115.1;2084
2017-05-23;113.5;116.1;113.0;114.8;9885
2017-05-22;115.2;116.3;114.0;114.5;3593
2017-05-19;113.1;115.8;113.1;115.0;5907
2017-05-18;115.5;116.4;112.3;113.1;8431
2017-05-17;117.8;119.4;115.2;117.2;5154
2017-05-16;116.0;118.2;115.9;117.8;12624
2017-05-15;115.0;116.8;115.0;116.2;8470
2017-05-12;115.0;114.6;114.6;114.6;4557
2017-05-11;115.0;116.4;114.0;115.1;6018
2017-05-10;115.5;116.5;113.8;116.0;13975
2017-05-09;113.4;117.5;113.2;115.1;7541
2017-05-08;114.5;114.5;111.5;113.3;6603
2017-05-05;111.3;114.5;110.0;114.5;16723
2017-05-04;111.0;112.0;110.0;111.3;24750
2017-05-03;113.0;113.5;109.5;110.4;20994
2017-05-02;112.0;114.0;110.0;112.5;9683
2017-05-01;;112.1;112.1;112.1;0
2017-04-28;114.4;114.6;108.5;112.1;26666
2017-04-27;121.0;121.6;114.3;116.0;18560
2017-04-26;117.7;120.6;116.5;119.6;27702
2017-04-25;116.0;117.8;115.6;117.7;8872
2017-04-24;115.9;116.4;115.7;116.4;8767
2017-04-21;116.0;116.4;115.5;116.3;5880
2017-04-20;114.5;115.5;113.7;115.5;6271
2017-04-19;114.0;114.5;112.9;113.9;4896
2017-04-18;113.3;115.9;111.3;113.0;9810
2017-04-13;114.7;114.7;112.0;112.3;5527
2017-04-12;115.0;115.5;112.1;114.8;3959
2017-04-11;117.0;117.0;112.1;114.0;8656
2017-04-10;116.0;116.9;110.5;115.0;15272
2017-04-07;115.0;117.5;113.5;114.1;3569
2017-04-06;115.0;116.5;111.5;115.0;12330
2017-04-05;115.0;118.4;110.2;114.5;8187
