Dates;Open;High;Low;Close;Volume
2017-12-27;132.5;133.0;131.1;131.8;214414
2017-12-22;134.1;134.1;132.4;132.5;209093
2017-12-21;132.7;134.9;132.0;134.3;345325
2017-12-20;132.8;134.1;131.9;132.8;268957
2017-12-19;133.4;134.3;133.1;133.1;394931
2017-12-18;132.7;133.9;132.3;133.4;389679
2017-12-15;131.9;132.6;130.7;132.2;311910
2017-12-14;131.0;133.3;131.0;131.6;427570
2017-12-13;128.2;132.4;128.2;131.1;364415
2017-12-12;129.8;130.1;127.3;128.4;640513
2017-12-11;129.6;130.1;128.4;129.7;202437
2017-12-08;126.4;129.5;126.4;128.8;225211
2017-12-07;126.2;127.8;125.9;126.2;167771
2017-12-06;126.1;127.5;126.0;126.9;231947
2017-12-05;127.4;128.2;126.4;127.2;204424
2017-12-04;126.6;127.6;125.3;126.8;188125
2017-12-01;128.1;128.1;125.4;125.5;381340
2017-11-30;129.4;130.3;127.9;128.1;511964
2017-11-29;130.3;132.0;129.4;129.8;253279
2017-11-28;129.8;130.1;129.0;129.6;251295
2017-11-27;131.1;131.8;129.6;129.8;269902
2017-11-24;131.8;132.1;130.8;131.6;349836
2017-11-23;131.0;132.3;129.9;131.6;125391
2017-11-22;133.4;134.0;131.5;131.6;440349
2017-11-21;134.0;134.5;132.5;133.2;614686
2017-11-20;130.4;134.5;130.0;133.9;238520
2017-11-17;130.4;131.2;128.4;130.7;612923
2017-11-16;130.5;131.2;129.6;130.1;262519
2017-11-15;130.1;130.3;127.9;129.9;448059
2017-11-14;129.2;131.5;129.2;130.7;838795
2017-11-13;130.0;130.3;127.5;128.9;1135497
2017-11-10;129.0;130.8;129.0;130.0;592141
2017-11-09;131.8;132.2;128.3;128.8;331056
2017-11-08;131.5;132.9;130.8;131.5;442835
2017-11-07;134.1;134.1;131.2;131.5;590944
2017-11-06;133.9;135.1;133.7;133.9;442630
2017-11-03;133.8;134.8;133.6;133.9;123327
2017-11-02;133.8;134.0;132.6;133.5;230752
2017-11-01;131.6;134.2;131.2;133.4;628173
2017-10-31;130.5;131.5;129.8;131.3;228772
2017-10-30;132.0;132.3;130.0;130.6;482369
2017-10-27;128.8;132.5;128.2;131.7;1055139
2017-10-26;127.2;129.4;126.6;128.7;494638
2017-10-25;127.5;129.1;124.9;126.7;1120735
2017-10-24;125.0;125.9;123.7;125.6;1870632
2017-10-23;120.8;124.3;120.8;123.9;1164778
2017-10-20;120.7;121.9;120.5;120.8;427174
2017-10-19;120.3;120.8;119.8;120.5;319686
2017-10-18;118.0;120.5;118.0;120.2;355533
2017-10-17;117.4;118.2;117.0;117.9;755292
2017-10-13;120.1;120.2;118.9;119.1;271565
2017-10-12;117.8;120.7;117.8;120.0;305930
2017-10-11;119.5;119.5;118.0;118.2;284522
2017-10-10;119.2;119.6;118.4;119.1;218958
2017-10-09;118.2;119.1;117.3;118.8;224678
2017-10-06;120.2;121.4;117.9;118.1;983918
2017-10-05;117.3;118.4;117.2;117.9;310003
2017-10-04;116.7;117.8;116.3;117.5;406507
2017-10-03;115.6;116.8;115.5;116.6;241674
2017-10-02;115.0;115.8;114.7;115.6;274728
2017-09-29;115.2;115.3;113.8;115.3;360806
2017-09-28;114.0;115.1;113.4;115.0;254960
2017-09-27;112.6;114.4;112.6;113.9;734520
2017-09-26;112.4;113.3;112.0;112.5;290924
2017-09-25;112.1;112.4;111.4;111.8;168652
2017-09-22;112.0;112.3;111.7;112.1;129407
2017-09-21;110.3;112.8;110.3;112.1;359998
2017-09-20;110.3;111.4;109.6;110.2;219551
2017-09-19;110.2;110.7;109.8;110.5;424904
2017-09-18;109.9;110.5;109.3;110.2;485311
2017-09-15;108.6;109.4;108.2;109.1;499407
2017-09-14;109.7;109.7;108.5;109.1;709516
2017-09-13;109.2;110.3;108.9;110.0;829673
2017-09-12;107.7;109.4;107.7;109.2;380515
2017-09-11;105.2;107.3;105.2;107.2;195071
2017-09-08;104.3;105.4;104.3;104.9;220738
2017-09-07;103.4;104.6;103.4;104.6;460690
2017-09-06;102.3;103.4;102.1;103.3;947668
2017-09-04;104.5;105.0;104.1;104.4;1013719
2017-09-01;104.4;105.9;104.4;105.5;257310
2017-08-31;105.5;106.1;104.1;104.2;471758
2017-08-30;103.5;105.1;102.8;104.9;355591
2017-08-29;104.5;104.8;102.7;103.1;730240
2017-08-28;110.1;110.1;104.6;105.0;980458
2017-08-25;109.7;112.4;109.7;110.6;829774
2017-08-24;110.2;110.2;108.8;109.7;233096
2017-08-23;110.0;110.5;109.6;110.0;542205
2017-08-22;108.7;109.7;108.6;109.5;811789
2017-08-21;109.5;109.8;108.4;108.4;977267
2017-08-18;109.8;110.4;109.4;109.7;666447
2017-08-17;109.3;111.3;109.2;110.5;1201749
2017-08-16;108.5;109.7;108.4;109.3;959620
2017-08-15;108.8;109.3;107.5;108.0;419711
2017-08-14;109.3;110.3;108.5;108.5;377490
2017-08-11;106.5;109.9;106.5;109.2;537471
2017-08-10;109.5;109.5;107.3;107.4;235898
2017-08-09;109.2;110.4;108.7;109.6;234969
2017-08-08;109.2;110.5;108.7;110.0;299919
2017-08-07;109.2;110.1;109.1;109.4;473895
2017-08-04;107.7;109.0;107.6;108.8;179177
2017-08-03;108.4;108.5;107.2;108.1;549611
2017-08-02;109.0;109.3;107.4;107.6;317587
2017-08-01;107.0;109.8;106.9;108.7;525983
2017-07-31;110.0;111.1;107.9;107.9;198319
2017-07-28;112.5;112.5;109.4;109.9;344527
2017-07-27;110.9;113.8;110.9;112.8;941986
2017-07-26;107.9;112.7;107.6;110.4;696439
2017-07-25;109.9;110.0;106.5;108.5;1015844
2017-07-24;113.0;113.7;111.8;111.8;686746
2017-07-21;113.2;115.0;112.3;113.0;569025
2017-07-20;113.3;115.6;113.3;113.6;900757
2017-07-19;113.8;114.1;112.3;113.0;202182
2017-07-18;114.5;114.5;113.1;113.4;730453
2017-07-17;113.4;115.2;113.4;114.9;854992
2017-07-14;113.4;114.4;113.1;113.5;412997
2017-07-13;114.3;115.3;113.7;113.9;307237
2017-07-12;111.6;115.0;111.5;114.3;777990
2017-07-11;109.5;110.5;109.3;110.1;384836
2017-07-10;109.8;110.2;108.0;109.5;510644
2017-07-07;110.1;110.1;108.5;109.3;508762
2017-07-06;111.8;112.5;109.9;110.5;320749
2017-07-05;111.6;112.3;111.1;111.9;269113
2017-07-04;110.0;112.0;109.5;111.9;482474
2017-07-03;109.4;110.8;109.4;110.7;371291
2017-06-30;109.0;109.6;107.9;108.8;388636
2017-06-29;112.9;113.6;108.3;109.0;904765
2017-06-28;112.3;112.9;111.4;112.6;319870
2017-06-27;114.9;115.2;112.2;112.2;614434
2017-06-26;114.4;115.3;114.2;114.9;258461
