Dates;Open;High;Low;Close;Volume
2017-12-27;183.5;184.9;181.0;183.1;63495
2017-12-22;184.4;186.1;181.3;186.0;74437
2017-12-21;183.4;185.1;181.9;185.1;68092
2017-12-20;183.6;185.1;181.9;183.8;59638
2017-12-19;183.0;185.5;180.9;183.5;109790
2017-12-18;178.1;184.3;177.1;183.1;63366
2017-12-15;181.8;181.8;177.8;178.2;90488
2017-12-14;182.5;184.7;181.0;182.2;64194
2017-12-13;186.0;186.3;181.9;182.8;74416
2017-12-12;183.0;188.2;183.0;186.0;104891
2017-12-11;180.6;183.0;180.4;182.0;62766
2017-12-08;182.1;182.9;179.5;180.4;131448
2017-12-07;182.7;183.9;181.1;182.0;84125
2017-12-06;182.5;183.0;180.2;182.7;161831
2017-12-05;174.0;184.8;174.0;183.7;206797
2017-12-04;168.0;173.7;167.5;173.1;83694
2017-12-01;170.2;171.4;166.8;166.8;66402
2017-11-30;174.1;175.1;170.4;170.4;115012
2017-11-29;174.1;177.1;173.7;173.9;57937
2017-11-28;171.9;175.8;171.9;174.1;53114
2017-11-27;173.8;175.0;172.0;172.0;69813
2017-11-24;174.2;176.4;173.5;173.8;70295
2017-11-23;177.3;177.7;173.9;173.9;51445
2017-11-22;178.4;178.9;176.9;177.3;64925
2017-11-21;179.1;181.6;176.4;178.4;93543
2017-11-20;177.5;180.1;175.7;179.2;88813
2017-11-17;179.1;180.6;176.0;177.5;143876
2017-11-16;176.2;179.1;176.2;179.0;134849
2017-11-15;170.9;177.4;170.0;175.5;152606
2017-11-14;173.9;175.2;170.5;171.6;135365
2017-11-13;173.9;174.7;172.8;173.9;92097
2017-11-10;174.8;174.8;172.4;173.9;97523
2017-11-09;178.3;178.3;173.0;174.8;83650
2017-11-08;178.2;179.2;178.0;179.1;112257
2017-11-07;181.8;181.8;177.9;178.5;69885
2017-11-06;183.8;183.8;178.3;181.8;68890
2017-11-03;181.6;185.3;181.5;183.9;54859
2017-11-02;179.8;182.5;179.8;181.6;77992
2017-11-01;178.5;180.7;178.1;180.0;170547
2017-10-31;179.9;182.1;177.5;179.1;145586
2017-10-30;184.8;187.5;179.9;179.9;137972
2017-10-27;181.0;185.6;176.3;184.8;301222
2017-10-26;189.4;191.5;189.4;190.0;94734
2017-10-25;191.6;192.5;189.0;189.4;96206
2017-10-24;192.0;193.5;190.8;191.6;56797
2017-10-23;192.2;194.8;192.0;192.5;320532
2017-10-20;193.4;194.4;192.0;192.4;57805
2017-10-19;192.1;193.9;191.7;193.4;59872
2017-10-18;192.6;193.5;190.6;192.2;61727
2017-10-17;195.4;195.4;188.6;193.5;75904
2017-10-13;196.3;200.7;195.9;200.5;96239
2017-10-12;195.9;196.9;195.1;196.3;44818
2017-10-11;194.4;195.5;193.3;195.0;74768
2017-10-10;197.4;197.8;194.1;195.5;61075
2017-10-09;195.0;199.2;194.6;197.5;55845
2017-10-06;197.1;199.0;194.4;195.4;49919
2017-10-05;200.0;200.6;196.8;197.9;37098
2017-10-04;201.8;202.0;197.3;199.9;66170
2017-10-03;199.3;201.9;198.6;201.9;67984
2017-10-02;198.9;199.5;196.7;199.5;63760
2017-09-29;199.3;199.5;198.4;199.5;59663
2017-09-28;199.5;200.0;196.7;199.3;45621
2017-09-27;198.7;199.9;197.5;199.4;50223
2017-09-26;195.7;199.3;194.8;198.0;45976
2017-09-25;196.5;198.0;195.3;195.9;98099
2017-09-22;195.7;198.0;195.2;196.6;57799
2017-09-21;197.3;198.2;194.5;196.2;114480
2017-09-20;199.4;200.0;197.0;197.2;49745
2017-09-19;198.1;200.3;197.7;199.4;49738
2017-09-18;195.5;199.9;195.5;198.2;88368
2017-09-15;199.5;200.0;195.1;195.1;148792
2017-09-14;200.2;200.4;199.3;199.3;54830
2017-09-13;200.3;200.4;199.7;200.3;33762
2017-09-12;200.2;201.5;199.2;200.6;39525
2017-09-11;199.2;201.6;199.0;200.3;50963
2017-09-08;199.9;200.6;199.0;199.3;35854
2017-09-07;197.3;201.1;197.3;200.8;39656
2017-09-06;199.4;199.4;196.2;197.8;71850
2017-09-04;199.9;199.9;197.0;197.6;53632
2017-09-01;200.1;202.1;199.7;199.9;46899
2017-08-31;197.9;200.7;197.9;200.2;75067
2017-08-30;195.5;199.4;195.5;197.9;67999
2017-08-29;200.5;200.5;194.2;195.2;90083
2017-08-28;198.5;201.0;198.5;198.6;33968
2017-08-25;199.3;200.9;198.3;199.7;35185
2017-08-24;200.4;200.7;198.5;199.3;75034
2017-08-23;205.1;205.1;200.0;200.9;69769
2017-08-22;202.5;205.8;201.7;205.1;61905
2017-08-21;201.5;202.8;200.6;201.6;94960
2017-08-18;202.3;202.7;200.0;201.5;90816
2017-08-17;203.8;205.4;202.4;203.0;117509
2017-08-16;204.1;205.5;203.9;203.9;48927
2017-08-15;203.9;206.0;203.0;203.7;93300
2017-08-14;196.5;205.0;196.0;203.9;112884
2017-08-11;196.9;199.3;196.1;196.8;82620
2017-08-10;200.6;201.2;198.9;199.0;88511
2017-08-09;201.4;202.3;200.0;201.4;66041
2017-08-08;203.0;203.7;200.9;201.5;83409
2017-08-07;202.5;204.2;201.2;202.7;81138
2017-08-04;199.4;202.5;198.1;202.1;88498
2017-08-03;200.1;202.9;199.4;199.4;76223
2017-08-02;203.0;204.6;199.6;200.1;175777
2017-08-01;197.9;205.0;197.6;202.6;144039
2017-07-31;195.2;199.9;194.8;197.3;139129
2017-07-28;195.5;196.1;194.3;195.2;82239
2017-07-27;195.3;197.0;194.5;196.0;116044
2017-07-26;198.0;198.6;196.4;196.5;180934
2017-07-25;202.5;204.3;198.7;198.7;103484
2017-07-24;202.2;204.8;200.7;202.5;134615
2017-07-21;205.9;206.4;200.0;203.2;118199
2017-07-20;206.0;209.0;203.0;207.4;86616
2017-07-19;204.5;207.8;203.9;206.2;70993
2017-07-18;208.7;209.5;203.2;204.9;81113
2017-07-17;209.4;210.7;206.5;210.7;70621
2017-07-14;207.5;209.9;204.6;209.4;60715
2017-07-13;211.0;211.0;205.4;207.3;93615
2017-07-12;201.7;212.8;201.7;211.4;89761
2017-07-11;205.0;206.6;201.2;201.7;46433
2017-07-10;205.5;206.2;203.3;204.0;55555
2017-07-07;202.0;206.6;201.4;205.4;45506
2017-07-06;209.8;211.3;202.4;204.4;98083
2017-07-05;204.0;210.3;201.4;210.3;108680
2017-07-04;207.1;207.1;202.3;204.9;69419
2017-07-03;208.3;209.5;205.2;207.1;61346
2017-06-30;207.0;210.1;204.3;208.3;79260
2017-06-29;214.9;215.3;207.1;208.7;70956
2017-06-28;215.0;216.9;211.6;215.9;63976
2017-06-27;218.0;218.6;213.4;215.1;52711
2017-06-26;218.0;221.6;216.9;218.9;49421
2017-06-23;;219.3;219.3;219.3;0
2017-06-22;219.5;219.7;217.5;219.3;83376
2017-06-21;224.0;224.0;219.3;220.0;90037
2017-06-20;224.0;227.1;221.0;224.0;63688
2017-06-19;220.8;226.9;220.0;225.0;102262
2017-06-16;220.0;222.7;217.8;220.8;388447
2017-06-15;226.0;226.0;217.1;219.9;117923
2017-06-14;224.0;226.9;224.0;225.4;86930
2017-06-13;221.8;225.2;221.0;223.3;116701
2017-06-12;225.2;228.0;220.2;221.8;110821
2017-06-09;226.6;227.3;221.8;225.2;126256
2017-06-08;230.7;230.7;225.0;226.6;92524
2017-06-07;229.5;232.9;228.4;231.5;99481
2017-06-06;;229.5;229.5;229.5;0
2017-06-05;231.7;231.7;227.5;229.5;44882
2017-06-02;231.4;232.9;229.5;231.7;51941
2017-06-01;226.0;231.4;225.5;231.4;112325
2017-05-31;224.8;226.6;223.6;226.6;143893
2017-05-30;225.7;225.7;224.2;224.8;98837
2017-05-29;224.7;225.7;223.9;225.7;52133
2017-05-26;223.0;225.0;223.0;224.9;55883
2017-05-24;225.0;225.0;220.9;225.0;73322
2017-05-23;226.0;226.0;222.4;225.5;56418
2017-05-22;223.2;226.2;221.6;223.4;54545
2017-05-19;218.8;225.0;218.5;223.2;61888
2017-05-18;224.2;224.2;217.3;218.8;90584
2017-05-17;224.4;229.3;222.0;224.2;159881
2017-05-16;223.9;224.4;221.4;223.9;45356
2017-05-15;223.5;224.7;217.7;223.9;100674
2017-05-12;225.7;223.3;223.3;223.3;97596
2017-05-11;229.8;232.4;224.0;225.7;64594
2017-05-10;226.5;229.6;224.3;229.1;68280
2017-05-09;223.0;226.5;223.0;226.5;61886
2017-05-08;222.0;222.8;218.4;222.6;36771
2017-05-05;222.0;222.4;218.7;222.4;37389
2017-05-04;219.3;223.0;218.5;222.3;46882
2017-05-03;224.4;224.4;215.9;218.4;85369
2017-05-02;219.5;225.0;219.0;225.0;60547
2017-05-01;;219.7;219.7;219.7;0
2017-04-28;221.5;221.7;216.6;219.7;62998
2017-04-27;220.0;223.5;217.1;222.2;51456
2017-04-26;218.1;220.0;216.1;220.0;55042
2017-04-25;218.0;218.1;216.0;217.7;47507
2017-04-24;216.3;219.8;215.6;217.3;91458
2017-04-21;215.9;216.5;215.0;216.3;45219
2017-04-20;215.0;217.7;214.1;215.9;59038
2017-04-19;213.1;217.0;212.2;215.3;91089
2017-04-18;212.2;213.9;211.6;213.1;76210
2017-04-13;214.4;214.4;209.9;212.2;19359
2017-04-12;212.9;215.0;211.5;215.0;37382
2017-04-11;210.6;214.4;209.8;213.0;60582
2017-04-10;208.0;210.5;206.5;209.8;35444
2017-04-07;207.8;208.4;206.3;208.4;38392
2017-04-06;207.6;210.0;206.1;207.8;301314
2017-04-05;206.5;209.0;206.5;208.0;32594
2017-04-04;203.0;207.5;202.4;206.5;43752
2017-04-03;205.0;206.0;202.3;203.0;48772
2017-03-31;204.0;205.2;202.1;204.2;28292
2017-03-30;201.4;205.4;201.4;204.0;29538
2017-03-29;206.2;206.5;203.5;204.6;46586
2017-03-28;203.2;206.4;200.0;206.2;50885
2017-03-27;204.0;205.2;201.9;203.2;68106
2017-03-24;205.2;207.8;204.4;205.6;54138
2017-03-23;203.9;206.6;203.9;205.1;80000
2017-03-22;204.0;205.0;201.7;203.9;87257
2017-03-21;208.5;208.5;204.7;204.9;108526
2017-03-20;209.5;211.0;207.5;208.5;82013
2017-03-17;210.9;210.9;208.7;209.5;44920
2017-03-16;213.3;213.4;208.4;210.9;90676
2017-03-15;210.6;212.1;208.3;210.8;53185
2017-03-14;213.4;213.4;209.0;210.2;69541
2017-03-13;211.5;213.6;211.4;213.4;64190
2017-03-10;210.8;211.2;211.2;211.2;83859
2017-03-09;209.6;211.8;209.0;210.9;87545
2017-03-08;206.8;211.0;206.3;209.6;95865
2017-03-07;207.9;208.0;205.4;206.0;74642
2017-03-06;203.2;207.4;203.2;207.0;114987
2017-03-03;203.4;203.2;203.2;203.2;258133
2017-03-02;203.0;203.8;200.8;203.0;70824
2017-03-01;200.0;202.0;199.5;202.0;56894
2017-02-28;200.0;200.7;197.5;199.7;51098
2017-02-27;200.0;201.9;197.9;200.0;54974
2017-02-24;197.5;203.5;197.4;199.7;160869
2017-02-23;198.5;199.1;197.1;197.5;547668
2017-02-22;198.2;198.9;195.5;197.0;44066
2017-02-21;198.0;198.7;196.5;198.2;45151
2017-02-20;197.0;197.8;195.6;196.4;54214
2017-02-17;199.0;199.0;195.4;196.7;74237
2017-02-16;200.8;200.8;195.0;197.7;51096
2017-02-15;199.0;200.8;198.6;199.8;45112
2017-02-14;201.9;201.9;191.0;197.4;137174
2017-02-13;203.0;206.2;202.4;204.7;70070
2017-02-10;200.0;204.5;200.0;202.6;68087
2017-02-09;201.2;201.2;196.7;198.0;43595
2017-02-08;197.4;201.7;197.4;198.7;58308
2017-02-07;200.0;200.9;197.0;197.2;55427
2017-02-06;198.0;200.0;197.4;197.6;250225
2017-02-03;196.8;200.4;196.8;197.1;74474
2017-02-02;195.6;197.0;195.5;196.8;51260
2017-02-01;197.0;197.6;194.1;195.7;101825
2017-01-31;187.9;198.1;187.8;193.1;108508
2017-01-30;189.0;189.8;187.0;187.4;40108
2017-01-27;192.0;193.8;187.6;189.0;40194
2017-01-26;188.8;194.0;188.8;191.9;67136
2017-01-25;186.0;191.9;185.9;188.6;102254
2017-01-24;182.0;186.0;182.0;186.0;32376
2017-01-23;181.5;185.0;181.3;183.5;43142
2017-01-20;183.0;184.4;181.5;181.5;32765
2017-01-19;184.4;184.8;180.3;182.2;30648
2017-01-18;180.7;185.0;179.6;184.4;97911
2017-01-17;182.5;182.6;180.7;180.7;23201
2017-01-16;181.1;183.3;180.1;182.5;20641
2017-01-13;180.0;181.7;179.9;181.5;28712
2017-01-12;181.3;181.7;177.6;180.8;221877
2017-01-11;180.4;182.5;178.4;182.0;32278
2017-01-10;176.0;180.5;176.0;180.5;36593
2017-01-09;180.0;180.0;174.0;176.4;56402
2017-01-06;;181.1;181.1;181.1;0
2017-01-05;182.2;183.7;181.1;181.1;24864
2017-01-04;184.5;184.5;180.9;182.5;85351
2017-01-03;180.1;184.7;179.2;183.0;71906
2017-01-02;180.2;180.9;178.1;180.1;28441
2016-12-30;178.4;181.3;177.2;180.2;29958
2016-12-29;178.0;179.0;177.0;178.6;29180
2016-12-28;178.0;180.9;178.0;179.1;18987
2016-12-27;179.3;181.0;177.1;181.0;39555
2016-12-23;179.7;179.7;177.4;179.3;29625
2016-12-22;178.0;179.6;177.5;178.8;50893
2016-12-21;179.8;181.5;178.6;178.6;54369
2016-12-20;179.0;180.4;178.3;179.6;131570
2016-12-19;182.7;182.9;180.2;180.4;59738
2016-12-16;178.5;182.8;178.5;182.7;143434
2016-12-15;176.8;179.0;174.3;178.5;503387
2016-12-14;177.3;178.0;176.4;176.8;33974
2016-12-13;178.0;178.0;177.1;177.7;44687
2016-12-12;179.9;179.9;177.9;177.9;35725
2016-12-09;177.8;180.0;177.3;179.9;70471
2016-12-08;175.7;179.5;175.7;177.8;92979
2016-12-07;175.4;176.5;172.8;175.7;93207
2016-12-06;178.6;178.6;174.8;175.4;59912
2016-12-05;176.5;179.4;175.2;176.0;56706
2016-12-02;178.0;179.2;174.8;176.7;70119
2016-12-01;180.0;180.0;177.9;178.2;57605
2016-11-30;180.5;181.0;179.8;180.0;106145
2016-11-29;180.4;182.0;179.6;180.5;32595
2016-11-28;182.0;182.0;179.9;180.5;32701
2016-11-25;182.5;182.5;181.0;182.1;29912
2016-11-24;181.0;184.5;180.8;182.1;61919
2016-11-23;181.1;182.4;180.9;181.3;23478
2016-11-22;181.8;182.4;179.9;180.4;26637
2016-11-21;180.5;182.4;178.9;181.8;25241
2016-11-18;182.3;182.3;179.5;180.8;143913
2016-11-17;178.6;181.7;178.1;181.4;37544
2016-11-16;179.5;179.5;177.2;179.0;23685
2016-11-15;178.0;179.8;177.6;179.3;35799
2016-11-14;175.1;178.9;175.1;176.2;39614
2016-11-11;180.0;180.6;175.1;175.1;37481
2016-11-10;178.5;182.0;177.0;177.1;58439
2016-11-09;165.0;179.5;164.9;178.4;67080
2016-11-08;180.0;180.9;176.5;178.2;134705
2016-11-07;177.0;182.0;176.9;180.0;49527
2016-11-04;179.5;179.5;178.4;178.4;32509
2016-11-03;175.9;180.2;174.4;179.5;42754
2016-11-02;178.8;178.8;174.1;175.8;77428
2016-11-01;181.1;183.5;178.1;178.8;55821
2016-10-31;179.9;186.7;179.9;181.1;68280
2016-10-28;185.6;187.5;178.2;179.6;114905
2016-10-27;184.1;184.9;181.0;183.6;48503
2016-10-26;185.0;186.0;183.1;184.1;58105
2016-10-25;182.7;186.3;182.6;186.0;39549
2016-10-24;187.6;189.7;182.7;183.3;60957
2016-10-21;186.8;189.3;186.8;188.8;37009
2016-10-20;186.0;188.0;184.8;186.8;38315
2016-10-19;183.9;186.6;182.8;186.0;137477
2016-10-18;183.0;184.0;181.8;183.3;44124
2016-10-17;184.7;184.7;181.7;182.4;48013
2016-10-14;175.6;185.0;175.6;184.8;83303
2016-10-13;177.3;177.6;174.9;175.6;44579
2016-10-12;177.9;179.2;177.5;178.7;26464
2016-10-11;179.6;180.0;177.8;178.2;33294
2016-10-10;180.5;180.6;176.6;179.7;46548
2016-10-07;183.0;183.0;179.2;180.3;40527
2016-10-06;183.0;183.5;181.4;183.0;44023
