Dates;Open;High;Low;Close;Volume
2017-12-27;111.3;113.2;111.3;113.0;240001
2017-12-22;111.9;112.7;111.3;111.7;391614
2017-12-21;111.4;112.2;110.8;112.2;487867
2017-12-20;111.5;112.5;110.8;111.4;842433
2017-12-19;112.5;112.7;111.3;111.6;419119
2017-12-18;112.0;113.6;111.6;112.4;543886
2017-12-15;111.7;112.1;110.0;112.1;1494505
2017-12-14;112.2;113.4;111.7;112.2;459661
2017-12-13;113.1;113.1;111.2;112.3;411078
2017-12-12;111.3;113.1;109.4;113.1;503625
2017-12-11;108.9;111.9;108.9;111.5;611966
2017-12-08;107.5;109.6;107.4;108.9;1053001
2017-12-07;111.1;111.5;107.9;108.2;975204
2017-12-06;112.6;112.6;110.8;111.3;380863
2017-12-05;113.9;114.1;111.8;113.0;309320
2017-12-04;115.1;115.6;113.6;114.2;403755
2017-12-01;115.7;115.9;113.6;114.2;466055
2017-11-30;114.5;115.5;112.4;115.3;700471
2017-11-29;115.3;115.5;114.5;115.0;357843
2017-11-28;113.8;115.4;113.4;115.4;420799
2017-11-27;113.0;114.3;112.4;113.4;539558
2017-11-24;112.9;113.3;112.0;112.9;267628
2017-11-23;112.1;113.1;111.5;112.8;713166
2017-11-22;114.8;115.0;110.9;112.5;920686
2017-11-21;113.5;114.9;112.7;114.6;856515
2017-11-20;118.0;118.4;113.0;113.5;1639522
2017-11-17;120.0;121.5;118.8;120.1;549354
2017-11-16;117.2;121.4;117.2;121.0;493306
2017-11-15;116.9;117.7;116.2;116.9;415453
2017-11-14;117.2;118.0;116.8;116.9;342911
2017-11-13;117.6;118.1;116.5;116.9;347499
2017-11-10;119.2;119.5;117.4;117.7;345042
2017-11-09;122.6;122.9;118.8;119.3;596904
2017-11-08;123.7;124.7;122.4;122.9;367626
2017-11-07;124.9;124.9;123.6;123.8;748835
2017-11-06;124.6;125.4;124.4;124.8;444571
2017-11-03;123.1;125.3;123.1;125.1;475047
2017-11-02;123.3;123.9;122.5;123.2;354020
2017-11-01;124.0;124.8;123.2;123.4;456854
2017-10-31;122.6;124.2;122.5;124.0;1042481
2017-10-30;121.0;122.4;120.3;122.0;468345
2017-10-27;118.5;121.3;118.0;121.3;1083585
2017-10-26;116.9;118.6;114.7;118.6;2012327
2017-10-25;121.2;123.9;116.0;118.6;2463884
2017-10-24;117.2;118.2;116.3;117.8;469728
2017-10-23;118.4;118.8;117.5;117.7;296790
2017-10-20;118.7;118.8;117.5;118.3;325017
2017-10-19;116.3;118.2;116.0;118.0;600578
2017-10-18;116.1;117.4;116.1;116.8;478226
2017-10-17;117.2;117.3;115.8;116.6;476407
2017-10-13;117.5;119.4;117.1;119.3;798817
2017-10-12;120.5;120.5;116.6;117.6;833975
2017-10-11;119.5;120.9;119.5;120.1;369424
2017-10-10;124.4;124.7;119.8;120.2;1006060
2017-10-09;124.7;125.7;124.1;125.0;529317
2017-10-06;125.3;126.2;124.3;125.4;353861
2017-10-05;125.8;126.4;125.4;125.6;270462
2017-10-04;125.8;126.3;125.0;126.2;317263
2017-10-03;125.6;126.1;124.9;125.8;406540
2017-10-02;124.9;126.1;124.8;125.9;467863
2017-09-29;123.1;125.0;121.8;125.0;889231
2017-09-28;122.3;123.3;121.6;123.2;505195
2017-09-27;121.1;122.2;119.1;122.1;552715
2017-09-26;122.0;122.0;120.8;121.1;212110
2017-09-25;120.7;122.2;120.6;122.2;360144
2017-09-22;120.2;120.9;119.9;120.8;307351
2017-09-21;120.7;120.9;119.4;120.5;482635
2017-09-20;121.6;121.9;120.1;120.7;449529
2017-09-19;121.0;122.0;120.7;122.0;245783
2017-09-18;121.8;121.9;120.8;121.1;359236
2017-09-15;122.4;123.2;121.1;121.4;426987
2017-09-14;123.0;123.2;122.2;122.8;470850
2017-09-13;122.9;123.2;121.6;123.2;793178
2017-09-12;123.0;123.4;121.9;122.8;544295
2017-09-11;122.7;123.2;121.8;122.5;1458531
2017-09-08;122.7;122.7;120.6;122.2;492951
2017-09-07;117.5;122.2;116.8;122.0;867222
2017-09-06;118.2;119.0;116.9;117.5;426880
2017-09-04;118.0;118.4;117.6;118.3;232998
2017-09-01;118.5;119.4;118.2;119.0;534184
2017-08-31;117.0;118.5;116.7;118.5;531888
2017-08-30;117.8;118.1;116.6;117.4;414464
2017-08-29;114.7;116.6;113.9;116.4;1154238
2017-08-28;114.6;115.8;114.4;115.2;449161
2017-08-25;113.3;115.6;113.3;115.5;925944
2017-08-24;119.4;119.7;112.0;113.6;3530306
2017-08-23;122.5;123.3;122.5;123.1;279469
2017-08-22;120.6;123.0;120.6;122.9;339487
2017-08-21;120.2;121.2;119.8;120.2;337269
2017-08-18;121.2;121.5;120.4;120.8;307049
2017-08-17;122.2;123.6;121.7;122.7;329604
2017-08-16;123.0;123.3;121.9;122.3;223064
2017-08-15;122.2;123.1;121.6;122.3;284907
2017-08-14;120.6;122.4;120.6;122.2;580411
2017-08-11;120.4;120.8;118.7;120.2;408889
2017-08-10;120.4;122.1;120.1;121.2;710567
2017-08-09;120.9;120.9;119.6;120.4;344791
2017-08-08;120.9;121.3;120.4;121.3;371521
2017-08-07;121.0;121.7;120.4;121.0;429866
2017-08-04;121.5;122.3;120.3;121.0;764433
2017-08-03;120.3;121.9;119.9;121.5;510208
2017-08-02;120.7;121.8;119.8;120.4;736541
2017-08-01;123.4;123.9;120.7;121.5;585657
2017-07-31;122.5;124.1;121.8;123.0;592707
2017-07-28;124.1;124.1;121.8;122.5;513758
2017-07-27;123.8;125.0;123.2;124.4;375877
2017-07-26;123.5;124.3;123.1;123.8;417605
2017-07-25;122.4;124.1;122.4;123.1;385172
2017-07-24;123.4;124.1;121.5;122.4;862157
2017-07-21;124.7;125.0;123.3;124.1;690240
2017-07-20;124.3;125.8;123.8;124.6;1111017
2017-07-19;130.5;132.0;123.6;126.0;2061028
2017-07-18;126.2;126.6;124.4;124.8;574891
2017-07-17;125.5;127.1;125.5;127.0;501943
2017-07-14;125.5;126.4;124.9;125.5;503721
2017-07-13;126.6;127.3;124.5;125.5;616286
2017-07-12;124.4;127.3;124.2;127.3;478810
2017-07-11;127.0;127.9;123.7;124.4;688415
2017-07-10;127.5;128.1;126.7;127.1;413877
2017-07-07;126.4;127.3;125.3;127.2;473937
2017-07-06;129.2;129.4;126.5;126.8;465871
2017-07-05;127.0;129.5;126.1;129.4;704745
2017-07-04;128.5;128.7;126.7;127.3;521980
2017-07-03;130.0;131.1;128.8;129.1;434993
2017-06-30;128.5;130.8;128.5;130.0;713881
2017-06-29;133.2;133.7;128.4;129.1;968701
2017-06-28;135.0;135.1;131.3;133.2;936541
2017-06-27;138.3;138.3;135.4;136.0;516787
2017-06-26;138.7;140.0;138.2;138.6;528588
2017-06-23;;140.6;140.6;140.6;0
2017-06-22;139.9;140.7;139.1;140.6;571788
2017-06-21;139.1;139.6;137.9;139.1;279681
2017-06-20;139.7;139.8;138.7;139.7;373304
2017-06-19;138.6;139.4;137.6;139.4;747360
2017-06-16;137.5;138.9;137.1;138.3;439445
2017-06-15;136.2;136.9;135.5;136.6;553075
2017-06-14;137.0;138.1;136.8;137.3;400975
2017-06-13;135.8;137.7;135.7;137.0;441186
2017-06-12;137.2;137.2;135.4;136.0;433873
2017-06-09;137.3;138.4;137.2;137.5;377586
2017-06-08;138.6;138.8;137.2;137.6;398742
2017-06-07;140.5;141.0;137.1;139.0;790876
2017-06-06;;141.5;141.5;141.5;0
2017-06-05;142.4;143.8;139.5;141.5;1020843
2017-06-02;141.0;142.9;141.0;142.8;651911
2017-06-01;136.0;140.8;136.0;140.0;1121086
2017-05-31;135.5;136.5;135.2;136.4;677094
2017-05-30;133.0;135.9;133.0;135.6;603604
2017-05-29;134.5;135.7;133.9;133.9;732287
2017-05-26;136.3;136.5;133.7;134.9;472761
2017-05-24;135.3;137.3;135.3;136.7;173378
2017-05-23;134.5;136.5;134.4;136.0;348725
2017-05-22;136.0;136.5;134.5;135.0;438024
2017-05-19;136.1;137.9;136.1;136.2;457186
2017-05-18;135.1;136.3;134.5;136.2;581719
2017-05-17;136.4;137.4;136.0;136.1;572045
2017-05-16;136.4;137.7;135.9;137.0;527758
2017-05-15;136.9;136.9;135.9;136.7;377545
2017-05-12;136.8;137.0;137.0;137.0;488101
2017-05-11;138.5;139.5;136.3;136.6;831678
2017-05-10;137.6;139.4;137.6;138.5;446573
2017-05-09;137.5;139.0;137.5;138.5;716291
2017-05-08;138.6;139.2;136.9;137.8;644043
2017-05-05;138.5;139.4;137.4;138.3;716787
2017-05-04;141.2;142.3;138.8;138.9;1222486
2017-05-03;143.0;143.6;139.7;140.6;1054259
2017-05-02;137.5;142.9;137.1;142.9;1792488
2017-05-01;;136.8;136.8;136.8;0
2017-04-28;136.0;136.9;133.0;136.8;2716715
2017-04-27;132.9;134.9;132.9;134.8;844234
2017-04-26;132.4;134.3;132.4;133.8;582825
2017-04-25;129.4;132.9;129.3;132.8;1040830
2017-04-24;128.2;129.7;127.5;129.4;649969
2017-04-21;131.0;131.0;127.1;127.3;1104725
2017-04-20;132.0;132.7;131.1;132.1;516276
2017-04-19;131.7;132.4;131.1;131.8;377771
2017-04-18;132.8;133.3;130.7;131.7;683987
2017-04-13;131.8;132.5;131.2;132.0;179396
2017-04-12;130.5;131.8;130.5;131.5;326182
2017-04-11;130.4;131.2;129.9;130.4;410390
2017-04-10;129.4;131.4;129.1;130.6;565997
2017-04-07;128.5;129.8;128.3;129.6;903016
2017-04-06;127.2;128.8;126.7;128.8;646208
2017-04-05;129.0;129.3;126.3;127.9;559280
2017-04-04;128.2;129.5;127.7;129.3;502559
2017-04-03;128.5;129.5;127.8;128.4;428411
2017-03-31;128.0;128.9;127.6;128.9;374700
2017-03-30;128.9;129.0;128.1;128.3;789927
2017-03-29;127.4;128.7;127.0;128.7;596237
2017-03-28;126.6;127.6;126.4;127.6;519605
2017-03-27;125.5;127.1;124.8;126.7;477777
2017-03-24;125.1;126.3;124.7;126.0;610125
2017-03-23;125.0;125.4;124.4;125.4;475179
2017-03-22;124.0;125.4;122.3;125.2;894249
2017-03-21;125.5;126.1;124.6;125.0;708862
2017-03-20;124.9;126.5;124.1;126.0;489732
2017-03-17;124.1;125.9;123.2;125.5;753932
2017-03-16;124.2;124.2;123.2;124.0;437985
2017-03-15;124.4;124.7;123.5;123.7;391016
2017-03-14;124.6;124.9;123.4;124.6;471125
