Dates;Open;High;Low;Close;Volume
2017-12-27;106.0;107.5;103.2;103.2;5611
2017-12-22;105.6;107.9;104.1;104.7;7971
2017-12-21;107.0;107.0;103.0;105.0;4102
2017-12-20;106.1;107.1;103.5;103.5;3635
2017-12-19;104.6;108.4;104.6;105.9;2866
2017-12-18;105.9;107.1;104.6;104.6;3538
2017-12-15;103.0;109.5;103.0;104.1;4713
2017-12-14;105.4;105.4;102.6;102.6;1760
2017-12-13;106.0;106.7;104.0;105.0;4720
2017-12-12;105.6;106.4;103.9;106.4;4814
2017-12-11;105.9;106.8;104.8;105.6;5023
2017-12-08;107.0;108.3;105.8;105.9;6254
2017-12-07;107.2;107.3;106.0;107.1;6452
2017-12-06;107.0;108.2;105.7;107.9;3639
2017-12-05;107.6;108.4;107.1;107.2;5481
2017-12-04;109.5;109.5;106.6;107.6;2445
2017-12-01;107.8;107.8;105.4;106.6;2834
2017-11-30;107.9;108.7;106.1;106.2;1263
2017-11-29;108.2;108.2;106.6;107.0;6092
2017-11-28;108.9;108.9;106.2;108.1;2168
2017-11-27;107.0;108.9;106.6;106.7;453
2017-11-24;107.9;108.6;106.7;107.3;5340
2017-11-23;107.8;108.6;105.8;107.9;4436
2017-11-22;107.5;108.2;107.1;107.8;4526
2017-11-21;108.4;108.4;106.6;107.1;5018
2017-11-20;106.7;108.9;106.7;108.5;2873
2017-11-17;109.9;109.9;106.6;106.8;5905
2017-11-16;109.5;110.6;108.2;109.0;11680
2017-11-15;107.3;108.0;106.5;108.0;7248
2017-11-14;105.6;107.1;105.5;106.7;5120
2017-11-13;105.0;106.2;104.1;105.2;5177
2017-11-10;107.0;107.0;105.2;105.7;1785
2017-11-09;106.0;106.3;104.6;106.3;3524
2017-11-08;106.0;106.0;105.1;105.2;1051
2017-11-07;106.5;106.5;104.7;105.1;10573
2017-11-06;107.0;107.0;106.4;106.9;4550
2017-11-03;107.1;107.6;106.2;106.4;1665
2017-11-02;107.0;107.7;106.6;107.1;2705
2017-11-01;105.0;107.0;105.0;106.7;6925
2017-10-31;106.1;106.8;105.9;106.1;1709
2017-10-30;106.4;106.5;105.2;106.1;2074
2017-10-27;106.0;106.9;105.0;105.6;2939
2017-10-26;104.0;106.0;103.5;106.0;3855
2017-10-25;103.2;105.1;102.6;104.0;4742
2017-10-24;103.9;105.0;102.6;103.4;13748
2017-10-23;104.9;105.0;103.0;103.9;10524
2017-10-20;100.3;102.9;100.0;102.3;17491
2017-10-19;99.8;102.0;99.35;100.3;15651
2017-10-18;95.05;95.4;94.0;95.4;5166
2017-10-17;95.1;95.5;94.4;95.05;4441
2017-10-13;94.8;95.95;94.8;95.95;5250
2017-10-12;93.45;94.85;93.4;94.8;4296
2017-10-11;92.7;93.5;92.7;93.45;4320
2017-10-10;94.0;94.0;92.5;92.85;4082
2017-10-09;92.8;93.2;92.5;93.0;2992
2017-10-06;94.45;94.7;92.6;92.8;5844
2017-10-05;93.5;95.05;93.5;94.45;2004
2017-10-04;94.7;94.95;93.15;93.5;4017
2017-10-03;94.5;95.0;94.2;94.9;3950
2017-10-02;92.7;94.6;92.7;94.6;4236
2017-09-29;91.35;93.0;91.35;92.3;8361
2017-09-28;91.65;92.7;91.65;91.8;1132
2017-09-27;91.6;92.7;91.6;92.55;1455
2017-09-26;92.0;92.2;91.5;91.6;6677
2017-09-25;91.7;91.7;91.1;91.6;668
2017-09-22;92.35;92.5;91.2;91.7;2786
2017-09-21;94.0;94.0;91.55;92.35;4712
2017-09-20;94.65;95.05;93.15;94.0;2204
2017-09-19;94.5;94.65;93.15;94.65;481
2017-09-18;94.25;94.7;93.55;94.5;4173
2017-09-15;94.8;95.3;94.0;94.2;1810
2017-09-14;94.9;95.0;94.5;94.8;4749
2017-09-13;94.0;95.35;94.0;95.1;3987
2017-09-12;94.7;95.1;94.5;94.9;3009
2017-09-11;93.1;94.8;93.1;94.5;3519
2017-09-08;92.55;93.3;92.0;92.4;3225
2017-09-07;91.4;92.55;91.4;92.55;1322
2017-09-06;91.15;91.5;90.6;91.4;3863
2017-09-04;92.5;92.5;91.45;91.8;2191
2017-09-01;92.9;93.35;92.5;93.0;4275
2017-08-31;93.65;93.65;92.5;92.9;3512
2017-08-30;92.55;93.65;92.3;93.65;2131
2017-08-29;92.75;92.9;91.35;91.9;2183
2017-08-28;93.9;93.9;92.35;93.2;761
2017-08-25;94.5;94.5;93.35;93.95;1238
2017-08-24;94.3;94.65;93.8;94.65;1864
2017-08-23;94.55;94.9;93.25;94.3;4605
2017-08-22;94.7;94.95;94.1;94.15;1290
2017-08-21;95.0;95.15;94.2;94.25;2323
2017-08-18;95.05;95.25;93.75;95.0;1865
2017-08-17;95.65;96.0;95.0;95.05;703
2017-08-16;95.95;96.1;95.0;95.65;2748
2017-08-15;97.6;97.6;95.5;96.0;3609
2017-08-14;95.0;97.7;95.0;97.7;3889
2017-08-11;96.75;96.75;94.85;95.6;7156
2017-08-10;98.0;98.35;97.0;97.25;3511
2017-08-09;98.4;99.3;98.0;98.8;21481
2017-08-08;98.0;99.0;98.0;98.95;2960
2017-08-07;97.8;98.4;97.4;98.0;4349
2017-08-04;97.2;97.7;96.5;97.7;3097
2017-08-03;97.0;97.45;95.8;97.1;5516
2017-08-02;97.35;97.5;96.0;97.3;10726
2017-08-01;95.6;97.35;95.6;97.35;1831
2017-07-31;96.0;97.1;95.95;96.25;2450
2017-07-28;97.4;97.4;95.05;96.0;1744
2017-07-27;96.3;98.2;96.3;97.45;2996
2017-07-26;96.4;97.25;95.4;96.3;5381
2017-07-25;96.5;97.0;95.65;96.6;4707
2017-07-24;98.05;98.05;96.5;97.25;1228
2017-07-21;99.45;99.5;97.55;98.05;5348
2017-07-20;100.7;100.7;98.2;99.5;7833
2017-07-19;95.95;102.0;95.95;100.8;35585
2017-07-18;95.3;96.5;93.95;95.15;2932
2017-07-17;93.45;95.95;93.0;95.95;6475
2017-07-14;94.5;94.5;93.0;93.45;518
2017-07-13;92.9;94.7;92.2;94.55;6501
2017-07-12;91.4;92.95;90.55;92.9;1603
2017-07-11;92.95;92.95;90.25;91.6;9194
2017-07-10;91.9;92.95;91.45;92.95;1035
2017-07-07;89.1;91.8;89.1;91.45;2835
2017-07-06;91.0;91.65;89.65;90.55;1410
2017-07-05;90.5;91.9;89.15;91.0;2971
2017-07-04;92.0;92.5;89.05;90.5;4043
2017-07-03;90.75;93.45;90.75;91.3;3864
2017-06-30;90.5;92.6;90.15;90.7;3522
2017-06-29;92.6;92.6;90.25;91.0;4442
