Dates;Open;High;Low;Close;Volume
2017-12-27;260.0;260.0;255.0;255.5;7071
2017-12-22;259.0;260.9;257.2;259.0;1442
2017-12-21;259.0;260.4;257.0;259.2;7720
2017-12-20;264.9;264.9;257.0;257.0;9218
2017-12-19;259.8;262.7;258.6;260.6;1186
2017-12-18;259.8;262.9;259.8;261.2;6819
2017-12-15;263.0;264.8;256.5;260.4;8699
2017-12-14;265.0;267.5;262.3;262.6;6902
2017-12-13;259.5;267.3;259.5;266.5;18339
2017-12-12;265.9;266.0;258.6;260.4;12565
2017-12-11;267.0;268.7;264.8;265.0;5644
2017-12-08;265.0;268.4;265.0;266.0;14001
2017-12-07;262.1;264.3;259.3;262.0;14785
2017-12-06;264.2;264.9;260.0;262.0;1764
2017-12-05;263.8;264.4;261.2;263.1;4126
2017-12-04;265.0;265.0;258.7;264.0;5015
2017-12-01;262.3;262.3;259.1;261.1;3519
2017-11-30;259.9;260.6;255.9;260.6;7301
2017-11-29;264.6;264.6;257.4;257.4;2451
2017-11-28;258.4;261.4;258.0;261.3;5293
2017-11-27;260.7;260.7;257.7;258.1;5603
2017-11-24;258.0;261.2;258.0;260.9;1719
2017-11-23;260.5;260.5;257.9;259.4;5102
2017-11-22;261.9;263.3;261.2;262.7;3155
2017-11-21;262.0;263.3;261.5;261.9;1451
2017-11-20;261.4;263.4;258.4;263.2;13243
2017-11-17;265.7;265.8;260.9;261.4;14131
2017-11-16;261.0;265.1;261.0;264.0;6049
2017-11-15;261.3;264.0;261.2;263.0;5742
2017-11-14;257.8;262.3;257.4;261.2;10389
2017-11-13;257.5;257.5;253.5;256.1;7434
2017-11-10;255.9;257.0;253.2;257.0;5128
2017-11-09;257.1;257.5;253.4;254.2;6784
2017-11-08;260.0;260.0;256.1;257.0;8684
2017-11-07;259.3;259.7;256.0;257.0;16670
2017-11-06;262.1;262.1;258.8;260.3;12313
2017-11-03;258.0;258.7;256.7;258.5;1574
2017-11-02;259.0;259.1;256.7;257.1;2724
2017-11-01;255.7;260.9;255.7;258.9;8243
2017-10-31;256.7;257.0;255.0;255.6;7247
2017-10-30;259.0;259.0;256.2;256.4;3324
2017-10-27;262.0;262.0;257.8;258.8;6411
2017-10-26;256.9;260.7;255.0;259.6;17239
2017-10-25;265.0;265.0;256.9;257.4;8054
2017-10-24;270.3;273.0;259.3;263.1;17774
