Dates;Open;High;Low;Close;Volume
2017-12-27;193.0;194.7;191.4;192.9;427909
2017-12-22;194.8;195.4;192.5;193.0;665264
2017-12-21;196.2;197.2;194.3;195.0;663794
2017-12-20;195.3;197.5;195.3;196.6;570082
2017-12-19;197.4;197.7;195.2;195.7;592182
2017-12-18;195.7;197.4;195.0;197.4;998599
2017-12-15;194.0;194.9;192.2;194.6;644311
2017-12-14;193.9;196.5;193.2;194.7;510840
2017-12-13;195.1;195.9;193.3;194.2;563465
2017-12-12;196.0;197.1;193.8;195.9;492517
2017-12-11;195.3;196.9;195.0;196.0;489070
2017-12-08;196.0;197.3;194.4;195.5;587979
2017-12-07;196.8;198.6;195.3;195.6;299379
2017-12-06;197.0;197.7;195.0;197.1;460911
2017-12-05;198.9;199.8;197.7;198.3;599340
2017-12-04;198.4;201.6;198.1;199.8;383104
2017-12-01;201.0;201.1;197.2;197.6;828098
2017-11-30;201.6;201.9;199.9;201.0;564199
2017-11-29;203.1;204.2;201.3;201.4;447570
2017-11-28;201.8;204.3;201.0;202.4;767053
2017-11-27;201.4;203.35;201.0;201.6;529787
2017-11-24;201.1;202.4;201.0;201.8;251422
2017-11-23;201.0;201.8;199.7;201.1;514529
2017-11-22;204.5;204.8;200.8;200.9;382391
2017-11-21;202.0;205.0;201.6;204.2;418980
2017-11-20;200.0;203.0;199.1;202.6;525866
2017-11-17;200.1;202.3;199.4;200.2;699981
2017-11-16;199.4;199.7;197.8;199.6;628657
2017-11-15;201.2;201.7;198.4;199.2;726660
2017-11-14;201.3;203.9;201.1;202.1;519985
2017-11-13;202.0;202.3;199.9;201.1;509342
2017-11-10;203.1;204.4;201.6;201.9;612246
2017-11-09;205.1;205.7;202.9;203.1;711344
2017-11-08;207.7;208.0;203.5;204.7;746177
2017-11-07;209.1;209.4;207.3;207.7;461275
2017-11-06;210.6;211.2;208.5;209.2;454628
2017-11-03;209.3;212.4;209.3;210.7;396270
2017-11-02;208.4;209.3;207.5;208.8;546476
2017-11-01;207.8;211.0;207.7;208.1;730987
2017-10-31;207.0;208.7;206.5;207.4;533699
2017-10-30;210.4;210.4;206.5;206.8;1175898
2017-10-27;211.0;211.9;208.0;210.4;1747135
2017-10-26;207.2;208.2;205.4;208.2;709163
2017-10-25;205.1;207.7;203.9;206.3;639449
2017-10-24;205.5;206.1;203.7;205.5;635170
2017-10-23;205.3;206.3;204.7;205.7;608315
2017-10-20;203.1;206.8;203.0;205.2;1041776
2017-10-19;203.0;203.0;200.5;202.1;556367
2017-10-18;201.9;204.1;201.1;202.5;641882
2017-10-17;202.3;202.3;199.5;202.0;1010803
2017-10-13;202.1;203.4;201.8;203.1;513882
