Dates;Open;High;Low;Close;Volume
2017-12-27;76.8;77.65;76.45;77.5;329824
2017-12-22;77.6;77.6;76.5;76.8;245393
2017-12-21;77.95;77.95;76.5;77.6;459200
2017-12-20;77.9;78.1;77.35;77.85;333317
2017-12-19;78.35;78.45;77.7;77.9;265678
2017-12-18;77.65;78.6;77.65;78.4;330237
2017-12-15;77.75;78.45;77.3;77.8;633073
2017-12-14;78.1;78.5;77.6;77.95;224659
2017-12-13;78.25;78.3;77.5;78.2;304906
2017-12-12;78.7;78.8;78.1;78.25;244850
2017-12-11;78.4;78.9;77.7;78.7;374764
2017-12-08;78.4;79.15;78.0;78.7;398373
2017-12-07;77.3;78.3;77.2;78.3;310338
2017-12-06;78.15;78.15;77.1;77.45;185090
2017-12-05;78.0;78.45;77.75;78.25;256293
2017-12-04;77.3;78.3;77.0;77.9;289128
2017-12-01;77.75;78.2;76.55;77.35;264387
2017-11-30;77.45;77.75;76.7;77.75;779720
2017-11-29;77.8;78.1;77.25;77.4;254223
2017-11-28;78.3;78.3;77.45;77.75;345965
2017-11-27;78.25;78.5;78.0;78.1;249712
2017-11-24;77.85;79.1;77.85;78.2;242853
2017-11-23;76.75;77.85;76.7;77.75;211232
2017-11-22;77.55;77.95;76.6;76.85;236183
2017-11-21;76.4;78.25;76.1;77.85;399510
2017-11-20;78.15;78.25;76.3;76.5;261692
2017-11-17;80.0;80.0;78.25;78.45;185683
2017-11-16;78.65;80.0;78.25;79.95;287071
2017-11-15;78.5;78.55;77.8;78.55;381828
2017-11-14;77.25;78.7;77.15;78.55;212513
2017-11-13;77.8;77.8;76.1;77.2;282726
2017-11-10;78.0;78.35;77.5;77.8;123151
2017-11-09;78.9;79.0;78.05;78.2;167361
2017-11-08;79.05;79.6;78.7;79.1;210838
2017-11-07;78.9;79.3;78.25;79.0;188933
2017-11-06;79.2;79.7;78.6;79.05;189160
2017-11-03;79.05;79.7;79.0;79.3;142427
2017-11-02;78.75;79.25;78.7;79.0;206845
2017-11-01;77.85;78.9;77.85;78.7;232098
2017-10-31;77.55;78.35;77.5;78.2;233617
2017-10-30;77.4;77.8;77.15;77.5;223035
2017-10-27;76.95;77.95;76.95;77.5;626304
2017-10-26;77.6;77.75;76.45;77.5;389060
2017-10-25;78.35;78.75;77.8;77.95;213432
2017-10-24;80.75;81.0;78.6;78.8;424479
2017-10-23;81.0;81.25;80.5;80.65;149279
2017-10-20;82.3;82.45;81.3;81.45;171019
2017-10-19;83.0;83.15;82.05;82.25;272023
2017-10-18;80.9;83.65;80.9;82.85;377973
2017-10-17;81.8;81.95;81.2;81.8;142436
2017-10-13;83.0;83.0;81.8;82.2;213511
2017-10-12;82.65;83.6;82.5;83.05;304434
2017-10-11;82.4;82.75;82.1;82.65;828674
2017-10-10;81.35;82.6;81.25;82.5;293242
2017-10-09;80.75;81.85;80.65;81.35;235731
2017-10-06;81.05;81.35;80.5;80.75;301044
2017-10-05;80.6;81.25;80.6;81.05;148759
2017-10-04;80.35;80.95;80.35;80.85;170866
2017-10-03;80.85;81.15;80.35;80.6;234735
2017-10-02;81.1;81.25;80.8;80.8;126057
2017-09-29;79.95;81.1;79.85;81.1;286375
2017-09-28;79.6;79.95;79.3;79.95;136993
2017-09-27;80.3;80.5;79.55;79.6;139666
2017-09-26;80.35;80.85;80.2;80.4;115604
2017-09-25;80.7;80.75;80.15;80.35;228807
2017-09-22;80.25;80.85;80.2;80.7;215944
2017-09-21;80.35;80.5;79.6;80.2;172067
2017-09-20;80.3;80.5;79.95;80.25;158944
2017-09-19;80.55;81.25;80.2;80.35;286429
2017-09-18;81.0;81.35;80.45;80.55;208307
2017-09-15;80.45;81.25;80.35;80.75;686295
2017-09-14;80.5;80.5;79.6;80.45;241581
2017-09-13;80.65;80.95;79.8;80.7;355795
2017-09-12;80.6;81.3;80.45;80.65;224284
2017-09-11;79.4;80.75;79.25;80.6;266902
2017-09-08;79.75;80.05;79.55;79.75;226634
2017-09-07;79.2;79.85;79.0;79.75;302132
2017-09-06;78.85;79.35;78.35;79.2;297222
2017-09-04;80.4;80.6;79.8;80.0;150274
2017-09-01;81.0;81.2;80.8;81.05;130825
2017-08-31;80.45;80.95;80.4;80.95;339297
2017-08-30;80.0;80.75;80.0;80.1;143353
2017-08-29;79.85;80.1;78.8;79.85;165851
2017-08-28;79.7;80.45;79.5;80.0;116112
2017-08-25;79.5;80.3;79.3;79.8;269788
2017-08-24;80.1;80.6;79.8;79.8;187015
2017-08-23;80.1;80.7;79.8;80.2;152564
2017-08-22;80.2;80.4;79.85;80.3;124872
2017-08-21;79.45;80.2;79.25;79.7;186073
2017-08-18;79.8;80.3;79.35;79.4;228931
2017-08-17;80.45;80.45;79.7;80.25;184679
2017-08-16;80.5;80.7;80.05;80.4;218959
2017-08-15;81.35;82.05;79.4;80.45;363865
2017-08-14;80.4;81.6;80.4;81.3;394174
2017-08-11;83.05;83.55;80.3;80.3;458696
2017-08-10;84.25;84.25;83.1;83.9;245799
2017-08-09;85.0;85.0;83.95;84.1;134028
2017-08-08;84.45;84.7;84.05;84.7;137620
2017-08-07;84.05;84.45;83.85;84.45;100240
2017-08-04;84.3;84.55;83.95;84.35;121801
2017-08-03;83.95;84.55;83.65;84.3;222520
2017-08-02;83.35;84.5;83.3;83.95;160326
2017-08-01;82.1;83.35;81.75;83.35;120163
2017-07-31;82.35;83.0;82.05;82.2;117977
2017-07-28;84.25;84.25;82.2;82.35;145644
2017-07-27;83.2;84.35;83.2;83.7;119743
2017-07-26;83.05;83.65;82.55;83.05;161971
2017-07-25;82.95;83.3;82.8;83.05;78329
2017-07-24;82.15;83.2;82.05;82.85;228609
2017-07-21;82.35;82.6;81.8;82.35;124310
2017-07-20;81.9;82.95;81.8;82.4;119520
2017-07-19;82.0;82.2;81.3;81.95;123154
2017-07-18;81.6;82.3;81.15;81.8;167966
2017-07-17;82.35;82.5;81.15;81.6;109116
2017-07-14;81.05;82.35;80.7;82.35;147538
2017-07-13;81.2;81.35;80.45;81.0;226676
2017-07-12;80.6;81.9;80.3;81.4;149240
2017-07-11;81.3;81.3;80.05;80.55;131886
2017-07-10;80.9;81.7;80.9;81.3;140062
2017-07-07;79.75;80.8;79.5;80.8;162558
2017-07-06;81.05;81.5;79.2;79.75;152490
2017-07-05;81.1;81.35;80.0;80.9;154551
2017-07-04;81.1;81.45;80.35;81.05;129516
2017-07-03;81.15;82.2;80.6;80.95;190535
2017-06-30;80.25;81.15;79.55;81.15;401447
2017-06-29;81.0;81.5;79.85;80.25;241567
2017-06-28;81.95;81.95;80.8;81.0;327272
2017-06-27;82.9;83.05;81.9;81.95;191635
2017-06-26;83.05;83.75;82.65;83.0;247588
2017-06-23;;83.35;83.35;83.35;0
2017-06-22;83.65;83.75;83.05;83.35;160918
2017-06-21;84.05;84.1;83.05;83.6;219086
2017-06-20;84.85;84.85;83.7;84.05;257238
2017-06-19;85.15;85.55;84.65;84.95;224118
2017-06-16;83.75;85.45;83.25;85.45;1226273
2017-06-15;84.5;85.0;83.45;83.8;367552
2017-06-14;84.05;84.65;84.05;84.25;285399
2017-06-13;83.25;84.8;83.15;83.9;232058
2017-06-12;84.5;84.85;83.25;83.4;213549
2017-06-09;84.1;85.0;83.25;85.0;241411
2017-06-08;85.2;85.75;83.95;84.05;306811
2017-06-07;84.5;85.4;84.1;85.1;450020
2017-06-06;;84.25;84.25;84.25;0
2017-06-05;83.7;84.7;83.5;84.25;227199
2017-06-02;83.0;83.5;82.75;83.5;209508
2017-06-01;81.1;82.95;81.1;82.7;272653
2017-05-31;81.9;82.2;81.1;81.35;430785
2017-05-30;80.7;81.75;80.5;81.7;193326
2017-05-29;80.95;81.35;80.35;80.7;164896
2017-05-26;80.25;81.35;80.2;80.95;204512
2017-05-24;79.4;80.75;79.25;80.75;167654
2017-05-23;80.0;80.0;78.9;79.35;172746
2017-05-22;78.65;79.8;78.65;79.65;175819
2017-05-19;78.05;79.05;78.05;78.5;253853
2017-05-18;79.95;79.95;77.45;78.0;330215
2017-05-17;80.2;80.25;79.6;79.95;251057
2017-05-16;79.05;80.35;79.05;80.3;223449
2017-05-15;79.9;80.1;79.5;79.7;203099
2017-05-12;79.55;79.85;79.85;79.85;201736
2017-05-11;78.5;79.55;78.4;79.55;190823
2017-05-10;78.75;78.8;78.3;78.4;487195
2017-05-09;78.0;79.1;77.95;78.85;464203
2017-05-08;77.4;78.3;77.4;78.0;630897
2017-05-05;76.8;77.55;76.3;77.55;634883
2017-05-04;77.0;77.25;76.35;76.7;236723
2017-05-03;76.65;76.8;76.1;76.6;272264
2017-05-02;75.5;76.95;75.4;76.95;345692
2017-05-01;;75.5;75.5;75.5;0
2017-04-28;76.3;76.75;75.35;75.5;305134
2017-04-27;75.6;76.3;74.6;76.05;444021
2017-04-26;77.25;77.25;75.45;76.0;301761
2017-04-25;75.3;77.0;75.05;77.0;248330
2017-04-24;75.45;75.7;75.0;75.3;149307
2017-04-21;75.5;75.5;74.9;74.95;197912
2017-04-20;76.0;76.0;75.2;75.55;249270
2017-04-19;75.9;76.1;75.2;76.0;229571
2017-04-18;74.8;76.1;74.2;76.0;352467
2017-04-13;74.0;74.8;73.8;74.8;69918
2017-04-12;73.0;74.3;72.9;74.3;260365
2017-04-11;73.35;73.75;73.15;73.5;130571
2017-04-10;73.2;73.45;72.75;73.35;154042
2017-04-07;71.8;73.35;71.8;73.35;227529
2017-04-06;72.1;72.4;71.7;72.2;125648
2017-04-05;71.65;72.2;71.4;72.1;194494
2017-04-04;71.65;72.15;71.3;71.45;260899
2017-04-03;72.0;72.0;71.5;71.65;232000
2017-03-31;70.8;72.55;70.7;72.25;292628
2017-03-30;71.7;71.7;70.55;70.8;152330
2017-03-29;70.3;71.45;70.3;71.45;169445
2017-03-28;70.2;70.45;69.8;70.2;163360
2017-03-27;70.75;70.75;70.0;70.15;164558
2017-03-24;70.7;71.0;70.5;70.75;150927
2017-03-23;70.2;70.85;70.1;70.6;177681
2017-03-22;71.25;71.25;70.05;70.1;279075
2017-03-21;71.9;72.0;71.2;71.2;190123
2017-03-20;71.75;72.0;71.6;71.7;180370
2017-03-17;71.0;71.85;70.9;71.75;290464
2017-03-16;70.4;71.3;70.35;71.3;389860
2017-03-15;70.75;70.75;70.15;70.4;261563
2017-03-14;70.5;70.8;70.2;70.8;348135
2017-03-13;71.1;71.15;70.4;70.7;386971
2017-03-10;71.0;70.8;70.8;70.8;630182
2017-03-09;70.85;71.15;70.25;70.8;278257
2017-03-08;71.75;71.8;70.7;70.85;476593
2017-03-07;72.5;72.55;71.6;71.65;714363
2017-03-06;72.65;72.95;72.1;72.65;221626
2017-03-03;73.3;72.65;72.65;72.65;282914
2017-03-02;73.5;73.5;72.5;73.25;477920
2017-03-01;73.6;73.8;73.0;73.45;271088
2017-02-28;73.3;73.85;72.85;73.85;509431
2017-02-27;74.45;74.5;73.1;73.2;398436
2017-02-24;74.85;75.35;74.3;74.5;599608
2017-02-23;72.3;74.75;72.3;74.65;679820
2017-02-22;73.0;74.4;72.95;73.6;480776
2017-02-21;72.8;72.9;72.4;72.85;211920
2017-02-20;72.7;73.0;72.5;72.6;198329
2017-02-17;72.45;72.85;72.3;72.55;208485
2017-02-16;72.2;72.5;71.8;72.45;259909
2017-02-15;71.75;72.35;71.5;72.2;206747
2017-02-14;70.6;71.6;70.45;71.55;141773
2017-02-13;70.7;70.95;70.4;70.75;228476
2017-02-10;71.25;71.35;70.45;70.7;306852
2017-02-09;71.0;71.65;70.85;71.0;163563
2017-02-08;70.2;71.55;70.0;71.45;268210
2017-02-07;69.55;70.45;69.55;70.0;444586
2017-02-06;69.6;69.8;69.2;69.55;124453
2017-02-03;69.2;69.7;69.2;69.6;139638
2017-02-02;69.5;69.5;68.75;69.4;170940
2017-02-01;68.9;69.45;68.55;69.05;179408
2017-01-31;68.0;68.7;68.0;68.7;153931
2017-01-30;68.2;68.4;67.9;68.15;190360
2017-01-27;68.75;68.75;68.0;68.5;172395
2017-01-26;68.3;68.9;68.15;68.45;235824
2017-01-25;68.15;68.8;68.15;68.5;295309
2017-01-24;67.85;68.75;67.75;68.4;199486
2017-01-23;67.5;67.9;67.25;67.8;171380
2017-01-20;67.45;68.1;67.3;67.5;205496
2017-01-19;67.85;67.9;67.1;67.5;293046
2017-01-18;67.6;68.05;67.35;68.0;164350
2017-01-17;68.0;68.1;67.1;67.65;330497
2017-01-16;67.65;68.1;67.4;68.0;138810
2017-01-13;67.5;68.0;67.5;67.75;377911
2017-01-12;67.75;68.65;67.0;67.55;422334
2017-01-11;69.25;69.25;68.1;68.75;198648
2017-01-10;69.2;69.25;68.4;68.75;187611
2017-01-09;69.05;69.5;68.5;69.0;235435
2017-01-06;;69.05;69.05;69.05;0
2017-01-05;69.95;70.2;69.05;69.05;141354
2017-01-04;69.55;70.0;69.2;70.0;333153
2017-01-03;71.0;71.8;69.5;69.55;281096
2017-01-02;70.9;71.55;70.6;71.25;202217
2016-12-30;69.35;70.9;69.2;70.9;270407
2016-12-29;68.85;70.05;68.65;69.7;316724
2016-12-28;68.9;69.4;68.5;68.9;256001
2016-12-27;68.0;69.5;68.0;68.9;118853
2016-12-23;67.9;68.85;67.6;68.35;121426
2016-12-22;68.85;68.85;67.7;67.9;159067
2016-12-21;67.8;68.65;67.6;68.5;274040
2016-12-20;68.7;68.95;67.95;68.1;224842
2016-12-19;66.55;68.85;66.55;68.7;397696
2016-12-16;67.1;67.35;66.55;66.8;547689
2016-12-15;67.8;67.8;66.8;66.95;564602
2016-12-14;67.5;68.4;67.2;68.15;693511
2016-12-13;66.5;67.65;66.4;67.5;270337
2016-12-12;67.75;67.75;66.3;66.55;438481
2016-12-09;66.9;68.4;66.85;67.8;459563
2016-12-08;66.9;67.45;66.0;66.9;956846
2016-12-07;67.05;67.7;66.65;66.9;397675
2016-12-06;66.25;67.05;66.2;67.0;380135
2016-12-05;66.6;67.15;66.3;66.5;207856
2016-12-02;66.6;67.0;66.2;66.6;493211
2016-12-01;67.55;67.75;66.65;66.8;397566
2016-11-30;68.0;68.5;67.1;67.1;1145013
2016-11-29;67.8;68.15;67.45;68.0;307531
2016-11-28;68.0;68.05;67.1;67.85;276089
2016-11-25;67.25;67.75;66.85;67.75;143679
2016-11-24;67.4;67.75;66.8;67.25;270294
2016-11-23;66.35;68.3;66.0;67.1;477483
