Dates;Open;High;Low;Close;Volume
2017-12-27;181.9;184.1;181.0;182.6;87391
2017-12-22;180.7;181.9;178.9;181.4;87794
2017-12-21;178.9;180.8;176.7;180.5;161871
2017-12-20;174.0;179.2;174.0;178.9;92238
2017-12-19;173.6;177.9;173.4;176.6;193160
2017-12-18;170.5;174.6;170.5;173.6;64107
2017-12-15;172.1;172.3;170.8;171.7;51286
2017-12-14;174.2;174.7;172.1;172.7;37196
2017-12-13;174.3;175.0;172.6;174.2;30959
2017-12-12;172.8;174.2;172.7;174.1;58068
2017-12-11;173.0;174.7;171.2;172.8;111374
2017-12-08;176.4;176.5;173.6;174.9;63704
2017-12-07;177.9;179.4;176.0;176.8;37992
2017-12-06;179.9;179.9;176.7;178.3;72118
2017-12-05;178.4;180.9;177.6;179.8;137407
2017-12-04;175.9;178.8;174.3;178.8;94179
2017-12-01;175.7;176.3;175.0;175.0;94122
2017-11-30;174.3;177.2;172.9;175.0;99462
2017-11-29;177.9;178.6;174.0;174.1;69470
2017-11-28;175.6;178.6;174.2;177.9;61810
2017-11-27;177.7;178.0;175.1;175.1;65272
2017-11-24;180.5;181.1;177.5;177.7;53770
2017-11-23;182.9;182.9;179.0;179.8;60176
2017-11-22;181.0;183.9;180.6;182.9;332927
2017-11-21;179.6;180.5;178.9;180.5;244705
2017-11-20;176.6;182.2;176.3;179.9;222678
2017-11-17;179.9;181.4;176.5;176.5;139253
2017-11-16;177.2;179.4;175.8;178.8;152848
2017-11-15;174.3;176.7;171.2;176.5;140934
2017-11-14;176.2;176.9;173.5;174.1;90079
2017-11-13;175.5;176.8;174.2;176.5;175978
2017-11-10;177.0;177.0;173.1;175.0;197489
2017-11-09;172.5;177.8;172.5;177.0;483187
2017-11-08;168.7;169.9;166.3;169.1;140024
2017-11-07;170.0;170.9;167.6;168.0;151610
2017-11-06;172.6;173.3;168.6;169.6;183460
2017-11-03;172.1;173.6;171.4;173.0;66379
2017-11-02;172.5;173.6;170.9;172.0;98936
2017-11-01;173.5;175.5;171.7;172.4;172693
2017-10-31;174.1;175.1;171.6;172.5;157203
2017-10-30;176.0;177.4;173.4;173.8;116883
2017-10-27;177.4;180.0;175.5;176.4;241256
2017-10-26;175.0;177.0;174.2;176.7;146516
2017-10-25;178.0;178.0;173.2;174.4;166894
2017-10-24;173.0;178.0;172.5;177.2;292293
2017-10-23;189.6;192.0;168.2;172.8;667724
2017-10-20;188.1;190.4;188.1;189.4;66242
2017-10-19;189.4;190.0;188.3;189.0;92084
2017-10-18;189.5;191.0;188.7;189.4;63823
2017-10-17;192.0;192.0;189.5;190.4;40931
2017-10-13;192.9;196.7;192.2;194.3;143013
2017-10-12;193.0;193.3;191.2;193.0;32895
2017-10-11;191.1;193.0;190.4;192.7;38617
2017-10-10;190.7;192.0;190.1;190.9;54298
2017-10-09;189.7;191.1;187.8;190.8;50696
2017-10-06;191.6;192.6;189.4;189.7;43899
2017-10-05;193.6;193.7;190.4;191.6;39737
2017-10-04;191.1;193.5;190.6;193.5;387886
2017-10-03;193.7;193.7;190.2;190.9;41925
2017-10-02;190.1;193.8;190.1;192.9;165975
2017-09-29;189.3;190.2;187.6;190.2;70387
2017-09-28;184.3;189.7;184.3;189.4;64012
2017-09-27;184.0;184.6;183.0;184.3;30858
2017-09-26;183.0;184.6;182.0;184.6;38076
2017-09-25;181.9;183.1;180.7;183.1;114734
2017-09-22;179.9;182.3;179.2;182.3;67119
2017-09-21;181.4;182.2;178.6;180.0;98720
2017-09-20;180.4;182.0;180.4;181.4;42315
2017-09-19;180.5;181.4;179.5;180.7;48485
2017-09-18;180.0;182.5;179.0;180.4;82399
2017-09-15;181.0;182.6;178.0;180.4;97939
2017-09-14;182.0;182.8;180.5;181.0;92212
2017-09-13;180.4;182.8;179.4;182.4;54410
2017-09-12;180.4;181.4;178.5;179.3;41613
2017-09-11;179.0;182.8;178.7;180.1;50622
2017-09-08;177.2;179.7;177.2;179.1;36713
2017-09-07;176.6;180.5;176.2;178.9;63199
2017-09-06;176.8;178.4;175.0;177.8;58783
2017-09-04;175.5;175.5;171.9;172.5;153812
2017-09-01;174.0;177.6;173.5;176.0;53747
2017-08-31;169.7;174.2;169.7;173.4;55034
2017-08-30;169.0;173.1;169.0;172.2;52926
2017-08-29;168.3;170.5;167.8;169.0;45566
2017-08-28;170.7;173.4;170.1;171.1;30740
2017-08-25;173.1;173.6;170.7;170.8;42744
2017-08-24;170.1;173.1;170.1;172.1;37958
2017-08-23;171.3;174.0;170.0;170.0;58438
2017-08-22;168.7;171.6;168.7;171.3;104253
2017-08-21;170.4;170.8;168.1;168.3;29469
2017-08-18;171.5;171.5;169.3;170.4;38363
2017-08-17;170.0;172.5;170.0;171.8;29533
2017-08-16;171.0;173.1;170.7;171.5;37219
2017-08-15;172.3;173.3;170.1;170.9;31103
2017-08-14;170.0;173.4;170.0;173.3;34712
2017-08-11;173.7;173.7;170.3;170.9;26017
2017-08-10;174.5;174.5;171.7;173.6;43087
2017-08-09;176.5;176.5;174.3;174.5;27030
2017-08-08;175.8;177.5;175.4;176.5;29670
2017-08-07;178.0;178.4;174.4;175.8;44777
2017-08-04;176.7;178.7;176.0;177.7;26721
2017-08-03;177.1;179.0;176.2;177.1;45267
2017-08-02;179.0;179.6;177.2;177.5;27751
2017-08-01;176.9;179.1;176.9;178.8;31802
2017-07-31;175.3;177.5;173.6;176.9;65792
2017-07-28;179.5;179.5;175.7;176.0;26111
2017-07-27;176.3;179.6;176.3;178.7;34727
2017-07-26;177.5;178.6;175.3;176.5;54739
2017-07-25;176.8;179.0;176.6;177.4;33997
2017-07-24;178.9;180.2;176.0;176.8;29114
2017-07-21;181.5;181.5;178.0;178.9;46666
2017-07-20;180.5;181.5;179.7;180.1;31481
2017-07-19;178.8;180.3;177.2;179.5;44683
2017-07-18;179.7;179.9;177.6;178.4;81349
2017-07-17;179.6;181.6;179.2;179.7;58143
2017-07-14;178.9;180.7;177.6;179.6;106341
2017-07-13;177.2;178.2;171.6;178.2;131226
2017-07-12;174.0;176.0;173.1;176.0;57633
2017-07-11;174.7;175.9;173.7;173.7;77055
2017-07-10;174.7;175.0;172.5;174.4;28941
2017-07-07;170.0;173.3;169.1;172.7;37574
2017-07-06;173.9;175.0;170.5;172.1;34831
2017-07-05;174.0;174.2;171.6;173.9;29251
2017-07-04;176.0;176.0;172.0;172.8;54252
2017-07-03;174.1;175.8;173.4;175.0;57875
2017-06-30;173.0;175.1;171.1;174.1;102568
2017-06-29;175.2;176.0;172.2;173.0;62319
2017-06-28;178.5;178.5;174.4;175.2;62664
2017-06-27;180.5;180.5;177.0;178.2;58272
2017-06-26;180.0;182.4;179.1;180.7;116764
2017-06-23;;180.0;180.0;180.0;0
2017-06-22;180.3;180.9;178.4;180.0;41299
2017-06-21;180.2;181.2;178.7;180.3;48259
2017-06-20;183.0;183.0;180.1;180.1;71784
2017-06-19;183.0;183.5;180.0;182.2;51640
2017-06-16;178.7;182.6;178.7;182.6;390414
2017-06-15;183.9;183.9;176.6;178.2;93312
2017-06-14;180.6;183.4;180.5;182.2;59493
2017-06-13;180.3;181.9;179.6;180.6;39217
2017-06-12;185.0;185.0;178.5;181.2;60932
2017-06-09;184.3;185.2;181.7;184.3;71356
2017-06-08;183.6;185.5;181.6;183.4;101593
2017-06-07;183.5;184.9;180.8;181.2;56434
2017-06-06;;182.1;182.1;182.1;0
2017-06-05;183.5;183.9;181.3;182.1;32170
2017-06-02;179.0;183.2;179.0;182.0;72428
2017-06-01;180.6;181.8;179.2;179.5;104130
2017-05-31;181.6;181.9;179.9;180.9;67507
2017-05-30;180.1;181.1;178.6;180.5;76320
2017-05-29;180.0;182.0;179.0;180.1;34870
2017-05-26;182.0;182.0;179.0;179.8;78218
2017-05-24;179.0;181.9;178.4;181.3;47648
2017-05-23;178.3;178.3;175.8;177.6;48469
2017-05-22;178.3;178.3;175.0;177.2;50113
2017-05-19;177.0;178.3;174.8;177.2;270956
2017-05-18;178.3;178.5;172.9;177.1;171202
2017-05-17;182.5;182.5;176.6;178.4;99132
2017-05-16;182.0;184.1;181.6;182.0;52272
2017-05-15;184.0;185.3;181.4;182.0;146818
2017-05-12;185.0;184.1;184.1;184.1;68967
2017-05-11;187.0;187.0;184.0;184.7;49942
2017-05-10;187.6;187.6;184.8;186.0;60477
2017-05-09;181.1;188.2;181.1;187.7;190653
2017-05-08;186.5;186.6;181.6;182.3;64018
2017-05-05;185.0;185.0;182.4;183.9;73454
2017-05-04;185.0;186.3;184.0;185.0;124177
2017-05-03;186.8;186.8;178.7;184.0;180786
2017-05-02;186.4;188.7;186.0;186.8;97815
2017-05-01;;186.4;186.4;186.4;0
2017-04-28;184.0;186.5;184.0;186.4;68706
2017-04-27;183.0;185.1;181.3;183.6;102189
2017-04-26;184.0;184.0;180.2;183.0;149911
2017-04-25;192.0;193.0;185.8;185.8;134153
2017-04-24;190.5;191.5;188.5;190.0;80666
2017-04-21;191.0;192.9;190.3;191.1;23252
2017-04-20;193.1;194.0;190.4;191.4;42244
2017-04-19;189.6;193.8;189.6;193.1;41796
2017-04-18;190.2;191.0;188.1;189.6;50394
2017-04-13;188.7;190.2;187.2;189.9;17088
2017-04-12;190.0;190.4;187.9;189.4;52543
2017-04-11;189.0;191.7;186.6;187.6;256454
2017-04-10;187.0;189.0;186.1;188.6;57453
2017-04-07;186.0;188.0;183.5;187.0;55137
2017-04-06;187.3;188.6;185.0;185.9;209215
2017-04-05;186.9;188.5;185.0;187.3;55010
2017-04-04;184.3;187.7;184.3;186.5;60946
2017-04-03;185.0;189.0;183.8;186.7;82418
2017-03-31;186.7;186.7;183.6;185.2;54554
2017-03-30;187.0;187.0;184.0;186.2;52800
2017-03-29;188.0;188.8;185.0;186.0;47632
2017-03-28;181.0;188.0;181.0;187.5;100538
2017-03-27;182.0;182.0;179.8;181.0;24628
2017-03-24;180.4;183.4;180.4;182.7;89014
2017-03-23;179.7;181.1;179.3;181.1;92145
2017-03-22;181.4;181.4;177.2;179.6;57734
2017-03-21;183.6;184.4;180.6;181.4;29517
2017-03-20;184.0;184.5;182.4;183.5;31482
2017-03-17;183.0;185.1;182.5;184.1;37354
2017-03-16;182.0;182.8;180.1;182.5;31157
2017-03-15;181.0;182.5;180.3;181.9;23739
2017-03-14;182.4;182.4;180.0;180.8;61958
2017-03-13;183.0;183.8;181.3;182.4;41342
2017-03-10;185.0;182.2;182.2;182.2;32121
2017-03-09;183.7;183.8;181.0;182.5;37461
2017-03-08;185.0;185.0;181.6;183.7;51427
2017-03-07;181.5;185.6;180.5;183.3;70962
2017-03-06;183.0;183.3;179.3;181.5;58061
2017-03-03;186.7;181.8;181.8;181.8;48714
2017-03-02;183.5;185.5;183.3;184.9;49283
2017-03-01;182.5;184.5;181.0;183.8;92168
2017-02-28;181.0;182.5;180.8;181.9;50623
2017-02-27;181.7;182.0;180.1;180.9;45277
2017-02-24;184.7;185.0;179.5;181.0;48935
2017-02-23;183.0;184.8;182.6;183.8;50777
2017-02-22;182.5;183.0;181.2;182.2;113110
2017-02-21;183.8;183.8;181.0;182.4;67570
2017-02-20;184.9;184.9;182.6;183.3;125034
2017-02-17;190.4;190.4;183.6;183.9;65806
2017-02-16;185.0;188.0;183.3;186.6;166516
2017-02-15;182.7;190.0;182.7;183.9;170645
2017-02-14;177.5;181.7;177.5;181.3;46521
2017-02-13;181.0;181.6;177.5;178.6;52829
2017-02-10;178.5;179.8;176.5;178.5;35294
2017-02-09;177.5;178.9;177.0;178.5;31967
2017-02-08;180.3;181.6;176.6;177.5;59802
2017-02-07;175.9;180.9;174.9;180.0;72082
2017-02-06;175.0;177.0;174.0;175.1;89770
2017-02-03;172.0;177.5;171.1;175.0;113058
2017-02-02;174.5;175.0;172.9;173.5;47202
2017-02-01;174.9;175.0;172.7;173.8;57978
2017-01-31;174.0;174.9;172.9;174.6;129779
2017-01-30;172.2;174.8;171.6;173.8;61915
2017-01-27;169.8;172.8;169.8;172.2;50461
2017-01-26;170.2;171.9;170.1;171.3;63513
2017-01-25;164.3;174.5;164.3;171.0;198040
2017-01-24;162.8;164.2;162.6;164.1;55244
2017-01-23;162.5;163.3;162.0;162.8;39844
2017-01-20;161.0;163.5;161.0;163.0;107647
2017-01-19;164.0;164.0;162.4;163.3;113588
2017-01-18;160.3;164.3;158.8;163.8;274313
2017-01-17;161.0;161.9;160.0;160.3;53193
2017-01-16;161.0;163.5;160.6;161.7;39805
2017-01-13;162.3;163.7;161.6;161.9;70956
2017-01-12;162.7;162.7;161.5;162.0;70347
2017-01-11;161.1;164.3;161.1;162.0;160879
2017-01-10;161.5;164.0;160.4;161.1;53497
2017-01-09;163.5;164.6;161.1;162.8;50004
2017-01-06;;163.0;163.0;163.0;0
2017-01-05;166.0;166.0;163.0;163.0;28066
2017-01-04;169.0;169.0;165.0;166.0;48086
2017-01-03;167.1;168.9;165.6;167.5;72393
2017-01-02;167.0;168.9;167.0;167.1;26043
2016-12-30;168.0;168.0;165.0;167.0;14078
2016-12-29;167.0;168.5;166.0;167.0;9024
2016-12-28;169.0;169.5;167.0;168.5;22729
2016-12-27;168.0;170.5;167.0;169.0;28651
2016-12-23;165.0;169.0;165.0;168.0;17804
2016-12-22;166.0;168.0;165.0;166.5;66920
2016-12-21;168.0;168.5;166.0;167.0;18203
2016-12-20;170.0;171.5;168.0;168.0;94724
2016-12-19;169.5;172.0;169.5;171.0;78292
2016-12-16;174.0;175.0;169.0;171.0;80962
2016-12-15;170.5;173.5;168.5;172.5;94116
2016-12-14;170.0;171.5;168.0;171.5;112509
2016-12-13;163.0;170.0;163.0;169.0;58848
2016-12-12;164.0;167.5;162.5;163.0;137775
2016-12-09;164.5;166.0;161.0;163.5;92964
2016-12-08;159.0;164.0;159.0;161.5;72751
2016-12-07;161.0;161.0;157.5;159.5;166052
2016-12-06;159.0;160.5;157.0;158.5;45674
2016-12-05;157.0;161.0;157.0;159.0;52407
2016-12-02;156.0;157.5;155.0;157.0;68738
2016-12-01;161.0;161.0;156.0;157.5;155067
2016-11-30;159.0;161.0;158.5;161.0;76521
2016-11-29;161.0;161.0;157.5;159.0;169807
2016-11-28;162.0;162.0;160.0;161.0;51638
2016-11-25;163.5;163.5;160.0;161.0;82013
2016-11-24;165.5;167.5;162.5;163.5;53674
2016-11-23;168.5;171.0;165.0;165.0;41716
2016-11-22;165.0;170.0;165.0;168.5;64807
2016-11-21;165.0;166.5;164.5;165.0;84426
2016-11-18;164.0;166.0;163.0;164.5;66670
2016-11-17;163.5;166.0;162.0;164.5;82367
2016-11-16;165.0;167.0;164.0;165.0;42343
2016-11-15;165.0;168.0;163.5;165.0;67897
2016-11-14;163.0;168.5;163.0;165.0;69820
2016-11-11;165.0;166.5;162.5;164.0;51230
2016-11-10;163.5;169.5;163.0;163.5;86255
2016-11-09;161.0;167.0;160.0;164.0;79396
2016-11-08;166.5;167.0;162.5;167.0;64514
2016-11-07;161.0;166.0;160.5;165.0;83747
2016-11-04;160.5;162.0;160.5;160.5;32245
2016-11-03;160.0;163.5;160.0;160.5;47275
2016-11-02;162.0;163.0;159.0;161.5;67897
