Dates;Open;High;Low;Close;Volume
2017-12-27;177.0;178.0;173.0;173.0;1999
2017-12-22;180.0;180.0;175.0;176.5;1573
2017-12-21;177.0;180.0;177.0;179.5;2611
2017-12-20;170.5;177.0;170.5;177.0;17059
2017-12-19;168.0;175.0;166.5;172.5;3455
2017-12-18;178.0;178.0;169.0;171.0;7695
2017-12-15;173.0;178.0;172.5;172.5;3099
2017-12-14;166.0;175.0;164.0;172.5;25501
2017-12-13;163.5;165.5;163.5;164.5;566
2017-12-12;165.0;166.0;162.5;163.5;30804
2017-12-11;164.5;165.5;162.0;164.5;8183
2017-12-08;166.0;167.5;165.0;165.5;2473
2017-12-07;171.0;171.0;165.5;167.0;5751
2017-12-06;173.5;174.0;171.0;171.0;1202
2017-12-05;174.0;174.0;172.0;172.0;2613
2017-12-04;170.5;174.0;170.5;173.5;1356
2017-12-01;170.0;171.0;170.0;170.0;359
2017-11-30;170.5;173.5;170.0;170.0;1470
2017-11-29;169.5;172.0;169.0;171.0;3710
2017-11-28;166.5;170.5;164.5;169.5;5273
2017-11-27;167.0;167.0;164.0;164.0;3682
2017-11-24;166.5;166.5;163.0;163.5;1363
2017-11-23;164.5;166.0;163.5;164.0;2151
2017-11-22;165.0;166.0;165.0;166.0;507498
2017-11-21;165.0;166.5;163.0;165.0;4710
2017-11-20;161.0;165.0;161.0;165.0;2102
2017-11-17;161.5;162.5;161.0;161.0;4272
2017-11-16;161.0;164.0;160.0;161.5;3078
2017-11-15;166.5;166.5;161.0;161.0;9136
2017-11-14;167.5;169.0;166.0;166.0;4583
2017-11-13;166.0;168.0;166.0;167.5;4248
2017-11-10;166.5;166.5;166.0;166.0;6754
2017-11-09;163.0;168.0;163.0;166.0;10225
2017-11-08;167.0;167.5;163.0;165.0;14831
2017-11-07;166.0;169.0;165.0;167.0;1162
2017-11-06;166.0;167.5;164.5;165.0;14783
2017-11-03;166.25;166.5;166.25;166.5;500165
2017-11-02;164.5;168.0;164.5;167.5;1104
2017-11-01;165.0;168.0;164.0;165.0;5921
2017-10-31;163.5;165.0;163.0;165.0;818
2017-10-30;165.0;165.0;161.0;163.5;4633
2017-10-27;167.5;167.5;161.5;164.5;2519
2017-10-26;168.5;173.0;162.5;164.5;10249
2017-10-25;168.0;169.0;166.0;168.0;373808
2017-10-24;169.5;171.0;166.0;168.5;10016
2017-10-23;170.0;173.0;169.5;170.0;18698
2017-10-20;170.0;172.0;168.5;169.5;9326
2017-10-19;170.0;172.5;167.0;169.0;19317
2017-10-18;163.0;170.0;163.0;167.5;18393
2017-10-17;161.5;164.0;161.5;164.0;506
2017-10-13;162.0;164.5;162.0;163.0;748
2017-10-12;165.5;167.0;163.5;164.5;2374
2017-10-11;166.0;166.5;162.5;164.5;3629
2017-10-10;164.0;168.5;163.0;164.0;4038
2017-10-09;166.0;166.0;162.5;163.5;3812
2017-10-06;165.0;166.5;164.0;166.0;5042
2017-10-05;170.0;171.0;164.0;165.0;34494
2017-10-04;170.0;171.0;167.0;170.0;12162
2017-10-03;174.0;174.0;168.5;170.0;2108
2017-10-02;164.5;174.0;164.5;173.0;34755
2017-09-29;163.0;164.5;161.5;164.5;3832
2017-09-28;163.0;163.5;161.5;162.0;103551
2017-09-27;163.0;164.5;160.0;161.5;12681
2017-09-26;165.0;166.5;162.5;163.0;2898
2017-09-25;168.0;168.0;164.0;164.5;5566
2017-09-22;167.0;169.0;165.5;168.0;4216
2017-09-21;168.0;170.0;167.0;167.0;3222
2017-09-20;169.0;170.0;168.0;168.0;3132
2017-09-19;170.0;172.5;167.0;167.5;3765
2017-09-18;173.5;173.5;169.0;170.0;2585
2017-09-15;172.0;173.5;166.5;167.5;15478
2017-09-14;171.0;175.0;171.0;171.0;196848
2017-09-13;173.5;173.5;170.0;170.5;2882
2017-09-12;169.0;176.0;169.0;172.0;9338
2017-09-11;161.5;165.5;161.0;164.5;3459
2017-09-08;168.0;168.0;161.5;163.0;4162
2017-09-07;169.0;169.0;165.0;165.0;3983
2017-09-06;165.0;170.5;165.0;167.0;5298
2017-09-04;173.0;173.0;167.0;167.0;1495
2017-09-01;173.0;174.5;170.0;170.0;739
2017-08-31;171.0;173.5;170.0;170.0;2895
2017-08-30;167.5;172.0;167.5;170.5;3784
2017-08-29;168.0;168.0;163.0;167.0;758
2017-08-28;169.0;170.5;166.0;168.0;1529
2017-08-25;168.0;171.0;165.5;166.0;1162
2017-08-24;165.0;168.5;165.0;167.0;1571
2017-08-23;165.5;172.5;165.0;167.5;2156
2017-08-22;169.5;170.5;165.5;166.0;1049
2017-08-21;161.0;168.5;160.0;166.5;2587
2017-08-18;169.0;170.5;163.0;165.0;3111
2017-08-17;173.5;173.5;168.5;169.0;1406
2017-08-16;176.5;176.5;171.0;171.5;1995
2017-08-15;174.5;178.5;170.0;170.5;6868
2017-08-14;170.0;174.5;170.0;172.5;2161
2017-08-11;169.0;174.0;168.5;170.0;4190
2017-08-10;167.0;170.0;167.0;168.0;2522
2017-08-09;170.5;172.0;169.0;171.0;1252
2017-08-08;169.5;172.0;167.0;170.5;1559
2017-08-07;171.5;172.0;167.5;170.0;1128
2017-08-04;172.0;173.5;170.0;171.5;1543
2017-08-03;173.0;174.5;172.5;172.5;1231
2017-08-02;171.0;172.0;165.5;166.5;2584
2017-08-01;163.5;174.5;163.5;171.0;2180
2017-07-31;163.5;166.5;163.5;166.5;1729
2017-07-28;162.0;166.0;162.0;163.5;1875
2017-07-27;162.5;168.5;162.5;162.5;2522
2017-07-26;160.5;163.5;160.5;162.5;706
2017-07-25;164.0;166.0;160.5;160.5;2850
2017-07-24;164.0;171.5;160.5;160.5;4079
2017-07-21;171.0;174.5;163.5;164.5;3896
2017-07-20;178.5;178.5;171.0;171.0;8315
2017-07-19;180.0;181.0;178.5;178.5;494
2017-07-18;184.0;185.0;177.5;177.5;829
2017-07-17;185.0;185.5;181.0;183.0;3403
2017-07-14;171.5;182.0;171.5;182.0;4734
2017-07-13;181.0;184.0;177.0;178.5;12210
2017-07-12;179.5;181.0;179.0;181.0;1125
2017-07-11;180.0;181.5;178.0;179.0;1824
2017-07-10;175.5;180.0;175.5;179.0;3141
2017-07-07;170.0;178.5;170.0;175.5;1501
2017-07-06;173.5;180.0;173.5;175.0;2154
2017-07-05;172.5;175.5;172.5;173.0;1469
2017-07-04;171.0;174.5;171.0;173.0;1661
2017-07-03;170.5;174.0;169.5;173.5;80665
2017-06-30;172.5;174.0;170.0;171.5;1659
2017-06-29;173.5;175.0;173.0;173.0;559
2017-06-28;176.0;176.0;170.0;173.5;2643
2017-06-27;175.5;175.5;172.5;172.5;2340
2017-06-26;174.0;176.0;172.0;174.0;1280
2017-06-23;;174.0;174.0;174.0;0
2017-06-22;172.5;174.0;172.5;174.0;1202
2017-06-21;169.5;174.0;169.5;172.5;4611
2017-06-20;174.0;174.0;168.0;169.5;9360
2017-06-19;180.0;180.5;170.5;174.5;7003
2017-06-16;182.0;182.0;177.0;178.5;3802
2017-06-15;181.0;183.0;177.0;182.0;4250
2017-06-14;181.0;184.0;179.5;181.0;3449
2017-06-13;182.5;184.0;180.0;182.0;1737
2017-06-12;189.0;190.0;181.0;184.5;4136
2017-06-09;185.0;188.0;179.0;187.5;8395
2017-06-08;188.0;189.0;183.0;183.5;10142
2017-06-07;190.0;190.0;185.0;186.0;2412
2017-06-06;;183.0;183.0;183.0;0
2017-06-05;186.0;187.0;182.0;183.0;4393
2017-06-02;185.0;188.5;185.0;186.5;3873
2017-06-01;184.0;192.5;182.0;182.0;27709
2017-05-31;182.0;184.5;178.0;182.5;5627
2017-05-30;180.0;186.0;180.0;180.0;8553
2017-05-29;190.0;190.0;181.0;181.0;6453
2017-05-26;187.5;190.0;185.0;186.0;2928
2017-05-24;183.5;190.0;182.5;190.0;1178
2017-05-23;175.5;184.0;175.5;184.0;1527
2017-05-22;183.0;185.0;178.0;180.0;9072
2017-05-19;177.5;183.0;176.0;183.0;3827
2017-05-18;179.0;180.0;176.0;179.5;1948
2017-05-17;178.0;180.0;178.0;179.0;1979
2017-05-16;182.0;182.0;177.0;177.0;12454
2017-05-15;184.0;190.0;184.0;184.5;48000
2017-05-12;180.5;185.0;185.0;185.0;6467
2017-05-11;183.0;185.0;181.5;184.5;6700
2017-05-10;187.0;188.5;183.5;183.5;15664
2017-05-09;184.0;188.0;183.0;187.0;6388
2017-05-08;188.0;188.5;179.5;186.5;20738
2017-05-05;182.0;189.0;181.5;189.0;5088
2017-05-04;183.0;185.0;166.5;182.0;10043
2017-05-03;175.0;190.0;174.0;179.5;13738
2017-05-02;175.0;175.0;163.5;172.5;9061
2017-05-01;;168.5;168.5;168.5;0
2017-04-28;170.5;171.5;168.0;168.5;3557
2017-04-27;171.0;174.5;167.0;168.5;5925
2017-04-26;163.0;171.5;162.5;171.0;7211
2017-04-25;158.0;164.0;157.5;159.0;11313
2017-04-24;157.5;158.0;157.0;157.0;214322
2017-04-21;158.0;158.0;157.0;157.0;3812
2017-04-20;162.0;163.0;160.0;160.0;2967
2017-04-19;164.5;164.5;160.0;161.5;5622
2017-04-18;162.0;166.0;162.0;164.5;3172
2017-04-13;166.5;167.0;159.0;162.0;6359
2017-04-12;163.0;169.0;163.0;167.0;11556
2017-04-11;155.0;164.0;155.0;162.5;8506
2017-04-10;160.0;160.0;153.0;155.5;13360
2017-04-07;164.5;164.5;160.0;160.0;8106
2017-04-06;166.0;167.0;165.5;165.5;2797
2017-04-05;165.5;167.5;165.0;167.5;2743
2017-04-04;167.0;167.0;163.0;165.0;6223
2017-04-03;166.0;168.0;166.0;166.0;1426
2017-03-31;166.5;167.0;165.0;165.5;3004
2017-03-30;168.0;170.5;166.5;166.5;2115
