Dates;Open;High;Low;Close;Volume
2017-12-27;74.5;76.0;74.0;75.25;10167
2017-12-22;74.5;76.0;74.5;76.0;4514
2017-12-21;71.75;77.5;71.5;74.5;11779
2017-12-20;74.0;75.5;72.25;74.5;5020
2017-12-19;74.0;76.0;72.0;74.5;7942
2017-12-18;73.0;79.25;73.0;75.75;6904
2017-12-15;72.5;73.0;70.0;73.0;6724
2017-12-14;71.0;74.5;71.0;73.0;4970
2017-12-13;69.5;72.0;69.5;72.0;10794
2017-12-12;71.75;72.0;69.5;71.75;5389
2017-12-11;69.25;72.0;69.0;71.0;3568
2017-12-08;73.0;73.0;69.0;70.0;7072
2017-12-07;72.0;72.75;70.25;71.25;1773
2017-12-06;72.0;72.0;69.25;72.0;1852
2017-12-05;70.0;73.0;69.0;72.75;8985
2017-12-04;69.75;72.25;69.0;72.0;7082
2017-12-01;70.0;71.5;70.0;70.25;6288
2017-11-30;70.0;70.5;69.0;70.25;5008
2017-11-29;69.25;71.25;69.25;70.0;5964
2017-11-28;69.0;70.5;69.0;69.25;26178
2017-11-27;71.75;71.75;69.0;69.25;933
2017-11-24;72.0;72.0;69.0;69.25;6247
2017-11-23;69.0;70.0;69.0;69.0;316310
2017-11-22;69.0;72.0;69.0;69.0;27463
2017-11-21;69.5;69.75;69.0;69.25;5542
2017-11-20;69.25;71.0;69.25;69.5;5014
2017-11-17;70.75;70.75;69.5;69.5;11699
2017-11-16;69.75;72.0;69.5;72.0;3876
2017-11-15;70.75;70.75;69.75;70.25;6253
2017-11-14;71.5;71.5;70.5;71.0;1307
2017-11-13;72.0;72.0;69.0;69.5;40269
2017-11-10;70.5;71.0;70.0;71.0;6219
2017-11-09;69.0;71.0;69.0;70.0;6005
2017-11-08;70.25;71.25;70.25;71.0;13689
2017-11-07;70.0;71.25;69.75;70.25;39515
2017-11-06;71.0;71.25;69.25;70.0;11990
2017-11-03;70.0;71.0;69.75;71.0;27575
2017-11-02;69.5;70.0;68.5;70.0;5666
2017-11-01;68.0;69.0;67.0;69.0;16130
2017-10-31;68.0;68.75;65.0;68.0;34169
