Dates;Open;High;Low;Close;Volume
2017-12-27;73.75;74.0;72.25;73.0;12748
2017-12-22;74.0;74.0;73.0;73.0;10882
2017-12-21;72.75;73.75;72.0;72.25;11274
2017-12-20;73.5;73.5;73.0;73.25;6441
2017-12-19;73.0;73.5;72.0;73.5;34019
2017-12-18;73.5;74.5;73.0;73.0;15184
2017-12-15;74.25;75.0;73.5;74.5;12830
2017-12-14;72.25;75.5;72.0;75.0;18906
2017-12-13;73.75;75.5;71.5;73.0;22897
2017-12-12;73.5;73.5;71.0;72.5;62209
2017-12-11;73.0;73.75;71.25;71.25;26132
2017-12-08;74.0;74.25;72.75;72.75;6642
2017-12-07;73.0;74.0;72.5;73.0;13318
2017-12-06;73.0;73.75;72.75;73.0;45847
2017-12-05;75.75;75.75;73.25;74.0;20832
2017-12-04;75.5;77.25;75.5;75.5;23356
2017-12-01;76.0;76.0;72.5;75.0;73593
2017-11-30;76.5;78.5;73.25;75.25;1030556
2017-11-29;76.0;77.25;75.5;76.0;50135
2017-11-28;74.25;76.5;74.0;75.5;25146
2017-11-27;75.0;75.5;74.0;74.25;39765
2017-11-24;73.75;74.75;72.75;74.75;52857
2017-11-23;75.0;75.0;72.5;74.0;60836
2017-11-22;75.0;75.5;72.25;75.0;43504
2017-11-21;76.0;76.0;74.5;75.25;64205
2017-11-20;79.0;79.0;75.0;76.0;70372
2017-11-17;77.25;84.0;77.25;79.25;79497
2017-11-16;72.75;76.0;72.75;75.5;95199
2017-11-15;76.0;76.5;72.75;75.0;18382
2017-11-14;78.5;78.5;75.25;75.25;1439
2017-11-13;79.0;79.0;73.25;77.75;52729
2017-11-10;81.5;81.5;78.0;78.5;62042
2017-11-09;83.5;83.5;79.5;81.0;23462
2017-11-08;84.25;84.25;80.75;82.5;80414
2017-11-07;84.25;84.5;82.25;83.0;8683
2017-11-06;84.5;84.5;84.0;84.25;3757
2017-11-03;84.75;85.0;84.0;84.5;1354
2017-11-02;85.75;86.0;84.25;84.5;8853
2017-11-01;87.0;87.0;85.25;85.5;11589
2017-10-31;86.75;88.0;86.25;88.0;107354
2017-10-30;87.25;87.25;85.0;86.0;5178
2017-10-27;88.0;88.0;85.75;87.25;247221
2017-10-26;86.25;87.5;85.5;87.0;51590
2017-10-25;86.25;87.25;85.5;87.25;2490
2017-10-24;86.5;87.25;85.25;87.25;116548
2017-10-23;87.0;88.75;86.0;86.25;249547
2017-10-20;86.5;86.5;85.5;86.0;18710
2017-10-19;84.0;86.5;84.0;86.5;7431
2017-10-18;87.25;88.5;85.25;85.75;10575
2017-10-17;86.0;87.75;85.25;87.25;18495
2017-10-13;84.25;86.5;84.0;85.0;4850
2017-10-12;86.0;86.0;81.5;84.25;20122
2017-10-11;86.0;86.75;84.25;84.5;8109
2017-10-10;84.0;86.5;84.0;86.25;125726
2017-10-09;84.5;86.5;84.0;86.5;37044
2017-10-06;87.875;89.5;84.75;84.75;291386
2017-10-05;86.5;88.0;86.0;86.5;123961
2017-10-04;87.0;89.75;86.5;86.5;3990
2017-10-03;86.5;88.5;86.0;86.25;459566
2017-10-02;85.75;89.0;85.25;86.75;16713
2017-09-29;85.0;86.5;84.75;85.75;414411
2017-09-28;84.5;86.25;83.5;85.0;58752
2017-09-27;86.0;86.75;83.0;85.0;16967
2017-09-26;89.5;89.75;86.0;86.0;13970
2017-09-25;87.25;88.75;87.25;87.5;3493
2017-09-22;88.5;88.5;86.0;87.25;59411
2017-09-21;88.0;88.5;88.0;88.5;6043
2017-09-20;88.75;88.75;87.5;88.0;16927
2017-09-19;88.0;89.5;88.0;89.25;16525
2017-09-18;88.5;89.5;88.0;88.0;12679
2017-09-15;89.5;91.0;89.0;89.5;65370
2017-09-14;88.75;90.75;88.75;90.75;13069
2017-09-13;91.0;91.0;90.25;90.75;20685
2017-09-12;87.75;91.5;87.75;91.5;13609
2017-09-11;87.75;88.0;87.5;87.75;32264
2017-09-08;87.5;88.5;87.5;88.0;135683
2017-09-07;87.5;88.5;87.5;88.0;13137
2017-09-06;87.5;88.5;87.5;87.5;7043
2017-09-04;87.5;88.0;86.75;87.25;54998
2017-09-01;87.75;88.5;87.75;88.0;37704
2017-08-31;87.5;88.0;87.5;87.75;7742
2017-08-30;88.0;88.0;87.5;87.5;9646
2017-08-29;87.75;87.75;87.5;87.5;2740
2017-08-28;89.0;89.0;87.5;88.0;6693
2017-08-25;87.5;88.0;87.5;87.5;5181
2017-08-24;87.5;88.0;87.5;87.5;131073
2017-08-23;88.0;89.0;88.0;88.0;47840
2017-08-22;88.0;88.5;88.0;88.0;4949
2017-08-21;86.0;88.5;86.0;88.5;17316
2017-08-18;87.75;89.0;87.75;87.75;5127
2017-08-17;90.0;90.75;88.0;89.5;56704
2017-08-16;87.75;89.0;87.5;88.75;7304
2017-08-15;89.0;90.75;87.5;87.5;7747
2017-08-14;88.25;90.25;88.25;90.0;4135
2017-08-11;89.0;89.75;88.5;89.25;244922
2017-08-10;89.5;90.75;89.5;89.75;2389
2017-08-09;90.0;90.5;89.25;89.25;30644
2017-08-08;91.0;91.0;89.5;90.25;231480
2017-08-07;89.0;91.5;89.0;91.5;5073
2017-08-04;90.25;91.25;88.5;91.25;6560
2017-08-03;90.0;91.5;89.0;91.5;6566
2017-08-02;89.75;89.75;88.25;89.25;5279
2017-08-01;88.0;90.0;88.0;90.0;11395
2017-07-31;89.5;89.5;87.75;87.75;40774
2017-07-28;90.0;90.5;89.75;90.0;18655
2017-07-27;87.5;90.75;87.5;89.25;134267
2017-07-26;87.5;88.5;87.5;88.5;42739
2017-07-25;87.75;88.75;86.5;87.75;29835
2017-07-24;88.125;88.5;87.5;87.5;63972
2017-07-21;88.0;88.25;86.75;87.5;17182
2017-07-20;88.0;88.25;87.25;88.0;113266
2017-07-19;88.5;88.5;87.5;88.0;29026
2017-07-18;89.75;89.75;87.5;87.75;20414
2017-07-17;91.0;91.0;89.25;90.75;18121
2017-07-14;90.0;91.25;89.75;90.75;11152
2017-07-13;89.5;90.25;89.5;89.75;10145
2017-07-12;89.25;90.25;88.0;89.5;17964
2017-07-11;88.5;90.0;88.5;89.25;8234
2017-07-10;90.25;90.5;89.25;89.25;17060
2017-07-07;92.25;92.25;89.75;90.0;38487
2017-07-06;94.5;94.5;92.0;92.25;5387
2017-07-05;94.5;94.5;93.0;93.75;5906
2017-07-04;94.25;94.25;92.5;93.75;92102
2017-07-03;96.25;98.25;94.0;94.25;81737
2017-06-30;98.5;99.5;95.0;96.0;159445
2017-06-29;98.5;98.5;97.5;98.5;25299
2017-06-28;97.75;100.0;96.25;98.5;145939
2017-06-27;97.75;104.25;97.0;98.25;66386
2017-06-26;97.75;98.0;96.25;98.0;12225
2017-06-23;;97.0;97.0;97.0;0
2017-06-22;97.75;98.0;95.5;97.0;27688
2017-06-21;96.0;98.0;96.0;97.0;30432
2017-06-20;92.5;94.75;91.25;94.75;18397
2017-06-19;91.0;92.5;91.0;92.25;14237
2017-06-16;92.25;92.75;91.5;91.5;14067
2017-06-15;92.5;94.0;92.0;92.75;24440
2017-06-14;92.25;95.0;90.5;92.75;43456
