Dates;Open;High;Low;Close;Volume
2017-12-27;320.0;349.5;320.0;346.5;37694
2017-12-22;314.5;324.5;312.0;312.0;1129
2017-12-21;326.5;326.5;322.0;322.5;500
2017-12-20;327.5;327.5;321.5;321.5;796
2017-12-19;324.5;324.5;317.5;324.5;1897
2017-12-18;325.5;328.5;322.5;327.0;1106
2017-12-15;329.5;329.5;320.5;329.5;1498
2017-12-14;327.0;327.0;322.0;326.0;425
2017-12-13;325.0;329.5;320.5;327.0;664
2017-12-12;321.5;330.0;321.5;330.0;3655
2017-12-11;320.0;325.0;320.0;325.0;1857
2017-12-08;322.0;322.0;320.0;320.0;208
2017-12-07;319.0;324.5;317.0;320.0;2948
2017-12-06;320.5;320.5;317.0;319.0;3457
2017-12-05;320.0;324.0;314.5;321.0;3713
2017-12-04;317.0;320.0;317.0;319.5;1400
2017-12-01;315.0;324.5;315.0;317.0;1689
2017-11-30;323.0;326.5;316.5;326.0;11113
2017-11-29;317.0;322.0;317.0;321.5;4919
2017-11-28;309.5;318.5;305.5;318.5;10971
2017-11-27;310.0;311.5;308.0;310.0;1742
2017-11-24;312.0;312.0;306.5;306.5;1644
2017-11-23;306.0;310.5;306.0;310.0;1428
2017-11-22;303.0;309.0;296.5;308.0;5041
2017-11-21;301.5;304.5;300.5;303.5;2880
2017-11-20;307.0;307.0;298.0;302.5;3278
2017-11-17;303.0;307.5;301.5;306.5;1923
2017-11-16;308.5;308.5;302.0;306.5;3988
2017-11-15;303.5;311.0;303.5;306.0;2508
2017-11-14;299.0;306.0;299.0;304.5;2667
2017-11-13;302.0;305.0;296.0;298.0;4212
2017-11-10;309.0;311.0;303.5;308.0;775
2017-11-09;316.0;316.0;305.0;309.0;4504
2017-11-08;320.0;320.0;302.5;311.5;3816
2017-11-07;323.0;324.5;315.5;318.5;6398
2017-11-06;321.0;328.0;320.5;322.5;2170
2017-11-03;322.0;322.0;317.0;317.0;531
2017-11-02;323.0;326.5;321.0;323.0;2212
2017-11-01;324.5;325.5;322.5;323.0;1783
2017-10-31;325.0;325.0;312.5;325.0;5168
2017-10-30;320.5;326.0;320.5;326.0;1370
2017-10-27;322.0;328.5;320.0;320.5;1195
2017-10-26;321.0;327.0;320.5;322.0;1359
2017-10-25;330.0;330.5;323.5;329.5;6705
2017-10-24;326.5;329.5;324.0;324.0;388
2017-10-23;331.0;331.0;324.5;331.0;2831
2017-10-20;326.0;333.0;326.0;331.0;2665
2017-10-19;324.0;330.5;323.5;323.5;174
2017-10-18;324.0;326.0;321.0;326.0;374
2017-10-17;330.5;336.0;326.5;336.0;3954
2017-10-13;330.5;335.5;330.0;335.0;3866
2017-10-12;336.0;336.0;326.0;336.0;2208
2017-10-11;332.0;336.0;325.5;336.0;2940
2017-10-10;328.0;340.5;323.0;332.0;3946
2017-10-09;331.0;336.5;327.0;330.5;1537
2017-10-06;331.0;332.0;331.0;332.0;279
2017-10-05;332.0;334.5;331.0;334.5;609
2017-10-04;337.0;337.0;332.0;335.0;123
2017-10-03;337.0;337.0;331.0;336.0;645
2017-10-02;340.0;343.0;330.0;331.5;2227
2017-09-29;339.0;340.0;332.0;340.0;4811
2017-09-28;335.0;339.0;321.5;339.0;3361
2017-09-27;333.0;334.5;320.5;334.5;995
2017-09-26;333.0;335.0;319.0;333.0;1336
2017-09-25;320.0;332.5;316.5;332.5;5956
2017-09-22;319.0;328.0;319.0;325.0;1986
2017-09-21;314.5;323.5;314.5;320.0;1578
2017-09-20;318.5;320.0;314.0;314.0;1560
2017-09-19;324.5;324.5;308.0;319.0;761
2017-09-18;323.0;325.0;317.0;319.0;1684
2017-09-15;316.0;324.5;316.0;317.5;4977
2017-09-14;329.0;331.5;323.5;323.5;767
2017-09-13;329.0;330.0;326.0;327.5;1661
2017-09-12;328.0;333.0;328.0;329.5;107
2017-09-11;328.5;333.5;326.0;328.0;502
2017-09-08;329.5;333.5;328.5;333.5;630
2017-09-07;327.0;333.0;326.0;330.0;539
2017-09-06;336.0;336.5;326.5;335.0;1481
2017-09-04;340.0;340.0;331.5;332.5;394
2017-09-01;340.0;340.0;334.0;340.0;120
2017-08-31;334.0;340.0;327.0;340.0;5116
2017-08-30;333.0;336.0;330.0;336.0;872
2017-08-29;327.0;335.0;327.0;330.0;1706
2017-08-28;333.5;334.0;327.0;334.0;395
2017-08-25;330.5;334.0;326.5;333.5;706
2017-08-24;323.0;331.0;323.0;331.0;1231
2017-08-23;330.0;330.0;325.5;326.5;320
2017-08-22;329.5;335.0;325.0;330.0;1212
2017-08-21;334.5;334.5;327.0;329.5;110
2017-08-18;335.5;335.5;324.0;333.0;1100
2017-08-17;335.5;337.0;326.5;335.5;1379
2017-08-16;337.0;339.5;337.0;339.5;647
2017-08-15;337.0;337.5;337.0;337.5;196
2017-08-14;335.0;336.0;333.0;334.0;203
2017-08-11;338.0;338.0;328.5;336.5;1020
2017-08-10;328.5;339.5;327.0;338.5;1502
2017-08-09;332.5;338.5;331.0;338.5;214
2017-08-08;336.0;337.5;335.0;337.0;125
2017-08-07;325.5;341.5;325.5;337.0;3610
2017-08-04;335.0;336.0;334.0;336.0;254
2017-08-03;340.0;342.0;336.0;338.5;484
2017-08-02;331.5;342.0;331.5;333.5;5761
2017-08-01;343.5;345.0;333.0;342.5;2824
2017-07-31;326.0;339.0;326.0;339.0;4736
2017-07-28;333.5;333.5;328.5;333.0;955
2017-07-27;325.0;333.5;325.0;333.5;693
2017-07-26;333.0;333.0;325.0;325.0;841
2017-07-25;331.5;335.0;328.0;331.0;417
2017-07-24;331.0;336.0;324.0;331.0;964
2017-07-21;331.0;332.5;329.0;331.0;408
2017-07-20;333.5;335.0;327.5;335.0;1329
2017-07-19;336.5;336.5;327.5;336.5;962
2017-07-18;336.0;336.5;330.5;330.5;747
2017-07-17;335.0;336.5;330.5;336.5;398
2017-07-14;337.0;337.5;333.0;333.5;1018
2017-07-13;331.0;340.0;330.5;340.0;937
2017-07-12;308.5;336.5;308.5;336.0;4725
2017-07-11;329.0;333.0;324.5;325.0;616
2017-07-10;334.5;337.5;330.0;330.0;754
2017-07-07;332.5;337.5;330.0;334.0;1024
2017-07-06;336.0;336.5;327.5;334.5;1371
2017-07-05;327.0;338.0;325.0;336.0;2613
2017-07-04;338.5;338.5;327.5;327.5;1923
2017-07-03;335.5;339.0;335.5;338.5;169
2017-06-30;329.5;341.0;329.5;335.5;2627
2017-06-29;339.0;339.0;327.5;335.0;2124
2017-06-28;335.0;341.5;335.0;338.0;1308
2017-06-27;335.5;342.0;333.0;342.0;1636
2017-06-26;342.0;342.0;329.0;335.0;1089
2017-06-23;;340.0;340.0;340.0;0
2017-06-22;338.0;341.5;328.5;340.0;1365
2017-06-21;334.5;343.5;329.0;343.0;1757
2017-06-20;335.5;340.0;333.5;337.0;1566
2017-06-19;341.5;341.5;320.5;337.0;2819
2017-06-16;341.5;341.5;320.0;341.5;5424
2017-06-15;341.0;341.0;335.0;341.0;2895
2017-06-14;329.5;342.0;329.5;342.0;1235
2017-06-13;326.0;338.0;326.0;334.0;4529
2017-06-12;330.0;332.5;327.0;327.0;1746
2017-06-09;330.5;335.5;323.5;335.5;1985
2017-06-08;328.0;330.5;323.5;330.5;1047
2017-06-07;326.5;328.5;324.5;328.0;3160
2017-06-06;;327.5;327.5;327.5;0
2017-06-05;322.0;328.0;322.0;327.5;723
2017-06-02;316.0;323.5;316.0;322.0;557
2017-06-01;328.0;328.0;319.0;325.5;728
2017-05-31;324.0;325.5;313.0;325.0;24402
2017-05-30;310.0;324.5;310.0;324.5;11730
2017-05-29;315.0;316.5;311.5;316.5;3529
2017-05-26;304.0;316.5;304.0;314.5;7181
2017-05-24;309.0;309.0;304.5;304.5;388
2017-05-23;304.0;307.5;302.0;306.5;20519
2017-05-22;306.0;309.0;303.0;303.0;7366
2017-05-19;306.5;310.0;306.0;306.0;10741
2017-05-18;306.5;310.0;306.5;306.5;4600
2017-05-17;309.0;311.0;307.0;308.0;8638
2017-05-16;312.5;312.5;309.0;309.0;6703
2017-05-15;309.5;312.0;309.0;312.0;6402
2017-05-12;311.5;310.0;310.0;310.0;3057
2017-05-11;310.0;314.5;310.0;311.5;3764
2017-05-10;316.5;316.5;312.0;312.0;2007
2017-05-09;310.0;318.0;310.0;313.5;9653
2017-05-08;312.0;312.0;310.0;310.0;4562
2017-05-05;313.0;313.5;311.0;311.5;5810
2017-05-04;316.5;319.5;313.0;313.0;8535
2017-05-03;316.0;326.5;315.5;316.5;2248
2017-05-02;323.5;323.5;315.5;315.5;2646
