Dates;Open;High;Low;Close;Volume
2017-12-27;87.95;88.3;87.25;87.35;65520
2017-12-22;88.1;88.7;87.75;87.95;43553
2017-12-21;87.5;88.25;86.4;88.2;405265
2017-12-20;90.2;90.4;87.15;87.5;146356
2017-12-19;89.1;90.55;88.65;90.0;182700
2017-12-18;87.4;89.45;87.4;89.2;1199494
2017-12-15;89.0;89.0;87.1;87.95;373517
2017-12-14;89.35;89.9;87.75;89.4;113768
2017-12-13;88.45;89.85;87.4;89.65;188666
2017-12-12;87.15;89.65;87.0;89.1;151125
2017-12-11;86.6;87.25;86.15;87.0;125261
2017-12-08;87.1;87.55;86.6;86.7;108776
2017-12-07;86.0;87.75;85.65;87.1;166270
2017-12-06;87.25;87.25;86.2;86.4;94269
2017-12-05;89.1;89.45;87.35;87.8;146720
2017-12-04;88.5;89.45;87.1;88.95;248875
2017-12-01;88.0;89.0;87.0;87.35;197722
2017-11-30;86.85;88.25;86.5;87.15;420188
2017-11-29;88.15;88.15;86.35;86.35;196760
2017-11-28;87.0;88.55;86.75;87.1;138726
2017-11-27;87.45;88.75;87.0;87.0;135970
2017-11-24;87.5;88.0;87.0;87.45;162357
2017-11-23;87.35;88.15;87.05;87.4;156131
2017-11-22;88.0;88.95;87.1;88.0;305562
2017-11-21;88.0;88.0;86.75;87.75;286163
2017-11-20;90.0;90.0;85.25;87.0;1074083
2017-11-17;91.3;92.2;90.45;92.2;147619
2017-11-16;90.9;92.05;90.1;91.6;363771
2017-11-15;92.3;92.55;89.9;91.0;197686
2017-11-14;92.1;93.1;91.15;92.85;162052
2017-11-13;92.8;93.6;91.15;92.1;485340
2017-11-10;92.05;95.85;89.9;93.8;859585
2017-11-09;96.3;97.05;95.4;96.45;129211
2017-11-08;98.1;98.3;95.5;96.55;146694
2017-11-07;99.85;99.85;97.9;98.5;132981
2017-11-06;97.7;100.1;96.9;99.9;213067
2017-11-03;97.9;98.95;96.85;97.7;86966
2017-11-02;97.8;98.65;96.85;97.5;120670
2017-11-01;98.5;99.4;97.15;97.65;140113
2017-10-31;97.15;99.6;97.05;98.45;199169
2017-10-30;96.1;97.5;95.35;97.1;70731
2017-10-27;96.35;96.85;95.55;96.1;111721
2017-10-26;95.4;96.75;94.05;96.7;123983
2017-10-25;93.8;95.95;92.9;95.4;129053
2017-10-24;92.9;93.9;91.55;93.85;240835
2017-10-23;91.75;93.35;91.75;93.1;159374
2017-10-20;91.4;92.1;91.2;91.7;51792
2017-10-19;92.3;92.3;91.3;91.5;33505
2017-10-18;92.8;93.3;91.8;92.35;70789
2017-10-17;93.4;93.4;91.15;93.1;134628
2017-10-13;93.8;93.8;93.0;93.35;89924
2017-10-12;93.05;93.75;93.05;93.75;37682
2017-10-11;93.0;93.55;92.3;93.35;109532
2017-10-10;94.05;94.05;92.35;92.9;85213
2017-10-09;94.85;94.9;93.5;93.9;90223
2017-10-06;94.65;95.0;94.55;94.85;100025
2017-10-05;93.35;94.7;93.25;94.65;83668
2017-10-04;94.2;94.75;93.15;93.25;109015
2017-10-03;94.7;95.0;94.2;94.2;69782
2017-10-02;93.8;94.85;93.65;94.7;99770
2017-09-29;93.05;94.55;93.05;93.75;154049
2017-09-28;93.75;94.5;93.15;93.7;70796
2017-09-27;95.0;95.55;93.15;93.75;116891
2017-09-26;94.3;96.0;94.05;95.25;80411
2017-09-25;92.45;94.35;92.15;94.05;211473
2017-09-22;93.7;93.95;92.0;92.45;118770
2017-09-21;94.0;94.25;93.1;93.1;93585
2017-09-20;95.2;95.25;92.6;93.8;119505
2017-09-19;96.0;96.85;94.55;94.95;168923
2017-09-18;97.75;98.5;96.05;96.65;253114
2017-09-15;98.5;100.5;98.15;98.7;580955
2017-09-14;98.6;99.5;98.15;98.5;122262
2017-09-13;98.9;99.65;98.45;98.7;103446
2017-09-12;100.2;100.6;98.45;99.0;51967
2017-09-11;100.0;101.3;99.8;99.8;46582
2017-09-08;100.8;101.3;100.1;100.5;57765
2017-09-07;100.6;101.2;100.3;100.8;58421
2017-09-06;101.1;101.1;99.6;100.5;391828
2017-09-04;97.3;98.75;97.1;98.05;62164
2017-09-01;98.0;99.1;96.8;98.5;97802
2017-08-31;99.0;99.0;97.75;97.9;89586
2017-08-30;97.2;99.95;97.2;98.6;83488
2017-08-29;99.0;99.0;97.0;97.55;125683
2017-08-28;99.5;100.3;98.2;98.5;58252
2017-08-25;99.65;100.4;98.65;99.2;46781
2017-08-24;101.4;102.0;99.05;99.65;70998
2017-08-23;100.5;101.4;100.2;100.9;68810
2017-08-22;102.4;102.4;100.7;101.2;98309
2017-08-21;101.5;102.7;100.4;102.4;63712
2017-08-18;101.0;103.1;100.2;102.8;66362
2017-08-17;101.0;102.6;101.0;102.4;54999
2017-08-16;100.6;102.4;100.5;100.9;59096
2017-08-15;102.4;102.5;100.2;101.0;55908
2017-08-14;101.3;103.3;101.1;102.4;74960
2017-08-11;101.6;101.8;100.3;101.8;81953
2017-08-10;101.9;102.3;101.1;101.8;59107
2017-08-09;103.9;103.9;100.8;101.9;233427
2017-08-08;103.6;103.8;102.7;102.7;68179
2017-08-07;106.6;106.6;101.7;103.6;132741
2017-08-04;103.0;106.3;102.6;105.3;249825
2017-08-03;100.4;100.9;99.35;99.85;64626
