Dates;Open;High;Low;Close;Volume
2017-12-27;83.75;84.5;81.5;84.0;183048
2017-12-22;87.5;87.75;83.0;83.25;1326890
2017-12-21;88.0;88.5;86.75;87.75;135205
2017-12-20;89.5;90.5;86.0;87.5;266182
2017-12-19;85.75;91.25;85.25;89.0;273249
2017-12-18;84.0;86.0;83.75;85.75;148226
2017-12-15;85.25;85.75;83.0;84.25;86778
2017-12-14;85.0;85.5;84.0;85.5;345623
2017-12-13;84.75;85.5;84.25;85.0;207113
2017-12-12;83.0;86.0;82.5;85.0;289494
2017-12-11;81.5;83.0;80.0;82.75;188687
2017-12-08;75.75;80.75;75.75;80.75;293772
2017-12-07;78.75;79.0;75.25;75.75;114554
2017-12-06;77.25;79.5;75.5;79.0;231109
2017-12-05;74.0;78.0;73.75;77.75;212225
2017-12-04;78.25;78.5;73.75;74.5;237167
2017-12-01;77.75;79.25;76.25;76.25;199309
2017-11-30;79.25;81.0;76.75;76.75;1945450
2017-11-29;83.25;83.25;78.5;79.0;348586
2017-11-28;81.5;84.0;80.0;82.5;357527
2017-11-27;77.25;81.75;77.0;81.5;229381
2017-11-24;77.0;79.0;76.25;77.0;115429
2017-11-23;75.0;78.75;74.75;77.0;137835
2017-11-22;75.5;75.5;74.5;75.25;74686
2017-11-21;73.75;75.5;72.5;75.0;148346
2017-11-20;71.5;74.25;71.0;73.75;167046
2017-11-17;71.5;72.5;69.5;71.25;211490
2017-11-16;70.0;72.0;70.0;70.25;76010
2017-11-15;71.0;71.0;69.5;70.0;86701
2017-11-14;68.25;73.0;68.25;70.75;160395
2017-11-13;68.5;69.0;66.5;68.0;103319
2017-11-10;69.75;71.5;67.75;68.25;169376
2017-11-09;69.5;69.5;67.75;68.75;61315
2017-11-08;68.5;69.5;67.5;69.5;205350
2017-11-07;72.0;72.0;70.25;70.5;85290
2017-11-06;73.75;74.75;72.0;73.5;77610
2017-11-03;74.0;74.75;72.75;73.25;37180
2017-11-02;74.5;75.0;68.25;73.75;415527
2017-11-01;74.5;75.75;74.25;75.5;113487
2017-10-31;73.5;74.5;73.5;74.5;207803
2017-10-30;74.25;74.5;73.5;74.0;49393
2017-10-27;74.25;74.25;70.75;74.25;95312
2017-10-26;69.75;74.5;69.5;74.25;113912
2017-10-25;69.25;69.5;67.5;69.5;118619
2017-10-24;70.0;70.0;68.5;69.0;38703
2017-10-23;69.75;70.75;69.25;69.75;36158
2017-10-20;68.25;70.0;68.0;69.0;47081
2017-10-19;70.25;70.25;67.5;68.0;55909
2017-10-18;71.25;71.5;69.0;70.25;47745
2017-10-17;72.25;72.25;70.0;71.25;75637
2017-10-13;72.0;72.0;70.25;71.0;58143
2017-10-12;70.75;71.25;69.25;70.75;151789
2017-10-11;70.5;71.0;69.0;70.25;57832
2017-10-10;71.75;71.75;69.25;70.5;41168
2017-10-09;69.0;72.5;68.25;72.0;131471
2017-10-06;67.5;71.75;67.5;68.75;181963
2017-10-05;64.5;68.25;64.5;67.5;135019
2017-10-04;65.0;65.5;63.5;64.5;82469
2017-10-03;62.0;65.0;61.75;64.25;150467
2017-10-02;61.0;63.0;60.75;62.25;49067
2017-09-29;61.25;62.5;60.75;60.75;32131
2017-09-28;61.25;61.25;60.5;61.25;23410
2017-09-27;61.0;61.0;60.0;61.0;7190
2017-09-26;60.75;61.0;59.5;61.0;13240
2017-09-25;60.25;60.75;59.25;60.0;40795
2017-09-22;60.25;61.0;59.75;61.0;36748
2017-09-21;61.0;62.75;59.25;59.5;76101
2017-09-20;62.25;62.25;60.75;61.5;20502
2017-09-19;61.75;62.0;61.25;61.5;29270
2017-09-18;62.0;62.25;60.75;62.25;37545
2017-09-15;60.0;62.0;60.0;62.0;31553
2017-09-14;60.0;61.25;60.0;60.5;20213
2017-09-13;60.5;61.0;60.25;60.25;36182
2017-09-12;60.75;61.0;60.25;60.5;28831
2017-09-11;59.5;61.75;59.5;60.25;547529
2017-09-08;59.75;60.0;58.5;59.25;27630
2017-09-07;58.0;59.5;57.0;58.5;30213
2017-09-06;59.0;59.5;58.5;58.75;35506
2017-09-04;56.5;57.0;56.0;56.25;67696
2017-09-01;59.0;59.25;57.25;57.75;86471
2017-08-31;59.5;59.5;58.75;59.0;40512
2017-08-30;60.0;60.25;58.75;58.75;21434
2017-08-29;59.5;60.0;58.75;59.5;47513
2017-08-28;61.0;61.0;59.75;59.75;12397
2017-08-25;60.5;61.0;60.0;61.0;18376
2017-08-24;60.75;61.0;59.75;60.5;14805
