Dates;Open;High;Low;Close;Volume
2017-12-27;55.85;55.85;54.9;55.25;367394
2017-12-22;55.0;55.8;54.8;55.6;566324
2017-12-21;56.0;56.0;55.05;55.1;329608
2017-12-20;56.1;56.25;55.5;55.9;722379
2017-12-19;55.6;56.0;54.9;55.8;300939
2017-12-18;55.15;56.05;55.15;55.65;294625
2017-12-15;55.05;55.35;54.15;55.05;666932
2017-12-14;56.65;56.65;55.15;55.55;626421
2017-12-13;58.0;58.25;56.6;56.65;373430
2017-12-12;58.95;59.25;57.85;58.0;295744
2017-12-11;57.85;59.4;57.55;58.95;336645
2017-12-08;58.2;58.85;57.7;58.05;365712
2017-12-07;58.0;58.65;57.5;58.1;347693
2017-12-06;59.4;59.4;57.65;58.15;571617
2017-12-05;59.05;60.9;58.9;60.05;846661
2017-12-04;56.8;58.8;56.75;58.65;450598
2017-12-01;57.05;57.5;56.2;57.0;459992
2017-11-30;56.5;57.1;55.65;57.0;517649
2017-11-29;56.4;57.3;56.15;56.5;399131
2017-11-28;56.55;57.1;56.15;56.3;242283
2017-11-27;57.4;57.55;56.65;56.65;194344
2017-11-24;58.05;58.45;57.75;58.2;327496
2017-11-23;58.0;58.25;57.5;58.0;207286
2017-11-22;58.1;58.35;57.8;58.0;284149
2017-11-21;58.05;58.35;57.75;58.1;482368
2017-11-20;57.7;58.25;57.15;58.05;165672
2017-11-17;58.7;58.7;57.5;57.8;168520
2017-11-16;58.4;58.95;58.0;58.65;240890
2017-11-15;57.9;58.3;57.35;58.1;357694
2017-11-14;56.95;58.5;56.95;58.0;380241
2017-11-13;57.3;57.35;56.4;56.9;256486
2017-11-10;57.95;57.95;55.2;57.3;473136
2017-11-09;57.4;57.55;56.6;57.0;210190
2017-11-08;58.55;58.85;57.2;57.35;400209
2017-11-07;58.6;58.95;57.65;58.55;568484
2017-11-06;58.4;58.9;58.15;58.45;318059
2017-11-03;57.15;58.55;57.15;58.35;171686
2017-11-02;56.6;57.5;56.4;57.5;226841
2017-11-01;57.2;57.45;56.5;56.65;209629
2017-10-31;56.45;57.35;56.25;57.15;245252
2017-10-30;57.5;57.5;56.25;56.5;309502
2017-10-27;57.0;57.55;56.7;57.25;211339
2017-10-26;56.25;57.15;56.0;57.0;307233
2017-10-25;56.95;56.95;55.85;56.3;237810
2017-10-24;57.75;57.85;56.05;56.6;277804
2017-10-23;58.0;58.0;57.6;57.8;135821
2017-10-20;57.95;58.05;57.65;58.0;690185
