Dates;Open;High;Low;Close;Volume
2017-12-27;55.75;56.5;55.5;55.75;101624
2017-12-22;56.0;56.5;55.75;56.0;48216
2017-12-21;56.75;56.75;56.0;56.0;77351
2017-12-20;56.5;56.75;56.5;56.75;31784
2017-12-19;56.25;57.75;56.25;56.75;285962
2017-12-18;55.5;57.25;55.5;57.0;224415
2017-12-15;56.0;56.0;55.0;56.0;129234
2017-12-14;56.5;57.0;55.75;56.25;216139
2017-12-13;56.5;57.0;56.25;56.75;95090
2017-12-12;57.0;57.0;56.25;56.5;81541
2017-12-11;56.0;57.0;55.75;57.0;217695
2017-12-08;57.75;58.25;56.0;56.0;304118
2017-12-07;58.0;58.0;57.5;58.0;87059
2017-12-06;58.5;58.75;57.5;58.0;175798
2017-12-05;58.25;59.0;58.0;58.75;95996
2017-12-04;58.75;58.75;58.0;58.5;122460
2017-12-01;58.25;59.0;57.5;58.75;181010
2017-11-30;57.25;58.5;57.0;58.5;229807
2017-11-29;56.5;57.5;56.5;57.25;133326
2017-11-28;56.5;57.0;56.5;56.5;186039
2017-11-27;56.25;57.0;56.0;56.5;107640
2017-11-24;56.75;56.75;55.75;56.5;94607
2017-11-23;57.5;57.5;56.25;56.5;148535
2017-11-22;55.5;57.75;55.25;57.75;860819
2017-11-21;56.0;56.25;55.25;55.5;147788
2017-11-20;55.5;56.5;55.0;56.0;109397
2017-11-17;56.0;56.0;55.0;55.75;109336
2017-11-16;55.5;56.25;54.75;55.75;118568
2017-11-15;54.5;56.0;53.75;55.25;540074
2017-11-14;55.25;55.25;54.5;54.75;105906
2017-11-13;55.0;55.25;54.5;55.25;135281
2017-11-10;55.5;56.0;54.25;54.75;258516
2017-11-09;55.75;55.75;55.0;55.5;91050
2017-11-08;56.25;56.5;55.0;55.75;237666
2017-11-07;57.25;57.25;56.0;56.25;221379
2017-11-06;57.75;57.75;56.75;57.0;199410
2017-11-03;57.5;58.0;57.0;57.75;189705
2017-11-02;57.25;57.75;57.0;57.0;386815
2017-11-01;57.0;57.5;56.25;57.0;277579
2017-10-31;58.25;58.25;56.5;57.0;348807
2017-10-30;57.25;57.75;57.25;57.75;85874
2017-10-27;58.0;58.25;57.0;57.25;238552
2017-10-26;57.0;58.25;56.75;58.25;325484
2017-10-25;55.75;57.75;55.75;56.75;423987
2017-10-24;57.5;57.5;55.25;55.5;534105
2017-10-23;57.0;57.75;56.25;57.25;679150
2017-10-20;58.25;58.5;56.5;56.75;1609733
2017-10-19;57.0;58.0;55.5;58.0;3081666
2017-10-18;62.25;62.25;56.5;56.5;2905838
2017-10-17;65.25;66.25;62.5;64.0;1276777
2017-10-13;68.0;68.25;67.5;68.25;132934
2017-10-12;68.25;68.5;67.5;68.0;126575
2017-10-11;69.25;69.25;68.25;68.25;213807
2017-10-10;70.5;70.5;69.25;69.5;299203
2017-10-09;70.0;71.0;69.75;70.5;161170
2017-10-06;69.25;70.0;69.25;69.75;1189261
2017-10-05;69.0;69.5;68.75;69.25;252462
2017-10-04;69.0;69.25;68.5;69.0;182112
2017-10-03;69.0;69.0;68.25;69.0;215386
2017-10-02;68.5;69.0;68.5;69.0;110081
2017-09-29;69.0;69.5;68.25;68.5;109397
2017-09-28;68.25;69.25;67.5;69.0;147951
2017-09-27;68.25;69.0;67.5;68.75;197700
2017-09-26;67.25;69.0;67.0;68.5;267552
2017-09-25;65.75;67.25;65.25;67.0;281117
2017-09-22;67.75;68.25;66.0;66.0;766950
2017-09-21;69.0;70.0;68.75;69.0;108742
2017-09-20;68.5;68.75;68.25;68.75;71100
2017-09-19;68.5;68.75;68.0;68.25;123721
2017-09-18;68.25;69.5;68.0;68.25;138961
2017-09-15;68.25;68.75;67.75;68.0;70614
2017-09-14;70.0;70.25;68.25;68.25;183782
2017-09-13;69.25;71.0;69.25;70.0;257388
2017-09-12;67.0;70.5;66.75;69.75;260786
2017-09-11;67.0;67.25;66.25;66.75;283835
