Dates;Open;High;Low;Close;Volume
2017-12-27;44.5;44.7;44.1;44.5;82484
2017-12-22;44.4;44.8;44.0;44.5;123537
2017-12-21;44.4;44.6;44.0;44.4;142181
2017-12-20;44.5;44.5;43.6;44.4;125027
2017-12-19;44.3;44.6;43.4;44.4;186974
2017-12-18;42.5;44.5;42.0;44.4;236930
2017-12-15;43.6;43.7;42.7;42.7;277642
2017-12-14;43.9;43.9;43.0;43.5;186210
2017-12-13;44.5;44.5;43.7;43.9;108991
2017-12-12;44.3;44.6;43.7;44.5;338199
2017-12-11;44.5;45.2;44.1;44.2;346682
2017-12-08;43.7;44.5;43.6;44.4;150076
2017-12-07;43.1;44.2;43.1;44.1;127582
2017-12-06;43.2;43.9;43.0;43.9;119476
2017-12-05;43.1;43.5;43.0;43.4;129388
2017-12-04;44.1;44.4;43.2;43.4;222343
2017-12-01;44.6;44.6;43.1;43.9;247567
2017-11-30;44.3;44.9;43.5;44.3;797165
2017-11-29;43.2;44.5;43.2;44.3;243065
2017-11-28;43.3;43.9;43.0;43.1;153179
2017-11-27;43.9;43.9;43.2;43.3;263609
2017-11-24;43.3;43.9;43.2;43.9;178808
2017-11-23;43.0;43.7;42.7;43.3;319862
2017-11-22;42.4;43.0;42.2;42.9;123316
2017-11-21;42.3;42.6;42.0;42.4;176094
2017-11-20;42.4;42.9;42.1;42.3;166711
2017-11-17;42.2;42.5;42.0;42.2;156143
2017-11-16;41.6;42.4;41.6;42.4;106301
2017-11-15;42.3;42.4;41.4;41.4;213176
2017-11-14;42.3;42.6;42.2;42.3;69579
2017-11-13;43.0;43.0;41.8;42.2;168580
2017-11-10;42.8;42.9;42.4;42.7;155539
2017-11-09;42.2;43.0;42.2;42.8;357542
2017-11-08;41.7;42.2;41.0;42.1;484284
2017-11-07;42.4;42.5;41.6;41.7;326218
2017-11-06;42.4;42.8;42.4;42.4;182708
2017-11-03;42.6;42.7;42.4;42.5;93840
2017-11-02;42.7;42.8;42.6;42.6;455223
2017-11-01;43.0;43.0;42.2;42.6;642520
2017-10-31;42.3;43.1;42.2;42.6;607945
2017-10-30;42.0;42.2;41.8;42.0;441578
2017-10-27;41.8;41.9;41.6;41.7;398846
2017-10-26;40.6;41.8;40.5;41.8;338021
2017-10-25;40.7;41.1;40.4;40.6;286189
2017-10-24;41.0;41.0;40.7;40.7;347498
2017-10-23;41.9;41.9;40.9;41.0;616211
2017-10-20;42.3;42.3;41.5;41.9;2080266
2017-10-19;42.3;42.5;41.7;42.3;422468
2017-10-18;42.0;42.5;40.1;42.1;3806064
2017-10-17;45.3;45.8;45.2;45.8;257268
2017-10-13;46.0;46.6;45.7;45.9;197662
2017-10-12;46.4;46.4;45.9;46.0;323153
2017-10-11;45.6;46.4;45.5;46.4;169070
2017-10-10;46.5;46.7;45.5;45.8;369123
2017-10-09;46.6;46.8;46.4;46.5;434749
2017-10-06;46.3;46.8;46.3;46.6;345900
2017-10-05;46.7;46.8;46.5;46.5;117425
2017-10-04;47.1;47.1;46.2;46.5;748743
2017-10-03;46.8;47.1;46.4;47.0;131691
2017-10-02;47.7;47.7;45.9;46.8;208235
2017-09-29;46.1;47.7;45.7;47.7;306425
2017-09-28;46.2;46.3;45.7;45.8;76013
2017-09-27;46.3;46.4;46.1;46.1;84233
2017-09-26;46.4;46.5;45.9;46.1;135071
2017-09-25;45.4;46.7;45.4;46.4;247263
2017-09-22;45.3;46.1;45.0;45.2;1149839
2017-09-21;45.3;45.6;44.9;45.4;142689
2017-09-20;46.0;46.0;45.1;45.3;794684
2017-09-19;46.7;46.8;45.8;45.8;397710
2017-09-18;48.5;48.7;46.5;46.6;486017
2017-09-15;45.7;46.3;45.7;46.3;180833
2017-09-14;45.7;46.2;45.0;45.7;497976
2017-09-13;46.4;46.4;45.7;45.7;104948
2017-09-12;46.4;46.6;45.8;46.4;233218
2017-09-11;45.5;46.4;45.4;46.4;147795
2017-09-08;45.0;45.4;44.7;45.3;100439
2017-09-07;45.0;45.2;44.9;45.0;406385
2017-09-06;44.9;44.9;44.3;44.8;324869
2017-09-04;44.4;44.6;44.3;44.5;137924
2017-09-01;44.8;44.9;44.6;44.7;131282
2017-08-31;44.6;45.1;44.3;44.7;299494
