Dates;Open;High;Low;Close;Volume
2017-12-27;19.5;20.0;19.5;20.0;2498
2017-12-22;19.6;20.9;19.5;20.0;2371
2017-12-21;20.1;20.4;19.6;19.6;3060
2017-12-20;20.5;21.3;18.0;20.1;810
2017-12-19;20.7;21.3;20.5;21.0;31
2017-12-18;20.5;21.1;20.5;21.1;358
2017-12-15;20.5;21.4;20.5;20.9;304
2017-12-14;20.8;20.8;20.5;20.5;168
2017-12-12;21.1;21.4;20.5;21.1;3980
2017-12-11;21.0;22.3;21.0;21.1;507
2017-12-08;21.0;21.0;20.8;21.0;313
2017-12-07;21.2;22.5;20.9;21.0;594
2017-12-06;20.8;21.1;20.8;21.1;132
2017-12-05;21.2;21.6;21.2;21.3;312
2017-12-04;21.3;21.3;21.0;21.0;1011
2017-12-01;21.3;21.4;20.9;21.3;7985
2017-11-30;22.0;22.0;22.0;22.0;162
2017-11-29;21.5;21.7;21.4;21.7;1463
2017-11-28;21.6;21.6;21.4;21.5;1861
2017-11-27;22.6;22.6;21.3;21.6;5646
2017-11-24;23.8;23.8;21.5;22.6;254
2017-11-23;22.9;24.0;22.1;23.9;780
2017-11-22;24.3;24.3;22.9;24.1;2080
2017-11-21;24.7;24.7;24.3;24.3;1035
2017-11-20;24.1;25.9;24.1;24.7;3412
2017-11-17;23.8;23.9;23.8;23.9;578
2017-11-16;25.0;25.0;23.0;23.8;5325
2017-11-15;24.9;26.5;24.9;25.2;7565
2017-11-14;25.0;27.7;24.6;24.7;6926
2017-11-13;22.0;27.8;21.7;24.5;12563
2017-11-10;20.7;21.0;20.7;21.0;5990
2017-11-09;20.9;21.0;20.8;21.0;1009
2017-11-08;21.1;21.1;19.6;20.9;2154
2017-11-07;21.1;21.9;20.1;21.5;3032
2017-11-06;21.2;22.0;21.2;22.0;733
2017-11-03;22.6;22.6;21.0;22.0;1008
2017-11-02;22.2;22.9;22.2;22.7;729
2017-11-01;22.1;23.0;22.1;23.0;504
2017-10-31;23.0;23.0;23.0;23.0;1
2017-10-30;23.0;23.1;23.0;23.1;186
2017-10-27;23.0;24.1;22.0;23.0;532
2017-10-26;23.0;24.7;22.0;23.0;1330
2017-10-25;23.0;23.0;21.5;23.0;477
2017-10-24;23.2;23.4;23.0;23.0;1909
2017-10-23;24.9;25.0;23.2;23.2;282
2017-10-20;24.9;25.0;23.6;23.7;277
2017-10-19;23.9;23.9;23.2;23.2;384
2017-10-18;24.9;24.9;24.9;24.9;10
2017-10-17;23.9;25.0;23.9;25.0;559
2017-10-13;24.0;25.0;23.8;25.0;116
2017-10-12;24.9;24.9;24.9;24.9;250
2017-10-11;25.2;25.5;24.0;24.9;593
2017-10-10;24.0;24.1;24.0;24.1;133
2017-10-09;24.0;24.1;23.7;23.9;336
2017-10-06;24.8;24.8;24.5;24.5;167
2017-10-05;24.8;24.8;24.8;24.8;2008
2017-10-04;25.1;25.1;24.8;24.8;300
2017-10-03;24.9;25.1;24.8;25.1;213
2017-10-02;24.8;25.0;24.8;24.9;251
2017-09-29;24.9;24.9;24.8;24.8;615
2017-09-28;24.6;25.7;24.6;24.7;1825
2017-09-27;24.6;25.0;24.6;24.6;621
2017-09-26;24.6;24.7;24.6;24.6;1486
2017-09-25;24.8;26.0;24.8;25.0;1222
2017-09-22;24.8;25.9;24.8;24.8;380
2017-09-21;24.8;26.0;24.7;25.3;2830
2017-09-20;25.2;25.4;25.2;25.3;431
2017-09-19;25.5;25.7;25.5;25.5;1446
2017-09-18;25.5;25.7;24.7;25.5;3815
2017-09-15;25.0;25.9;25.0;25.8;560
2017-09-14;25.2;25.3;25.2;25.3;1964
2017-09-13;25.3;25.7;25.2;25.2;834
2017-09-12;25.9;25.9;25.1;25.7;3389
2017-09-11;25.6;26.2;25.6;25.7;1291
2017-09-08;25.6;25.8;25.4;25.4;2670
2017-09-07;25.2;26.2;25.2;25.6;2698
2017-09-06;25.1;26.1;25.1;25.1;1665
2017-09-04;26.1;27.0;26.0;26.7;7100
2017-09-01;25.5;26.2;25.5;26.0;2823
2017-08-31;26.5;26.5;24.6;25.5;6566
2017-08-30;25.0;27.0;23.9;25.4;17674
2017-08-29;25.3;36.5;25.3;35.0;9559
2017-08-28;24.6;27.0;24.6;25.2;9241
2017-08-25;25.3;26.0;24.6;24.6;1512
2017-08-24;25.1;25.2;25.1;25.1;300
2017-08-23;25.2;25.5;24.3;25.5;182
2017-08-22;25.2;25.2;25.2;25.2;1
2017-08-21;24.2;25.4;24.2;25.2;1391
2017-08-18;25.5;25.5;24.3;24.5;3738
2017-08-17;26.0;26.0;24.1;25.6;1065
2017-08-16;25.0;26.0;25.0;26.0;1712
2017-08-15;25.7;25.7;23.2;25.2;1873
2017-08-14;25.1;25.9;25.0;25.8;2568
2017-08-11;26.5;26.5;25.4;25.9;1470
2017-08-10;26.0;26.5;25.9;26.5;4002
2017-08-09;27.4;27.5;26.5;27.4;1762
2017-08-08;27.9;27.9;26.1;27.4;15538
2017-08-07;28.0;29.5;25.0;27.9;12656
2017-08-04;26.7;28.6;26.7;28.0;2884
2017-08-03;27.5;27.9;25.4;26.7;7182
2017-08-02;32.0;32.0;26.1;27.9;34547
2017-08-01;27.9;33.9;27.9;32.0;39147
2017-07-31;22.3;31.7;22.3;27.0;22514
2017-07-28;23.5;23.7;22.3;22.3;738
2017-07-27;23.2;24.6;23.2;23.8;1084
2017-07-26;24.0;24.0;22.3;23.2;1492
2017-07-25;23.1;24.0;23.1;24.0;109
2017-07-24;22.4;24.0;22.3;23.1;910
2017-07-21;22.4;22.4;22.4;22.4;6
2017-07-20;23.5;23.5;22.5;23.1;139
2017-07-19;22.1;23.5;22.1;23.5;604
2017-07-18;24.6;24.7;22.0;22.0;1599
2017-07-17;23.8;24.0;23.8;24.0;14
2017-07-14;24.0;24.0;23.6;23.6;162
2017-07-13;22.7;25.0;22.7;23.8;328
2017-07-12;24.7;25.4;24.7;25.1;705
2017-07-11;24.4;26.0;24.3;24.7;8863
2017-07-10;23.0;23.0;23.0;23.0;20
2017-07-07;23.0;24.9;23.0;23.1;293
2017-07-06;23.9;23.9;23.8;23.8;1638
2017-07-05;24.0;24.9;23.9;24.0;686
2017-07-04;24.0;24.0;23.9;23.9;1067
2017-07-03;24.5;24.5;24.5;24.5;5
2017-06-30;24.5;24.5;24.5;24.5;320
2017-06-29;24.5;24.5;24.5;24.5;908
2017-06-28;22.9;24.5;22.9;24.5;220
2017-06-27;23.0;23.0;22.9;22.9;342507
2017-06-26;22.8;23.5;22.7;23.0;961
2017-06-23;;23.5;23.5;23.5;0
2017-06-22;23.9;23.9;22.8;23.5;1227
2017-06-21;23.1;27.4;22.7;23.9;2212
2017-06-20;23.0;23.9;23.0;23.1;686
2017-06-19;24.1;25.0;22.8;23.3;2451
2017-06-16;24.3;25.0;24.3;25.0;360
2017-06-15;25.0;25.0;24.3;24.6;2912
2017-06-14;28.0;28.0;24.3;25.1;4533
2017-06-13;26.7;28.1;26.6;27.6;8631
2017-06-12;23.9;30.0;23.9;26.6;26239
2017-06-09;22.1;25.0;20.4;23.8;7630
2017-06-08;22.5;22.6;20.0;20.0;2894
2017-06-07;21.6;23.3;21.5;21.8;3502
2017-06-06;;21.6;21.6;21.6;0
2017-06-05;22.9;23.0;21.3;21.6;138
2017-06-02;23.0;23.0;22.0;22.5;200
2017-06-01;22.2;23.0;22.2;22.9;274
