Dates;Open;High;Low;Close;Volume
2017-12-27;19.1;19.3;18.9;19.3;19603
2017-12-22;19.1;19.4;19.0;19.0;51019
2017-12-21;19.2;19.4;19.1;19.1;73043
2017-12-20;19.0;19.4;19.0;19.3;36174
2017-12-19;19.2;19.2;18.9;19.0;87666
2017-12-18;19.4;19.5;19.0;19.3;109832
2017-12-15;19.2;20.0;19.0;19.8;102222
2017-12-14;19.1;19.3;19.1;19.3;13208
2017-12-13;19.2;19.4;19.1;19.4;32836
2017-12-12;19.4;19.5;19.1;19.3;15601
2017-12-11;19.8;19.9;19.3;19.4;89228
2017-12-08;19.5;19.6;19.0;19.2;73087
2017-12-07;19.3;19.5;19.0;19.3;30008
2017-12-06;19.7;19.9;19.3;19.3;50479
2017-12-05;19.8;20.1;19.7;20.0;24146
2017-12-04;20.0;20.4;19.7;19.9;132671
2017-12-01;19.7;19.9;19.7;19.9;7296
2017-11-30;19.6;19.9;19.6;19.7;22707
2017-11-29;20.0;20.0;19.6;19.6;41619
2017-11-28;19.6;20.0;19.5;19.8;38899
2017-11-27;19.6;20.1;19.6;19.8;193038
2017-11-24;19.3;19.6;19.3;19.5;92182
2017-11-23;19.5;19.7;19.2;19.2;11460
2017-11-22;19.6;19.8;19.5;19.8;9608
2017-11-21;19.8;19.8;19.5;19.6;30442
2017-11-20;19.6;19.7;19.2;19.6;27731
2017-11-17;19.9;20.0;19.5;19.5;90289
2017-11-16;19.8;19.9;19.5;19.9;19686
2017-11-15;20.1;20.4;19.6;19.9;34753
2017-11-14;20.8;20.9;19.8;20.1;205787
2017-11-13;19.4;19.9;19.2;19.9;92466
2017-11-10;19.3;19.5;19.0;19.4;44585
2017-11-09;19.0;19.3;19.0;19.3;36261
2017-11-08;18.9;19.2;18.7;19.0;224086
2017-11-07;18.5;18.9;18.4;18.8;19515
2017-11-06;18.9;18.9;18.5;18.5;71031
2017-11-03;19.2;19.4;18.9;18.9;31612
2017-11-02;19.1;19.8;19.1;19.2;50655
2017-11-01;19.1;19.3;19.0;19.1;9187
2017-10-31;19.0;19.2;18.9;19.0;10806
2017-10-30;19.1;19.5;18.9;18.9;36245
2017-10-27;19.1;19.2;19.0;19.2;33347
2017-10-26;19.0;19.1;18.8;19.1;21087
2017-10-25;19.1;19.3;18.7;18.9;33707
2017-10-24;19.3;19.5;18.9;19.0;71381
2017-10-23;19.7;19.8;19.3;19.3;38272
2017-10-20;20.0;20.0;19.5;19.7;39153
2017-10-19;19.7;20.0;19.6;19.8;10596
2017-10-18;20.0;20.0;19.6;19.7;19736
2017-10-17;20.0;20.0;19.6;20.0;28416
2017-10-13;19.9;20.1;19.7;19.7;11320
2017-10-12;20.0;20.1;19.8;20.1;29838
2017-10-11;19.9;20.1;19.7;20.0;47418
2017-10-10;19.7;20.0;19.5;19.9;34975
2017-10-09;19.6;19.9;19.5;19.8;34384
2017-10-06;19.6;19.8;19.5;19.7;33336
2017-10-05;19.3;19.6;19.1;19.6;70064
2017-10-04;19.0;19.3;18.8;19.3;28015
2017-10-03;19.0;19.4;18.8;19.0;52874
2017-10-02;19.3;19.3;18.9;18.9;61104
2017-09-29;19.4;19.4;19.2;19.3;10411
2017-09-28;18.9;19.3;18.8;19.3;28720
2017-09-27;18.8;19.1;18.7;18.9;47917
2017-09-26;19.1;19.1;18.8;18.8;41381
2017-09-25;19.4;19.4;18.8;19.0;62510
2017-09-22;19.5;19.6;19.3;19.4;19790
2017-09-21;19.6;19.7;19.4;19.4;36349
2017-09-20;19.5;19.7;19.5;19.7;14129
2017-09-19;19.7;19.7;19.5;19.6;4988
2017-09-18;19.5;19.8;19.4;19.7;23690
2017-09-15;19.5;19.7;19.5;19.5;16441
2017-09-14;19.7;19.8;19.5;19.5;46350
2017-09-13;19.8;20.0;19.6;19.8;32740
2017-09-12;19.8;19.9;19.6;19.8;33840
2017-09-11;19.4;19.9;19.1;19.8;42853
2017-09-08;18.7;19.7;18.7;19.4;101831
2017-09-07;18.6;19.0;18.4;18.7;153454
2017-09-06;19.2;19.2;18.5;18.5;98084
2017-09-04;20.0;20.0;19.4;19.4;110902
2017-09-01;20.0;20.1;19.8;20.0;106964
2017-08-31;20.3;20.3;20.0;20.0;58442
2017-08-30;20.2;20.2;19.6;20.0;42186
2017-08-29;20.3;20.7;19.9;20.1;71203
2017-08-28;20.9;21.0;20.5;20.8;23628
2017-08-25;21.9;21.9;20.8;20.8;41028
2017-08-24;21.6;22.0;21.5;21.8;46797
2017-08-23;21.0;21.6;20.6;21.5;36708
2017-08-22;21.2;21.5;21.0;21.0;17864
2017-08-21;20.8;21.4;20.8;21.3;13223
2017-08-18;20.8;21.1;20.8;21.0;44067
2017-08-17;20.8;21.0;20.8;20.9;23046
2017-08-16;20.6;21.0;20.6;20.8;5222
2017-08-15;21.0;21.1;20.6;20.6;8871
2017-08-14;20.8;21.2;20.8;21.0;13853
2017-08-11;21.1;21.1;20.7;21.0;10717
2017-08-10;21.4;21.4;20.9;21.1;35262
2017-08-09;21.6;21.6;21.2;21.3;15785
2017-08-08;21.9;21.9;21.6;21.8;5808
2017-08-07;21.7;21.8;21.7;21.8;10315
2017-08-04;21.2;21.6;21.2;21.6;1915
2017-08-03;21.5;21.8;21.3;21.3;15285
2017-08-02;21.5;21.7;21.2;21.5;31682
2017-08-01;21.0;21.9;21.0;21.5;47637
2017-07-31;21.0;21.3;21.0;21.0;25980
2017-07-28;22.0;22.0;20.9;20.9;36791
2017-07-27;21.9;22.0;21.9;22.0;17351
2017-07-26;21.3;21.9;21.3;21.9;15341
2017-07-25;21.3;21.3;21.1;21.3;5625
2017-07-24;21.3;21.4;21.1;21.3;13079
2017-07-21;21.8;22.0;21.3;21.5;37928
2017-07-20;21.6;22.0;21.4;22.0;33625
2017-07-19;22.0;22.0;21.4;21.5;29417
2017-07-18;22.6;22.6;21.8;22.1;95594
2017-07-17;22.6;22.8;22.5;22.6;37780
2017-07-14;22.5;22.7;22.4;22.6;120838
2017-07-13;22.6;22.6;22.4;22.5;72792
2017-07-12;22.7;22.7;22.4;22.6;69897
2017-07-11;21.8;22.7;21.7;22.7;246597
2017-07-10;21.3;21.8;21.2;21.8;44767
2017-07-07;21.0;21.5;21.0;21.3;71998
2017-07-06;21.1;21.2;20.9;21.2;26206
2017-07-05;20.7;21.2;20.7;21.2;51319
2017-07-04;20.6;20.8;20.6;20.7;28027
2017-07-03;20.6;20.8;20.5;20.8;40330
2017-06-30;20.9;20.9;20.6;20.6;23295
2017-06-29;20.7;20.8;20.6;20.7;87032
2017-06-28;21.3;21.5;20.5;20.6;105408
2017-06-27;21.5;22.0;21.3;21.8;8566915
2017-06-26;21.0;21.5;20.9;21.5;54717
2017-06-23;;21.0;21.0;21.0;0
2017-06-22;21.1;21.1;20.5;21.0;61969
2017-06-21;20.9;21.1;20.9;21.1;27720
2017-06-20;21.2;21.2;20.9;21.1;50447
2017-06-19;20.8;21.1;20.7;21.1;71985
2017-06-16;21.0;21.1;20.7;21.0;70459
2017-06-15;20.9;21.0;20.6;20.9;125052
2017-06-14;20.4;20.8;20.1;20.8;109033
2017-06-13;20.4;20.5;20.2;20.2;63211
2017-06-12;20.0;20.4;19.8;20.4;30704
2017-06-09;19.7;20.0;19.6;20.0;106357
2017-06-08;19.7;19.9;19.4;19.8;146268
2017-06-07;19.4;20.0;19.4;19.8;104421
2017-06-06;;19.8;19.8;19.8;0
2017-06-05;19.8;19.9;19.5;19.8;31351
2017-06-02;19.4;19.7;19.3;19.5;14087
2017-06-01;19.6;19.6;19.2;19.4;45044
2017-05-31;19.8;19.8;19.4;19.7;40251
2017-05-30;19.7;19.9;19.5;19.7;48685
2017-05-29;19.9;20.4;19.9;20.4;55870
2017-05-26;20.2;20.8;19.9;19.9;139385
2017-05-24;20.1;20.5;20.1;20.5;69025
2017-05-23;20.2;20.4;19.8;20.1;69246
2017-05-22;20.1;20.2;20.0;20.1;38116
2017-05-19;20.0;20.3;19.9;20.0;55269
2017-05-18;20.3;20.4;19.8;20.0;114727
2017-05-17;20.6;20.6;20.3;20.3;116799
2017-05-16;21.0;21.1;20.5;20.6;50715
2017-05-15;21.2;21.2;20.6;20.7;45095
2017-05-12;21.0;20.8;20.8;20.8;80722
2017-05-11;20.4;20.5;20.1;20.5;96358
2017-05-10;20.8;20.8;20.3;20.3;56417
2017-05-09;20.8;20.8;20.4;20.8;44373
2017-05-08;20.6;20.9;20.5;20.5;55555
2017-05-05;20.2;20.7;20.1;20.5;58027
2017-05-04;19.8;20.2;19.8;20.2;59689
2017-05-03;19.8;20.0;19.7;19.8;18104
2017-05-02;20.0;20.1;19.8;19.8;28752
2017-05-01;;20.1;20.1;20.1;0
2017-04-28;20.0;20.3;20.0;20.1;33737
2017-04-27;20.1;20.2;20.0;20.2;42848
2017-04-26;20.0;20.2;20.0;20.1;25740
2017-04-25;20.0;20.2;19.8;20.0;121094
2017-04-24;19.9;20.2;19.8;20.2;86602
2017-04-21;19.7;20.2;19.4;20.2;457049
2017-04-20;19.3;19.6;19.1;19.5;58492
2017-04-19;19.2;19.4;18.7;19.3;71501
2017-04-18;19.4;19.4;18.6;18.8;81327
2017-04-13;19.1;19.4;19.0;19.0;40064
