Dates;Open;High;Low;Close;Volume
2017-12-27;99.25;99.75;98.75;99.75;83644
2017-12-22;99.25;100.0;98.0;99.25;155527
2017-12-21;99.0;99.75;97.75;99.25;155871
2017-12-20;94.75;100.0;94.0;98.75;207431
2017-12-19;93.75;94.75;92.25;94.75;66445
2017-12-18;92.5;94.5;91.5;93.5;102755
2017-12-15;90.0;92.5;89.25;92.5;65577
2017-12-14;90.5;90.5;88.25;90.0;68509
2017-12-13;88.75;90.75;88.25;90.5;114879
2017-12-12;85.25;88.0;85.0;88.0;117895
2017-12-11;84.75;85.75;84.0;84.75;81609
2017-12-08;86.0;86.75;84.25;84.5;75664
2017-12-07;84.5;87.75;83.75;86.0;225667
2017-12-06;84.25;85.0;83.0;83.75;104533
2017-12-05;86.75;87.0;84.25;84.5;136199
2017-12-04;86.0;88.5;85.75;86.25;307917
2017-12-01;86.5;88.25;84.0;85.25;108536
2017-11-30;90.0;90.25;85.0;85.75;591889
2017-11-29;87.5;90.5;87.0;88.25;200078
2017-11-28;85.75;87.75;85.25;87.5;209640
2017-11-27;86.0;87.0;85.0;85.75;64485
2017-11-24;85.25;86.25;84.0;85.75;51762
2017-11-23;86.0;87.25;84.0;84.0;57019
2017-11-22;84.5;86.75;84.5;85.75;56428
2017-11-21;84.5;85.25;83.5;84.25;79533
2017-11-20;86.0;86.75;84.5;84.75;72698
2017-11-17;85.0;87.0;84.25;84.75;119300
2017-11-16;81.0;86.0;80.5;84.75;291763
2017-11-15;83.75;84.25;79.5;80.75;146625
2017-11-14;85.75;86.5;82.5;84.0;71978
2017-11-13;88.25;88.75;84.75;85.25;177048
2017-11-10;88.5;88.75;85.75;87.5;180613
2017-11-09;89.5;91.25;87.25;88.0;215658
2017-11-08;87.5;89.0;86.0;87.75;261116
2017-11-07;85.5;88.0;84.75;86.75;563156
2017-11-06;77.25;81.0;77.25;79.25;168097
2017-11-03;77.5;77.5;76.25;77.25;25595
2017-11-02;77.0;78.0;76.5;77.25;50550
2017-11-01;77.75;78.0;75.5;77.0;51962
2017-10-31;77.0;78.75;77.0;77.75;74532
2017-10-30;75.75;78.0;75.75;77.0;67333
2017-10-27;75.25;75.75;75.0;75.75;37466
2017-10-26;73.75;76.0;72.5;75.75;70749
2017-10-25;74.25;75.0;72.5;73.5;52068
2017-10-24;75.5;75.5;73.25;73.75;36248
2017-10-23;77.5;77.75;74.5;75.5;41769
2017-10-20;72.5;77.0;72.5;76.75;112077
2017-10-19;74.25;74.25;71.5;73.25;544172
2017-10-18;74.5;75.0;74.0;74.0;134823
2017-10-17;75.75;75.75;74.25;74.5;46427
2017-10-13;76.25;77.0;75.5;76.5;177142
2017-10-12;75.5;76.25;75.0;75.5;230310
2017-10-11;74.0;75.5;73.5;75.0;193726
2017-10-10;75.25;76.0;74.0;74.25;73387
