Dates;Open;High;Low;Close;Volume
2017-12-27;23.1;23.2;22.7;23.1;14253
2017-12-22;23.2;23.2;22.5;23.1;28943
2017-12-21;23.3;23.3;22.6;23.2;32984
2017-12-20;22.8;23.3;22.1;23.2;38451
2017-12-19;22.9;23.5;22.5;22.8;196204
2017-12-18;24.6;25.0;22.5;22.6;88428
2017-12-15;25.0;25.0;24.0;24.2;18883
2017-12-14;25.0;25.1;24.5;24.9;6514
2017-12-13;25.7;26.3;25.4;25.7;16807
2017-12-12;27.0;27.0;25.7;26.3;17718
2017-12-11;26.4;27.3;26.2;27.2;54222
2017-12-08;26.8;27.4;26.7;27.0;17732
2017-12-07;26.0;27.4;26.0;27.4;38759
2017-12-06;26.3;26.8;26.0;26.6;20431
2017-12-05;26.5;26.5;25.4;26.3;6422
2017-12-04;24.0;26.4;24.0;26.4;29955
2017-12-01;23.7;25.0;23.7;24.8;22405
2017-11-30;23.8;24.4;23.4;24.4;23735
2017-11-29;23.8;24.5;23.3;23.3;55849
2017-11-28;23.4;23.4;22.6;23.4;30708
2017-11-27;23.0;24.1;22.9;24.1;9738
2017-11-24;23.0;23.7;22.6;22.9;110892
2017-11-23;22.3;23.2;22.3;23.0;17623
2017-11-22;22.5;23.0;22.2;22.8;21075
2017-11-21;22.7;23.3;22.6;22.9;11233
2017-11-20;22.4;22.8;21.8;22.7;24736
2017-11-17;22.3;23.0;22.0;23.0;21062
2017-11-16;22.2;22.5;22.1;22.5;19504
2017-11-15;23.0;23.1;22.1;22.7;15963
2017-11-14;23.0;23.2;23.0;23.2;6127
2017-11-13;23.3;23.4;22.9;23.2;20639
2017-11-10;23.3;23.4;23.0;23.3;26142
2017-11-09;23.2;23.5;22.8;23.4;42089
2017-11-08;23.1;23.6;23.0;23.2;31572
2017-11-07;22.8;23.8;22.8;23.4;42156
2017-11-06;23.5;23.7;23.3;23.7;14728
2017-11-03;23.6;23.8;23.0;23.7;27160
2017-11-02;24.0;24.3;23.2;23.7;38245
2017-11-01;26.2;26.2;23.2;25.0;84937
2017-10-31;28.0;28.0;25.4;26.2;35677
2017-10-30;27.9;28.0;27.5;27.9;4272
