Dates;Open;High;Low;Close;Volume
2017-12-27;152.5;155.0;152.5;153.5;11929
2017-12-22;148.5;154.0;148.25;152.0;21394
2017-12-21;151.5;155.0;149.0;149.0;78852
2017-12-20;151.5;154.0;151.0;152.0;37363
2017-12-19;149.75;153.0;149.5;152.0;17163
2017-12-18;151.5;152.0;149.5;150.5;172202
2017-12-15;148.75;150.5;147.75;148.5;49248
2017-12-14;147.5;151.0;146.5;148.75;46339
2017-12-13;147.5;148.5;143.25;147.5;43346
2017-12-12;142.5;148.5;142.25;147.5;28579
2017-12-11;140.25;145.25;139.5;144.75;106067
2017-12-08;143.75;143.75;139.25;140.0;27703
2017-12-07;139.0;141.0;137.25;140.75;18087
2017-12-06;141.0;143.75;138.25;140.5;24489
2017-12-05;141.0;143.5;139.5;141.25;206808
2017-12-04;140.0;141.5;139.0;141.25;21072
2017-12-01;139.75;143.75;138.0;140.0;32755
2017-11-30;143.0;144.0;139.0;139.25;27755
2017-11-29;143.0;147.0;142.75;144.5;24197
2017-11-28;143.75;144.75;142.25;142.25;25073
2017-11-27;142.75;145.0;141.75;143.5;24097
2017-11-24;144.0;145.0;143.0;143.25;37000
2017-11-23;144.5;146.0;143.0;144.0;19301
2017-11-22;144.5;147.75;144.5;144.75;20010
2017-11-21;142.75;145.0;141.5;144.5;17420
2017-11-20;144.5;145.75;141.25;142.25;19897
2017-11-17;143.25;146.0;142.75;144.25;22903
2017-11-16;144.0;144.5;142.25;143.5;24932
2017-11-15;142.25;144.25;139.5;144.0;24623
2017-11-14;141.0;143.25;140.25;142.75;18691
2017-11-13;142.0;143.5;140.0;141.75;24210
2017-11-10;143.0;143.0;139.25;142.25;22794
2017-11-09;138.75;144.0;137.25;142.5;29770
2017-11-08;141.5;143.75;133.5;139.0;117715
2017-11-07;141.25;143.0;138.5;141.0;14232
2017-11-06;140.0;142.0;139.75;141.25;134337
2017-11-03;138.0;140.75;137.75;140.75;3783
2017-11-02;142.25;142.25;136.75;137.5;13946
2017-11-01;140.75;143.75;138.75;140.5;89946
2017-10-31;140.0;140.75;138.0;140.5;23493
2017-10-30;139.0;140.75;136.25;139.75;16799
2017-10-27;140.25;140.5;138.75;139.75;29891
2017-10-26;139.5;141.0;139.0;139.75;23127
2017-10-25;136.5;140.75;136.5;139.5;16147
2017-10-24;138.5;140.75;137.75;138.5;65590
2017-10-23;137.5;142.0;137.5;139.25;28660
2017-10-20;136.5;138.5;136.5;137.5;44361
2017-10-19;134.75;135.5;132.75;135.0;37790
2017-10-18;134.5;135.75;133.0;134.75;11097
2017-10-17;133.25;134.75;131.5;134.5;162741
2017-10-13;134.0;135.5;133.5;134.75;18930
2017-10-12;134.5;136.5;133.5;134.5;5723
2017-10-11;134.5;135.75;131.75;135.25;32457
2017-10-10;137.5;137.5;134.5;134.5;8804
2017-10-09;135.75;138.0;135.75;137.5;113681
2017-10-06;140.0;140.0;135.0;137.5;39043
2017-10-05;136.0;139.25;135.75;136.5;34072
2017-10-04;138.0;138.0;135.0;136.0;58655
2017-10-03;143.5;143.5;138.0;138.0;61114
2017-10-02;143.75;143.75;139.25;143.5;22557
2017-09-29;137.0;141.25;133.0;137.75;29313
2017-09-28;138.0;141.0;137.5;138.0;16336
2017-09-27;133.75;141.0;132.25;138.0;67089
2017-09-26;133.75;135.75;132.75;133.75;16493
2017-09-25;130.25;136.0;130.0;134.25;487589
2017-09-22;132.25;133.0;129.5;130.0;33460
2017-09-21;130.0;132.25;129.75;132.25;16277
2017-09-20;130.0;131.0;127.5;130.0;17345
2017-09-19;127.0;131.0;126.5;129.75;63660
2017-09-18;127.25;130.75;127.0;127.5;28146
2017-09-15;128.5;131.75;128.0;129.0;55276
2017-09-14;127.25;131.5;127.25;130.5;29009
2017-09-13;126.0;128.75;126.0;127.25;693023
2017-09-12;125.75;128.0;121.5;126.75;63760
2017-09-11;125.75;128.0;125.75;126.0;18110
2017-09-08;128.5;128.5;125.0;125.75;37388
2017-09-07;126.75;129.75;124.75;128.5;27020
2017-09-06;124.0;127.25;122.75;126.5;32495
2017-09-04;125.0;126.75;124.0;125.0;16394
2017-09-01;122.0;126.0;122.0;124.75;17309
2017-08-31;121.0;124.75;121.0;122.75;15646
2017-08-30;120.25;126.25;119.5;122.25;28876
2017-08-29;121.25;121.5;119.5;121.0;26525
2017-08-28;121.25;122.0;120.0;120.75;16469
2017-08-25;120.0;123.25;120.0;121.5;19615
2017-08-24;125.0;125.0;120.0;120.0;30280
2017-08-23;124.5;125.0;124.0;124.75;19534
2017-08-22;122.25;124.5;122.0;124.25;30797
2017-08-21;120.0;120.75;119.5;120.75;19085
2017-08-18;121.0;121.0;119.0;120.25;19581
2017-08-17;119.25;122.25;117.5;122.0;20378
2017-08-16;120.75;122.0;118.75;119.5;37731
2017-08-15;119.0;120.25;118.75;120.25;350625
2017-08-14;120.5;122.5;117.75;119.0;24863
2017-08-11;120.0;121.75;118.75;120.0;30088
2017-08-10;126.5;126.5;123.0;123.0;81940
2017-08-09;130.0;130.0;126.25;126.5;18582
2017-08-08;129.75;130.0;127.5;130.0;16562
2017-08-07;127.0;129.75;125.5;129.25;15878
2017-08-04;126.5;127.5;126.25;126.25;15163
2017-08-03;127.75;128.0;126.0;127.75;19412
2017-08-02;128.0;128.5;126.75;127.75;21854
2017-08-01;125.75;129.5;125.75;128.0;23297
2017-07-31;126.5;128.5;126.25;126.5;17382
2017-07-28;132.0;132.0;126.5;126.5;18851
2017-07-27;131.0;133.5;129.25;132.75;18405
2017-07-26;130.5;132.0;128.5;131.0;7307
2017-07-25;130.75;132.0;130.25;131.25;8859
2017-07-24;130.75;133.0;130.75;131.0;20162
2017-07-21;134.25;134.25;129.0;130.5;37282
2017-07-20;133.5;134.75;132.25;133.25;17759
2017-07-19;132.0;134.25;130.75;134.25;15779
2017-07-18;134.25;134.25;132.5;133.5;13165
2017-07-17;131.75;132.5;130.5;131.0;27402
2017-07-14;132.0;134.25;131.5;132.75;17848
2017-07-13;134.75;134.75;131.25;131.25;23884
2017-07-12;136.5;136.75;134.75;134.75;13909
2017-07-11;136.25;137.0;135.75;136.0;13920
2017-07-10;136.5;137.25;135.75;136.0;7153
2017-07-07;136.25;136.75;136.0;136.25;22577
2017-07-06;138.25;138.25;136.25;136.5;16366
2017-07-05;137.25;138.25;136.75;138.0;12136
2017-07-04;137.25;139.25;136.5;137.5;10275
2017-07-03;138.25;138.5;137.0;137.75;12711
2017-06-30;138.0;140.0;137.5;138.0;23760
2017-06-29;141.0;141.75;138.0;138.0;33150
2017-06-28;141.0;143.0;140.5;141.0;17198
2017-06-27;143.0;143.25;141.0;142.0;36085
2017-06-26;142.0;144.25;142.0;143.75;17065
2017-06-23;;142.5;142.5;142.5;0
2017-06-22;142.5;143.5;141.25;142.5;27412
2017-06-21;144.5;144.5;142.25;143.0;13437
2017-06-20;141.75;146.0;141.5;145.0;47023
2017-06-19;139.0;142.75;139.0;141.75;25980
2017-06-16;139.5;140.5;138.0;140.5;83038
2017-06-15;139.0;139.5;137.0;138.5;52753
2017-06-14;139.0;139.5;137.25;138.25;34688
2017-06-13;137.0;140.0;137.0;139.0;32274
2017-06-12;140.0;140.0;135.75;136.5;50902
2017-06-09;139.5;141.0;138.5;140.0;97983
2017-06-08;141.25;142.0;137.75;139.0;63496
2017-06-07;143.75;144.75;140.5;141.0;75626
2017-06-06;;141.0;141.0;141.0;0
2017-06-05;146.0;146.5;141.0;141.0;59356
2017-06-02;141.0;146.75;140.5;146.0;94720
2017-06-01;138.25;141.0;138.0;140.0;201961
2017-05-31;139.75;140.25;135.25;137.5;442449
2017-05-30;145.0;145.0;139.5;140.0;199819
2017-05-29;140.5;143.0;139.25;143.0;34327
2017-05-26;141.5;142.0;139.25;140.5;62515
2017-05-24;139.5;141.25;139.5;141.25;25314
2017-05-23;137.5;139.5;137.0;138.75;61085
2017-05-22;139.0;139.5;138.0;138.5;39648
2017-05-19;140.5;142.25;138.25;139.0;44480
2017-05-18;142.0;142.0;137.25;141.75;55431
2017-05-17;143.0;146.25;141.5;143.25;64109
2017-05-16;149.0;150.0;142.75;144.25;67623
