Dates;Open;High;Low;Close;Volume
2017-12-27;64.25;64.25;62.75;63.5;35999
2017-12-22;64.5;64.5;62.0;63.5;66316
2017-12-21;62.25;63.75;62.0;63.0;63415
2017-12-20;64.25;64.25;62.25;63.25;31150
2017-12-19;63.25;63.75;62.0;62.75;13885
2017-12-18;64.0;64.5;62.0;62.5;38358
2017-12-15;62.0;63.5;61.875;63.5;216918
2017-12-14;62.0;62.25;61.5;62.0;46546
2017-12-13;61.5;61.5;60.25;61.5;133843
2017-12-12;63.75;63.75;59.75;61.5;525815
2017-12-11;65.75;65.75;60.25;62.25;87090
2017-12-08;64.75;66.0;63.0;63.5;69419
2017-12-07;66.0;66.0;64.0;64.75;29760
2017-12-06;65.75;67.0;65.25;67.0;13534
2017-12-05;65.25;66.0;65.0;65.75;20570
2017-12-04;65.75;65.75;65.5;65.5;5571
2017-12-01;66.5;66.5;65.25;66.0;15778
2017-11-30;65.5;66.5;65.0;66.5;18239
2017-11-29;66.5;66.5;65.25;65.25;8514
2017-11-28;65.0;65.75;64.5;64.75;170625
2017-11-27;67.25;67.25;64.5;64.75;15234
2017-11-24;67.0;67.0;66.5;66.75;13333
2017-11-23;66.75;67.25;66.5;67.0;17030
2017-11-22;65.75;66.75;65.0;66.5;32007
2017-11-21;67.0;67.0;65.5;66.0;9546
2017-11-20;65.25;67.25;64.75;66.75;104792
2017-11-17;66.5;66.75;64.75;65.25;255290
2017-11-16;64.5;66.0;64.5;66.0;19941
2017-11-15;65.5;65.5;62.75;64.0;55754
2017-11-14;63.0;65.25;63.0;65.0;8412
2017-11-13;64.75;65.25;62.25;63.0;306167
2017-11-10;66.0;66.0;64.5;65.25;13282
2017-11-09;65.25;66.0;65.0;66.0;45188
2017-11-08;66.5;66.5;64.75;66.0;525260
2017-11-07;65.5;66.5;65.0;66.5;25477
2017-11-06;66.5;66.5;64.75;65.5;16809
2017-11-03;66.0;66.5;65.25;65.5;6435
2017-11-02;65.0;65.75;65.0;65.25;15435
2017-11-01;66.0;66.0;65.25;65.5;19632
2017-10-31;65.0;66.0;64.5;66.0;70985
2017-10-30;65.75;68.25;62.75;64.75;78336
2017-10-27;61.0;65.0;61.0;64.75;108138
2017-10-26;60.75;61.0;60.0;60.5;122048
2017-10-25;60.0;61.25;60.0;60.75;35053
2017-10-24;59.5;60.5;59.5;60.5;30271
2017-10-23;58.0;59.5;58.0;59.5;23832
2017-10-20;59.25;59.75;58.75;59.0;9039
2017-10-19;59.0;59.0;58.25;59.0;9506
2017-10-18;58.5;59.0;58.0;59.0;83195
2017-10-17;58.25;58.25;57.5;58.0;10262
2017-10-13;58.5;58.5;57.5;58.0;9276
2017-10-12;57.75;58.5;57.75;58.25;14019
2017-10-11;58.0;58.0;57.5;57.75;12070
2017-10-10;57.5;58.25;57.5;58.25;34628
2017-10-09;57.25;58.5;57.25;57.75;28917
2017-10-06;57.25;57.75;57.0;57.5;33698
2017-10-05;56.75;58.0;56.75;57.5;9909
2017-10-04;57.5;58.0;56.5;56.75;35917
2017-10-03;57.5;58.25;57.25;57.5;118861
2017-10-02;57.25;59.5;57.25;57.5;22097
2017-09-29;58.0;58.25;57.5;58.0;15596
2017-09-28;57.5;59.25;57.5;58.0;15763
2017-09-27;58.25;59.25;58.25;59.25;209415
2017-09-26;57.5;59.0;57.25;58.25;20657
2017-09-25;59.75;59.75;58.0;58.5;22416
2017-09-22;58.0;58.25;58.0;58.0;10213
2017-09-21;59.5;59.75;57.5;58.0;13724
2017-09-20;59.25;60.0;58.75;59.5;33067
2017-09-19;60.25;62.0;59.25;59.75;61545
2017-09-18;60.25;60.5;59.25;60.25;44441
2017-09-15;58.25;60.75;57.5;60.75;44744
2017-09-14;56.0;59.25;56.0;58.25;147569
2017-09-13;55.75;56.75;55.75;56.25;145176
2017-09-12;55.75;56.75;55.75;56.25;26155
2017-09-11;56.0;56.75;56.0;56.0;15662
2017-09-08;56.25;57.5;56.0;56.25;9615
2017-09-07;59.25;59.25;56.0;56.0;12188
2017-09-06;58.5;58.5;56.25;57.0;33104
2017-09-04;55.75;58.0;55.75;58.0;30346
2017-09-01;55.0;57.75;55.0;57.5;15527
2017-08-31;56.5;57.0;55.75;56.5;43759
2017-08-30;54.0;55.25;54.0;54.75;47964
2017-08-29;55.5;55.5;52.25;53.5;58735
2017-08-28;54.0;56.25;53.75;54.5;241686
2017-08-25;55.25;55.25;53.5;53.75;34191
2017-08-24;56.0;56.0;55.0;55.25;16634
2017-08-23;55.5;56.0;55.0;55.25;8611
2017-08-22;55.25;56.0;55.0;55.25;41439
2017-08-21;55.5;55.5;54.0;54.75;130689
2017-08-18;56.25;56.25;54.0;55.5;30111
2017-08-17;58.0;58.75;55.25;56.25;46628
2017-08-16;58.0;59.0;57.75;57.75;8985
