Dates;Open;High;Low;Close;Volume
2017-11-24;51.75;51.75;50.25;50.5;10588
2017-11-23;51.0;52.0;50.75;50.75;3376
2017-11-22;51.0;51.25;50.5;51.0;14397
2017-11-21;51.25;51.5;50.5;51.0;6317
2017-11-20;50.5;51.5;50.5;51.0;28599
2017-11-17;51.5;51.5;50.5;50.5;60697
2017-11-16;50.5;51.75;50.5;51.5;113054
2017-11-15;50.0;51.5;49.9;51.5;9448
2017-11-14;50.75;51.5;50.5;51.5;8298
2017-11-13;52.5;52.5;50.75;50.75;148226
2017-11-10;51.0;53.5;51.0;53.0;3966
2017-11-09;52.0;55.0;51.5;52.0;132467
2017-11-08;50.5;54.0;50.0;51.75;24472
2017-11-07;49.4;50.5;48.8;50.5;22858
2017-11-06;51.0;51.0;49.0;49.4;24798
2017-11-03;50.5;51.0;50.0;51.0;6122
2017-11-02;51.0;51.75;50.5;50.5;13097
2017-11-01;50.25;51.5;49.6;50.75;34073
2017-10-31;50.5;50.5;50.0;50.25;13274
2017-10-30;51.0;51.25;49.7;50.25;24380
2017-10-27;53.75;54.5;50.75;51.75;22678
2017-10-26;53.0;54.75;53.0;53.75;22894
2017-10-25;56.0;56.0;52.5;52.5;165116
2017-10-24;59.25;69.5;57.0;57.0;96000
2017-10-23;56.5;59.0;56.5;58.0;41138
2017-10-20;55.0;55.25;54.0;54.75;223419
2017-10-19;55.0;55.75;55.0;55.0;3852
2017-10-18;54.5;55.5;54.5;55.0;2966
2017-10-17;54.25;55.75;53.0;54.5;7472
2017-10-13;54.5;54.5;53.75;54.0;26686
2017-10-12;54.0;55.5;54.0;54.5;51943
2017-10-11;54.0;56.5;51.5;53.75;63909
2017-10-10;52.0;53.75;51.5;52.25;64155
2017-10-09;51.75;56.5;51.5;52.0;18658
2017-10-06;51.0;54.0;51.0;51.25;9597
2017-10-05;51.5;52.0;51.0;51.0;4883
2017-10-04;51.75;52.0;50.5;50.5;2707
2017-10-03;51.0;51.75;51.0;51.75;449
2017-10-02;50.75;52.0;50.75;50.75;5271
2017-09-29;49.5;52.0;49.5;50.75;57785
2017-09-28;51.5;52.0;49.5;49.5;5427
2017-09-27;51.5;52.0;50.0;50.5;16184
2017-09-26;50.0;53.75;50.0;51.5;8429
2017-09-25;49.1;50.5;49.1;50.0;2079
2017-09-22;50.0;50.5;49.1;49.1;7302
2017-09-21;50.5;50.5;50.0;50.0;3319
2017-09-20;51.0;51.5;49.7;50.5;3309
2017-09-19;51.0;52.25;50.5;51.0;4125
2017-09-18;48.5;50.75;48.5;50.75;12745
2017-09-15;48.0;48.3;48.0;48.1;200837
2017-09-14;48.2;48.6;47.9;48.0;176718
2017-09-13;48.5;48.5;47.5;48.2;104943
2017-09-12;48.1;48.5;47.7;48.5;105098
2017-09-11;47.5;48.2;47.5;47.6;200922
2017-09-08;48.5;48.5;47.1;47.5;5912
2017-09-07;48.5;48.5;46.8;46.8;3558
2017-09-06;47.0;48.2;47.0;48.1;342043
2017-09-04;47.0;48.6;46.6;46.6;130952
2017-09-01;47.0;47.1;46.7;47.1;2052
2017-08-31;46.9;47.0;46.5;47.0;3728
2017-08-30;46.5;46.8;46.5;46.6;927
2017-08-29;46.5;46.5;46.5;46.5;3292
2017-08-28;46.6;46.7;46.5;46.5;4564
2017-08-25;46.5;46.9;46.5;46.7;2238
2017-08-24;46.5;47.8;46.5;46.5;1793
2017-08-23;47.4;47.4;47.0;47.0;1674
2017-08-22;46.5;47.5;46.5;47.5;4595
2017-08-21;47.0;47.0;46.5;46.5;6749
2017-08-18;47.6;47.6;47.0;47.1;913
2017-08-17;46.5;47.0;46.5;47.0;14157
2017-08-16;46.5;47.3;46.5;46.5;15070
2017-08-15;46.4;46.5;46.4;46.4;684
2017-08-14;47.0;47.4;46.2;46.3;106318
2017-08-11;47.7;47.7;46.6;46.6;155551
2017-08-10;48.6;48.7;47.7;47.7;14071
2017-08-09;48.6;49.0;47.8;48.8;7433
2017-08-08;47.6;48.5;47.6;48.5;8382
2017-08-07;48.5;48.5;47.6;47.6;8391
2017-08-04;47.0;47.5;46.8;47.5;15985
2017-08-03;47.4;47.5;46.9;46.9;22728
