Dates;Open;High;Low;Close;Volume
2017-12-27;82.75;83.75;82.75;83.25;2781
2017-12-22;83.75;84.0;82.25;83.0;7238
2017-12-21;81.75;84.5;81.5;83.25;13100
2017-12-20;82.0;83.0;81.75;82.25;4878
2017-12-19;82.0;83.5;81.75;83.0;27252
2017-12-18;81.25;83.0;81.25;83.0;39562
2017-12-15;82.0;82.25;81.0;82.0;10820
2017-12-14;81.5;82.75;81.5;82.75;6507
2017-12-13;83.0;83.5;82.25;82.5;10735
2017-12-12;83.0;84.0;82.75;83.0;14379
2017-12-11;82.25;83.5;81.0;83.0;221666
2017-12-08;80.75;83.25;80.75;82.25;31264
2017-12-07;82.25;82.75;81.25;82.0;17726
2017-12-06;83.25;83.75;82.75;83.0;4612
2017-12-05;86.0;86.0;83.0;86.0;6365
2017-12-04;84.25;87.25;83.0;85.25;16931
2017-12-01;82.5;84.75;81.5;84.25;78548
2017-11-30;84.75;84.75;81.75;81.75;17748
2017-11-29;84.0;85.0;83.75;84.25;4803
2017-11-28;83.5;85.25;81.75;83.75;10199
2017-11-27;85.75;85.75;83.5;83.5;5272
2017-11-24;86.0;86.0;84.25;84.25;3338
2017-11-23;86.5;86.5;83.0;85.5;5232
2017-11-22;86.0;87.0;84.75;84.75;7184
2017-11-21;84.0;86.25;83.5;86.0;15011
2017-11-20;84.25;85.25;84.0;84.0;7908
2017-11-17;85.0;86.75;84.75;84.75;8034
2017-11-16;83.75;86.0;83.75;85.25;10418
2017-11-15;86.25;86.25;82.5;83.75;14156
2017-11-14;86.5;86.5;84.0;84.75;11370
2017-11-13;86.5;86.5;84.5;86.25;8471
2017-11-10;88.5;88.5;85.0;86.5;21826
2017-11-09;88.0;88.75;87.75;88.25;10870
2017-11-08;91.5;91.5;87.0;88.5;36185
2017-11-07;93.0;93.0;90.75;91.75;9725
2017-11-06;93.25;93.5;91.5;91.5;108143
2017-11-03;91.0;93.5;91.0;93.0;10704
2017-11-02;92.0;93.0;90.75;90.75;8968
2017-11-01;92.0;93.5;91.5;92.25;7205
2017-10-31;94.0;94.5;91.25;91.25;13890
2017-10-30;94.25;94.5;92.0;92.5;19387
2017-10-27;94.25;95.5;94.0;94.0;3147
2017-10-26;96.0;97.0;94.0;94.0;20613
2017-10-25;96.25;97.5;96.0;96.0;32349
2017-10-24;97.0;97.0;96.0;96.25;42345
2017-10-23;96.0;99.5;93.0;95.5;112066
2017-10-20;87.0;90.0;87.0;88.75;22389
2017-10-19;84.5;87.25;83.5;87.0;33783
2017-10-18;85.25;85.5;84.75;85.5;19760
2017-10-17;85.75;85.75;85.0;85.25;11909
2017-10-13;85.25;86.25;85.0;86.0;14415
2017-10-12;87.25;87.5;85.0;85.0;26971
2017-10-11;86.0;86.5;85.0;86.5;70572
2017-10-10;99.0;99.0;85.25;86.25;132937
2017-10-09;98.0;99.0;97.5;98.75;16372
2017-10-06;98.0;99.0;98.0;99.0;9745
2017-10-05;98.75;99.0;97.5;99.0;16169
2017-10-04;98.5;99.0;98.5;99.0;5478
2017-10-03;99.0;99.25;98.0;98.75;3897
2017-10-02;99.0;100.25;96.5;99.0;23042
2017-09-29;99.25;99.75;99.0;99.5;10151
2017-09-28;100.0;100.25;98.25;99.0;24553
2017-09-27;98.5;101.25;98.5;100.25;10448
2017-09-26;99.0;99.5;98.0;98.25;40363
2017-09-25;97.75;98.75;97.75;98.75;6024
2017-09-22;99.0;99.25;98.5;98.5;5198
2017-09-21;98.0;99.25;98.0;99.0;14051
2017-09-20;97.0;98.25;97.0;97.5;8718
2017-09-19;97.0;97.5;97.0;97.0;9784
2017-09-18;98.0;98.0;96.0;97.0;11365
2017-09-15;96.0;98.0;94.75;98.0;10894
2017-09-14;97.0;97.25;95.25;96.0;11848
2017-09-13;96.5;98.0;94.75;96.5;4470
2017-09-12;96.0;96.0;93.25;94.5;2929
2017-09-11;92.5;95.0;92.5;95.0;7086
2017-09-08;93.75;93.75;92.0;93.75;93035
2017-09-07;94.0;94.0;92.0;93.75;4743
2017-09-06;94.5;94.5;91.75;92.75;16230
2017-09-04;97.0;97.0;95.25;95.5;3253
2017-09-01;97.5;99.0;96.75;97.0;5311
2017-08-31;97.75;99.0;96.5;99.0;17252
2017-08-30;97.5;101.0;97.5;98.5;8767
2017-08-29;100.0;100.0;98.0;98.0;620473
2017-08-28;100.0;100.0;99.0;100.0;3115
2017-08-25;98.0;100.0;97.5;100.0;34735
2017-08-24;99.5;99.5;97.5;97.5;13584
2017-08-23;97.75;98.0;97.5;97.5;8277
2017-08-22;100.0;100.0;97.25;98.5;3211
2017-08-21;99.0;99.0;98.25;99.0;13527
2017-08-18;98.25;99.75;97.0;97.5;15023
2017-08-17;100.0;100.0;98.0;98.25;4926
2017-08-16;98.0;99.0;98.0;98.0;3968
2017-08-15;97.5;98.75;97.25;98.0;9347
2017-08-14;97.0;99.5;97.0;98.0;12144
2017-08-11;100.0;100.0;96.5;97.0;10390
