Dates;Open;High;Low;Close;Volume
2017-12-27;27.5;27.9;27.3;27.6;99212
2017-12-22;27.4;28.3;27.4;27.6;196558
2017-12-21;27.2;27.8;27.2;27.8;83125
2017-12-20;27.4;27.7;27.2;27.5;102306
2017-12-19;27.4;27.8;27.1;27.7;95203
2017-12-18;27.8;28.3;27.4;27.7;267850
2017-12-15;27.5;28.0;27.1;27.8;151252
2017-12-14;27.6;28.2;27.5;27.8;92140
2017-12-13;28.0;28.1;27.5;27.9;119660
2017-12-12;28.1;28.6;28.0;28.1;297029
2017-12-11;28.0;28.4;27.1;28.2;121366
2017-12-08;27.9;28.6;27.8;28.0;73004
2017-12-07;28.6;28.6;27.9;28.0;144951
2017-12-06;28.5;28.6;28.2;28.6;87321
2017-12-05;28.4;28.8;28.3;28.5;57032
2017-12-04;28.5;28.8;28.1;28.4;56125
2017-12-01;28.9;28.9;28.2;28.5;71212
2017-11-30;28.8;28.8;28.2;28.6;162878
2017-11-29;28.7;28.9;28.3;28.5;75863
2017-11-28;28.3;28.6;27.9;28.6;63962
2017-11-27;28.2;28.6;28.0;28.3;76932
2017-11-24;28.6;28.6;27.9;28.2;57817
2017-11-23;28.5;28.9;27.9;27.9;168857
2017-11-22;28.0;28.9;27.9;28.6;162921
2017-11-21;27.9;28.1;27.4;28.1;103665
2017-11-20;27.7;28.0;27.5;27.9;65391
2017-11-17;28.1;28.8;27.6;27.7;146834
2017-11-16;27.7;28.0;27.4;27.9;56220
2017-11-15;28.0;28.1;26.5;27.2;189083
2017-11-14;29.1;29.1;27.2;27.5;164608
2017-11-13;29.2;29.3;28.1;29.0;185623
2017-11-10;28.9;29.1;28.8;28.9;135183
2017-11-09;29.0;29.3;28.5;28.8;290452
2017-11-08;29.0;29.2;28.3;28.9;349651
2017-11-07;29.3;29.4;28.9;29.0;361105
2017-11-06;29.1;29.4;28.3;29.2;632759
2017-11-03;28.5;29.3;27.5;28.7;516436
2017-11-02;25.5;28.6;24.7;28.3;1472130
2017-11-01;23.8;24.4;23.4;24.1;154275
2017-10-31;23.2;23.8;23.0;23.8;190119
2017-10-30;23.2;23.5;22.3;23.2;325930
2017-10-27;23.0;23.2;22.7;23.2;83668
2017-10-26;23.0;23.4;22.9;23.1;43498
2017-10-25;22.9;23.2;22.9;23.0;39678
2017-10-24;23.4;23.4;22.8;23.1;111269
2017-10-23;23.6;23.8;22.8;23.4;240334
2017-10-20;23.7;24.1;23.7;23.9;61472
2017-10-19;23.6;24.1;23.6;23.7;83518
2017-10-18;24.2;24.5;23.6;23.6;209091
2017-10-17;24.8;24.9;24.0;24.2;180774
2017-10-13;25.1;25.2;24.5;24.8;59317
2017-10-12;25.4;25.5;24.3;24.7;145987
2017-10-11;25.3;25.9;25.0;25.1;197993
2017-10-10;25.3;25.5;25.1;25.3;129000
2017-10-09;25.5;25.8;25.4;25.4;56407
2017-10-06;25.7;25.9;25.5;25.6;53210
2017-10-05;25.8;26.1;25.6;25.7;124995
2017-10-04;26.2;26.2;25.8;25.8;174018
2017-10-03;26.3;26.3;25.7;26.1;274249
2017-10-02;26.2;26.3;25.9;26.0;1589974
2017-09-29;26.0;26.3;25.6;26.2;180289
2017-09-28;26.0;26.2;25.9;26.0;66620
2017-09-27;25.6;26.1;25.5;26.0;162793
2017-09-26;25.7;26.4;25.4;25.5;152382
2017-09-25;24.7;25.8;24.5;25.6;129280
2017-09-22;25.0;25.2;24.6;24.6;98809
2017-09-21;25.1;26.0;24.5;25.0;278866
2017-09-20;25.4;25.4;24.8;24.8;110489
2017-09-19;25.0;26.1;24.9;25.2;275071
2017-09-18;26.1;26.4;25.1;25.2;201485
2017-09-15;26.3;26.9;25.6;26.1;202984
2017-09-14;27.0;27.2;26.1;26.2;243476
2017-09-13;27.0;27.4;26.6;27.0;370056
2017-09-12;26.8;27.8;26.7;27.0;541972
2017-09-11;26.0;26.8;26.0;26.6;153101
2017-09-08;25.9;26.0;25.6;25.7;221583
2017-09-07;25.8;25.8;25.3;25.7;392807
2017-09-06;25.7;25.8;25.4;25.8;238626
2017-09-04;25.3;25.8;24.5;24.9;326500
2017-09-01;24.1;26.2;24.0;25.5;715184
2017-08-31;23.3;24.5;22.9;23.8;760227
2017-08-30;22.5;23.2;22.5;23.0;375141
2017-08-29;21.7;23.4;21.5;22.5;518414
2017-08-28;22.7;22.7;21.6;21.6;665848
2017-08-25;22.2;22.5;21.7;22.4;215566
2017-08-24;22.4;22.8;21.8;22.0;326089
2017-08-23;22.2;22.6;20.8;22.4;530863
2017-08-22;21.1;22.4;20.6;21.8;571788
2017-08-21;20.5;20.9;20.5;20.9;264358
2017-08-18;21.7;21.7;20.4;20.5;812333
2017-08-17;24.0;24.0;21.2;21.7;2387485
2017-08-16;26.2;26.2;25.8;25.8;147820
2017-08-15;26.1;26.4;26.0;26.1;53462
2017-08-14;26.0;26.9;25.8;26.1;62620
2017-08-11;26.2;26.2;25.4;26.0;164822
2017-08-10;25.8;26.3;25.5;26.2;67839
2017-08-09;26.0;26.3;25.8;25.8;45816
2017-08-08;25.6;26.1;25.4;26.0;100529
2017-08-07;26.5;26.5;25.4;25.8;86147
2017-08-04;25.9;26.8;25.9;26.5;188926
2017-08-03;25.8;26.5;25.5;25.9;232650
2017-08-02;25.2;26.1;25.0;25.8;126579
