Dates;Open;High;Low;Close;Volume
2017-12-27;151.0;151.5;148.0;151.5;49397
2017-12-22;153.0;153.0;145.0;151.0;49992
2017-12-21;157.5;159.0;153.5;154.5;64231
2017-12-20;159.0;159.5;156.0;159.0;58988
2017-12-19;158.5;159.5;153.0;159.5;15303
2017-12-18;160.0;160.0;155.0;158.5;13190
2017-12-15;159.5;159.5;153.0;159.5;6419
2017-12-14;155.5;160.0;155.0;158.0;16986
2017-12-13;162.0;162.0;156.0;159.0;16499
2017-12-12;166.0;166.0;160.0;160.0;1061
2017-12-11;166.0;167.5;163.5;166.0;20501
2017-12-08;161.5;165.0;161.5;165.0;732
2017-12-07;162.0;163.0;160.0;161.0;9526
2017-12-06;168.5;168.5;160.5;162.0;4153
2017-12-05;169.0;171.5;167.0;168.5;998
2017-12-04;170.0;171.0;166.5;170.0;385
2017-12-01;167.0;172.0;164.0;166.0;13087
2017-11-30;166.0;170.0;164.0;169.0;7497
2017-11-29;164.0;167.0;162.0;165.0;58498
2017-11-28;169.0;174.0;162.0;163.0;43234
2017-11-27;178.0;178.0;162.5;168.0;12298
2017-11-24;167.0;180.0;165.0;180.0;11476
2017-11-23;168.5;170.5;167.0;170.5;4037
2017-11-22;170.0;173.0;168.5;170.0;1409
