Dates;Open;High;Low;Close;Volume
2017-12-27;343.0;345.0;343.0;345.0;152
2017-12-22;343.0;346.0;343.0;346.0;1215
2017-12-21;343.0;343.0;342.0;342.0;280
2017-12-20;346.0;346.0;342.0;342.0;2953
2017-12-19;345.0;346.0;345.0;345.0;257
2017-12-18;346.0;346.0;343.5;345.0;882
2017-12-15;346.0;346.0;345.5;346.0;30
2017-12-14;346.0;346.0;344.0;345.5;190
2017-12-13;346.5;346.5;342.5;345.5;925
2017-12-12;347.0;347.5;342.5;342.5;958
2017-12-11;346.0;346.0;342.5;342.5;569
2017-12-08;342.0;348.5;341.5;342.5;4567
2017-12-07;345.5;345.5;340.5;342.0;2917
2017-12-06;345.0;348.0;345.0;345.0;559
2017-12-05;344.0;346.0;343.0;345.5;1168
2017-12-04;345.0;345.0;338.5;344.0;1108
2017-12-01;340.0;346.0;340.0;346.0;101
2017-11-30;344.0;346.5;342.0;342.0;447
2017-11-29;342.0;342.0;342.0;342.0;82
2017-11-28;342.0;342.0;342.0;342.0;46
2017-11-27;342.0;345.0;342.0;342.0;1468
2017-11-24;345.0;345.0;342.0;342.0;516
2017-11-23;342.0;345.0;336.5;345.0;605
2017-11-22;340.0;343.0;339.5;343.0;4628
2017-11-21;340.5;340.5;337.5;340.5;758
2017-11-20;340.0;342.5;340.0;342.5;57
2017-11-17;338.0;341.0;338.0;341.0;15
2017-11-16;341.5;342.0;335.5;335.5;2358
2017-11-15;342.0;342.0;338.0;341.0;555
2017-11-14;338.0;338.0;338.0;338.0;40
2017-11-13;338.0;342.0;338.0;338.0;3016
2017-11-10;338.5;339.0;337.0;337.0;1532
2017-11-09;338.5;339.0;335.0;337.0;665
2017-11-08;336.0;339.0;336.0;338.0;397
2017-11-07;339.0;339.0;336.0;336.0;572
2017-11-06;339.0;344.0;337.5;337.5;1262
2017-11-03;343.0;344.0;338.5;338.5;1132
2017-11-02;344.0;344.0;344.0;344.0;6
2017-11-01;340.0;345.0;340.0;345.0;1303
2017-10-30;339.0;340.0;337.5;340.0;2880
2017-10-27;336.5;339.5;330.5;336.5;1982
2017-10-26;334.5;339.0;332.5;339.0;168
2017-10-25;338.0;338.0;332.0;332.0;1589
2017-10-24;345.0;345.0;337.0;337.0;9568
2017-10-23;346.0;347.0;344.5;345.5;733
2017-10-20;346.0;348.5;346.0;346.5;915
2017-10-19;344.5;348.0;344.5;348.0;742
2017-10-18;348.0;349.0;345.0;345.5;2629
2017-10-17;350.5;350.5;347.5;348.5;524
2017-10-13;347.0;348.5;347.0;348.0;2791
2017-10-12;348.5;352.0;347.5;347.5;4040
2017-10-11;348.0;349.0;348.0;349.0;2312
2017-10-10;350.0;350.0;348.5;348.5;315
2017-10-09;350.0;351.5;348.5;349.0;1398
2017-10-06;348.5;350.5;348.0;350.0;2201
2017-10-05;348.5;350.0;348.5;349.0;1344
2017-10-04;346.5;349.0;346.0;349.0;4324
2017-10-03;346.0;346.0;345.0;345.5;604
2017-10-02;342.5;346.0;342.5;346.0;169
2017-09-29;344.5;347.5;341.5;341.5;1294
2017-09-28;344.0;344.5;343.5;344.5;2699
2017-09-27;344.5;347.0;344.5;347.0;2789
2017-09-26;343.0;344.5;343.0;344.5;1184
2017-09-25;345.0;345.0;340.0;340.0;2142
2017-09-22;344.5;346.0;342.0;346.0;759
2017-09-21;345.0;345.5;342.0;342.0;1657
2017-09-20;345.0;345.0;343.0;345.0;323
2017-09-19;343.0;344.5;342.0;344.5;961
2017-09-18;343.0;344.0;342.0;344.0;582
2017-09-15;342.0;345.0;342.0;342.0;1124
2017-09-14;343.5;344.5;342.0;342.0;4701
2017-09-13;345.0;346.0;342.0;342.0;1511
2017-09-12;347.5;347.5;344.0;344.0;384
2017-09-11;344.5;347.5;344.5;347.0;553
2017-09-08;344.5;344.5;344.5;344.5;214
2017-09-07;344.0;344.0;342.5;344.0;640
2017-09-06;346.0;346.0;344.0;344.0;1151
2017-09-04;344.5;345.0;342.5;345.0;5108
2017-09-01;341.5;344.5;341.5;344.5;1585
2017-08-31;344.5;345.0;341.5;341.5;2722
2017-08-30;341.5;342.0;341.0;341.5;1212
2017-08-29;341.0;344.5;341.0;344.5;35
2017-08-28;341.5;345.0;341.0;341.0;2217
2017-08-25;345.0;345.0;340.5;341.5;677
2017-08-24;345.0;345.0;345.0;345.0;7
2017-08-23;344.5;345.0;340.5;340.5;790
2017-08-22;345.0;345.0;339.5;344.0;424
2017-08-21;344.0;344.0;343.0;343.0;462
2017-08-18;339.5;342.0;339.0;340.0;524
2017-08-17;343.0;345.0;339.5;339.5;1535
2017-08-16;341.0;342.0;341.0;341.0;5006
2017-08-15;336.5;342.0;336.5;340.0;860
2017-08-14;337.0;340.5;337.0;340.0;165
