Dates;Open;High;Low;Close;Volume
2017-12-27;147.0;148.75;147.0;148.0;2290
2017-12-22;148.5;148.75;146.5;147.0;1290
2017-12-21;146.5;146.75;145.75;146.5;929
2017-12-20;146.75;149.5;143.25;144.75;14080
2017-12-19;145.25;147.75;145.25;146.75;2792
2017-12-18;143.25;147.0;143.25;146.0;8333
2017-12-15;148.0;148.0;144.5;144.5;7603
2017-12-14;147.5;148.0;146.75;147.5;16130
2017-12-13;144.0;147.5;144.0;147.0;105838
2017-12-12;141.25;143.5;141.25;143.5;1963
2017-12-11;140.0;141.25;140.0;141.25;50228
2017-12-08;140.5;141.75;140.0;140.0;416
2017-12-07;141.75;141.75;140.0;140.0;3000
2017-12-06;143.0;143.0;141.75;141.75;2136
2017-12-05;142.25;143.75;140.0;140.0;1868
2017-12-04;141.75;144.5;140.5;142.5;2980
2017-12-01;142.5;143.5;141.0;141.5;13918
2017-11-30;142.5;144.0;140.0;140.0;3783
2017-11-29;143.5;144.0;143.25;144.0;2259
2017-11-28;145.0;145.0;143.0;144.0;6062
2017-11-27;144.75;145.0;142.5;145.0;6701
2017-11-24;141.75;144.25;141.0;144.25;3674
2017-11-23;140.25;144.0;140.0;140.25;4193
2017-11-22;142.75;143.0;141.0;141.0;5313
2017-11-21;141.5;143.0;140.75;140.75;5980
2017-11-20;138.0;141.5;138.0;141.25;15473
2017-11-17;138.0;140.75;138.0;139.0;2090
2017-11-16;137.0;138.0;137.0;138.0;1737
2017-11-15;138.25;138.25;137.0;138.0;6446
2017-11-14;136.75;138.5;136.75;138.0;2692
2017-11-13;137.25;137.25;136.0;136.75;5926
2017-11-10;137.5;139.75;136.5;137.5;6077
2017-11-09;137.0;137.25;136.25;136.5;205587
2017-11-08;134.0;136.75;134.0;136.25;30416
2017-11-07;135.0;135.0;133.5;134.5;3384
2017-11-06;129.25;135.5;129.25;135.0;6782
2017-11-03;134.5;135.5;132.0;133.25;7305
2017-11-02;139.0;139.75;135.5;136.75;1981
2017-11-01;136.25;138.75;136.25;138.5;8540
2017-10-31;138.25;140.0;136.0;136.0;3763
2017-10-30;137.75;139.0;137.0;138.25;3732
2017-10-27;140.5;141.5;138.25;139.5;1527
2017-10-26;138.25;141.0;137.0;140.5;4578
2017-10-25;140.0;140.0;138.25;138.25;1844
2017-10-24;143.0;144.0;141.25;141.75;8983
2017-10-23;144.25;144.5;142.0;143.75;5654
2017-10-20;145.0;145.25;143.5;144.25;2799
2017-10-19;146.0;146.0;142.5;143.25;3371
2017-10-18;144.25;146.0;143.25;146.0;2263
