Dates;Open;High;Low;Close;Volume
2017-12-27;33.8;34.3;33.2;33.4;60862
2017-12-22;35.0;35.5;33.8;33.8;40981
2017-12-21;34.2;35.5;34.0;34.6;50138
2017-12-20;33.9;35.3;33.9;34.1;56182
2017-12-19;35.1;35.4;33.9;34.0;38303
2017-12-18;35.8;36.3;35.0;35.0;41117
2017-12-15;36.0;36.2;35.4;35.7;74353
2017-12-14;34.7;36.4;34.5;36.0;167511
2017-12-13;33.5;34.8;33.4;34.2;346508
2017-12-12;32.7;34.4;32.7;33.4;70923
2017-12-11;32.8;33.2;32.5;33.0;67133
2017-12-08;32.2;32.9;32.1;32.7;63415
2017-12-07;32.1;32.3;32.0;32.1;20380
2017-12-06;31.9;32.4;31.8;32.2;45972
2017-12-05;32.0;32.1;32.0;32.0;20318
2017-12-04;32.2;32.3;31.9;32.0;51157
2017-12-01;32.2;32.3;31.8;32.1;40957
2017-11-30;32.1;32.3;32.0;32.2;95006
2017-11-29;32.6;32.7;31.7;32.1;220452
2017-11-28;32.5;32.6;31.9;32.6;41000
2017-11-27;33.1;33.1;32.4;32.5;47133
2017-11-24;32.8;33.5;32.7;33.1;235005
2017-11-23;32.3;33.8;32.3;32.9;442061
2017-11-22;32.2;32.4;31.6;32.3;86518
2017-11-21;32.2;32.7;31.7;32.2;78015
2017-11-20;32.3;32.8;31.7;32.4;61343
2017-11-17;32.9;33.1;32.3;32.5;90595
2017-11-16;32.9;33.0;32.0;33.0;97313
2017-11-15;31.0;32.8;30.6;32.8;478547
2017-11-14;32.0;32.2;31.0;31.0;106577
2017-11-13;32.6;33.0;32.0;32.0;80666
2017-11-10;33.0;33.5;32.6;32.6;82439
2017-11-09;33.7;33.9;32.4;33.0;120864
2017-11-08;34.6;34.6;33.8;34.0;35348
2017-11-07;34.5;34.7;34.0;34.3;28076
2017-11-06;34.5;34.9;34.0;34.0;63763
2017-11-03;34.6;34.9;34.5;34.5;62738
2017-11-02;34.8;35.0;34.6;34.8;31425
2017-11-01;34.6;35.0;34.6;34.7;50427
2017-10-31;35.0;35.0;34.3;34.5;76803
2017-10-30;35.3;35.4;35.0;35.0;46203
2017-10-27;35.5;35.9;35.1;35.4;31504
2017-10-26;35.3;35.8;35.0;35.5;41972
2017-10-25;35.7;36.4;35.4;35.6;48587
2017-10-24;36.1;36.2;35.8;35.9;78215
2017-10-23;36.1;36.7;36.1;36.1;48749
2017-10-20;36.0;36.2;35.6;36.0;104225
2017-10-19;36.5;36.6;35.8;36.0;133141
2017-10-18;37.0;37.3;36.4;36.8;690132
2017-10-17;38.4;38.4;38.0;38.0;21881
2017-10-13;38.2;38.5;38.0;38.0;66074
2017-10-12;38.8;38.9;38.1;38.2;43060
2017-10-11;39.3;39.3;38.5;38.5;65824
2017-10-10;38.8;39.4;38.5;39.0;625642
2017-10-09;38.7;39.3;38.1;38.8;866894
2017-10-06;42.6;42.7;42.0;42.4;27544
2017-10-05;42.2;42.5;42.2;42.5;10690
2017-10-04;42.6;42.7;42.1;42.1;35187
2017-10-03;41.9;42.6;41.5;42.6;47108
2017-10-02;41.3;42.0;41.3;41.6;31779
2017-09-29;41.5;41.6;41.1;41.4;25464
2017-09-28;41.6;41.8;41.2;41.2;23602
2017-09-27;41.8;42.0;41.4;41.7;11205
2017-09-26;41.3;41.6;41.2;41.2;11657
2017-09-25;41.8;41.8;41.1;41.2;20580
2017-09-22;41.1;41.5;41.1;41.1;17865
2017-09-21;42.0;42.0;41.0;41.1;15307
2017-09-20;42.5;42.5;41.8;41.8;12949
2017-09-19;41.7;42.5;41.7;41.9;39514
2017-09-18;41.1;41.7;41.0;41.7;14507
2017-09-15;41.5;41.5;41.0;41.0;20918
2017-09-14;41.2;41.5;41.0;41.1;9346
2017-09-13;41.0;41.5;41.0;41.2;25206
2017-09-12;40.8;41.2;40.5;41.0;23133
2017-09-11;40.4;41.0;40.3;40.7;13658
2017-09-08;40.8;41.0;40.1;40.4;23337
2017-09-07;40.5;40.8;40.1;40.8;115185
2017-09-06;40.3;40.9;40.1;40.5;24582
2017-09-04;40.7;40.7;40.2;40.4;14380
2017-09-01;41.0;41.2;40.5;40.7;72653
2017-08-31;41.5;42.1;40.8;41.2;31157
2017-08-30;41.6;41.6;40.8;41.1;59453
2017-08-29;40.6;41.5;40.3;41.5;33606
2017-08-28;40.5;40.6;40.3;40.5;16706
2017-08-25;40.4;40.7;40.2;40.6;81335
2017-08-24;41.2;41.3;40.3;40.5;38828
2017-08-23;41.2;41.6;41.0;41.2;18782
2017-08-22;40.5;41.3;40.5;41.2;29588
2017-08-21;40.4;40.6;40.4;40.5;16528
2017-08-18;40.7;40.7;40.3;40.5;33422
2017-08-17;40.7;40.8;40.6;40.6;19608
2017-08-16;40.7;41.0;40.5;40.6;41208
2017-08-15;41.0;41.0;40.7;40.7;74010
2017-08-14;40.8;41.8;40.7;41.0;35233
2017-08-11;41.0;41.0;40.5;40.7;35889
2017-08-10;41.6;41.6;41.1;41.1;18168
2017-08-09;41.2;41.7;41.1;41.2;17945
2017-08-08;42.0;42.4;41.5;41.8;75400
2017-08-07;42.0;42.0;41.3;41.4;22075
2017-08-04;42.0;42.0;41.1;41.5;71309
2017-08-03;42.0;42.4;41.6;41.6;38150
2017-08-02;42.2;42.6;42.0;42.0;58191
