Dates;Open;High;Low;Close;Volume
2017-12-27;122.0;122.0;116.0;119.5;22105
2017-12-22;119.5;121.25;119.5;119.5;21627
2017-12-21;123.0;123.0;119.0;119.25;18481
2017-12-20;120.75;123.0;120.75;122.5;290450
2017-12-19;124.25;124.25;120.75;123.25;16311
2017-12-18;123.75;124.75;121.5;124.25;26121
2017-12-15;123.0;124.5;122.0;123.75;8196
2017-12-14;125.25;125.25;123.5;124.5;7964
2017-12-13;125.5;126.25;124.0;125.0;20248
2017-12-12;126.5;126.5;122.0;124.75;36830
2017-12-11;125.25;130.0;124.5;126.5;26693
2017-12-08;125.25;128.0;125.25;127.0;23022
2017-12-07;128.25;128.25;124.5;125.25;28269
2017-12-06;129.75;129.75;127.0;128.25;24000
2017-12-05;129.75;129.75;126.75;129.75;23268
2017-12-04;130.0;130.0;128.0;130.0;26096
2017-12-01;128.0;130.0;127.0;129.5;27664
2017-11-30;129.75;131.5;127.5;129.25;141505
2017-11-29;129.75;130.0;128.5;129.75;121042
2017-11-28;129.75;130.0;128.0;129.0;131939
2017-11-27;130.0;131.25;127.75;129.25;19175
2017-11-24;131.0;131.0;126.75;127.75;11109
2017-11-23;130.0;130.0;125.25;125.5;6025
2017-11-22;130.0;131.0;128.0;128.5;19720
2017-11-21;126.25;129.5;126.25;128.25;10849
2017-11-20;127.0;129.0;125.5;129.0;4503
2017-11-17;130.0;140.0;126.0;126.5;9023
2017-11-16;123.0;129.0;122.75;128.0;461931
2017-11-15;127.75;127.75;120.0;122.75;33311
2017-11-14;126.75;127.75;125.0;125.5;30526
2017-11-13;132.25;132.25;125.5;125.5;51880
2017-11-10;134.0;136.75;131.75;131.75;33439
2017-11-09;137.0;137.0;130.75;133.75;50326
2017-11-08;134.5;137.5;132.75;137.5;34255
2017-11-07;134.0;135.25;133.0;134.0;9713
2017-11-06;132.0;140.0;131.75;133.75;14345
2017-11-03;134.5;134.5;131.5;131.5;8819
2017-11-02;139.5;139.5;134.25;134.25;64979
2017-11-01;146.0;146.0;137.25;140.75;15974
2017-10-31;147.0;149.0;144.25;145.0;19363
2017-10-30;140.0;146.0;140.0;145.75;26556
2017-10-27;136.0;145.0;134.0;139.0;93984
2017-10-26;134.75;136.25;132.5;134.75;71053
2017-10-25;135.5;140.0;131.75;134.75;8426
