Dates;Open;High;Low;Close;Volume
2017-12-27;61.0;62.0;60.5;61.5;56673
2017-12-22;61.5;61.75;61.25;61.25;25196
2017-12-21;61.0;61.75;60.5;61.5;54522
2017-12-20;61.0;61.0;60.25;60.75;126214
2017-12-19;61.0;62.25;60.5;60.75;72830
2017-12-18;62.25;62.25;61.5;62.0;67924
2017-12-15;62.25;62.5;61.5;62.25;78649
2017-12-14;62.0;62.75;61.5;62.25;44540
2017-12-13;62.0;62.5;60.75;62.0;52957
2017-12-12;63.25;63.5;62.25;62.25;27990
2017-12-11;62.75;63.25;61.5;63.25;69287
2017-12-08;61.0;62.75;60.75;62.75;113185
2017-12-07;61.25;61.25;60.25;60.75;48133
2017-12-06;63.75;63.75;61.0;61.25;482902
2017-12-05;62.0;64.5;61.5;63.75;130772
2017-12-04;61.25;62.25;61.25;62.25;91482
2017-12-01;61.0;61.75;61.0;61.0;52228
2017-11-30;60.5;61.5;60.25;61.25;105850
2017-11-29;60.5;61.25;60.25;60.5;63852
2017-11-28;59.75;60.5;59.75;60.25;55292
2017-11-27;58.75;59.75;58.25;59.75;69285
2017-11-24;58.75;59.0;58.5;59.0;49754
2017-11-23;57.75;58.25;57.0;58.0;62518
2017-11-22;58.0;58.25;57.75;57.75;36055
2017-11-21;58.25;58.25;57.0;58.0;67146
2017-11-20;59.0;59.0;58.0;58.25;26225
2017-11-17;58.5;59.5;58.0;59.25;100299
2017-11-16;57.0;58.5;56.75;58.5;83705
2017-11-15;57.5;57.5;56.5;56.75;72372
2017-11-14;58.0;58.25;57.25;57.5;88107
2017-11-13;58.0;59.0;58.0;58.0;84297
2017-11-10;58.0;58.75;57.5;58.0;44136
2017-11-09;59.75;59.75;57.75;58.0;98687
2017-11-08;59.25;60.0;59.0;59.5;72654
2017-11-07;59.75;60.0;59.5;59.5;49463
2017-11-06;59.0;60.25;58.75;59.75;59040
2017-11-03;59.75;60.0;59.0;59.25;56332
2017-11-02;59.0;59.75;58.25;59.5;155838
2017-11-01;60.25;60.5;59.0;59.0;111460
2017-10-31;60.0;60.5;60.0;60.0;50978
2017-10-30;60.5;61.0;60.0;60.0;89415
2017-10-27;60.25;61.25;59.5;60.5;110165
2017-10-26;58.25;62.0;55.5;60.75;260844
2017-10-25;63.0;63.25;61.25;62.0;82664
2017-10-24;63.75;64.25;62.75;63.0;71533
2017-10-23;64.0;64.5;63.0;63.75;89813
2017-10-20;64.5;65.25;63.0;64.0;186720
2017-10-19;65.75;66.5;65.5;65.75;204545
2017-10-18;64.5;65.5;63.75;65.25;69762
2017-10-17;64.75;65.5;64.25;64.5;52991
2017-10-13;64.75;65.0;64.0;64.25;148472
2017-10-12;64.0;64.75;63.5;64.75;118554
2017-10-11;64.0;64.0;63.5;64.0;81671
2017-10-10;63.75;64.0;63.5;64.0;83691
2017-10-09;63.5;65.0;63.0;63.75;172489
2017-10-06;61.75;62.25;61.5;62.0;23161
2017-10-05;61.5;62.0;61.25;62.0;41807
2017-10-04;61.25;61.5;60.75;61.5;31706
2017-10-03;61.75;61.75;61.0;61.25;27220
2017-10-02;61.0;61.75;60.25;61.75;46154
2017-09-29;60.5;61.0;59.75;61.0;84217
2017-09-28;60.0;60.75;59.75;60.25;78774
2017-09-27;61.0;61.0;60.25;60.5;28035
