Dates;Open;High;Low;Close;Volume
2017-12-27;75.0;77.25;73.25;77.0;8065
2017-12-22;74.5;77.25;74.5;75.25;1868
2017-12-21;74.5;74.5;73.25;74.5;262142
2017-12-20;73.75;76.25;73.75;74.5;8963
2017-12-19;73.0;73.5;72.25;73.5;3779
2017-12-18;73.0;73.25;72.25;73.0;5462
2017-12-15;72.0;73.25;72.0;73.0;12512
2017-12-14;72.0;73.0;72.0;72.75;1246
2017-12-13;71.25;73.5;71.25;73.0;38334
2017-12-12;71.0;73.0;71.0;71.5;3502
2017-12-11;72.0;72.0;70.0;71.0;13999
2017-12-08;72.75;73.0;72.25;72.25;7966
2017-12-07;73.25;73.25;72.0;72.5;49207
2017-12-06;73.5;73.5;73.0;73.25;16774
2017-12-05;73.0;74.0;73.0;73.5;3045
2017-12-04;74.0;74.0;73.0;73.0;1786
2017-12-01;73.0;74.0;73.0;73.75;2534
2017-11-30;73.0;74.0;73.0;73.0;11437
2017-11-29;74.0;74.0;72.25;73.5;10052
2017-11-28;74.25;75.5;73.5;74.0;53423
2017-11-27;76.0;76.5;74.5;74.5;8649
2017-11-24;78.0;78.0;76.0;77.25;5291
2017-11-23;78.5;78.5;77.25;78.5;138118
2017-11-22;77.75;78.5;77.75;78.5;879072
2017-11-21;79.25;79.25;76.75;78.0;9364
2017-11-20;77.75;79.75;75.25;79.25;15115
2017-11-17;79.0;80.0;76.0;78.0;16817
2017-11-16;76.0;78.5;74.25;78.0;4405
2017-11-15;76.25;77.75;73.25;76.0;13858
2017-11-14;76.75;77.0;75.5;75.5;10538
2017-11-13;75.75;77.75;74.0;76.5;5390
2017-11-10;76.0;77.0;74.0;76.0;5231
2017-11-09;78.0;78.25;75.25;75.75;2205
2017-11-08;78.0;78.0;75.0;78.0;14890
2017-11-07;77.5;79.75;75.5;78.0;2619
2017-11-06;79.25;80.0;75.75;77.5;10904
2017-11-03;80.0;80.5;79.25;79.25;2765
2017-11-02;80.0;80.0;79.25;79.5;2637
2017-11-01;80.0;80.0;79.25;80.0;4256
