Dates;Open;High;Low;Close;Volume
2017-12-27;41.5;42.9;41.0;42.9;516342
2017-12-22;41.0;41.8;41.0;41.4;1832747
2017-12-21;40.3;41.4;39.0;41.1;669767
2017-12-20;42.9;42.9;39.8;40.1;1473255
2017-12-19;45.0;46.2;44.9;46.0;236176
2017-12-18;45.2;45.7;44.6;45.4;298180
2017-12-15;45.8;45.8;44.8;45.1;313405
2017-12-14;46.0;46.7;46.0;46.1;471381
2017-12-13;45.4;46.2;45.4;46.0;269429
2017-12-12;46.1;46.2;45.2;45.3;238141
2017-12-11;47.0;47.1;45.1;46.0;365218
2017-12-08;47.0;47.3;46.1;46.7;348092
2017-12-07;45.2;47.6;45.2;47.4;368999
2017-12-06;46.3;46.3;45.1;45.2;328432
2017-12-05;48.2;48.8;47.6;47.7;498142
2017-12-04;48.1;48.6;48.0;48.4;269888
2017-12-01;47.8;48.5;47.5;48.0;211176
2017-11-30;47.4;48.7;47.4;47.6;352010
2017-11-29;47.8;47.9;46.9;47.6;257747
2017-11-28;45.5;47.9;45.0;47.8;765216
2017-11-27;46.1;46.5;45.2;45.3;301349
2017-11-24;46.7;46.9;46.1;46.1;228218
2017-11-23;47.0;47.1;46.2;46.7;109333
2017-11-22;47.8;48.0;46.4;46.5;273692
2017-11-21;47.1;47.7;45.9;47.5;557681
2017-11-20;46.8;47.6;46.2;47.1;372373
2017-11-17;46.9;47.1;46.0;46.8;384052
2017-11-16;46.0;47.4;45.6;46.7;688462
2017-11-15;47.8;47.8;45.0;45.5;1220023
2017-11-14;48.5;49.8;47.8;47.8;1437835
2017-11-13;51.25;51.75;46.7;49.0;2767727
2017-11-10;62.75;63.75;61.75;62.25;119459
2017-11-09;65.25;65.5;62.25;62.25;338402
2017-11-08;64.25;65.5;64.0;65.0;165238
2017-11-07;64.25;64.5;63.25;64.25;128405
2017-11-06;64.0;64.5;63.25;64.0;135693
2017-11-03;63.25;65.25;63.0;64.25;141054
2017-11-02;62.0;63.25;61.5;63.25;400433
2017-11-01;61.25;63.25;61.25;62.0;336348
2017-10-31;61.0;61.5;60.25;61.0;225050
2017-10-30;64.0;64.0;60.25;60.5;525221
2017-10-27;64.25;64.5;64.0;64.0;69220
2017-10-26;62.75;64.0;62.75;64.0;88154
2017-10-25;63.25;63.5;62.25;63.0;153398
2017-10-24;61.5;63.0;60.5;63.0;277929
2017-10-23;63.0;64.0;61.75;61.75;218043
2017-10-20;63.75;64.5;63.0;63.25;141602
2017-10-19;64.75;65.0;63.5;63.75;212230
2017-10-18;63.25;64.75;63.0;64.5;324373
2017-10-17;62.75;63.25;61.75;63.25;293860
2017-10-13;61.0;61.25;59.0;60.75;505624
2017-10-12;60.5;63.75;59.25;60.75;1729310
2017-10-11;53.0;54.75;52.75;54.25;143523
2017-10-10;53.75;53.75;52.5;53.0;80325
2017-10-09;52.5;52.75;52.25;52.75;89374
2017-10-06;54.0;54.25;52.25;52.5;108838
2017-10-05;52.75;54.75;52.0;53.75;164161
2017-10-04;52.75;53.0;52.0;53.0;113958
2017-10-03;52.5;52.75;52.0;52.5;94999
2017-10-02;51.25;52.75;51.25;52.5;235544
2017-09-29;49.8;51.75;49.8;51.25;195791
2017-09-28;50.0;50.5;48.6;50.0;200178
2017-09-27;47.4;50.75;47.4;50.25;252360
2017-09-26;48.0;48.0;47.3;47.4;32043
2017-09-25;48.4;48.8;47.1;48.2;72507
2017-09-22;48.9;49.0;48.4;48.5;78788
2017-09-21;48.6;49.1;48.6;48.8;79974
2017-09-20;48.6;49.3;48.4;48.6;114844
2017-09-19;48.6;48.9;48.2;48.6;75244
2017-09-18;48.2;48.8;48.2;48.4;67886
2017-09-15;47.6;48.4;47.6;48.4;76918
2017-09-14;48.0;48.4;47.3;47.8;91853
2017-09-13;46.7;48.0;46.5;48.0;120634
2017-09-12;46.2;47.0;46.1;46.9;77270
2017-09-11;45.8;46.7;45.3;46.2;85026
2017-09-08;45.0;46.1;44.9;45.8;97582
2017-09-07;45.4;45.7;45.0;45.1;41737
2017-09-06;45.4;45.7;44.4;45.3;95831
2017-09-04;45.0;45.5;44.6;44.9;66449
2017-09-01;45.0;46.2;45.0;45.5;67022
2017-08-31;46.0;46.4;45.0;45.0;93514
2017-08-30;44.3;45.9;44.3;45.7;88552
2017-08-29;44.0;45.3;43.7;44.1;846347
2017-08-28;44.5;45.7;43.9;45.0;112703
2017-08-25;45.7;46.0;44.6;44.6;144602
2017-08-24;45.1;45.8;44.8;45.5;71268
2017-08-23;45.8;46.0;45.1;45.1;44976
2017-08-22;45.4;46.1;45.4;45.8;58828
2017-08-21;45.8;45.9;45.3;45.3;125826
2017-08-18;45.0;45.9;44.3;45.9;125054
2017-08-17;46.0;46.4;45.2;45.3;73478
2017-08-16;45.9;46.1;45.8;46.0;62114
2017-08-15;45.8;46.4;45.6;46.0;98702
2017-08-14;44.3;46.6;44.3;45.8;76309
2017-08-11;45.0;45.4;44.1;44.3;112686
2017-08-10;45.5;45.7;45.2;45.2;69833
2017-08-09;45.5;45.9;45.3;45.5;55633
2017-08-08;46.7;46.8;45.5;45.5;95211
2017-08-07;46.9;47.5;46.0;46.8;121920
2017-08-04;46.4;47.2;46.0;47.2;90441
2017-08-03;45.9;46.4;45.9;46.4;30478
2017-08-02;45.8;46.3;45.5;45.9;43906
2017-08-01;45.7;46.3;45.4;45.8;79054
2017-07-31;46.2;46.7;46.0;46.0;60750
2017-07-28;45.9;46.3;45.8;46.3;48007
2017-07-27;45.7;46.5;45.7;46.2;34386
2017-07-26;45.8;46.2;45.5;45.8;52890
2017-07-25;45.3;46.4;44.9;46.2;106391
2017-07-24;45.7;45.7;44.6;45.4;104588
2017-07-21;46.5;46.5;45.6;45.9;67540
2017-07-20;47.7;48.7;46.4;46.6;109272
2017-07-19;45.9;47.5;45.5;47.5;154087
2017-07-18;45.8;46.0;45.3;46.0;63625
2017-07-17;45.9;45.9;45.4;45.9;66371
2017-07-14;45.5;45.9;44.9;45.9;116769
2017-07-13;45.5;45.8;45.2;45.8;93680
2017-07-12;45.2;46.0;45.2;45.5;139283
2017-07-11;45.1;45.8;44.1;45.1;319282
2017-07-10;46.4;46.6;45.5;45.6;98425
2017-07-07;46.4;46.5;45.4;46.3;167081
2017-07-06;46.8;47.0;46.0;46.8;180269
2017-07-05;46.8;46.8;45.6;46.5;188357
2017-07-04;46.5;47.0;46.1;46.6;169103
2017-07-03;46.2;46.5;45.8;46.5;170859
2017-06-30;44.4;46.0;43.1;45.7;1278522
2017-06-29;48.5;48.5;43.9;44.5;807972
2017-06-28;46.6;46.8;45.6;46.5;206335
2017-06-27;47.4;47.4;45.7;46.0;351550
2017-06-26;44.5;47.1;44.1;46.4;510041
2017-06-23;;43.3;43.3;43.3;0
2017-06-22;42.7;43.8;42.3;43.3;563508
2017-06-21;43.2;43.2;42.0;42.7;132644
2017-06-20;42.9;43.4;42.2;42.4;275183
2017-06-19;44.3;44.5;42.5;42.5;126216
2017-06-16;42.7;44.8;42.5;44.5;392579
2017-06-15;44.0;44.0;42.0;42.4;167085
2017-06-14;43.3;44.6;42.9;43.3;575757
2017-06-13;43.5;43.9;42.9;43.3;97203
2017-06-12;43.8;43.8;42.9;43.5;54677
2017-06-09;43.0;44.2;43.0;43.8;129926
2017-06-08;44.8;45.2;42.5;42.8;275820
2017-06-07;45.6;45.7;44.7;44.8;197036
2017-06-06;;45.6;45.6;45.6;0
2017-06-05;46.3;46.5;45.4;45.6;104394
2017-06-02;46.2;46.9;46.1;46.1;60840
2017-06-01;47.6;47.6;46.2;46.2;125829
2017-05-31;48.0;48.1;47.0;47.7;121417
2017-05-30;48.3;49.2;48.0;48.0;179453
2017-05-29;48.3;48.3;47.2;48.1;60274
2017-05-26;48.9;49.0;47.7;48.2;150881
2017-05-24;47.1;49.1;47.1;48.9;82307
2017-05-23;46.1;47.3;46.1;47.1;60290
2017-05-22;45.9;46.7;45.5;46.0;184251
2017-05-19;47.9;47.9;45.7;45.7;133439
2017-05-18;47.6;47.9;46.7;47.0;64449
2017-05-17;48.8;48.9;48.0;48.0;98516
2017-05-16;49.9;49.9;48.4;49.1;66625
2017-05-15;48.9;49.8;48.8;49.8;87173
2017-05-12;48.9;48.5;48.5;48.5;67731
2017-05-11;49.7;50.25;48.3;48.9;95141
2017-05-10;50.0;50.5;49.6;50.25;93692
2017-05-09;51.0;51.5;50.5;51.0;84942
2017-05-08;52.0;52.0;50.25;51.5;97336
2017-05-05;52.0;52.25;51.0;51.75;48355
2017-05-04;52.0;52.25;51.5;51.75;81759
2017-05-03;51.5;52.0;51.25;52.0;65650
2017-05-02;51.25;51.75;51.0;51.5;50599
2017-05-01;;51.25;51.25;51.25;0
2017-04-28;50.25;51.5;49.8;51.25;97427
2017-04-27;50.5;51.5;49.5;50.25;167194
2017-04-26;51.5;51.5;50.75;51.25;79734
2017-04-25;50.5;51.5;50.5;51.5;41645
2017-04-24;51.25;51.5;50.5;50.5;71677
2017-04-21;51.75;52.0;51.0;51.0;57261
2017-04-20;52.0;52.5;51.25;51.75;100603
2017-04-19;52.25;53.0;51.5;52.0;57948
2017-04-18;52.0;52.75;50.5;52.25;152483
2017-04-13;52.0;52.0;51.5;52.0;33313
2017-04-12;52.0;52.0;50.75;51.75;111163
2017-04-11;53.0;53.0;51.0;52.0;225010
2017-04-10;52.0;53.0;51.5;53.0;228834
2017-04-07;49.5;52.0;49.3;51.25;1237935
2017-04-06;47.0;49.5;46.9;49.1;2168322
2017-04-05;45.5;46.1;44.7;44.7;349379
2017-04-04;45.7;46.5;45.5;45.7;154148
2017-04-03;46.0;46.2;45.7;46.0;78374
2017-03-31;46.2;46.5;46.0;46.3;55552
2017-03-30;46.5;46.5;45.5;46.3;79146
2017-03-29;46.5;47.0;45.3;46.3;66021
2017-03-28;45.3;46.2;44.5;46.2;369986
2017-03-27;46.8;47.4;45.4;45.7;48600
2017-03-24;47.9;47.9;46.8;46.8;69060
2017-03-23;46.3;47.0;45.9;46.7;54756
2017-03-22;47.1;47.2;45.5;46.4;106889
2017-03-21;48.1;48.1;46.7;47.1;82123
2017-03-20;48.9;48.9;48.0;48.1;42725
2017-03-17;48.0;48.8;47.4;48.5;159009
