Dates;Open;High;Low;Close;Volume
2017-12-27;147.0;149.5;146.75;149.0;45313
2017-12-22;146.5;148.5;145.5;147.5;36393
2017-12-21;146.25;148.0;146.0;146.75;61950
2017-12-20;148.0;148.25;146.0;146.25;112581
2017-12-19;147.0;148.0;145.75;148.0;48848
2017-12-18;149.5;149.75;146.0;146.75;55456
2017-12-15;144.5;150.0;143.0;150.0;140541
2017-12-14;147.5;148.25;144.5;144.5;124614
2017-12-13;147.75;148.25;145.25;148.25;94073
2017-12-12;148.5;149.75;147.0;148.0;75218
2017-12-11;150.5;150.5;146.75;148.25;72294
2017-12-08;148.0;150.5;148.0;149.5;60471
2017-12-07;151.0;151.5;147.0;148.0;70851
2017-12-06;148.75;152.0;147.5;150.5;111743
2017-12-05;150.0;150.0;146.75;148.5;69147
2017-12-04;149.75;150.0;147.5;148.75;62110
2017-12-01;152.5;152.5;147.25;147.5;87838
2017-11-30;147.25;152.0;146.5;152.0;715272
2017-11-29;144.75;148.0;143.25;147.25;238506
2017-11-28;142.0;145.0;140.5;144.5;199762
2017-11-27;142.75;143.5;140.5;141.25;111175
2017-11-24;142.0;142.75;139.75;142.5;67411
2017-11-23;144.25;144.25;140.0;141.0;63075
2017-11-22;144.0;144.0;141.5;144.0;94542
2017-11-21;140.75;143.25;139.75;143.25;109698
2017-11-20;141.75;143.25;140.0;141.0;80753
2017-11-17;144.5;144.5;142.0;142.25;84085
2017-11-16;144.25;145.0;142.5;144.5;76968
2017-11-15;143.25;145.25;142.25;143.0;90440
2017-11-14;143.0;144.5;142.0;143.0;102598
2017-11-13;141.75;143.75;140.25;143.0;117989
2017-11-10;145.5;145.5;140.5;141.75;116555
2017-11-09;147.0;147.0;142.0;144.5;229717
2017-11-08;149.5;151.0;144.5;146.75;509569
2017-11-07;158.0;158.0;148.0;149.25;778111
2017-11-06;169.0;170.0;167.0;168.0;60229
2017-11-03;170.5;171.5;169.5;170.5;14909
2017-11-02;169.0;171.0;168.5;170.0;58847
2017-11-01;169.0;171.5;168.5;168.5;92968
2017-10-31;171.0;171.5;169.0;169.0;62013
2017-10-30;170.5;171.5;170.0;171.0;80423
2017-10-27;170.0;172.5;170.0;171.5;23157
2017-10-26;170.5;171.0;169.0;170.0;43918
2017-10-25;174.0;174.0;170.0;171.5;29203
2017-10-24;170.5;173.5;170.0;173.5;224653
2017-10-23;170.5;171.0;170.0;170.5;43687
2017-10-20;172.5;173.0;170.5;172.0;38000
2017-10-19;173.5;173.5;170.0;172.5;43841
2017-10-18;173.5;176.0;172.0;173.0;42436
2017-10-17;173.5;175.5;170.5;174.0;75676
2017-10-13;172.0;172.0;170.0;170.5;41158
2017-10-12;173.0;173.5;170.5;172.0;41964
2017-10-11;179.0;179.5;170.0;173.0;137596
2017-10-10;184.0;184.0;179.0;180.5;56277
2017-10-09;181.5;184.0;179.5;184.0;63005
2017-10-06;179.5;184.0;178.5;182.0;49605
2017-10-05;179.5;180.5;178.0;179.5;44020
2017-10-04;180.5;182.0;178.5;179.5;37560
2017-10-03;184.0;184.0;179.0;179.5;76546
2017-10-02;185.0;186.5;183.5;184.0;65441
2017-09-29;180.5;185.0;179.5;184.5;109988
2017-09-28;178.5;181.0;177.5;180.5;30429
2017-09-27;175.0;179.0;175.0;179.0;45275
2017-09-26;175.0;175.0;173.5;175.0;48833
2017-09-25;173.5;175.5;173.5;175.0;42491
2017-09-22;175.0;175.5;173.0;175.0;30907
2017-09-21;174.5;175.5;173.5;175.0;17735
2017-09-20;173.5;175.0;173.5;175.0;17061
2017-09-19;175.0;175.0;173.5;174.0;38985
2017-09-18;176.0;176.0;172.5;174.5;41375
2017-09-15;173.0;175.5;172.5;175.5;51194
2017-09-14;172.0;173.5;171.0;172.5;23100
2017-09-13;171.5;174.0;171.0;172.0;270602
2017-09-12;171.5;172.0;171.0;171.5;20678
2017-09-11;172.0;172.5;170.5;171.0;29261
2017-09-08;170.5;171.5;169.5;171.0;65378
2017-09-07;171.0;171.5;170.0;170.5;36465
2017-09-06;172.0;172.0;170.0;171.0;42426
2017-09-04;171.5;173.0;170.5;170.5;29762
2017-09-01;171.5;173.0;170.5;171.5;35977
