Dates;Open;High;Low;Close;Volume
2017-12-27;88.0;88.75;85.75;86.0;300542
2017-12-22;85.75;89.5;85.75;88.0;298494
2017-12-21;87.5;88.5;85.75;85.75;348251
2017-12-20;88.5;89.0;87.5;87.5;272007
2017-12-19;90.0;90.25;88.25;88.25;189075
2017-12-18;91.0;92.75;89.5;90.25;254111
2017-12-15;90.5;91.5;87.5;90.75;388513
2017-12-14;92.0;92.75;90.25;90.5;234600
2017-12-13;91.75;92.75;91.0;92.5;191871
2017-12-12;90.0;92.25;90.0;91.25;271844
2017-12-11;88.75;90.25;88.5;90.25;235221
2017-12-08;88.0;89.75;87.75;88.75;217980
2017-12-07;86.75;88.25;86.75;87.5;357472
2017-12-06;86.0;87.25;85.0;86.75;278883
2017-12-05;84.5;86.5;82.75;86.5;259403
2017-12-04;85.5;86.5;84.25;84.75;193429
2017-12-01;88.0;88.0;84.25;85.0;383065
2017-11-30;86.5;87.5;84.75;87.5;302851
2017-11-29;87.5;88.75;86.0;86.5;356794
2017-11-28;89.75;90.5;84.5;86.25;406665
2017-11-27;91.75;91.75;89.25;89.25;267232
2017-11-24;88.25;91.0;88.25;91.0;332526
2017-11-23;89.0;89.0;87.5;88.25;327620
2017-11-22;90.25;91.0;88.75;89.0;179661
2017-11-21;91.0;91.5;88.5;90.25;408355
2017-11-20;91.0;92.0;90.25;90.75;179992
2017-11-17;92.5;93.0;89.25;91.5;504460
2017-11-16;90.0;93.0;90.0;92.0;376061
2017-11-15;91.5;91.5;88.0;89.25;205355
2017-11-14;89.0;91.5;89.0;91.5;181096
2017-11-13;91.5;92.0;89.0;89.75;204160
2017-11-10;91.5;92.5;89.25;91.75;213513
2017-11-09;94.0;94.25;90.5;91.25;281708
2017-11-08;96.0;97.25;93.0;94.5;296554
2017-11-07;98.0;98.0;96.0;96.75;179823
2017-11-06;98.75;99.5;97.0;98.0;279292
2017-11-03;99.5;99.5;98.0;98.5;87193
2017-11-02;100.0;100.5;98.25;99.5;217570
2017-11-01;100.0;100.5;98.0;99.25;283472
2017-10-31;100.5;100.75;99.0;99.5;270335
2017-10-30;103.0;103.5;100.25;100.75;247994
2017-10-27;100.0;103.5;99.25;102.75;358571
2017-10-26;98.75;99.25;96.25;99.25;375063
2017-10-25;97.25;99.25;95.5;98.25;309536
2017-10-24;98.75;100.25;95.25;97.25;532964
2017-10-23;100.25;101.25;97.5;98.75;572859
2017-10-20;102.25;102.75;99.0;100.5;988421
2017-10-19;107.0;109.75;99.75;101.25;2347198
2017-10-18;104.25;111.0;104.25;110.75;788143
2017-10-17;109.5;109.5;104.0;104.5;543402
2017-10-13;111.0;112.25;109.25;111.0;326129
2017-10-12;108.0;110.25;105.5;110.25;564054
2017-10-11;116.0;116.0;108.25;108.25;1010634
2017-10-10;114.5;118.25;114.0;117.0;739034
2017-10-09;113.25;114.75;111.0;114.75;448164
2017-10-06;114.0;114.25;111.5;113.5;625526
2017-10-05;113.75;114.75;112.25;114.75;355194
2017-10-04;112.75;113.75;110.25;113.75;533127
2017-10-03;113.5;113.5;111.25;112.5;509655
2017-10-02;111.75;114.75;110.0;113.25;783606
2017-09-29;110.0;111.75;109.75;111.75;480270
2017-09-28;108.75;110.25;107.0;110.25;618801
2017-09-27;109.0;111.0;108.5;110.25;591732
2017-09-26;109.0;109.5;107.25;109.25;397641
2017-09-25;105.0;109.75;103.5;109.0;728066
2017-09-22;103.0;104.75;101.25;104.75;1005540
2017-09-21;100.0;101.0;99.25;99.75;509229
2017-09-20;104.25;104.75;98.5;99.25;737883
2017-09-19;98.0;104.25;98.0;103.5;1653276
2017-09-18;90.25;98.5;90.25;98.0;1514179
2017-09-15;87.25;90.0;86.75;88.25;645914
2017-09-14;86.0;87.25;85.25;86.75;377354
2017-09-13;85.0;86.0;84.25;85.75;170638
2017-09-12;86.25;86.25;84.75;85.0;252463
2017-09-11;85.25;86.0;84.0;85.75;425593
2017-09-08;85.0;86.25;83.75;84.5;429863
2017-09-07;85.75;86.5;84.5;85.0;548690
2017-09-06;86.5;87.0;81.5;85.75;1257075
2017-09-04;75.0;75.0;72.75;73.5;187094
2017-09-01;75.0;76.0;74.5;75.0;299313
2017-08-31;73.5;74.75;73.0;74.75;158717
2017-08-30;72.0;73.5;72.0;73.25;167198
2017-08-29;72.75;72.75;71.5;71.75;154241
2017-08-28;74.0;74.0;72.5;73.25;74761
2017-08-25;74.5;74.75;73.5;74.0;130328
2017-08-24;74.25;76.0;74.0;74.5;224484
2017-08-23;74.75;75.0;74.0;74.5;118998
2017-08-22;74.25;75.5;74.25;74.5;215804
2017-08-21;73.75;74.5;72.25;74.0;356385
2017-08-18;74.25;74.25;72.75;73.75;350412
2017-08-17;75.5;76.75;74.25;74.5;338422
2017-08-16;76.5;77.0;74.25;75.25;702482
2017-08-15;78.0;78.5;76.25;76.25;180309
2017-08-14;76.25;77.5;76.0;77.5;337182
2017-08-11;77.0;77.0;75.25;75.75;265812
2017-08-10;80.0;80.5;77.5;77.75;350300
2017-08-09;81.25;81.25;79.5;80.0;334573
2017-08-08;82.0;83.0;81.25;81.5;204126
2017-08-07;81.5;82.25;80.25;81.75;295643
2017-08-04;82.25;82.75;80.75;81.25;266634
2017-08-03;83.0;83.25;81.75;82.0;237593
2017-08-02;84.25;84.75;83.5;83.5;262605
2017-08-01;84.0;84.75;83.75;84.25;189714
2017-07-31;85.0;85.0;83.5;84.25;258069
2017-07-28;86.0;86.25;84.0;85.0;280699
2017-07-27;86.5;87.75;85.5;86.25;220401
2017-07-26;88.25;88.5;86.0;86.25;287017
2017-07-25;89.0;89.0;87.5;88.5;208489
2017-07-24;89.75;89.75;87.75;89.0;212727
2017-07-21;88.75;90.0;88.5;89.0;236199
2017-07-20;88.0;88.75;87.5;88.25;219164
2017-07-19;88.75;89.0;86.5;88.0;335696
2017-07-18;87.75;89.25;86.75;88.75;569000
2017-07-17;86.75;89.0;85.0;87.75;1024744
2017-07-14;87.0;90.75;82.75;83.0;1611644
2017-07-13;77.25;81.75;77.25;81.75;501989
2017-07-12;77.0;77.75;76.0;76.25;212367
2017-07-11;77.0;77.25;75.75;76.5;257336
2017-07-10;77.5;77.5;75.5;77.0;279396
2017-07-07;78.0;78.25;76.0;77.5;222479
2017-07-06;78.5;78.5;76.75;77.5;250380
2017-07-05;78.0;81.0;77.5;78.0;430829
2017-07-04;77.0;77.5;76.5;77.25;135609
2017-07-03;76.5;77.75;76.0;77.5;187172
2017-06-30;76.25;76.75;75.25;76.75;340057
2017-06-29;79.25;79.25;76.25;77.25;345621
2017-06-28;79.0;79.75;77.25;79.25;320078
2017-06-27;80.25;80.5;78.5;80.5;370618
2017-06-26;79.75;81.75;79.5;80.25;236933
2017-06-23;;79.75;79.75;79.75;0
2017-06-22;81.5;81.5;79.5;79.75;216203
2017-06-21;80.0;81.75;79.0;81.25;272209
2017-06-20;79.5;80.75;79.0;80.0;352725
2017-06-19;79.0;79.5;78.25;79.5;282469
2017-06-16;78.0;80.0;78.0;79.25;933884
2017-06-15;80.0;80.0;77.5;78.0;335984
2017-06-14;81.0;82.75;79.25;80.0;307835
2017-06-13;80.0;81.0;79.5;81.0;296936
2017-06-12;80.5;80.5;78.0;79.5;565104
2017-06-09;83.5;83.5;80.25;81.25;862533
2017-06-08;86.0;86.0;83.0;83.75;670818
2017-06-07;87.25;87.75;86.25;87.0;507738
2017-06-06;;88.0;88.0;88.0;0
2017-06-05;89.25;89.25;87.75;88.0;172168
2017-06-02;88.75;89.75;88.5;89.25;174749
2017-06-01;88.25;89.5;88.25;89.25;147334
2017-05-31;90.0;90.5;88.5;88.5;342305
2017-05-30;89.25;90.25;89.0;90.0;275202
2017-05-29;90.75;90.75;89.5;90.0;147987
2017-05-26;91.5;92.5;90.75;90.75;358434
2017-05-24;91.0;91.75;91.0;91.5;73442
2017-05-23;91.0;92.0;91.0;91.5;293048
2017-05-22;91.25;91.5;90.75;91.0;314668
2017-05-19;89.0;91.5;89.0;91.5;225307
2017-05-18;91.0;91.0;89.0;89.0;747540
2017-05-17;90.0;92.25;89.0;91.0;486413
2017-05-16;88.0;90.25;87.25;90.25;364855
2017-05-15;86.75;88.0;86.75;88.0;202824
2017-05-12;88.5;86.75;86.75;86.75;305009
2017-05-11;88.75;89.75;88.5;88.5;183420
2017-05-10;89.75;90.25;88.25;88.5;260010
2017-05-09;86.75;90.0;86.5;89.5;291999
2017-05-08;86.5;87.0;86.0;86.75;192501
2017-05-05;86.75;86.75;85.25;86.25;243263
2017-05-04;88.0;88.5;87.5;87.5;154467
2017-05-03;89.0;89.25;87.25;88.0;142244
2017-05-02;88.0;89.0;87.25;88.75;191817
2017-05-01;;87.5;87.5;87.5;0
2017-04-28;87.75;88.0;87.0;87.5;153911
2017-04-27;88.75;89.25;87.0;87.25;231335
2017-04-26;88.75;89.0;87.75;88.75;267078
2017-04-25;86.75;90.25;84.5;88.5;1266828
2017-04-24;90.5;90.5;85.75;86.75;1041688
2017-04-21;95.0;95.75;86.25;89.5;1322398
2017-04-20;93.25;96.75;90.25;94.5;1642992
2017-04-19;86.75;88.25;85.5;88.25;257898
2017-04-18;88.5;89.0;86.25;86.75;368190
2017-04-13;89.5;89.75;88.25;88.25;155768
2017-04-12;91.25;92.5;90.0;90.0;247467
2017-04-11;92.25;92.25;90.75;91.0;274465
2017-04-10;90.25;92.5;89.5;92.5;519949
2017-04-07;89.0;90.0;88.0;90.0;254270
2017-04-06;88.5;89.75;88.0;88.75;212136
2017-04-05;90.5;90.75;88.0;89.75;360988
2017-04-04;90.75;91.0;88.75;90.5;533197
2017-04-03;91.75;91.75;90.25;90.75;113426
2017-03-31;91.0;91.75;90.25;91.75;99380
2017-03-30;92.25;92.25;90.0;91.0;170489
2017-03-29;89.75;93.5;89.75;92.25;311955
2017-03-28;89.0;89.5;87.25;88.75;192771
2017-03-27;91.75;91.75;88.25;88.5;246744
2017-03-24;89.25;92.0;88.5;92.0;260635
2017-03-23;89.75;92.25;88.0;89.25;325576
2017-03-22;91.0;91.25;87.75;89.25;335082
2017-03-21;96.0;96.0;90.5;90.75;369954
2017-03-20;93.5;96.25;92.5;96.0;343114
2017-03-17;91.0;93.5;91.0;93.5;1824929
2017-03-16;91.5;92.5;90.25;91.25;305001
2017-03-15;92.0;92.5;90.5;91.5;331305
2017-03-14;94.25;94.75;92.0;92.0;408893
2017-03-13;96.0;96.25;93.75;94.25;247148
2017-03-10;95.0;96.0;96.0;96.0;327260
2017-03-09;96.25;96.5;94.5;94.5;226944
2017-03-08;95.25;96.5;95.0;95.5;213413
2017-03-07;96.5;96.75;94.75;95.25;316289
2017-03-06;96.75;98.25;94.75;96.5;299996
2017-03-03;99.75;97.0;97.0;97.0;212581
2017-03-02;98.75;100.5;97.75;99.75;208076
2017-03-01;99.5;99.75;98.0;99.25;241421
2017-02-28;101.25;101.25;98.0;99.75;320284
2017-02-27;100.0;101.25;99.5;101.25;243861
2017-02-24;103.0;103.25;99.0;99.5;537900
2017-02-23;105.25;105.25;102.75;102.75;231802
2017-02-22;107.0;107.5;104.5;105.25;303208
2017-02-21;108.75;109.5;107.0;107.0;255156
2017-02-20;107.25;109.75;107.0;109.25;291051
2017-02-17;107.5;107.5;106.0;107.0;180838
2017-02-16;107.5;107.5;106.5;107.5;183175
2017-02-15;107.5;108.25;106.25;107.5;270273
2017-02-14;106.5;107.75;105.75;107.5;289184
2017-02-13;109.0;109.25;105.25;106.75;522012
2017-02-10;111.5;113.0;106.25;108.5;832075
2017-02-09;106.0;107.5;106.0;106.75;201337
2017-02-08;107.5;108.0;105.25;105.75;200992
2017-02-07;105.0;108.0;105.0;106.5;240674
2017-02-06;103.75;105.75;103.0;105.5;287108
2017-02-03;105.0;106.0;103.0;103.0;196383
2017-02-02;105.0;105.75;102.75;103.5;136945
2017-02-01;100.25;105.0;100.0;104.75;277354
2017-01-31;100.5;100.75;99.0;99.75;155277
2017-01-30;104.0;104.0;100.0;100.5;165839
2017-01-27;103.75;104.75;103.0;103.5;78011
2017-01-26;102.0;103.75;102.0;103.75;213486
2017-01-25;103.25;103.75;102.0;102.0;164158
2017-01-24;101.75;103.0;101.5;102.75;204906
2017-01-23;102.0;102.0;100.75;101.75;123683
2017-01-20;101.5;102.75;100.0;102.25;116260
2017-01-19;102.5;102.75;101.25;101.5;81040
2017-01-18;101.0;102.25;99.75;102.25;110659
2017-01-17;102.25;102.5;99.75;100.25;201637
2017-01-16;103.25;104.75;101.5;102.0;168054
2017-01-13;100.0;104.0;100.0;103.5;270389
2017-01-12;100.5;101.0;99.75;100.25;178183
2017-01-11;100.5;102.0;99.75;100.25;172991
2017-01-10;99.0;100.25;98.0;100.25;160021
2017-01-09;100.0;100.0;98.75;99.0;101745
2017-01-06;;99.75;99.75;99.75;0
2017-01-05;99.5;100.25;98.75;99.75;125205
2017-01-04;100.75;100.75;98.75;98.75;118568
2017-01-03;99.75;101.0;99.75;99.75;191143
2017-01-02;98.25;99.5;97.5;99.25;147481
2016-12-30;99.0;99.0;97.25;98.0;167365
2016-12-29;101.25;101.25;98.75;99.25;157381
2016-12-28;98.25;101.5;98.25;101.5;186093
2016-12-27;98.25;99.25;97.75;98.5;62935
2016-12-23;98.0;98.75;97.25;98.25;62221
2016-12-22;97.0;98.5;96.25;98.0;98286
2016-12-21;99.25;99.25;96.25;97.0;194064
2016-12-20;98.0;100.0;97.75;98.25;174566
2016-12-19;98.75;99.0;97.0;97.5;120380
2016-12-16;99.5;100.75;98.0;98.75;214214
2016-12-15;100.5;101.0;99.25;99.5;308031
2016-12-14;96.25;101.75;96.25;100.0;556989
2016-12-13;92.5;94.75;92.0;94.75;341572
2016-12-12;94.75;94.75;92.5;92.5;192629
2016-12-09;93.25;95.5;92.75;95.0;214329
2016-12-08;96.5;96.5;93.0;93.25;260428
2016-12-07;98.25;98.25;95.25;95.5;206087
2016-12-06;98.5;100.75;95.25;97.75;397617
2016-12-05;94.0;95.25;92.75;94.25;111301
2016-12-02;94.25;94.25;92.25;93.5;148045
2016-12-01;96.0;96.0;93.0;93.5;455029
2016-11-30;95.0;96.75;94.0;95.75;247659
2016-11-29;94.75;95.5;93.0;94.5;183601
2016-11-28;96.0;96.0;93.75;94.75;161160
2016-11-25;97.25;97.25;95.0;96.0;113539
2016-11-24;97.5;97.5;96.0;97.25;69986
2016-11-23;96.5;97.5;95.75;97.5;157879
2016-11-22;98.0;98.75;96.0;96.75;124141
2016-11-21;101.25;103.0;94.25;98.0;443237
2016-11-18;96.5;100.75;96.25;99.25;299191
2016-11-17;93.75;97.25;93.0;96.25;242786
2016-11-16;93.0;94.25;92.5;93.75;188598
2016-11-15;90.0;92.5;88.0;91.75;261223
2016-11-14;91.0;91.75;88.75;90.0;210602
2016-11-11;94.5;94.5;90.0;90.0;238414
2016-11-10;94.0;95.0;92.0;93.0;241764
2016-11-09;88.0;93.0;86.25;92.75;380190
2016-11-08;93.5;93.75;91.25;93.0;162267
2016-11-07;91.0;93.25;91.0;92.75;128272
2016-11-04;95.0;95.0;90.25;90.25;179991
2016-11-03;92.5;95.5;92.0;95.25;186256
2016-11-02;93.75;93.75;91.75;92.5;213452
2016-11-01;94.5;95.5;92.75;94.25;231236
2016-10-31;93.5;95.5;92.0;94.25;247331
2016-10-28;97.25;97.25;93.5;93.75;279096
2016-10-27;97.0;98.75;96.0;97.25;218234
2016-10-26;97.0;99.25;96.0;97.25;271988
2016-10-25;100.0;100.25;97.0;97.25;244912
2016-10-24;102.75;103.5;100.0;100.75;250541
2016-10-21;103.0;103.25;94.5;102.75;1448623
2016-10-20;104.0;110.0;100.0;103.75;1047970
2016-10-19;109.0;109.25;106.5;108.75;227042
2016-10-18;111.25;113.0;108.5;109.0;357790
2016-10-17;107.5;111.5;106.0;111.5;344706
2016-10-14;108.0;108.75;105.25;107.25;206995
2016-10-13;108.0;109.75;105.5;108.0;154649
2016-10-12;110.25;111.5;107.0;108.0;279446
2016-10-11;111.75;114.5;110.0;110.75;314017
2016-10-10;109.75;112.0;109.75;111.75;241651
2016-10-07;110.5;111.25;108.5;109.5;227677
2016-10-06;109.5;112.0;109.5;110.75;398739
2016-10-05;107.75;109.0;107.25;109.0;223074
2016-10-04;107.5;108.5;107.0;108.5;311845
2016-10-03;107.5;108.0;106.0;107.0;203597
2016-09-30;104.5;107.0;103.0;107.0;259227
2016-09-29;106.0;107.75;104.5;105.0;227747
2016-09-28;105.5;106.75;105.0;105.5;156004
2016-09-27;105.0;105.75;103.25;105.25;193133
2016-09-26;105.25;105.75;103.0;104.5;113271
2016-09-23;106.0;107.0;104.75;105.25;129083
2016-09-22;105.5;107.0;105.5;106.0;221974
2016-09-21;104.5;107.0;104.0;104.25;239910
2016-09-20;102.5;104.0;102.0;104.0;209253
2016-09-19;102.0;103.75;102.0;102.25;211516
2016-09-16;102.0;102.5;100.25;101.0;199501
2016-09-15;103.0;103.5;100.5;102.0;176098
2016-09-14;101.75;104.0;101.25;102.75;153092
2016-09-13;103.75;105.75;100.75;101.25;464959
2016-09-12;97.75;103.5;96.75;103.25;402963
2016-09-09;100.75;101.0;98.0;98.75;149319
2016-09-08;101.5;101.75;100.5;101.0;139950
2016-09-07;101.25;101.75;100.25;101.5;145561
2016-09-06;101.5;101.75;100.25;100.5;159358
2016-09-05;102.75;103.0;101.0;101.75;107599
2016-09-02;101.0;102.0;99.0;102.0;226330
2016-09-01;101.5;102.75;101.0;101.75;160336
2016-08-31;102.0;103.25;101.25;101.75;263562
2016-08-30;103.0;104.5;101.5;102.0;391274
2016-08-29;103.0;103.0;101.25;103.0;107018
2016-08-26;102.25;103.5;100.25;103.0;148634
2016-08-25;103.5;103.75;100.25;101.75;296306
2016-08-24;97.25;103.25;96.0;103.0;469783
2016-08-23;96.75;97.5;95.5;96.5;135482
2016-08-22;95.5;97.75;95.0;96.5;136179
2016-08-19;98.0;98.5;95.0;95.5;174215
2016-08-18;93.0;97.75;93.0;97.25;317385
2016-08-17;96.0;96.25;92.0;92.5;290429
2016-08-16;96.5;97.5;94.5;95.5;247318
2016-08-15;100.75;100.75;96.5;97.0;353943
2016-08-12;99.0;101.25;99.0;100.0;186344
2016-08-11;103.0;103.0;98.0;98.75;454372
2016-08-10;105.0;105.0;101.25;103.0;263158
2016-08-09;105.5;106.25;103.5;104.25;267240
2016-08-08;106.0;106.5;104.5;105.25;156097
2016-08-05;105.25;106.75;104.0;104.25;176535
2016-08-04;102.5;107.0;101.75;104.25;343525
2016-08-03;103.25;103.25;101.5;102.0;224429
2016-08-02;104.0;105.0;99.0;103.75;297802
2016-08-01;102.25;107.5;102.25;103.0;576524
2016-07-29;97.75;99.75;97.5;99.25;220031
2016-07-28;98.25;98.75;97.0;97.25;124874
2016-07-27;97.25;98.75;97.25;98.25;164695
2016-07-26;98.5;98.5;96.5;97.25;172589
2016-07-25;96.75;99.0;96.25;98.5;162299
2016-07-22;94.75;98.0;92.25;96.75;327962
2016-07-21;98.5;99.0;92.25;94.75;456033
2016-07-20;91.25;98.5;91.25;97.25;759436
2016-07-19;91.0;91.0;89.75;91.0;220338
2016-07-18;87.5;91.0;87.5;91.0;564604
2016-07-15;89.0;90.0;86.0;87.75;480148
2016-07-14;85.0;90.0;85.0;89.25;1007174
2016-07-13;79.5;87.25;79.0;84.5;2783345
2016-07-12;71.25;73.0;71.25;71.5;261541
2016-07-11;70.5;71.75;70.5;71.25;184549
2016-07-08;67.5;70.0;67.5;70.0;229043
2016-07-07;68.25;69.0;67.0;67.5;144098
2016-07-06;66.0;68.5;65.0;68.0;264935
2016-07-05;65.75;67.25;64.75;66.25;191720
2016-07-04;67.0;69.0;65.5;66.0;202699
2016-07-01;64.0;67.5;63.5;67.25;273386
2016-06-30;63.5;63.5;62.5;62.75;124954
2016-06-29;62.0;63.75;61.75;63.25;179390
2016-06-28;60.0;61.5;59.5;61.25;186718
2016-06-27;59.0;60.75;58.5;59.25;373722
2016-06-24;;63.5;63.5;63.5;0
2016-06-23;62.75;63.75;61.25;63.5;215938
2016-06-22;61.0;62.5;60.75;62.5;81377
2016-06-21;62.0;62.25;60.25;61.0;96340
2016-06-20;60.0;62.0;60.0;61.5;186697
2016-06-17;56.75;58.75;56.75;58.75;797785
2016-06-16;58.0;58.0;56.25;56.75;206191
2016-06-15;59.25;60.0;58.75;58.75;112712
2016-06-14;59.75;60.0;57.5;59.25;231983
2016-06-13;61.0;61.0;59.5;60.25;291418
2016-06-10;64.0;64.0;61.5;62.25;154340
2016-06-09;64.0;64.5;63.0;64.25;147455
2016-06-08;64.25;64.25;63.0;64.0;166794
2016-06-07;65.5;66.0;63.75;64.25;312734
2016-06-06;;65.5;65.5;65.5;0
2016-06-03;64.5;65.75;64.5;65.5;160336
2016-06-02;64.75;65.25;64.0;64.25;255169
2016-06-01;66.0;66.0;64.5;64.75;210421
2016-05-31;64.5;66.0;63.0;66.0;382456
2016-05-30;62.75;64.5;62.75;64.25;264580
2016-05-27;61.75;62.75;61.5;62.5;148247
2016-05-26;61.75;62.0;61.25;61.75;127401
2016-05-25;61.25;61.5;60.5;61.5;163420
2016-05-24;60.75;61.25;59.5;61.0;198864
2016-05-23;59.0;61.0;59.0;60.5;262584
2016-05-20;59.0;59.75;58.75;58.75;133818
2016-05-19;60.0;60.0;58.75;59.25;124202
2016-05-18;60.5;60.5;59.5;60.0;84018
2016-05-17;59.0;60.75;59.0;60.5;270883
2016-05-16;58.0;59.0;58.0;59.0;90016
2016-05-13;57.75;58.5;57.5;58.25;129555
2016-05-12;59.0;59.25;57.5;57.75;199861
2016-05-11;58.5;59.0;57.5;58.5;271211
2016-05-10;59.0;60.0;57.5;58.25;216732
2016-05-09;60.0;60.25;58.0;58.25;235913
2016-05-06;59.0;60.0;57.75;59.0;237718
2016-05-05;61.5;61.5;57.5;58.25;346519
2016-05-04;61.5;61.5;57.5;58.25;346519
2016-05-03;65.25;65.5;62.5;63.75;436216
2016-05-02;64.0;65.75;63.25;65.0;303905
2016-04-29;63.0;63.75;62.5;62.75;221867
2016-04-28;64.5;64.5;61.25;62.75;237289
2016-04-27;62.25;64.0;62.0;63.25;277887
2016-04-26;61.25;63.0;60.75;61.75;330805
2016-04-25;64.0;64.5;60.5;61.25;397992
2016-04-22;66.25;67.25;62.0;63.5;390795
2016-04-21;69.75;70.0;66.25;66.25;282041
2016-04-20;70.0;70.25;67.5;67.75;223545
2016-04-19;68.0;69.75;67.75;69.25;153130
2016-04-18;69.25;69.5;67.25;68.0;224842
2016-04-15;69.5;70.0;69.0;69.5;90410
2016-04-14;71.5;71.5;68.5;69.5;177073
2016-04-13;69.5;71.0;69.5;70.75;135433
2016-04-12;71.0;71.25;68.25;69.25;223276
2016-04-11;71.25;71.75;70.0;71.5;210724
2016-04-08;71.75;72.0;70.75;71.25;159959
2016-04-07;74.5;74.5;71.25;71.5;123505
2016-04-06;72.0;74.0;71.0;73.75;205719
2016-04-05;73.0;73.0;71.0;71.75;124221
2016-04-04;73.0;74.5;72.5;73.0;169464
2016-04-01;73.0;73.5;72.0;73.0;181308
2016-03-31;71.75;73.5;71.0;73.25;198425
2016-03-30;70.0;72.0;70.0;71.75;183861
2016-03-29;69.5;70.25;68.25;69.25;145243
2016-03-28;69.25;70.25;69.75;69.75;94501
2016-03-25;69.25;70.25;68.75;69.75;94501
2016-03-24;69.25;70.25;68.75;69.75;94501
2016-03-23;69.0;69.75;68.75;69.5;129824
2016-03-22;68.0;69.0;66.75;69.0;136009
2016-03-21;69.0;69.5;67.75;67.75;132103
2016-03-18;68.5;69.75;67.25;68.75;191660
2016-03-17;69.75;69.75;67.0;67.25;236538
2016-03-16;66.75;69.0;66.75;68.75;133631
2016-03-15;67.75;67.75;66.25;66.75;189980
2016-03-14;66.5;68.0;66.5;67.5;170801
2016-03-11;65.75;66.5;65.25;66.25;144311
2016-03-10;66.25;67.0;65.0;65.25;235084
2016-03-09;66.25;66.75;65.25;66.0;183538
2016-03-08;68.5;68.5;66.25;66.5;211606
2016-03-07;69.25;69.25;68.25;69.0;123023
2016-03-04;71.0;71.25;68.5;69.25;366305
2016-03-03;71.0;71.0;69.25;70.25;182365
2016-03-02;74.25;75.0;69.75;70.75;384665
2016-03-01;72.0;74.25;71.75;74.0;210743
2016-02-29;71.5;72.0;70.0;72.0;175100
2016-02-26;72.25;72.75;71.25;71.75;134929
2016-02-25;72.5;73.0;70.5;71.25;159155
2016-02-24;72.0;73.0;70.75;72.0;214809
2016-02-23;72.25;72.75;70.0;71.75;258441
2016-02-22;69.0;72.75;69.0;72.75;332485
2016-02-19;70.0;70.5;67.0;69.0;335377
2016-02-18;69.25;70.25;67.25;69.75;301254
2016-02-17;67.75;69.0;66.5;68.5;268911
2016-02-16;66.75;67.25;64.75;66.75;266959
2016-02-15;66.0;68.0;65.75;66.5;218469
2016-02-12;64.75;65.75;64.0;64.75;267899
