Dates;Open;High;Low;Close;Volume
2017-12-27;6.6;7.1;6.45;7.1;83700
2017-12-22;6.65;6.75;6.55;6.7;52427
2017-12-21;6.75;6.75;6.5;6.75;74418
2017-12-20;6.7;6.75;6.5;6.75;24566
2017-12-19;6.5;6.7;6.5;6.65;66518
2017-12-18;6.7;6.7;6.5;6.5;16687
2017-12-15;6.75;6.9;6.5;6.7;69260
2017-12-14;6.8;7.0;6.8;6.8;14762
2017-12-13;6.8;6.95;6.8;6.95;29019
2017-12-12;6.6;6.8;6.6;6.75;15428
2017-12-11;6.65;6.8;6.5;6.75;62017
2017-12-08;6.75;6.85;6.7;6.7;12216
2017-12-07;6.75;6.8;6.7;6.8;9924
2017-12-06;6.85;6.85;6.65;6.7;63951
2017-12-05;7.0;7.05;6.9;6.9;12257
2017-12-04;6.9;7.0;6.7;6.95;43581
2017-12-01;6.75;6.85;6.4;6.85;92070
2017-11-30;6.95;6.95;6.75;6.75;32112
2017-11-29;7.0;7.1;6.8;6.9;24252
2017-11-28;7.2;7.2;6.75;7.15;66812
2017-11-27;7.4;7.7;7.15;7.35;44066
2017-11-24;6.95;8.0;6.75;7.4;71679
2017-11-23;6.85;6.85;6.75;6.85;9423
2017-11-22;7.0;7.0;6.8;6.8;21506
2017-11-21;6.75;6.9;6.7;6.9;22412
2017-11-20;6.7;6.9;6.6;6.9;24488
2017-11-17;6.75;6.9;6.7;6.7;6455
2017-11-16;6.85;6.9;6.75;6.75;22758
2017-11-15;6.7;7.0;6.7;6.8;34357
2017-11-14;6.75;7.1;6.45;6.7;79145
2017-11-13;6.85;6.9;6.5;6.75;76624
2017-11-10;6.65;6.85;6.65;6.8;37389
2017-11-09;6.85;7.0;6.8;6.8;20913
2017-11-08;6.8;6.95;6.8;6.95;38732
2017-11-07;6.9;6.9;6.8;6.8;49701
2017-11-06;6.9;6.95;6.8;6.9;52916
2017-11-03;6.9;6.9;6.75;6.9;31097
2017-11-02;6.8;6.85;6.7;6.8;28505
2017-11-01;6.75;6.85;6.7;6.85;17380
2017-10-31;6.75;6.9;6.75;6.8;19875
2017-10-30;6.85;6.9;6.65;6.7;46512
2017-10-27;6.8;7.1;6.75;6.85;56606
2017-10-26;6.65;6.95;6.65;6.8;78025
2017-10-25;6.65;6.8;6.65;6.65;37740
2017-10-24;7.0;7.0;6.6;6.7;109405
2017-10-23;6.7;7.2;6.7;6.95;111104
2017-10-20;6.85;6.85;6.6;6.7;38456
2017-10-19;6.55;6.9;6.55;6.85;29010
2017-10-18;6.65;6.8;6.65;6.7;11047
2017-10-17;6.65;6.85;6.5;6.8;62697
2017-10-13;6.75;6.8;6.7;6.7;20903
2017-10-12;6.65;6.85;6.65;6.75;75117
2017-10-11;6.85;6.85;6.45;6.75;54126
2017-10-10;6.7;6.9;6.7;6.85;54724
2017-10-09;6.65;6.8;6.4;6.7;30788
2017-10-06;6.85;6.85;6.65;6.65;25376
2017-10-05;6.7;6.85;6.65;6.85;22304
2017-10-04;6.85;6.85;6.45;6.85;47065
2017-10-03;6.95;7.0;6.85;6.85;37561
2017-10-02;6.8;7.0;6.7;6.95;137494
2017-09-29;6.7;6.95;6.7;6.75;32107
2017-09-28;7.15;7.3;6.8;6.85;40953
2017-09-27;6.9;7.2;6.9;7.05;14280
2017-09-26;6.7;6.9;6.45;6.9;47830
2017-09-25;6.9;6.9;6.45;6.6;119906
2017-09-22;6.95;7.0;6.6;7.0;32557
2017-09-21;6.8;6.95;6.8;6.95;29217
2017-09-20;7.15;7.15;6.8;7.0;52741
2017-09-19;7.35;7.35;6.8;7.15;40105
2017-09-18;7.6;7.6;7.1;7.4;55256
2017-09-15;7.45;7.8;7.45;7.7;51474
2017-09-14;7.45;7.55;7.2;7.45;31788
2017-09-13;7.35;7.75;7.3;7.45;64488
2017-09-12;7.45;7.75;7.05;7.3;83868
2017-09-11;7.75;7.8;7.4;7.4;96504
2017-09-08;7.35;7.9;7.2;7.85;175086
2017-09-07;7.1;7.45;6.9;7.35;50340
2017-09-06;7.3;7.6;6.95;7.2;90732
2017-09-04;6.3;6.85;6.2;6.85;180620
2017-09-01;6.15;6.3;5.95;6.3;135464
2017-08-31;6.15;6.15;5.9;6.0;45564
2017-08-30;6.0;6.15;5.8;6.15;68441
2017-08-29;5.95;6.1;5.8;6.0;53324
2017-08-28;6.2;6.35;5.95;6.0;29931
2017-08-25;6.0;6.25;6.0;6.2;77569
2017-08-24;5.75;6.05;5.75;5.9;65597
2017-08-23;5.8;6.15;5.7;5.75;47861
2017-08-22;5.65;5.8;5.65;5.8;23297
2017-08-21;5.7;5.85;5.55;5.75;62203
2017-08-18;5.85;5.85;5.65;5.8;19108
2017-08-17;5.65;5.85;5.65;5.8;80565
2017-08-16;5.6;5.8;5.5;5.5;25306
2017-08-15;5.7;5.7;5.35;5.6;38082
2017-08-14;5.75;5.75;5.6;5.6;17369
2017-08-11;5.85;5.85;5.25;5.8;146271
2017-08-10;5.85;5.95;5.5;5.95;47398
2017-08-09;6.15;6.15;5.85;5.85;49585
2017-08-08;6.1;6.15;6.0;6.15;35610
2017-08-07;5.9;6.1;5.9;6.05;44552
2017-08-04;5.95;6.1;5.85;5.95;30676
2017-08-03;5.85;5.9;5.8;5.9;43662
2017-08-02;5.7;5.85;5.7;5.8;25713
2017-08-01;5.5;5.9;5.5;5.7;53431
2017-07-31;5.55;5.65;5.5;5.5;53654
2017-07-28;5.7;5.8;5.65;5.7;16968
2017-07-27;5.9;5.9;5.5;5.7;39475
2017-07-26;5.7;5.95;5.7;5.9;115725
2017-07-25;5.55;5.65;5.4;5.5;71420
2017-07-24;5.6;5.7;5.4;5.55;20375
2017-07-21;5.55;5.7;5.45;5.55;19117
2017-07-20;5.3;5.65;5.3;5.45;51280
2017-07-19;5.2;5.4;5.1;5.3;95991
2017-07-18;5.3;5.35;5.2;5.2;39229
2017-07-17;5.3;5.3;5.0;5.3;76714
2017-07-14;5.3;5.45;5.2;5.3;46449
2017-07-13;5.35;5.35;5.2;5.3;34689
2017-07-12;5.2;5.4;5.2;5.35;144881
2017-07-11;5.65;5.65;5.1;5.15;219680
2017-07-10;5.8;5.9;5.6;5.7;52039
2017-07-07;5.95;6.1;5.85;6.0;20308
2017-07-06;6.25;6.25;6.0;6.1;177855
2017-07-05;5.95;6.45;5.95;6.1;135749
2017-07-04;5.8;5.95;5.75;5.95;88622
2017-07-03;5.5;5.8;5.5;5.8;53893
2017-06-30;5.75;5.9;5.4;5.6;193320
2017-06-29;5.3;5.95;5.3;5.75;159662
2017-06-28;5.4;5.45;5.1;5.1;95864
2017-06-27;5.35;5.5;5.35;5.5;87527
2017-06-26;5.55;5.65;5.45;5.45;38955
2017-06-23;;5.6;5.6;5.6;0
2017-06-22;5.6;5.7;5.4;5.6;45015
2017-06-21;5.75;5.75;5.5;5.65;92998
2017-06-20;5.8;6.0;5.8;5.95;13043
2017-06-19;6.0;6.0;5.7;5.8;19959
2017-06-16;6.05;6.1;5.85;6.0;44836
2017-06-15;6.2;6.2;5.85;6.05;18197
2017-06-14;6.0;6.2;5.8;6.2;49380
2017-06-13;5.55;6.35;5.55;6.0;49798
2017-06-12;5.75;6.0;5.4;5.55;28298
2017-06-09;5.9;6.0;5.4;5.65;89870
2017-06-08;5.9;5.9;5.7;5.8;63612
2017-06-07;6.0;6.0;5.8;5.9;63817
2017-06-06;;6.0;6.0;6.0;0
2017-06-05;6.0;6.2;6.0;6.0;16462
2017-06-02;6.0;6.1;5.85;5.95;16270
