Dates;Open;High;Low;Close;Volume
2017-12-27;55.0;55.5;54.75;55.25;49679
2017-12-22;54.25;55.5;54.25;55.25;75710
2017-12-21;53.5;55.5;53.5;54.5;110823
2017-12-20;53.75;54.25;53.25;54.25;182102
2017-12-19;54.0;54.5;53.5;53.75;186931
2017-12-18;54.25;54.75;54.0;54.25;113971
2017-12-15;55.75;56.0;54.0;54.25;135397
2017-12-14;54.5;56.0;54.5;56.0;85193
2017-12-13;55.25;55.75;54.5;54.5;80644
2017-12-12;56.25;56.5;55.0;55.5;91747
2017-12-11;56.0;57.25;56.0;56.25;140211
2017-12-08;55.25;56.0;54.5;55.75;150120
2017-12-07;54.25;54.5;53.0;53.75;59959
2017-12-06;53.5;54.25;53.25;54.25;90151
2017-12-05;54.5;55.0;53.5;53.75;100985
2017-12-04;55.5;55.5;54.0;54.25;82213
2017-12-01;54.0;55.25;53.5;55.25;146865
2017-11-30;54.75;54.75;53.25;53.75;109983
2017-11-29;54.0;55.0;53.75;54.5;126321
2017-11-28;52.5;54.0;52.5;53.75;58465
2017-11-27;53.75;53.75;52.75;52.75;63878
2017-11-24;53.5;53.75;53.0;53.5;79144
2017-11-23;53.75;54.0;53.5;53.5;46335
2017-11-22;54.25;55.0;53.25;54.5;120624
2017-11-21;54.0;54.75;53.25;54.25;97342
2017-11-20;52.5;54.25;51.0;54.0;253169
2017-11-17;53.25;53.25;52.25;52.5;64274
2017-11-16;52.0;53.5;52.0;53.5;108599
2017-11-15;52.25;52.25;51.0;52.0;174556
2017-11-14;53.5;53.5;52.5;52.75;109266
2017-11-13;54.25;54.75;52.75;53.25;209698
2017-11-10;56.75;56.75;54.25;54.25;244917
2017-11-09;57.25;58.0;55.5;56.5;1140954
2017-11-08;56.0;56.5;55.0;55.0;122698
2017-11-07;57.0;57.0;55.75;55.75;71381
2017-11-06;55.75;57.25;55.75;56.75;110077
2017-11-03;56.0;56.75;55.75;55.75;151148
2017-11-02;56.75;57.0;56.0;56.25;139341
2017-11-01;55.25;57.0;55.25;56.75;83562
2017-10-31;55.0;56.25;55.0;55.5;64966
2017-10-30;54.75;55.25;54.75;55.0;51173
2017-10-27;55.5;55.75;55.0;55.5;41700
2017-10-26;55.0;55.25;55.0;55.25;42665
2017-10-25;54.75;55.25;54.25;55.0;51836
2017-10-24;55.25;55.75;54.0;54.75;186993
2017-10-23;55.25;55.75;55.0;55.25;91121
2017-10-20;55.5;55.75;55.0;55.0;118240
2017-10-19;56.0;56.25;54.5;55.5;112375
2017-10-18;56.25;56.25;56.0;56.25;55041
2017-10-17;56.25;56.5;56.0;56.0;50955
2017-10-13;56.5;57.25;56.0;57.25;89542
2017-10-12;55.5;57.75;55.0;56.25;301184
2017-10-11;54.75;55.75;54.75;55.5;161665
2017-10-10;55.25;56.25;54.75;54.75;94141
2017-10-09;57.0;57.0;55.5;55.5;137189
2017-10-06;57.75;58.5;56.75;57.0;375055
2017-10-05;58.5;58.75;57.75;58.0;92481
2017-10-04;59.0;59.5;58.5;58.5;96023
2017-10-03;58.5;59.0;58.0;59.0;277017
2017-10-02;58.0;58.5;58.0;58.5;467734
2017-09-29;57.75;58.25;57.75;58.0;41921
2017-09-28;57.75;58.25;57.5;57.75;91190
2017-09-27;58.25;58.5;57.75;57.75;129704
2017-09-26;58.0;58.5;58.0;58.25;46650
2017-09-25;58.25;58.5;57.75;58.25;105788
2017-09-22;59.5;59.5;57.75;58.5;278791
2017-09-21;58.5;59.5;58.25;59.25;158743
2017-09-20;57.75;58.5;57.5;58.0;68563
2017-09-19;57.5;57.75;57.25;57.5;37949
2017-09-18;57.75;57.75;57.0;57.25;51842
2017-09-15;56.5;58.0;56.5;57.75;199769
2017-09-14;56.0;56.75;56.0;56.25;123606
2017-09-13;55.75;57.5;55.75;56.0;184054
2017-09-12;54.5;56.0;54.0;55.5;297995
2017-09-11;53.75;54.5;53.5;54.25;110986
2017-09-08;54.0;54.0;53.0;53.5;125899
2017-09-07;53.5;54.5;53.5;54.0;159181
2017-09-06;53.75;53.75;53.0;53.0;176821
2017-09-04;55.75;55.75;54.0;54.5;273428
2017-09-01;56.0;56.25;55.0;56.0;148303
2017-08-31;55.25;56.5;55.0;55.75;129540
2017-08-30;55.5;55.75;54.25;55.0;148708
2017-08-29;57.25;57.25;55.0;55.5;178368
2017-08-28;57.75;58.25;57.0;57.0;146990
2017-08-25;57.25;58.5;56.25;57.75;117285
2017-08-24;57.75;57.75;55.5;57.0;470128
2017-08-23;58.5;58.5;57.5;57.75;161651
2017-08-22;58.25;59.25;58.0;58.5;255186
2017-08-21;59.5;59.75;57.25;57.5;978888
2017-08-18;55.25;55.25;53.25;54.25;232874
2017-08-17;57.75;58.75;55.0;55.25;343457
2017-08-16;55.25;56.25;54.25;55.0;230306
2017-08-15;56.75;56.75;55.5;55.5;51864
2017-08-14;55.75;57.25;55.75;56.0;41567
2017-08-11;54.5;55.75;53.5;55.25;90115
2017-08-10;56.0;56.0;54.0;54.5;226120
2017-08-09;56.25;56.5;55.75;56.0;29838
2017-08-08;56.0;56.75;55.5;56.75;58329
2017-08-07;56.25;56.5;55.75;56.25;42242
2017-08-04;55.5;56.0;55.5;56.0;9629
2017-08-03;55.5;56.5;55.25;55.5;57861
2017-08-02;55.25;55.5;54.0;55.5;96670
2017-08-01;56.25;56.5;55.25;55.25;73282
2017-07-31;55.0;56.25;55.0;56.25;26769
2017-07-28;56.25;56.25;55.0;55.25;138512
2017-07-27;57.25;57.25;56.5;56.5;55348
2017-07-26;58.0;58.0;57.0;57.25;39234
2017-07-25;58.25;58.5;57.5;58.0;36254
2017-07-24;57.5;59.0;56.25;59.0;149674
2017-07-21;57.25;57.5;56.5;57.5;61470
2017-07-20;56.0;57.5;56.0;57.25;82899
2017-07-19;57.0;57.25;56.25;56.5;54224
2017-07-18;56.75;57.75;56.25;57.0;76254
2017-07-17;56.5;57.75;55.0;57.25;248361
2017-07-14;55.5;56.5;55.0;56.5;132822
2017-07-13;55.5;57.25;54.75;55.75;209841
2017-07-12;55.5;56.5;55.0;56.0;126075
2017-07-11;57.25;57.75;55.25;55.75;138460
2017-07-10;57.75;58.0;56.75;57.75;20316
2017-07-07;57.5;58.0;56.75;57.75;40501
2017-07-06;57.75;57.75;56.5;57.5;45435
2017-07-05;57.0;57.75;56.0;57.75;53574
2017-07-04;56.0;57.5;55.25;57.25;83059
2017-07-03;56.75;57.5;56.25;56.75;91947
2017-06-30;57.5;57.5;56.75;56.75;84198
2017-06-29;57.75;58.25;57.5;57.75;39400
2017-06-28;58.0;58.25;57.5;57.75;86510
2017-06-27;59.5;59.75;57.75;58.5;182979
2017-06-26;60.0;60.0;59.5;59.5;33660
2017-06-23;;59.75;59.75;59.75;0
2017-06-22;59.5;60.0;59.5;59.75;17581
2017-06-21;61.0;61.0;59.0;59.5;98573
2017-06-20;59.25;62.5;58.75;61.25;183610
2017-06-19;60.0;60.0;59.25;59.25;46388
2017-06-16;59.0;60.25;59.0;59.25;122236
2017-06-15;59.5;59.75;58.25;59.0;73243
2017-06-14;60.75;61.0;59.5;59.5;101913
2017-06-13;56.75;60.75;56.75;60.75;397136
2017-06-12;56.25;56.75;55.5;55.75;85511
2017-06-09;57.25;57.25;56.0;56.5;97385
2017-06-08;57.5;58.25;57.25;57.25;43216
2017-06-07;58.0;58.5;57.25;57.5;91397
2017-06-06;;57.5;57.5;57.5;0
2017-06-05;58.5;58.5;57.5;57.5;54374
2017-06-02;59.0;59.0;58.25;58.5;95296
2017-06-01;59.5;60.25;58.75;58.75;109853
2017-05-31;60.0;60.25;59.5;59.75;47123
2017-05-30;60.0;61.0;59.75;60.0;41650
2017-05-29;59.75;60.5;59.5;60.5;30697
2017-05-26;62.75;63.5;59.75;59.75;143433
2017-05-24;60.5;61.75;60.5;61.75;44325
2017-05-23;58.5;62.0;58.5;60.0;181899
2017-05-22;60.0;60.0;58.25;58.5;61751
2017-05-19;59.25;60.25;58.75;58.75;47686
