Dates;Open;High;Low;Close;Volume
2017-12-27;52.75;53.5;52.5;53.25;86362
2017-12-22;53.0;53.25;52.75;53.25;54950
2017-12-21;53.5;53.5;52.75;53.25;40033
2017-12-20;53.75;54.0;52.75;53.5;147660
2017-12-19;53.0;54.0;52.75;53.75;109338
2017-12-18;53.5;53.5;53.0;53.0;75201
2017-12-15;53.75;54.0;52.75;53.25;89802
2017-12-14;52.5;53.75;52.25;53.75;166299
2017-12-13;53.25;53.25;52.25;52.5;253837
2017-12-12;53.25;54.25;53.25;53.25;118050
2017-12-11;54.25;54.5;53.25;53.25;151246
2017-12-08;52.25;54.25;52.0;54.0;166441
2017-12-07;52.75;52.75;51.75;52.75;218703
2017-12-06;53.25;53.5;52.5;53.0;250257
2017-12-05;53.25;53.25;53.0;53.0;58753
2017-12-04;52.25;53.25;52.25;53.0;53177
2017-12-01;52.75;53.0;52.25;52.25;145848
2017-11-30;53.0;53.25;52.5;52.5;160552
2017-11-29;53.25;54.0;52.75;53.0;302197
2017-11-28;51.5;53.0;51.0;53.0;334810
2017-11-27;50.5;52.0;50.25;51.25;185836
2017-11-24;50.75;52.0;50.25;50.25;5324383
2017-11-23;49.4;49.8;48.3;49.8;368390
2017-11-22;47.4;48.5;46.6;48.2;215877
2017-11-21;47.2;47.4;46.9;47.0;98747
2017-11-20;47.4;47.4;46.7;47.2;82670
2017-11-17;48.4;48.4;47.1;47.4;138971
2017-11-16;48.7;48.9;47.8;48.4;76542
2017-11-15;47.8;48.5;47.6;48.1;715698
2017-11-14;46.7;48.1;46.7;48.0;182525
2017-11-13;48.2;48.5;46.7;47.2;220020
2017-11-10;47.2;49.1;46.7;48.5;226318
2017-11-09;49.4;49.5;47.8;48.2;172160
2017-11-08;49.5;50.25;49.1;49.7;123605
2017-11-07;50.0;50.25;49.5;49.5;61881
2017-11-06;50.5;50.5;50.0;50.0;72490
2017-11-03;50.0;50.25;49.8;50.25;53221
2017-11-02;50.5;50.5;49.1;49.8;139214
2017-11-01;49.6;50.75;49.6;50.5;102839
2017-10-31;50.0;50.0;49.2;49.6;249823
2017-10-30;49.9;50.75;49.9;50.0;226733
2017-10-27;50.0;50.25;49.2;49.5;238925
2017-10-26;51.5;51.5;50.0;50.25;249806
2017-10-25;53.0;53.0;50.75;51.5;260160
2017-10-24;51.5;53.0;51.5;53.0;206341
2017-10-23;51.5;52.5;51.25;51.5;449914
2017-10-20;51.0;52.0;50.75;51.25;227539
2017-10-19;52.0;52.5;50.75;51.0;155321
2017-10-18;53.5;53.5;51.75;52.0;186755
2017-10-17;52.0;54.5;51.75;53.5;787314
2017-10-13;51.75;54.5;51.5;53.75;20688055
2017-10-12;44.9;48.7;44.0;48.5;1076390
2017-10-11;44.4;44.7;44.2;44.6;3507501
2017-10-10;44.8;44.8;44.4;44.5;135448
2017-10-09;44.9;44.9;44.3;44.6;176546
2017-10-06;44.7;45.2;44.4;44.6;65109
2017-10-05;45.2;45.3;44.3;45.1;650205
2017-10-04;46.0;46.0;44.4;44.9;284171
2017-10-03;45.6;46.1;45.4;45.8;407134
2017-10-02;48.0;48.0;45.8;46.6;1702068
2017-09-29;47.9;48.2;47.3;48.0;145340
2017-09-28;47.5;47.8;47.0;47.8;85438
2017-09-27;46.6;47.7;46.5;47.5;75835
2017-09-26;46.5;46.7;46.1;46.6;136221
2017-09-25;46.3;46.9;46.3;46.5;49148
2017-09-22;47.2;47.2;46.3;46.6;118530
2017-09-21;46.6;47.1;46.4;46.8;103374
2017-09-20;46.7;46.9;46.3;46.7;59261
2017-09-19;47.5;48.2;46.5;46.7;659989
2017-09-18;46.0;47.8;45.4;47.8;301085
2017-09-15;45.8;46.2;45.4;46.2;126000
2017-09-14;46.2;46.2;45.1;45.8;80962
2017-09-13;45.2;45.6;44.7;45.3;145130
2017-09-12;43.1;45.4;43.05;44.9;639064
2017-09-11;43.0;43.7;42.6;43.1;467283
2017-09-08;42.3;43.2;42.3;42.7;117563
2017-09-07;42.6;43.0;42.3;42.7;143222
2017-09-06;43.5;43.5;42.1;42.6;249374
2017-09-04;44.3;44.3;43.0;43.8;60308
2017-09-01;43.8;44.6;43.5;44.0;93097
2017-08-31;42.6;44.7;42.6;43.8;182069
2017-08-30;43.0;43.1;42.6;42.8;141818
2017-08-29;42.5;42.9;42.0;42.9;236065
2017-08-28;42.4;42.6;41.6;42.4;548272
2017-08-25;42.4;43.2;42.1;42.7;79299
2017-08-24;43.2;43.2;42.4;42.4;91289
2017-08-23;43.2;43.7;43.1;43.2;37416
2017-08-22;43.2;43.9;43.2;43.9;57077
2017-08-21;43.2;43.4;43.2;43.3;58295
2017-08-18;43.8;43.8;42.8;43.6;90001
2017-08-17;43.6;44.1;43.5;43.5;52248
2017-08-16;44.4;44.7;43.6;43.6;2090126
2017-08-15;44.6;45.2;43.8;44.3;97207
2017-08-14;44.0;44.7;43.9;44.5;61822
2017-08-11;44.6;44.6;43.2;44.0;103196
2017-08-10;45.3;45.3;44.5;44.6;72637
2017-08-09;45.3;45.4;45.0;45.3;50475
2017-08-08;44.6;45.6;44.6;45.6;87136
2017-08-07;45.0;45.2;44.4;44.8;79186
2017-08-04;44.7;44.9;44.4;44.9;59409
2017-08-03;44.4;45.2;44.4;44.7;29604
2017-08-02;44.5;44.8;44.3;44.7;28057
2017-08-01;44.5;44.9;44.3;44.5;52285
2017-07-31;44.5;45.0;44.3;44.3;53141
2017-07-28;44.9;45.1;44.5;44.6;43308
2017-07-27;46.0;46.0;44.6;45.2;31178
2017-07-26;45.0;45.4;44.5;44.5;41696
2017-07-25;45.5;46.3;44.7;45.0;81872
2017-07-24;45.1;46.0;45.1;45.5;60609
2017-07-21;46.0;46.4;45.7;45.8;83424
2017-07-20;46.3;46.6;45.8;46.4;73977
2017-07-19;46.2;46.5;44.4;46.4;118708
2017-07-18;46.8;46.8;45.7;46.2;61635
2017-07-17;45.6;46.8;45.3;46.7;93072
2017-07-14;47.1;47.6;45.6;45.9;299736
2017-07-13;46.0;46.9;45.3;46.9;116905
2017-07-12;45.1;45.9;45.1;45.9;42173
2017-07-11;45.1;46.1;45.1;45.4;61609
2017-07-10;45.3;46.2;45.1;45.8;55576
2017-07-07;45.5;45.7;45.0;45.1;263693
2017-07-06;45.2;45.8;44.6;45.6;66354
2017-07-05;45.5;45.6;45.0;45.2;52926
2017-07-04;45.1;46.0;44.0;45.5;561391
2017-07-03;45.1;45.5;44.8;45.3;60430
2017-06-30;46.3;46.3;45.0;45.0;110725
2017-06-29;46.0;47.1;46.0;46.5;95742
2017-06-28;46.0;46.8;45.1;46.5;148734
2017-06-27;47.0;47.0;46.1;46.1;63702
