Dates;Open;High;Low;Close;Volume
2017-12-27;181.5;183.0;178.0;179.0;2340
2017-12-22;182.0;183.0;180.0;181.0;41283
2017-12-21;184.5;184.5;181.0;182.0;1730
2017-12-20;186.0;187.5;184.0;184.5;11902
2017-12-19;185.5;186.0;184.0;186.0;1527
2017-12-18;186.0;188.0;186.0;186.0;2202
2017-12-15;184.0;188.0;182.0;188.0;2767
2017-12-14;185.0;185.0;183.5;184.0;1821
2017-12-13;188.0;190.0;185.5;186.5;3017
2017-12-12;184.5;191.0;184.0;191.0;4543
2017-12-11;188.0;188.0;183.0;183.5;4024
2017-12-08;186.0;189.0;185.0;188.5;1276
2017-12-07;189.0;189.5;185.0;186.0;2663
2017-12-06;191.0;191.0;188.5;189.5;3270
2017-12-05;192.5;194.5;190.0;191.5;9180
2017-12-04;198.0;198.0;193.5;195.0;5554
2017-12-01;202.0;202.0;197.5;198.0;1521
2017-11-30;198.5;204.0;198.5;199.5;4063
2017-11-29;201.0;204.0;198.0;198.5;2933
2017-11-28;196.5;202.0;195.5;201.0;5382
2017-11-27;200.0;200.5;196.5;196.5;1084
2017-11-24;195.5;199.5;194.0;199.5;1876
2017-11-23;196.0;197.5;195.0;195.0;725
2017-11-22;198.0;198.0;195.0;195.5;2105
2017-11-21;198.5;199.0;193.0;194.0;4615
2017-11-20;195.0;198.5;193.0;198.5;3374
2017-11-17;199.0;199.0;198.5;198.5;676
2017-11-16;197.0;201.0;197.0;199.0;534
2017-11-15;194.5;200.0;194.0;197.0;1258
2017-11-14;195.0;197.5;195.0;195.0;612
2017-11-13;201.0;201.5;195.0;195.5;2771
2017-11-10;197.5;200.0;196.0;199.0;1230
2017-11-09;200.5;200.5;195.0;195.0;1633
2017-11-08;201.5;201.5;196.0;197.0;2205
2017-11-07;199.5;200.0;197.0;198.5;1326
2017-11-06;202.0;202.0;197.5;197.5;1066
2017-11-03;199.5;202.0;198.0;202.0;3571
2017-11-02;197.0;200.0;195.0;198.0;2286
2017-11-01;195.0;198.0;190.0;197.0;9111
2017-10-31;200.0;200.0;191.0;195.0;6039
2017-10-30;197.5;201.0;196.5;200.0;1782
2017-10-27;202.5;204.0;196.0;198.0;15828
2017-10-26;202.0;203.5;202.0;202.5;5332
2017-10-25;202.0;203.5;202.0;202.0;1296
2017-10-24;205.0;209.0;202.0;202.0;3140
2017-10-23;201.0;205.0;200.0;205.0;4671
2017-10-20;196.0;200.5;196.0;200.5;6869
2017-10-19;197.5;199.5;193.5;196.0;4115
2017-10-18;191.0;195.0;191.0;195.0;2138
2017-10-17;192.5;192.5;188.0;191.0;3497
2017-10-13;188.5;190.5;188.5;189.0;1070
2017-10-12;188.0;190.0;188.0;188.5;1369
2017-10-11;190.5;190.5;188.5;190.0;865
2017-10-10;192.0;192.0;187.0;188.0;3015
2017-10-09;191.0;193.0;191.0;192.0;941
2017-10-06;192.5;193.0;187.0;193.0;2509
2017-10-05;192.0;192.5;189.0;189.0;3098
2017-10-04;196.0;198.0;192.0;192.0;1641
2017-10-03;190.0;196.0;190.0;192.5;2227
2017-10-02;190.0;192.0;186.5;190.0;2908
2017-09-29;190.0;193.0;190.0;192.5;2204
2017-09-28;198.0;198.0;190.0;190.5;4113
2017-09-27;197.0;199.0;196.0;198.0;943
2017-09-26;199.5;200.5;195.0;195.0;1958
2017-09-25;200.0;202.0;197.5;197.5;640
2017-09-22;200.5;202.5;200.0;200.0;14007
2017-09-21;192.0;200.5;192.0;200.5;8146
2017-09-20;189.0;192.5;189.0;192.5;950
2017-09-19;189.0;189.5;188.0;189.0;885
2017-09-18;189.5;189.5;188.0;189.0;3940
2017-09-15;187.0;188.5;187.0;187.5;2868
2017-09-14;184.0;188.0;182.0;187.0;2051
2017-09-13;181.5;184.0;181.5;184.0;307
2017-09-12;183.5;186.0;182.5;182.5;1047
2017-09-11;180.0;183.5;177.5;183.5;1666
2017-09-08;179.0;180.0;176.0;180.0;1975
2017-09-07;179.5;180.0;177.0;178.0;1997
2017-09-06;179.0;180.0;179.0;179.5;2525
2017-09-04;192.0;192.0;186.0;186.5;1303
2017-09-01;189.0;192.0;185.5;185.5;2855
2017-08-31;183.5;189.5;183.0;189.0;1112
2017-08-30;178.0;181.5;178.0;181.0;2160
2017-08-29;183.5;183.5;176.0;178.0;2364
2017-08-28;178.5;183.5;178.0;183.5;743
