Dates;Open;High;Low;Close;Volume
2017-12-27;129.5;131.5;129.5;131.0;22324
2017-12-22;131.0;132.25;130.25;131.5;11765
2017-12-21;129.75;131.0;129.5;130.75;16158
2017-12-20;130.0;131.5;129.75;130.75;29294
2017-12-19;131.0;131.75;130.25;130.5;21100
2017-12-18;131.0;132.0;130.25;131.75;31121
2017-12-15;134.25;134.25;129.0;132.0;55092
2017-12-14;129.5;135.0;128.0;134.25;56779
2017-12-13;130.5;130.5;127.5;129.5;25548
2017-12-12;130.5;130.5;129.25;130.25;12779
2017-12-11;130.5;131.0;129.75;130.5;9215
2017-12-08;129.75;130.75;129.0;130.25;22642
2017-12-07;129.25;130.25;129.0;130.0;13881
2017-12-06;131.0;131.0;128.25;129.0;24423
2017-12-05;130.25;132.75;130.25;131.5;24015
2017-12-04;131.5;133.5;130.75;133.25;18720
2017-12-01;134.0;134.0;131.25;131.5;8296
2017-11-30;132.0;133.5;132.0;133.5;28351
2017-11-29;131.5;133.25;131.0;131.5;14099
2017-11-28;130.75;132.0;130.75;131.75;9169
2017-11-27;132.25;133.5;130.75;130.75;15765
2017-11-24;132.25;133.75;131.0;132.0;5810
2017-11-23;133.75;134.5;131.5;131.75;17825
2017-11-22;132.25;134.5;130.75;133.75;22731
2017-11-21;130.5;133.25;130.5;132.5;10998
2017-11-20;131.5;131.5;130.0;130.5;14264
2017-11-17;131.75;132.5;131.5;131.75;21215
2017-11-16;129.5;132.25;128.0;131.5;20237
2017-11-15;130.25;130.25;125.0;129.75;32959
2017-11-14;129.25;131.25;129.0;130.5;11217
2017-11-13;131.0;131.5;128.75;129.5;36272
2017-11-10;130.25;132.75;130.0;132.0;22289
2017-11-09;131.0;131.0;129.75;130.5;19728
2017-11-08;132.0;132.75;130.0;131.0;22299
2017-11-07;131.75;133.0;131.0;132.0;12680
2017-11-06;133.25;135.5;131.0;131.75;26085
2017-11-03;132.75;134.75;132.5;133.25;8419
2017-11-02;133.75;136.0;132.0;132.5;24662
2017-11-01;132.5;136.75;132.5;133.25;37062
2017-10-31;131.0;133.5;129.25;132.5;40537
2017-10-30;131.25;131.75;130.5;131.25;18228
2017-10-27;131.5;132.75;131.0;131.75;17651
2017-10-26;132.0;133.0;130.0;131.5;48545
2017-10-25;132.75;133.0;130.75;132.25;24344
2017-10-24;135.0;135.25;132.75;132.75;19985
2017-10-23;136.5;137.0;135.25;135.5;9886
2017-10-20;135.75;137.0;135.75;136.5;22221
2017-10-19;134.75;137.25;134.5;135.75;23359
2017-10-18;133.5;135.0;133.5;134.5;31267
2017-10-17;135.5;135.75;133.25;134.5;19001
2017-10-13;137.0;137.5;136.0;137.25;11348
2017-10-12;137.75;138.5;136.5;136.75;17889
2017-10-11;137.25;138.5;136.25;138.0;24604
2017-10-10;141.25;141.25;135.5;137.0;48016
2017-10-09;137.75;142.5;137.75;141.25;29568
2017-10-06;137.25;138.75;137.0;138.25;33233
2017-10-05;136.5;137.25;136.0;137.0;17478
2017-10-04;136.5;137.25;135.75;136.5;12048
2017-10-03;136.0;137.0;135.5;136.5;31466
2017-10-02;136.0;137.5;135.5;136.0;24616
2017-09-29;134.75;136.5;134.5;136.0;21634
2017-09-28;134.25;135.25;132.75;134.5;16833
2017-09-27;137.0;137.0;134.25;134.25;23344
2017-09-26;138.5;139.75;136.75;137.0;16449
2017-09-25;138.5;140.0;137.75;139.0;17359
2017-09-22;138.0;138.75;137.25;138.5;14054
2017-09-21;138.0;140.0;138.0;138.75;11953
2017-09-20;136.0;138.25;136.0;138.0;10882
2017-09-19;134.0;137.25;134.0;136.0;16345
2017-09-18;133.0;134.25;133.0;133.75;26741
2017-09-15;134.75;135.75;132.75;132.75;36168
2017-09-14;133.25;134.75;129.75;133.75;43798
2017-09-13;133.5;134.0;131.75;132.75;23139
2017-09-12;134.25;134.75;133.25;133.5;27281
2017-09-11;134.25;134.5;133.0;133.75;17930
2017-09-08;133.25;134.75;133.25;134.25;13175
2017-09-07;134.25;134.75;133.25;133.5;21793
2017-09-06;135.25;135.25;133.25;134.25;24089
2017-09-04;139.0;139.5;136.75;137.25;13343
2017-09-01;137.75;140.25;137.75;139.5;15165
2017-08-31;137.75;139.0;136.5;136.5;17671
2017-08-30;137.0;137.75;136.5;137.25;11822
2017-08-29;138.0;138.0;134.75;136.5;21456
2017-08-28;137.75;140.75;137.25;138.75;14078
2017-08-25;139.0;139.25;137.5;138.0;15100
2017-08-24;138.0;138.75;137.0;138.5;15427
2017-08-23;138.5;139.25;136.75;138.25;10799
2017-08-22;137.75;138.5;137.0;138.25;15958
2017-08-21;137.5;138.25;136.5;137.5;15143
2017-08-18;139.0;139.5;135.75;138.25;26350
2017-08-17;138.75;140.0;138.5;139.0;14028
2017-08-16;137.25;140.75;137.25;138.5;10331
2017-08-15;140.0;141.0;137.0;137.0;37979
