Dates;Open;High;Low;Close;Volume
2017-12-27;40.9;41.5;40.9;41.3;34711
2017-12-22;41.0;41.3;40.5;40.9;16333
2017-12-21;41.5;41.7;40.6;41.4;73375
2017-12-20;41.0;41.8;40.4;41.5;46328
2017-12-19;40.5;41.4;40.0;41.1;63479
2017-12-18;40.3;42.3;40.2;40.5;135995
2017-12-15;41.6;41.6;40.0;40.8;91759
2017-12-14;42.8;43.1;41.6;41.6;57045
2017-12-13;44.0;44.0;42.4;42.8;124281
2017-12-12;40.8;45.0;40.8;44.1;355738
2017-12-11;39.1;40.1;39.0;39.7;30528
2017-12-08;40.6;40.6;39.1;39.2;82260
2017-12-07;40.1;40.8;39.4;40.6;36628
2017-12-06;41.4;41.5;39.3;40.1;104730
2017-12-05;38.8;41.6;38.7;41.3;149439
2017-12-04;40.7;40.7;38.1;38.1;138971
2017-12-01;42.8;42.8;38.6;40.7;145737
2017-11-30;42.4;43.0;42.2;42.8;59115
2017-11-29;43.0;43.3;42.1;42.3;60330
2017-11-28;42.1;43.2;42.1;43.0;58655
2017-11-27;42.5;43.1;41.9;42.1;36160
2017-11-24;42.3;43.0;41.6;42.5;84921
2017-11-23;44.5;44.5;42.1;42.3;71740
2017-11-22;44.1;45.6;44.1;44.6;59361
2017-11-21;45.8;45.8;43.5;44.0;95507
2017-11-20;43.0;47.3;41.3;45.3;285031
2017-11-17;42.8;43.7;42.8;43.0;34735
2017-11-16;42.9;43.0;41.9;42.7;33829
2017-11-15;42.5;42.8;41.1;42.8;93184
2017-11-14;44.7;44.8;42.4;42.4;77690
2017-11-13;42.1;44.6;42.0;44.6;124664
2017-11-10;42.5;43.3;40.8;42.5;102673
2017-11-09;43.0;43.6;41.4;42.3;154393
2017-11-08;41.0;43.0;40.0;42.7;292009
2017-11-07;44.5;44.6;41.0;41.4;359701
2017-11-06;46.6;46.8;43.8;44.3;246742
2017-11-03;45.2;46.2;44.0;46.2;96709
2017-11-02;46.3;48.3;44.3;45.3;350695
2017-11-01;47.9;49.0;45.2;46.3;411013
2017-10-31;51.0;51.75;46.7;47.7;398380
2017-10-30;52.0;52.75;51.25;51.75;233255
2017-10-27;51.5;52.25;50.75;52.0;191654
2017-10-26;49.9;51.0;48.6;51.0;246742
2017-10-25;49.3;50.0;48.7;49.8;285294
2017-10-24;47.8;49.6;46.9;48.3;362665
2017-10-23;45.5;47.8;44.5;47.8;350336
2017-10-20;44.8;45.2;42.2;43.7;328672
2017-10-19;44.5;46.7;43.6;44.0;563742
2017-10-18;42.2;42.2;41.2;42.1;98042
2017-10-17;41.7;42.4;40.9;42.2;86371
2017-10-13;40.8;42.1;40.2;42.0;81494
2017-10-12;40.9;41.0;39.8;40.7;92015
2017-10-11;41.6;41.6;40.5;40.7;63475
2017-10-10;40.7;42.0;40.6;41.7;137781
2017-10-09;41.7;41.7;39.6;40.9;241749
2017-10-06;42.1;43.5;41.5;41.8;196591
2017-10-05;44.7;44.7;41.9;42.2;217932
2017-10-04;46.0;46.0;42.6;44.6;280970
2017-10-03;45.5;46.0;44.4;46.0;294177
2017-10-02;45.9;47.8;43.9;45.3;657110
2017-09-29;43.0;45.7;42.9;45.3;463682
2017-09-28;40.6;43.0;39.9;42.4;280655
2017-09-27;39.8;41.3;39.8;40.6;332477
2017-09-26;37.3;39.8;37.3;39.5;268946
2017-09-25;37.7;37.8;37.2;37.3;64380
2017-09-22;37.5;37.9;37.1;37.7;200036
2017-09-21;36.0;37.4;35.5;37.1;523075
2017-09-20;34.0;34.8;33.4;33.4;81770
2017-09-19;33.9;34.1;33.0;33.1;103694
2017-09-18;35.0;36.1;33.7;34.0;140575
2017-09-15;33.8;37.5;33.4;34.8;560240
2017-09-14;31.1;33.5;31.1;33.0;246725
2017-09-13;30.8;31.2;30.2;31.0;82762
2017-09-12;30.1;30.8;30.1;30.8;77162
2017-09-11;30.2;30.6;29.8;30.2;102406
2017-09-08;30.8;30.8;30.2;30.6;90043
2017-09-07;31.2;31.9;30.5;31.0;77767
2017-09-06;31.8;32.4;31.3;31.4;67614
2017-09-04;32.1;32.1;31.5;31.6;37041
2017-09-01;31.9;32.9;31.0;32.3;176099
2017-08-31;32.2;32.8;31.7;32.0;36961
2017-08-30;32.1;32.6;31.8;32.2;44870
2017-08-29;33.1;33.1;31.9;32.1;56465
2017-08-28;34.1;34.4;32.4;33.1;123673
2017-08-25;34.3;34.5;34.0;34.5;33735
2017-08-24;34.6;34.7;33.9;34.4;43682
2017-08-23;35.0;35.6;34.4;34.7;28981
2017-08-22;35.3;35.8;34.8;35.0;43424
2017-08-21;34.6;35.0;34.5;34.9;36534
2017-08-18;34.5;34.6;34.0;34.5;53632
2017-08-17;35.0;35.3;34.2;34.4;73415
2017-08-16;35.0;35.0;34.5;34.7;54219
2017-08-15;34.9;35.4;34.1;35.1;58197
2017-08-14;35.2;35.6;34.6;34.9;41151
2017-08-11;36.0;36.0;34.7;35.3;113841
2017-08-10;37.5;37.5;35.8;36.2;129279
2017-08-09;38.0;38.0;35.5;37.2;401807
2017-08-08;33.7;37.9;32.8;37.5;849204
