Dates;Open;High;Low;Close;Volume
2017-12-27;51.5;51.5;50.0;50.75;11297
2017-12-22;51.75;51.75;50.0;51.5;13915
2017-12-21;50.25;51.5;50.0;51.5;114295
2017-12-20;50.25;50.75;50.0;50.25;23222
2017-12-19;50.0;51.25;50.0;50.75;140073
2017-12-18;50.25;51.0;50.0;50.75;39858
2017-12-15;47.4;50.25;47.4;50.25;190427
2017-12-14;49.5;49.5;48.4;48.8;13088
2017-12-13;48.5;49.5;48.5;49.0;160723
2017-12-12;48.3;49.2;48.1;48.4;315823
2017-12-11;47.6;49.0;47.6;48.3;34699
2017-12-08;46.5;48.0;46.2;47.5;230406
2017-12-07;45.3;46.7;45.3;46.7;36979
2017-12-06;45.6;45.9;45.1;45.5;30933
2017-12-05;46.1;46.7;45.4;45.6;13083
2017-12-04;46.3;46.6;45.9;46.1;44319
2017-12-01;45.8;47.7;45.8;46.3;14050
2017-11-30;47.5;48.1;46.6;46.9;47316
2017-11-29;49.5;49.5;47.6;48.1;6234
2017-11-28;48.0;49.0;47.5;48.7;41082
2017-11-27;47.9;48.8;47.3;48.1;40152
2017-11-24;46.9;47.4;46.7;47.3;17490
2017-11-23;46.4;46.9;46.0;46.8;20736
2017-11-22;45.9;47.0;45.9;46.4;94854
2017-11-21;45.3;45.5;44.6;45.4;26011
2017-11-20;45.4;45.4;44.7;45.3;13668
2017-11-17;45.5;45.9;44.7;45.4;75537
2017-11-16;45.4;45.9;45.1;45.7;138086
2017-11-15;46.3;46.4;44.8;45.4;62092
2017-11-14;46.6;46.8;46.4;46.4;61718
2017-11-13;47.4;47.6;46.3;46.8;77142
2017-11-10;48.0;48.0;47.3;47.8;39604
2017-11-09;48.6;49.0;48.0;48.1;45314
2017-11-08;49.0;49.7;48.4;48.7;33430
2017-11-07;49.9;49.9;48.5;49.1;20066
2017-11-06;50.0;50.0;49.6;49.8;86122
2017-11-03;50.0;50.0;49.7;50.0;23617
2017-11-02;51.0;51.0;49.3;49.6;60535
2017-11-01;50.0;51.0;50.0;51.0;47751
2017-10-31;49.0;50.0;48.0;50.0;1313522
2017-10-30;50.0;50.0;48.5;49.0;31569
2017-10-27;50.0;50.0;49.4;49.6;19375
2017-10-26;49.4;49.8;48.5;49.8;83322
2017-10-25;49.5;49.6;48.4;49.6;83283
2017-10-24;49.9;50.0;49.6;50.0;18556
2017-10-23;50.0;50.25;49.5;49.9;11542
2017-10-20;51.0;51.0;50.0;50.25;43847
2017-10-19;50.25;50.5;49.9;50.0;16663
2017-10-18;49.7;50.75;49.7;50.5;943731
2017-10-17;49.2;49.9;49.2;49.7;41614
2017-10-13;49.5;49.6;49.3;49.6;13045
2017-10-12;50.0;50.0;49.4;49.8;17928
2017-10-11;49.9;50.0;49.8;49.8;4883
2017-10-10;50.0;50.25;49.4;49.4;29672
2017-10-09;49.9;50.5;49.6;50.0;8867
2017-10-06;51.0;51.25;49.5;49.9;45032
2017-10-05;51.5;51.5;51.0;51.25;17887
2017-10-04;51.0;51.25;50.0;51.0;31470
2017-10-03;49.6;51.0;49.6;51.0;33330
2017-10-02;50.75;50.75;49.7;49.7;65526
2017-09-29;49.0;50.75;48.9;50.75;59055
2017-09-28;49.1;49.4;48.8;49.1;14808
2017-09-27;49.1;49.4;49.1;49.1;7029
2017-09-26;49.0;50.25;49.0;49.3;19099
2017-09-25;49.0;49.2;48.4;49.0;18624
2017-09-22;49.9;49.9;48.8;49.1;10375
2017-09-21;49.0;49.2;48.7;49.0;14204
2017-09-20;49.2;49.5;48.7;48.9;13481
2017-09-19;50.0;50.0;48.9;49.3;12094
2017-09-18;48.5;49.7;48.5;49.4;16492
2017-09-15;48.9;49.1;48.5;48.5;265022
2017-09-14;48.4;49.0;48.4;49.0;62616
2017-09-13;48.8;49.0;48.4;48.7;34909
2017-09-12;48.6;49.4;48.6;49.0;17240
2017-09-11;48.4;49.6;48.4;48.8;136294
2017-09-08;49.0;49.5;48.8;49.0;30794
2017-09-07;49.2;49.4;49.0;49.2;17631
2017-09-06;49.0;49.4;48.9;49.2;225908
2017-09-04;49.2;49.3;49.0;49.3;28132
2017-09-01;49.0;49.6;48.8;49.3;121466
2017-08-31;51.0;51.0;49.5;49.8;3876
2017-08-30;49.7;50.5;49.6;49.6;12200
2017-08-29;49.2;49.9;49.0;49.7;15413
2017-08-28;49.4;49.7;49.1;49.6;9754
