Dates;Open;High;Low;Close;Volume
2017-12-27;154.5;166.0;153.5;164.5;44935
2017-12-22;150.0;155.0;150.0;154.5;39219
2017-12-21;152.5;154.5;151.0;152.0;36386
2017-12-20;154.5;155.0;150.5;152.0;40159
2017-12-19;154.5;154.5;149.0;154.0;126342
2017-12-18;150.0;153.0;149.0;153.0;31191
2017-12-15;145.25;151.0;145.25;149.5;33578
2017-12-14;150.0;151.5;146.25;149.75;55331
2017-12-13;148.25;153.0;147.25;149.75;53455
2017-12-12;149.5;151.5;147.5;148.25;21213
2017-12-11;149.0;152.5;149.0;152.5;88238
2017-12-08;149.0;150.0;146.75;149.25;30807
2017-12-07;146.0;150.5;143.0;149.0;180875
2017-12-06;148.5;148.75;142.5;146.75;45925
2017-12-05;143.0;149.75;143.0;148.5;113826
2017-12-04;142.25;144.0;142.0;143.5;24155
2017-12-01;143.25;145.25;139.75;142.5;72026
2017-11-30;144.5;145.25;140.5;142.5;99949
2017-11-29;141.25;144.0;140.75;143.5;29905
2017-11-28;136.5;143.75;136.25;141.0;88641
2017-11-27;142.25;144.25;136.75;138.75;96690
2017-11-24;150.0;150.5;140.25;141.75;104632
2017-11-23;164.0;164.0;146.25;147.25;206567
2017-11-22;144.0;165.0;141.5;165.0;276079
2017-11-21;149.75;150.5;144.75;144.75;56241
2017-11-20;143.0;152.0;141.0;148.0;121855
2017-11-17;141.0;144.25;140.0;142.5;49326
2017-11-16;133.25;141.25;133.25;141.0;57427
2017-11-15;140.25;140.5;133.0;136.0;72186
2017-11-14;131.5;141.5;131.5;140.25;80960
2017-11-13;136.0;136.0;130.0;131.5;48735
2017-11-10;132.75;135.0;128.5;135.0;72674
2017-11-09;135.25;135.25;131.0;133.5;158850
2017-11-08;129.0;135.0;128.0;135.0;343026
2017-11-07;134.0;134.5;127.75;130.0;588781
2017-11-06;138.0;138.0;130.5;134.25;263122
2017-11-03;148.0;148.0;140.0;141.0;241679
2017-11-02;153.5;154.5;138.75;146.5;529575
2017-11-01;185.5;187.5;152.0;152.0;525278
2017-10-31;189.0;189.0;183.5;185.5;43014
2017-10-30;185.5;189.0;184.0;188.5;31905
2017-10-27;188.5;189.0;182.0;186.5;37744
2017-10-26;180.0;189.0;177.5;187.0;36341
2017-10-25;174.0;182.0;173.5;180.5;116947
2017-10-24;168.5;175.5;168.0;172.0;63665
2017-10-23;165.5;169.0;162.0;168.0;32058
2017-10-20;161.5;168.0;160.5;165.5;46098
2017-10-19;166.0;167.5;158.5;161.5;53500
2017-10-18;168.0;169.5;165.0;168.0;40744
2017-10-17;170.5;170.5;168.0;168.5;45126
2017-10-13;167.5;169.0;164.0;168.5;77226
2017-10-12;163.0;167.0;161.5;167.0;168761
2017-10-11;165.5;167.0;160.5;163.0;677355
2017-10-10;176.5;176.5;162.5;164.5;307064
2017-10-09;184.5;185.0;175.5;176.0;171440
2017-10-06;185.0;186.5;184.0;185.5;35417
2017-10-05;185.0;185.5;181.0;185.0;56856
2017-10-04;183.0;188.0;179.0;185.5;55990
2017-10-03;181.0;182.0;180.0;181.0;24977
2017-10-02;175.5;181.0;175.0;179.5;52404
2017-09-29;170.5;174.0;165.5;173.5;57436
2017-09-28;177.5;178.5;167.5;170.0;81022
2017-09-27;177.5;179.0;176.0;177.5;75493
2017-09-26;179.5;180.0;170.0;175.0;147279
2017-09-25;191.0;192.0;176.0;180.0;124044
2017-09-22;197.0;197.5;194.5;196.5;146482
2017-09-21;190.0;199.5;190.0;197.5;76385
2017-09-20;187.0;191.0;187.0;189.0;43044
2017-09-19;189.0;192.0;187.0;187.5;42630
2017-09-18;191.5;191.5;187.0;188.5;34030
2017-09-15;188.5;189.0;186.0;186.0;40678
2017-09-14;191.0;192.5;188.5;189.0;64340
2017-09-13;187.5;192.5;183.0;190.5;64396
2017-09-12;184.0;184.0;181.5;183.0;57006
2017-09-11;182.0;184.0;180.5;183.0;113127
2017-09-08;173.0;179.0;172.5;176.0;53021
2017-09-07;163.5;174.5;163.5;172.0;77563
2017-09-06;165.0;165.0;159.0;163.0;69903
2017-09-04;174.0;174.0;162.5;162.5;68495
2017-09-01;166.5;178.5;165.0;171.5;149760
2017-08-31;158.5;162.0;156.5;159.5;109968
2017-08-30;156.5;157.5;155.5;156.0;44733
2017-08-29;157.0;157.5;155.5;155.5;100419
2017-08-28;159.5;159.5;151.0;156.5;144088
2017-08-25;153.5;160.0;146.5;159.5;262116
2017-08-24;160.0;165.0;149.5;153.5;568944
2017-08-23;177.0;177.0;168.0;174.0;99088
2017-08-22;168.0;176.5;166.5;176.0;128527
2017-08-21;168.0;173.5;166.5;167.0;63786
2017-08-18;168.5;170.0;165.0;168.0;77193
2017-08-17;171.0;173.0;167.5;169.0;65892
2017-08-16;174.5;176.0;171.5;172.0;63106
2017-08-15;181.0;181.5;171.5;173.5;81805
2017-08-14;180.5;185.0;179.5;181.0;23887
2017-08-11;182.0;182.5;176.0;180.5;82629
2017-08-10;187.0;187.0;182.5;182.5;41266
2017-08-09;190.0;190.0;184.0;187.5;57294
2017-08-08;193.0;197.0;189.0;191.0;51746
2017-08-07;194.0;194.0;187.0;192.5;67667
2017-08-04;187.5;192.0;183.0;192.0;63146
2017-08-03;188.0;189.5;183.0;187.5;74269
2017-08-02;199.0;199.0;179.0;188.0;386929
2017-08-01;196.0;200.5;196.0;199.0;41916
2017-07-31;201.0;201.0;195.5;198.0;33837
2017-07-28;198.0;200.0;195.5;198.0;29639
2017-07-27;197.0;202.0;197.0;198.5;13094
2017-07-26;196.0;197.5;193.5;197.0;35423
2017-07-25;199.0;201.5;196.5;198.0;39305
2017-07-24;204.0;204.0;197.0;199.0;37183
2017-07-21;205.5;209.0;201.5;204.0;50082
2017-07-20;205.0;206.5;204.0;205.0;34580
2017-07-19;208.0;208.0;203.0;205.5;44638
2017-07-18;206.0;208.0;203.0;207.0;49766
2017-07-17;204.0;214.0;204.0;207.5;112870
2017-07-14;206.0;206.0;201.0;204.0;33649
2017-07-13;212.0;212.0;204.0;205.0;34794
2017-07-12;204.0;214.5;203.0;212.0;77429
2017-07-11;206.5;208.5;197.5;204.0;93840
2017-07-10;213.5;214.0;197.0;206.0;186987
2017-07-07;211.0;215.0;210.5;212.5;43249
2017-07-06;220.0;223.0;211.0;213.5;50564
2017-07-05;225.5;225.5;215.5;219.5;57441
2017-07-04;236.0;236.0;221.0;225.0;85083
2017-07-03;235.0;236.0;229.0;235.5;35600
2017-06-30;233.0;237.5;229.0;235.5;56665
2017-06-29;239.0;241.5;231.5;233.0;37543
2017-06-28;242.0;242.5;232.0;239.0;46267
2017-06-27;252.0;252.0;239.0;242.0;48675
2017-06-26;256.0;256.0;252.0;252.0;42748
2017-06-23;;256.0;256.0;256.0;0
2017-06-22;255.0;258.0;254.5;256.0;28464
2017-06-21;258.5;260.0;253.0;255.0;27523
2017-06-20;262.5;262.5;254.5;258.0;26710
2017-06-19;269.0;272.5;260.5;262.5;34070
2017-06-16;260.0;274.5;260.0;268.5;87254
2017-06-15;263.0;264.0;256.5;259.0;39092
2017-06-14;262.0;265.0;261.5;263.0;158031
2017-06-13;258.5;261.0;256.0;261.0;33303
2017-06-12;260.0;261.0;253.0;256.0;35310
2017-06-09;260.5;268.0;258.0;259.0;105093
2017-06-08;257.0;260.5;254.0;258.0;56641
2017-06-07;256.5;259.5;255.0;257.0;110261
2017-06-06;;256.0;256.0;256.0;0
2017-06-05;250.0;257.0;250.0;256.0;101521
2017-06-02;245.0;252.0;244.0;246.5;83778
2017-06-01;240.0;244.5;239.0;244.5;69413
2017-05-31;238.0;239.0;234.0;239.0;128485
2017-05-30;230.0;240.0;229.0;237.0;152369
2017-05-29;230.5;231.0;227.0;230.0;31095
2017-05-26;224.0;230.5;222.0;230.5;103283
2017-05-24;229.0;232.0;222.0;224.0;155938
2017-05-23;229.0;229.5;224.5;229.0;42231
2017-05-22;226.5;230.0;221.5;228.5;78255
2017-05-19;229.5;238.0;226.0;226.5;97119
2017-05-18;223.0;241.0;220.5;222.5;68033
2017-05-17;227.0;228.0;220.0;224.0;43645
2017-05-16;226.0;228.0;224.0;227.0;38303
2017-05-15;226.5;228.0;225.5;225.5;25337
2017-05-12;226.5;226.5;226.5;226.5;20195
2017-05-11;227.0;228.5;224.0;226.5;259438
2017-05-10;230.0;230.0;223.5;227.0;28656
2017-05-09;226.0;229.0;223.0;227.5;157479
2017-05-08;225.0;228.0;222.0;226.0;36944
2017-05-05;218.5;224.5;215.0;224.5;38915
2017-05-04;228.0;228.0;218.0;218.5;25263
2017-05-03;222.0;222.5;218.0;222.5;72720
2017-05-02;226.0;230.5;220.5;222.0;80768
2017-05-01;;222.0;222.0;222.0;0
2017-04-28;216.0;224.0;216.0;222.0;29220
2017-04-27;217.5;218.5;212.5;218.5;50802
2017-04-26;223.0;223.0;217.5;219.0;53016
2017-04-25;223.0;225.0;221.5;223.0;16805
2017-04-24;220.0;225.5;220.0;221.5;78411
2017-04-21;227.0;227.0;221.0;221.5;63282
2017-04-20;233.0;233.5;224.0;227.5;66883
2017-04-19;243.0;244.5;231.0;235.0;63399
2017-04-18;252.0;252.0;245.5;248.5;19408
2017-04-13;249.0;252.0;242.0;252.0;30453
2017-04-12;249.0;250.0;242.0;247.0;13274
2017-04-11;251.5;251.5;243.5;247.0;17729
2017-04-10;244.0;252.0;241.0;251.5;27211
2017-04-07;241.5;245.0;237.0;244.0;34541
2017-04-06;246.0;246.0;241.0;246.0;49395
2017-04-05;240.0;250.0;238.0;247.0;45720
2017-04-04;238.0;240.0;237.0;239.0;34415
2017-04-03;233.0;241.5;233.0;236.0;81521
2017-03-31;235.0;235.0;230.5;235.0;20900
2017-03-30;230.0;235.0;229.0;235.0;19585
2017-03-29;231.0;231.0;227.0;229.0;82233
2017-03-28;230.0;232.0;227.0;228.5;21927
2017-03-27;231.0;231.0;226.0;230.5;13063
2017-03-24;236.0;236.0;229.5;231.0;20480
2017-03-23;232.0;238.5;231.5;235.5;20111
2017-03-22;240.0;240.0;228.0;232.0;45484
2017-03-21;249.0;249.0;236.0;240.0;45448
2017-03-20;252.0;252.0;249.0;249.0;26801
2017-03-17;254.0;254.0;250.5;251.0;19718
2017-03-16;252.0;254.0;250.0;252.0;18411
2017-03-15;247.0;260.0;245.5;251.5;186941
2017-03-14;245.5;247.0;242.0;245.0;73560
2017-03-13;246.5;247.5;240.0;245.5;24151
2017-03-10;244.0;244.5;244.5;244.5;41451
2017-03-09;246.0;246.0;242.0;243.5;14757
2017-03-08;246.0;246.5;243.5;244.0;42146
2017-03-07;241.0;249.0;239.0;245.0;33144
2017-03-06;241.0;244.5;237.5;239.5;133001
2017-03-03;245.0;241.0;241.0;241.0;16031
2017-03-02;238.5;252.5;238.5;245.0;362993
2017-03-01;229.5;240.0;228.0;237.5;18061
2017-02-28;230.0;232.5;229.0;230.0;34838
2017-02-27;232.0;234.5;228.0;229.0;17417
2017-02-24;231.5;233.0;229.0;231.5;145099
2017-02-23;227.0;232.0;227.0;231.5;22264
2017-02-22;227.0;227.0;224.0;226.5;19969
2017-02-21;225.0;229.5;224.5;227.0;16348
2017-02-20;221.0;225.0;216.5;225.0;26400
2017-02-17;221.0;222.0;214.5;219.0;31407
2017-02-16;221.5;224.0;218.5;218.5;35400
2017-02-15;220.5;220.5;217.0;220.0;14980
2017-02-14;219.0;221.0;214.0;219.5;14587
2017-02-13;221.5;222.5;217.5;219.0;1216257
