Dates;Open;High;Low;Close;Volume
2017-12-27;95.0;101.0;95.0;101.0;151242
2017-12-22;96.0;96.0;94.25;95.0;10435
2017-12-21;89.75;96.5;89.75;96.5;45635
2017-12-20;92.75;95.25;91.5;93.75;66713
2017-12-19;89.5;93.5;89.5;93.0;69333
2017-12-18;89.75;90.5;89.5;90.0;55774
2017-12-15;89.0;89.25;87.75;89.25;38737
2017-12-14;90.0;90.75;88.0;88.75;31843
2017-12-13;90.0;91.0;88.5;89.75;25580
2017-12-12;88.0;90.5;87.25;90.0;58034
2017-12-11;88.0;88.0;85.5;87.75;533748
2017-12-08;89.0;89.75;87.0;87.0;65236
2017-12-07;90.0;91.5;88.0;88.5;72679
2017-12-06;90.75;91.75;89.5;90.25;95317
2017-12-05;90.0;90.5;88.0;90.5;67133
2017-12-04;86.75;90.0;86.75;90.0;87525
2017-12-01;89.75;89.75;87.0;87.25;85471
2017-11-30;88.0;89.25;86.75;89.25;143743
2017-11-29;85.5;89.0;85.25;88.25;78201
2017-11-28;85.0;86.0;84.5;85.0;188850
2017-11-27;87.0;87.25;84.75;84.75;152055
2017-11-24;89.5;89.75;86.75;87.0;104596
2017-11-23;91.75;91.75;89.0;89.5;81185
2017-11-22;90.75;91.75;89.5;91.75;119379
2017-11-21;89.5;90.0;87.5;89.5;164259
2017-11-20;88.25;89.75;86.0;89.5;308761
2017-11-17;89.5;89.5;84.5;85.25;136682
2017-11-16;85.25;89.0;84.75;87.75;143864
2017-11-15;86.25;86.5;84.75;85.0;174827
2017-11-14;85.5;87.25;84.0;86.75;140061
2017-11-13;87.0;87.0;84.0;85.0;175010
2017-11-10;91.0;91.0;85.75;85.75;400729
2017-11-09;90.0;92.5;85.25;90.0;1101598
2017-11-08;108.75;108.75;105.75;107.0;110907
2017-11-07;112.0;112.0;106.25;106.5;128335
2017-11-06;109.0;113.0;108.5;111.0;494745
2017-11-03;102.75;107.0;102.5;107.0;99905
2017-11-02;103.5;103.5;101.75;102.5;45891
2017-11-01;103.0;103.5;101.5;103.25;194974
2017-10-31;100.5;102.5;99.5;102.5;57256
2017-10-30;98.75;101.75;98.25;100.25;38488
2017-10-27;99.25;99.75;98.0;98.75;49148
2017-10-26;100.0;100.75;97.25;99.25;105885
2017-10-25;97.5;101.0;96.75;99.75;91753
2017-10-24;97.5;97.5;95.5;97.5;52755
2017-10-23;98.0;98.25;96.5;96.75;34811
2017-10-20;98.25;98.5;97.5;97.75;40927
