Dates;Open;High;Low;Close;Volume
2017-12-27;24.8;24.9;24.1;24.7;115955
2017-12-22;24.9;25.2;24.0;24.7;121210
2017-12-21;24.2;25.2;24.2;25.2;58199
2017-12-20;24.2;24.7;24.1;24.3;171743
2017-12-19;25.2;25.2;24.1;24.5;104871
2017-12-18;23.7;25.0;23.7;24.8;432585
2017-12-15;25.3;25.6;23.6;23.6;502935
2017-12-14;25.6;25.9;25.4;25.4;86753
2017-12-13;25.7;26.2;25.6;26.2;178470
2017-12-12;25.8;26.2;25.8;26.0;145901
2017-12-11;25.9;26.1;25.7;25.8;38535
2017-12-08;25.9;26.6;25.6;26.1;173669
2017-12-07;26.0;26.2;25.6;25.9;33724
2017-12-06;26.3;26.5;25.5;26.1;111511
2017-12-05;27.2;27.2;25.8;26.0;91802
2017-12-04;26.4;26.8;26.4;26.5;199811
2017-12-01;26.9;26.9;26.3;26.4;180480
2017-11-30;26.9;28.0;26.5;27.2;588907
2017-11-29;26.0;27.0;25.5;26.8;207516
2017-11-28;24.0;26.0;24.0;26.0;228480
2017-11-27;24.0;24.8;23.8;24.0;172270
2017-11-24;24.3;24.4;23.6;23.9;172081
2017-11-23;24.8;24.8;23.8;24.2;277064
2017-11-22;25.5;25.6;24.4;24.7;342444
2017-11-21;26.7;26.7;25.2;25.6;256968
2017-11-20;25.6;26.9;25.6;26.6;166143
2017-11-17;24.9;25.4;24.7;25.4;51616
2017-11-16;25.0;25.4;24.4;24.9;157722
2017-11-15;25.7;25.7;24.7;24.9;536927
2017-11-14;25.9;26.2;25.5;25.7;46415
2017-11-13;26.2;26.2;25.2;25.8;25702
2017-11-10;26.3;26.3;25.9;26.0;39496
2017-11-09;26.2;26.5;26.0;26.0;37501
2017-11-08;26.8;26.8;25.9;26.2;124201
2017-11-07;27.0;27.1;26.2;26.2;189976
2017-11-06;27.3;27.9;26.9;27.0;672562
2017-11-03;27.4;27.6;27.3;27.4;15055
2017-11-02;27.7;27.8;27.3;27.3;95143
2017-11-01;29.5;29.5;27.6;27.6;259041
2017-10-31;28.9;30.0;27.5;30.0;1375337
2017-10-30;27.5;29.2;27.4;28.5;327389
2017-10-27;27.9;27.9;27.2;27.2;74334
2017-10-26;28.3;28.3;27.6;27.7;21970
2017-10-25;28.1;28.9;28.0;28.3;27455
2017-10-24;28.1;28.5;27.9;28.0;191873
2017-10-23;28.0;28.4;27.8;28.1;71828
2017-10-20;29.0;29.3;28.1;28.3;25787
2017-10-19;30.0;30.0;28.5;28.9;114274
2017-10-18;30.8;30.8;29.5;29.5;16904
2017-10-17;30.8;30.8;29.8;30.3;24988
2017-10-13;30.5;30.7;29.6;29.7;44053
2017-10-12;31.0;31.3;29.7;29.7;52975
2017-10-11;31.8;31.8;30.7;31.4;17336
2017-10-10;31.1;31.7;30.1;31.4;48004
2017-10-09;32.4;33.0;31.0;31.1;42078
2017-10-06;32.2;32.4;32.0;32.0;9343
2017-10-05;32.5;32.5;31.9;32.5;47269
