Dates;Open;High;Low;Close;Volume
2017-12-27;108.9;110.0;105.0;105.0;570
2017-12-22;108.8;108.8;98.1;98.1;157
2017-12-21;104.0;108.9;104.0;107.1;1891
2017-12-20;106.6;108.5;103.0;103.0;1046
2017-12-19;111.4;111.4;106.4;108.8;643
2017-12-18;105.5;111.5;105.2;111.5;1491
2017-12-15;105.5;107.7;105.3;105.3;336
2017-12-14;107.1;107.2;107.0;107.2;1255
2017-12-13;104.6;105.9;104.6;105.9;973
2017-12-12;102.5;102.5;102.4;102.4;206
2017-12-11;104.6;104.7;104.6;104.6;359
2017-12-08;102.0;103.2;102.0;102.4;894
2017-12-07;103.2;103.2;103.1;103.1;123
2017-12-06;103.0;104.8;102.8;104.3;7559
2017-12-05;102.9;105.0;102.8;103.5;763
2017-12-04;103.2;105.1;102.8;105.1;8487
2017-12-01;105.9;107.0;103.2;105.1;75
2017-11-30;104.1;104.2;102.9;102.9;396
2017-11-29;103.9;105.9;103.9;105.9;682
2017-11-28;104.3;105.8;104.1;104.3;1662
2017-11-27;105.0;106.1;104.2;106.1;5333
2017-11-24;106.5;106.9;105.3;105.3;162
2017-11-23;106.0;106.2;104.6;105.4;2410
2017-11-22;105.0;105.9;105.0;105.9;290
2017-11-20;106.0;106.0;104.8;104.8;979
2017-11-17;106.0;107.2;106.0;107.2;533
2017-11-16;105.0;107.0;104.8;104.8;1303
2017-11-15;106.7;106.7;104.4;104.4;402
2017-11-14;105.7;106.7;104.5;106.7;1204
2017-11-13;106.9;107.0;105.7;105.7;1632
2017-11-10;106.9;107.0;106.9;107.0;403
2017-11-09;108.0;108.0;105.0;105.0;300
2017-11-08;106.2;107.0;104.6;107.0;530
2017-11-07;105.0;106.2;105.0;106.2;1915
2017-11-06;105.1;105.1;105.0;105.0;356
2017-11-02;104.1;106.3;104.1;106.2;1683
2017-11-01;105.9;106.3;104.3;104.4;592
2017-10-31;105.1;105.1;104.1;104.2;230
2017-10-30;105.1;105.1;105.1;105.1;9
2017-10-27;103.9;105.5;103.8;105.0;17728
2017-10-26;101.3;103.9;101.3;103.9;937
2017-10-25;103.1;103.1;101.6;101.6;431
2017-10-24;105.6;105.6;103.2;103.7;2216
2017-10-23;106.0;106.1;105.5;106.1;297
2017-10-20;106.2;107.0;106.1;106.1;233
2017-10-19;106.2;106.2;106.2;106.2;200
2017-10-18;106.9;107.0;106.0;106.2;415
2017-10-17;106.4;106.9;106.4;106.9;902
2017-10-13;104.8;105.1;104.8;104.9;134
2017-10-12;104.8;106.0;104.8;106.0;7238
2017-10-11;106.0;106.7;104.8;104.8;151
2017-10-10;106.4;106.5;106.0;106.0;37
2017-10-09;105.1;105.3;102.8;105.3;2245
2017-10-06;106.0;106.8;105.5;105.6;382
2017-10-05;107.5;107.9;106.0;106.0;215
2017-10-04;106.0;107.4;106.0;106.1;361
2017-10-03;107.2;109.3;106.0;106.0;1686
2017-10-02;108.0;108.2;107.1;107.2;1505
2017-09-29;106.5;108.5;106.0;108.1;3053
2017-09-28;109.4;109.4;107.3;108.9;4262
2017-09-27;118.8;119.8;109.5;110.6;7696
2017-09-26;118.0;118.4;117.4;118.4;447
2017-09-25;116.0;117.2;115.1;117.2;866
2017-09-22;113.9;117.1;113.9;116.0;5586
2017-09-21;112.5;113.9;112.5;112.7;1035
2017-09-20;114.0;114.0;109.8;112.7;3959
2017-09-19;110.0;114.1;110.0;114.0;847
2017-09-18;115.4;118.5;112.8;112.8;4335
2017-09-15;114.4;115.0;111.9;114.3;2021
2017-09-14;112.9;112.9;112.8;112.9;739
2017-09-13;112.1;113.2;111.7;112.9;1661
2017-09-12;113.4;113.7;111.7;111.7;1970
2017-09-11;111.5;112.1;109.3;112.1;130
2017-09-08;108.2;115.0;108.2;111.5;1159
2017-09-07;108.2;108.2;108.2;108.2;3
2017-09-06;109.4;109.4;107.0;107.0;910
2017-09-04;108.5;109.3;107.0;107.1;594
2017-09-01;108.5;108.6;107.3;108.6;4752
