Dates;Open;High;Low;Close;Volume
2017-12-27;34.5;34.5;33.96;33.96;10269
2017-12-22;34.14;34.2;33.93;33.93;7442
2017-12-21;34.04;34.13;34.0;34.0;32138
2017-12-20;34.15;34.21;34.0;34.04;49460
2017-12-19;34.06;34.57;34.0;34.15;15723
2017-12-18;34.12;34.33;34.01;34.06;3682
2017-12-15;34.65;34.65;34.0;34.0;34184
2017-12-14;33.9;34.48;33.8;34.03;53638
2017-12-13;33.99;34.0;33.9;33.92;10725
2017-12-12;34.03;34.05;33.79;33.96;31895
2017-12-11;34.03;34.1;34.0;34.03;49858
2017-12-08;35.0;35.0;34.0;34.1;54436
2017-12-07;34.7;34.94;34.0;34.0;16739
2017-12-06;35.19;35.19;34.66;34.7;23181
2017-12-05;35.33;35.41;35.06;35.11;14526
2017-12-04;35.33;36.0;35.0;35.15;47471
2017-12-01;34.9;35.22;34.9;35.21;4433
2017-11-30;34.65;35.1;34.65;35.08;36989
2017-11-29;35.16;35.19;34.97;35.0;16454
2017-11-28;34.78;35.19;34.54;34.67;12124
2017-11-27;35.15;35.23;34.65;35.0;21689
2017-11-24;35.0;35.2;34.91;35.14;13791
2017-11-23;35.0;35.71;34.84;35.5;30024
2017-11-22;34.73;35.4;34.5;35.4;38019
2017-11-21;34.7;34.74;34.48;34.65;20825
2017-11-20;34.5;34.73;34.31;34.61;8687
2017-11-17;34.51;34.62;34.5;34.59;13159
2017-11-16;34.35;34.5;34.03;34.45;7986
2017-11-15;33.85;34.4;33.85;34.35;12827
2017-11-14;34.01;34.4;33.79;33.83;31130
2017-11-13;34.1;34.19;33.79;34.01;30298
2017-11-10;34.36;34.57;34.08;34.15;13884
2017-11-09;34.56;34.56;34.3;34.36;1189
2017-11-08;34.31;34.45;34.2;34.26;6096
2017-11-07;34.46;34.48;34.25;34.31;21210
2017-11-06;34.74;34.74;34.26;34.46;9061
2017-11-03;34.7;34.7;34.22;34.22;5863
2017-11-02;34.74;34.75;34.4;34.5;11042
2017-11-01;34.6;34.74;34.56;34.74;2635
2017-10-31;34.56;34.86;34.52;34.6;6317
2017-10-30;34.48;34.6;34.36;34.4;17017
2017-10-27;34.15;34.49;33.76;34.23;17255
2017-10-26;33.85;34.5;33.84;34.15;14675
2017-10-25;34.2;34.4;33.11;33.36;27715
2017-10-24;34.35;34.35;34.2;34.22;19264
2017-10-23;34.2;34.33;34.1;34.28;6287
2017-10-20;34.25;34.25;33.85;34.0;19239
2017-10-19;34.2;34.2;33.8;34.14;26662
2017-10-18;34.25;34.59;33.69;34.1;72883
2017-10-17;34.49;34.49;34.21;34.25;5353
2017-10-13;34.6;34.6;34.2;34.34;22746
2017-10-12;34.3;34.48;34.2;34.31;11196
2017-10-11;34.57;34.57;34.02;34.21;25206
2017-10-10;34.68;34.78;34.5;34.5;8610
2017-10-09;34.77;34.95;34.64;34.65;14776
2017-10-06;34.99;34.99;34.71;34.71;14328
2017-10-05;34.95;34.99;34.76;34.99;5128
2017-10-04;34.6;35.2;34.6;35.2;67777
2017-10-03;34.99;35.5;34.71;34.99;65300
2017-10-02;34.6;35.2;34.5;34.89;37959
2017-09-29;34.95;34.95;33.71;34.6;20281
2017-09-28;34.92;35.0;34.34;34.95;20283
2017-09-27;34.8;35.0;34.56;35.0;75742
2017-09-26;34.8;34.8;34.36;34.74;44219
2017-09-25;34.14;34.8;34.0;34.8;38861
2017-09-22;34.0;34.2;33.82;34.14;32633
2017-09-21;34.0;34.0;33.9;34.0;12350
2017-09-20;33.93;34.0;33.9;34.0;32074
2017-09-19;34.07;34.07;33.9;33.93;13521
2017-09-18;34.49;34.49;33.81;34.07;16754
2017-09-15;33.64;34.1;33.55;34.1;273475
2017-09-14;33.69;33.69;33.5;33.51;33166
2017-09-13;33.69;33.69;33.5;33.52;34548
2017-09-12;33.5;33.64;33.5;33.5;36678
2017-09-11;33.83;33.83;33.5;33.5;31043
2017-09-08;33.65;33.84;33.56;33.56;22499
2017-09-07;33.78;33.78;33.56;33.65;23686
2017-09-06;33.7;33.73;33.65;33.66;27540
2017-09-04;33.55;33.7;33.54;33.66;35377
2017-09-01;33.57;33.62;33.35;33.53;36727
2017-08-31;33.6;33.6;33.31;33.4;11219
2017-08-30;33.4;33.6;33.31;33.6;22333
2017-08-29;33.29;33.54;33.16;33.32;27424
2017-08-28;33.3;33.4;33.03;33.2;41663
2017-08-25;33.45;33.61;33.23;33.3;37794
2017-08-24;33.6;33.85;33.34;33.35;46684
2017-08-23;33.49;33.7;33.35;33.5;9697
2017-08-22;33.57;33.57;33.3;33.31;6752
2017-08-21;33.61;33.61;33.25;33.3;4518
2017-08-18;33.24;33.47;33.24;33.33;6784
2017-08-17;33.23;33.44;33.23;33.33;6534
2017-08-16;33.05;33.53;33.03;33.23;10936
2017-08-15;33.2;33.34;33.05;33.1;5594
2017-08-14;33.52;33.61;33.1;33.15;15381
2017-08-11;33.7;33.78;33.51;33.51;5319
2017-08-10;33.75;34.13;33.7;33.78;9027
2017-08-09;34.0;34.1;33.7;33.7;14393
2017-08-08;33.51;33.85;33.51;33.7;12666
2017-08-07;33.52;33.74;33.51;33.64;4888
2017-08-04;33.73;33.86;33.51;33.51;4576
2017-08-03;34.05;34.05;33.75;33.76;5765
2017-08-02;33.95;34.04;33.83;33.9;1780
2017-08-01;33.79;34.0;33.65;33.87;17804
2017-07-31;33.5;33.8;33.0;33.8;20435
2017-07-28;33.21;33.5;33.21;33.5;3232
2017-07-27;33.35;33.37;33.16;33.16;2590
2017-07-26;33.58;33.65;33.18;33.18;7137
