Dates;Open;High;Low;Close;Volume
2017-12-27;63.75;64.75;63.0;63.0;50962
2017-12-22;62.5;64.0;62.5;63.75;47837
2017-12-21;62.75;63.0;62.25;62.5;198479
2017-12-20;62.5;63.5;62.5;62.75;50358
2017-12-19;62.5;64.25;62.0;63.25;52178
2017-12-18;62.75;63.0;62.0;62.5;25874
2017-12-15;62.25;63.75;62.0;63.0;51722
2017-12-14;64.5;64.5;62.5;62.5;69154
2017-12-13;63.75;64.5;63.5;63.5;42380
2017-12-12;63.0;64.75;62.75;63.75;86000
2017-12-11;62.75;64.25;62.0;63.75;76066
2017-12-08;64.5;64.75;62.25;62.75;91907
2017-12-07;63.0;64.75;62.25;64.5;117829
2017-12-06;61.75;63.75;61.0;63.0;89206
2017-12-05;63.5;64.25;63.0;63.5;58078
2017-12-04;62.5;63.75;61.75;63.5;42574
2017-12-01;61.75;63.75;61.75;62.5;55952
2017-11-30;62.25;63.75;62.25;62.75;98855
2017-11-29;62.75;63.25;62.25;63.0;360478
2017-11-28;63.0;63.25;61.75;62.25;145207
2017-11-27;62.75;63.5;62.5;63.0;82843
2017-11-24;62.0;63.0;62.0;62.75;273108
2017-11-23;61.0;62.5;61.0;62.0;396915
2017-11-22;60.0;62.0;58.75;61.0;343960
2017-11-21;59.5;60.0;58.75;60.0;58337
2017-11-20;59.0;60.0;58.75;59.0;45434
2017-11-17;58.5;59.75;57.75;59.0;61267
2017-11-16;59.0;59.5;57.5;58.25;33439
2017-11-15;58.0;59.25;57.5;59.0;74595
2017-11-14;58.5;58.75;57.75;57.75;30234
2017-11-13;58.25;59.25;57.0;59.25;58438
2017-11-10;59.75;59.75;58.25;58.5;34008
2017-11-09;60.0;61.0;60.0;60.0;38555
2017-11-08;60.25;60.75;60.0;60.5;46896
2017-11-07;61.5;61.5;60.0;61.0;74966
2017-11-06;60.75;61.5;59.75;61.5;78190
2017-11-03;60.0;61.5;60.0;61.5;33799
2017-11-02;60.5;61.25;60.0;60.0;34749
2017-11-01;59.25;61.0;58.75;60.5;1088323
2017-10-31;58.5;59.5;58.5;59.25;40169
2017-10-30;59.25;59.5;58.5;58.5;26328
2017-10-27;59.5;60.25;58.75;59.25;42529
2017-10-26;59.25;59.75;58.0;59.75;148581
2017-10-25;58.5;59.5;58.0;59.25;62934
2017-10-24;59.5;59.75;58.5;58.75;69482
2017-10-23;59.25;60.0;59.0;60.0;288780
2017-10-20;60.75;60.75;59.75;60.0;60412
2017-10-19;60.5;61.5;59.75;60.75;102890
2017-10-18;60.0;60.5;59.25;60.5;23350
2017-10-17;60.5;61.5;59.5;60.0;63316
2017-10-13;60.25;63.25;60.25;63.0;81068
2017-10-12;59.25;60.25;59.0;60.25;36287
2017-10-11;58.75;59.75;58.75;59.25;24516
2017-10-10;58.75;59.5;58.75;59.25;40801
2017-10-09;59.0;59.5;58.75;59.0;25724
2017-10-06;60.0;60.0;59.0;59.25;8479
2017-10-05;60.0;60.25;59.5;59.75;61300
2017-10-04;60.0;60.25;59.25;59.75;65639
2017-10-03;59.25;60.0;59.25;59.5;29050
2017-10-02;59.75;60.5;59.25;59.25;176010
2017-09-29;60.0;60.75;59.25;59.75;99023
2017-09-28;57.0;60.0;57.0;60.0;120819
2017-09-27;57.25;58.0;57.0;57.5;47353
2017-09-26;57.5;57.75;57.25;57.25;32825
2017-09-25;57.0;58.5;57.0;58.0;46788
2017-09-22;56.75;58.5;56.5;57.5;81781
2017-09-21;56.75;57.0;55.75;57.0;170845
2017-09-20;58.0;58.5;57.0;57.0;61733
2017-09-19;57.25;58.0;57.0;57.5;80925
2017-09-18;57.0;57.5;56.75;57.25;54754
2017-09-15;56.5;57.75;56.5;56.75;57507
2017-09-14;57.0;57.0;56.0;56.5;47457
2017-09-13;57.0;57.5;56.25;57.0;63658
2017-09-12;57.75;58.25;56.75;57.25;88023
