Dates;Open;High;Low;Close;Volume
2017-12-27;23.1;23.8;23.1;23.7;176999
2017-12-22;22.7;23.2;22.6;23.15;165376
2017-12-21;22.8;23.41;22.65;22.7;188012
2017-12-20;21.84;22.25;21.81;22.25;50621
2017-12-19;21.87;22.1;21.85;21.86;63266
2017-12-18;22.22;22.3;21.84;22.23;67998
2017-12-15;22.5;22.9;21.86;22.52;330025
2017-12-14;21.89;22.08;21.2;21.81;46439
2017-12-13;21.27;21.9;21.27;21.89;131734
2017-12-12;21.5;21.5;21.04;21.21;30883
2017-12-11;20.62;21.47;20.5;21.33;122529
2017-12-08;20.62;20.75;20.53;20.72;75391
2017-12-07;20.83;20.94;20.52;20.62;89980
2017-12-06;20.53;20.9;20.53;20.74;150556
2017-12-05;20.63;21.15;20.49;20.52;199190
2017-12-04;20.65;20.88;20.65;20.68;78595
2017-12-01;21.0;21.08;20.63;20.95;93360
2017-11-30;21.45;21.45;20.83;20.87;99054
2017-11-29;21.72;21.91;21.3;21.39;83617
2017-11-28;22.05;22.18;21.81;22.04;49450
2017-11-27;21.83;22.59;21.83;22.05;109880
2017-11-24;22.0;22.5;21.65;21.8;44402
2017-11-23;22.21;22.21;21.7;21.87;48959
2017-11-22;22.38;22.38;21.99;22.28;20595
2017-11-21;22.34;22.55;22.23;22.36;128500
2017-11-20;21.96;22.18;21.51;21.86;31610
2017-11-17;21.13;21.96;21.13;21.96;102397
2017-11-16;21.5;21.55;20.92;21.2;112053
2017-11-15;21.76;22.27;21.13;21.35;80133
2017-11-14;22.19;22.62;21.72;21.76;95029
2017-11-13;22.28;22.3;21.89;22.22;59882
2017-11-10;22.11;22.34;21.75;22.15;77166
2017-11-09;21.94;22.22;21.82;22.03;51477
2017-11-08;22.5;22.9;21.39;21.94;335997
2017-11-07;22.0;22.3;21.85;22.25;112754
2017-11-06;21.25;22.0;21.19;21.98;119521
2017-11-03;21.34;21.36;21.15;21.19;17871
2017-11-02;21.5;21.7;21.22;21.38;32744
2017-11-01;20.92;21.69;20.92;21.54;142088
2017-10-31;21.39;21.41;20.67;20.91;111249
2017-10-30;20.79;21.45;20.46;21.39;107962
2017-10-27;20.65;20.85;20.45;20.8;97660
2017-10-26;20.74;20.75;20.28;20.47;89781
2017-10-25;21.1;21.1;20.62;20.86;226252
2017-10-24;21.74;21.95;21.1;21.24;167446
2017-10-23;21.46;21.75;21.32;21.66;76791
2017-10-20;21.39;21.55;21.2;21.55;48368
2017-10-19;21.3;21.56;21.15;21.38;47705
2017-10-18;21.45;21.5;21.11;21.34;141437
2017-10-17;21.4;21.6;21.3;21.37;158639
2017-10-13;22.4;22.4;22.16;22.23;24413
2017-10-12;22.19;22.5;21.97;22.4;107630
2017-10-11;22.15;22.36;21.16;21.55;120521
2017-10-10;22.28;22.55;22.2;22.2;78085
2017-10-09;22.03;22.4;22.0;22.34;74720
2017-10-06;21.83;21.95;21.6;21.95;178022
2017-10-05;22.3;22.44;22.0;22.01;49495
2017-10-04;22.38;22.44;22.09;22.3;52866
2017-10-03;22.1;22.38;21.79;22.34;170642
2017-10-02;21.4;21.99;21.35;21.9;136534
2017-09-29;22.06;22.55;21.61;21.84;142467
2017-09-28;21.7;21.82;21.4;21.51;118441
2017-09-27;22.6;22.6;21.95;21.95;77596
2017-09-26;22.58;22.85;22.3;22.78;124164
2017-09-25;22.27;22.73;21.5;22.58;97948
2017-09-22;22.0;22.5;21.96;22.27;161376
2017-09-21;21.45;22.0;20.8;21.61;249967
2017-09-20;22.3;22.33;21.9;22.07;56621
2017-09-19;22.0;22.79;21.85;22.21;216012
2017-09-18;20.87;22.25;20.55;21.46;389541
2017-09-15;21.2;21.35;20.6;20.87;221431
2017-09-14;21.57;21.6;20.79;21.35;122499
2017-09-13;22.15;22.3;21.41;21.64;59877
2017-09-12;22.0;22.29;21.55;22.1;116985
2017-09-11;21.9;22.68;21.6;22.42;65065
2017-09-08;22.48;22.85;21.72;22.0;114447
2017-09-07;22.85;23.09;22.2;22.48;240521
2017-09-06;22.9;23.37;22.69;23.14;126970
2017-09-04;22.81;23.28;22.81;23.02;66755
2017-09-01;22.12;23.0;22.02;22.73;88985
2017-08-31;22.2;22.3;21.83;22.1;118991
2017-08-30;22.75;22.75;22.13;22.27;147865
2017-08-29;22.65;23.48;22.6;22.75;269362
2017-08-28;22.01;22.68;21.98;22.55;277668
2017-08-25;20.88;22.04;20.87;22.04;256128
2017-08-24;21.0;21.12;20.65;20.92;121620
2017-08-23;20.88;21.2;20.75;20.96;172880
2017-08-22;20.54;20.92;20.18;20.9;149356
2017-08-21;20.52;20.64;20.35;20.54;30588
2017-08-18;20.65;21.2;20.5;20.5;147569
2017-08-17;20.52;20.9;20.32;20.35;199125
2017-08-16;20.14;20.15;19.69;20.12;133608
2017-08-15;20.36;20.54;19.9;20.18;152513
2017-08-14;21.25;21.25;20.56;20.72;384977
2017-08-11;20.72;21.41;20.5;21.34;417223
2017-08-10;20.26;20.9;20.25;20.48;489250
2017-08-09;18.0;19.42;17.97;19.24;491241
2017-08-08;18.15;18.44;17.92;17.93;194176
2017-08-07;18.15;18.27;18.03;18.15;121167
2017-08-04;19.0;19.0;18.06;18.25;298682
2017-08-03;19.1;19.11;18.72;18.98;238609
2017-08-02;19.61;19.68;19.1;19.24;69453
2017-08-01;19.58;19.7;19.3;19.61;121535
2017-07-31;19.78;20.01;19.6;19.61;72289
2017-07-28;19.6;19.77;19.51;19.64;54334
2017-07-27;19.99;20.2;19.48;19.53;153601
2017-07-26;19.89;19.89;19.5;19.74;31919
2017-07-25;19.4;19.55;19.1;19.47;39895
2017-07-24;19.93;19.99;19.26;19.34;69519
2017-07-21;19.85;20.2;19.8;19.92;108108
2017-07-20;20.05;20.15;19.65;19.85;87060
2017-07-19;19.95;20.15;19.69;20.02;76196
2017-07-18;19.61;20.11;19.61;19.8;138974
2017-07-17;19.08;19.75;19.06;19.52;153290
2017-07-14;18.8;19.35;18.65;19.08;98964
2017-07-13;18.85;19.03;18.64;18.8;157770
2017-07-12;19.4;19.51;18.81;19.07;135724
2017-07-11;19.34;19.34;18.62;19.14;93315
2017-07-10;18.62;19.49;18.62;19.25;142271
2017-07-07;18.85;18.85;18.2;18.21;229666
2017-07-06;18.7;19.23;18.56;18.85;79421
2017-07-05;19.31;19.5;18.74;18.76;187643
2017-07-04;19.36;19.5;19.12;19.2;88462
2017-07-03;19.4;19.43;19.12;19.13;120002
2017-06-30;19.82;19.82;19.36;19.44;205340
2017-06-29;20.12;20.28;19.9;20.03;143260
2017-06-28;20.0;20.17;19.66;19.91;128989
2017-06-27;20.17;20.17;19.61;19.66;81362
2017-06-26;20.01;20.3;19.87;19.92;106957
2017-06-23;;19.99;19.99;19.99;0
2017-06-22;19.86;20.15;19.62;19.99;119449
2017-06-21;19.38;19.75;19.11;19.52;149836
