Dates;Open;High;Low;Close;Volume
2017-12-27;186.0;187.5;185.3;186.1;76700
2017-12-22;186.9;187.5;185.5;186.0;48151
2017-12-21;186.2;188.6;185.3;186.9;138329
2017-12-20;188.3;188.5;186.0;186.9;215456
2017-12-19;188.4;189.3;186.8;188.0;143292
2017-12-18;188.1;189.5;188.1;189.4;91684
2017-12-15;186.4;188.3;184.5;187.5;97561
2017-12-14;186.5;187.7;185.0;186.4;86410
2017-12-13;189.0;189.0;185.6;186.9;146078
2017-12-12;189.4;189.9;186.1;189.0;85900
2017-12-11;186.5;190.0;185.7;189.0;97157
2017-12-08;187.0;188.3;185.8;186.5;176688
2017-12-07;187.0;187.0;183.4;186.8;109669
2017-12-06;184.7;186.2;181.2;185.5;98953
2017-12-05;185.6;186.4;183.2;184.7;91823
2017-12-04;183.3;187.2;182.9;185.7;78177
2017-12-01;184.8;185.5;181.9;182.9;147410
2017-11-30;183.4;184.2;180.5;184.2;234854
2017-11-29;182.8;185.5;182.4;182.4;76902
2017-11-28;181.1;183.5;180.6;182.5;81295
2017-11-27;183.5;184.1;181.1;181.1;65107
2017-11-24;184.9;184.9;182.3;183.5;61375
2017-11-23;185.5;185.5;183.2;183.4;389699
2017-11-22;188.0;189.2;184.8;185.0;157381
2017-11-21;184.9;187.1;184.0;186.9;92393
2017-11-20;181.5;185.5;181.0;184.8;153084
2017-11-17;182.9;183.9;180.0;181.4;201757
2017-11-16;182.2;183.3;181.2;181.7;86432
2017-11-15;181.3;182.2;179.6;181.5;297728
2017-11-14;181.4;183.8;180.9;181.3;172477
2017-11-13;184.2;184.5;178.6;180.0;227211
2017-11-10;187.0;187.0;182.5;183.8;105809
2017-11-09;188.6;188.6;184.4;186.1;161103
2017-11-08;188.9;189.3;186.6;187.8;72197
2017-11-07;189.3;190.6;187.7;188.9;61814
2017-11-06;191.0;193.2;188.0;189.2;115226
2017-11-03;188.7;191.2;188.5;191.0;75991
2017-11-02;188.6;190.3;186.8;189.3;232239
2017-11-01;188.2;189.8;187.9;188.6;120038
2017-10-31;186.0;189.2;186.0;187.3;295429
2017-10-30;180.1;186.1;179.8;183.6;275152
2017-10-27;179.9;181.0;170.8;180.0;828111
2017-10-26;182.7;185.7;182.5;185.7;241483
2017-10-25;183.0;184.0;182.1;182.3;132592
2017-10-24;183.4;183.4;181.5;183.0;144991
2017-10-23;180.9;183.5;179.5;183.5;170446
2017-10-20;179.1;180.9;178.8;180.9;158688
2017-10-19;179.7;179.7;175.5;179.0;162566
2017-10-18;176.5;179.9;175.8;178.8;182402
2017-10-17;179.0;179.1;175.4;176.0;184695
2017-10-13;178.3;180.8;177.8;180.2;191718
2017-10-12;177.0;178.5;175.4;177.9;139271
2017-10-11;176.3;176.4;174.6;176.3;115679
2017-10-10;175.1;175.5;174.0;175.5;117655
