Dates;Open;High;Low;Close;Volume
2017-12-27;36.0;36.2;35.3;35.5;230816
2017-12-22;36.5;36.8;35.7;36.5;143075
2017-12-21;36.9;36.9;36.0;36.5;183037
2017-12-20;36.4;37.4;35.8;36.9;358453
2017-12-19;37.4;37.7;35.9;36.4;420488
2017-12-18;35.6;37.9;35.2;37.4;432028
2017-12-15;36.4;36.4;34.8;35.4;225751
2017-12-14;36.3;36.5;35.4;36.4;254376
2017-12-13;36.5;37.2;36.1;36.1;229558
2017-12-12;35.0;36.7;34.9;36.5;495101
2017-12-11;33.8;36.0;33.8;34.9;374182
2017-12-08;33.6;34.6;33.3;33.8;364018
2017-12-07;34.0;34.2;33.3;33.4;318003
2017-12-06;35.0;35.3;33.9;34.1;509437
2017-12-05;35.8;36.2;34.8;35.1;400228
2017-12-04;36.9;36.9;35.3;36.0;490539
2017-12-01;37.1;37.9;36.5;36.7;287509
2017-11-30;36.5;37.5;36.5;37.5;356665
2017-11-29;37.4;37.7;36.7;36.7;579549
2017-11-28;37.4;38.0;36.7;37.4;421365
2017-11-27;37.4;37.8;37.1;37.4;99239
2017-11-24;37.3;37.9;37.1;37.4;125655
2017-11-23;39.0;39.1;37.1;37.3;513913
2017-11-22;37.9;38.6;37.7;38.3;318756
2017-11-21;39.1;39.2;37.6;37.8;382874
2017-11-20;38.9;39.3;37.9;38.6;332623
2017-11-17;40.0;40.3;38.9;38.9;161402
2017-11-16;40.0;40.6;39.9;40.0;268521
2017-11-15;40.7;40.7;39.7;39.7;156387
2017-11-14;39.9;41.6;39.9;40.7;328781
2017-11-13;39.9;40.5;39.5;39.8;290859
2017-11-10;41.2;41.5;39.9;39.9;273204
2017-11-09;43.1;43.4;40.4;41.0;603594
2017-11-08;40.7;43.2;40.7;43.0;568085
2017-11-07;42.6;42.6;40.6;40.7;339220
2017-11-06;43.6;43.8;42.6;42.6;226454
2017-11-03;44.2;44.2;42.8;43.9;193311
2017-11-02;43.7;44.3;42.5;43.8;310715
2017-11-01;42.9;44.0;42.1;43.6;405137
2017-10-31;41.0;44.4;40.8;43.0;394915
2017-10-30;43.3;43.7;40.9;41.2;399993
2017-10-27;39.7;44.0;39.7;43.3;523952
2017-10-26;39.2;44.3;38.1;39.5;965462
2017-10-25;40.7;42.7;40.6;42.1;264302
2017-10-24;40.1;40.9;39.2;40.4;413093
2017-10-23;42.0;42.6;40.2;40.4;282809
2017-10-20;42.3;42.5;41.5;41.9;278095
2017-10-19;44.9;44.9;42.2;42.4;388867
2017-10-18;43.8;44.9;43.8;44.4;175159
2017-10-17;43.8;44.8;43.0;43.7;298529
2017-10-13;46.9;48.3;46.0;46.2;726310
2017-10-12;45.6;47.0;45.3;46.9;204678
2017-10-11;47.4;47.9;45.4;45.8;411811
2017-10-10;46.6;47.5;46.2;47.3;198189
2017-10-09;45.3;48.8;45.3;46.6;730478
2017-10-06;45.6;46.2;44.7;45.3;395670
2017-10-05;46.9;46.9;45.1;45.5;689554
2017-10-04;47.7;47.9;45.9;46.9;432173
2017-10-03;47.5;49.2;47.2;47.7;569961
2017-10-02;49.0;49.4;47.0;47.2;475271
2017-09-29;48.7;49.9;48.5;49.0;421529
2017-09-28;49.5;52.25;48.1;48.5;1670930
2017-09-27;53.0;57.75;49.5;50.0;3783465
2017-09-26;51.0;57.0;47.4;53.75;5264456
2017-09-25;42.9;51.0;42.7;51.0;3270727
2017-09-22;41.8;43.0;40.8;42.7;996038
2017-09-21;41.0;41.9;41.0;41.7;308270
2017-09-20;40.2;41.2;40.1;41.0;686982
2017-09-19;40.9;41.4;40.0;40.4;399064
2017-09-18;42.0;42.1;40.6;40.9;429332
2017-09-15;42.8;43.0;41.6;42.0;620874
2017-09-14;42.2;44.0;42.2;42.6;1294617
2017-09-13;39.7;42.4;38.6;41.8;2997095
