Dates;Open;High;Low;Close;Volume
2017-12-27;276.0;284.0;274.5;281.5;6850
2017-12-22;283.0;285.0;271.5;271.5;10765
2017-12-21;282.0;285.0;282.0;282.5;3945
2017-12-20;284.0;287.5;282.0;287.5;8985
2017-12-19;280.5;284.0;280.5;284.0;5565
2017-12-18;284.5;284.5;279.5;281.0;20717
2017-12-15;287.0;287.0;278.5;285.0;12082
2017-12-14;288.0;289.0;283.5;283.5;18326
2017-12-13;288.0;290.5;286.5;288.0;5323
2017-12-12;289.0;289.0;285.0;288.5;3924
2017-12-11;289.5;290.0;287.0;289.0;12806
2017-12-08;288.5;291.5;287.0;287.5;2816
2017-12-07;296.0;296.0;284.0;288.5;17945
2017-12-06;290.0;296.0;287.0;296.0;12021
2017-12-05;296.5;298.0;288.5;296.0;15409
2017-12-04;293.5;299.0;291.5;296.5;5670
2017-12-01;297.0;300.0;293.5;293.5;2832
2017-11-30;299.5;300.0;294.0;297.0;84723
2017-11-29;304.0;307.0;300.0;300.5;8862
2017-11-28;300.0;305.0;296.0;304.0;8674
2017-11-27;304.0;304.0;294.5;302.5;4572
2017-11-24;298.5;306.0;293.5;306.0;8347
2017-11-23;304.0;304.0;293.5;298.0;18153
2017-11-22;294.0;304.0;290.0;304.0;107676
2017-11-21;288.5;297.0;285.0;295.5;4602
2017-11-20;300.0;300.0;283.5;290.0;8978
2017-11-17;280.0;289.5;280.0;289.5;6349
2017-11-16;276.0;283.0;275.0;280.0;11899
2017-11-15;279.0;279.0;270.0;275.0;17700
2017-11-14;279.0;281.0;273.0;280.0;18613
2017-11-13;287.0;287.0;275.5;283.0;10613
2017-11-10;289.0;291.0;274.5;286.5;19197
2017-11-09;294.0;294.0;285.0;288.0;13995
2017-11-08;285.0;292.5;281.0;291.0;16502
2017-11-07;285.0;290.0;272.0;285.5;11014
2017-11-06;293.5;293.5;273.5;285.0;49108
2017-11-03;287.0;294.0;284.0;288.5;5030
2017-11-02;294.5;294.5;287.0;287.5;7733
2017-11-01;284.5;296.0;283.0;294.0;23942
2017-10-31;284.5;285.5;274.0;283.0;8579
2017-10-30;290.0;291.5;283.0;284.5;11604
2017-10-27;292.0;292.0;282.0;290.0;11208
2017-10-26;277.5;292.5;273.0;292.0;16775
2017-10-25;294.5;294.5;278.0;283.5;37520
2017-10-24;290.0;295.5;288.0;295.0;6778
2017-10-23;292.5;293.0;285.5;288.5;14790
2017-10-20;286.5;292.0;284.5;291.0;12890
2017-10-19;296.0;296.0;282.0;286.5;6433
2017-10-18;295.0;296.0;290.0;296.0;11328
2017-10-17;293.0;296.0;285.5;296.0;20628
2017-10-13;293.0;294.5;290.0;292.5;31487
2017-10-12;298.0;298.0;292.0;293.0;15995
2017-10-11;297.0;304.0;295.5;302.0;21294
2017-10-10;296.0;300.0;295.0;300.0;12050
2017-10-09;303.0;303.0;296.5;300.0;14590
2017-10-06;304.5;305.0;296.0;304.0;92185
2017-10-05;304.0;305.0;298.5;300.0;12775
2017-10-04;299.0;306.0;295.0;305.0;34177
2017-10-03;295.0;300.0;294.5;300.0;19584
2017-10-02;292.0;303.5;292.0;297.0;27245
2017-09-29;288.0;292.0;279.5;292.0;20590
2017-09-28;290.0;290.0;285.5;287.5;14348
2017-09-27;292.5;293.5;284.5;290.0;14417
2017-09-26;294.0;295.0;289.0;292.0;22078
2017-09-25;296.0;299.0;292.5;294.0;8445
2017-09-22;290.0;297.0;289.0;296.0;77973
2017-09-21;289.0;303.5;287.0;302.5;144859
2017-09-20;280.5;289.0;280.5;288.5;61911
2017-09-19;288.0;289.0;280.0;283.0;104259
2017-09-18;287.0;290.0;281.5;285.5;13917
2017-09-15;276.0;289.0;273.0;289.0;16496
2017-09-14;276.0;276.0;273.0;274.5;10478
2017-09-13;274.5;275.0;273.0;274.0;24603
2017-09-12;279.0;279.0;273.0;274.0;28095
2017-09-11;274.0;279.0;273.0;279.0;4167
2017-09-08;274.0;274.0;272.0;274.0;6835
2017-09-07;274.0;274.0;267.5;271.0;5778
2017-09-06;277.0;277.5;271.0;272.5;16763
2017-09-04;270.0;281.5;268.0;279.5;49228
2017-09-01;266.0;274.0;266.0;272.0;42274
2017-08-31;265.0;270.0;263.0;266.5;11268
2017-08-30;263.0;271.0;260.5;262.0;38178
2017-08-29;269.0;270.0;260.5;266.0;31439
2017-08-28;270.0;272.5;268.0;270.0;10527
2017-08-25;272.0;272.5;263.5;270.0;118914
2017-08-24;270.0;273.5;268.0;271.0;100632
2017-08-23;257.0;275.5;256.0;270.0;64001
2017-08-22;250.0;257.0;250.0;256.0;57760
2017-08-21;252.0;253.5;246.5;250.0;121438
2017-08-18;253.5;253.5;248.0;252.0;203175
2017-08-17;248.0;254.0;248.0;252.0;125292
2017-08-16;233.0;248.5;229.0;247.0;97097
2017-08-15;231.5;240.0;229.0;233.5;14435
2017-08-14;230.0;233.5;228.0;231.5;1304
2017-08-11;226.5;229.5;223.5;229.5;2264
2017-08-10;229.5;229.5;225.0;228.0;6284
2017-08-09;235.0;236.5;229.5;229.5;12265
2017-08-08;228.5;228.5;227.0;228.0;1136
2017-08-07;225.0;230.0;224.5;227.0;1331
2017-08-04;227.0;227.0;222.0;225.0;4270
2017-08-03;227.0;232.5;225.0;225.0;1651
2017-08-02;229.5;235.5;226.0;226.0;2545
2017-08-01;230.5;231.5;224.5;229.0;3462
2017-07-31;229.5;230.0;224.5;227.0;8868
2017-07-28;229.0;229.0;223.5;223.5;24903
2017-07-27;228.5;229.5;223.5;229.5;2807
2017-07-26;230.0;232.5;225.5;228.5;4005
2017-07-25;236.0;236.0;227.0;230.0;3950
2017-07-24;234.0;235.5;227.5;235.5;5231
2017-07-21;224.5;233.5;224.0;230.5;3631
2017-07-20;228.0;231.0;226.5;230.0;2238
2017-07-19;236.0;238.0;229.0;233.0;994
2017-07-18;235.5;236.0;225.0;236.0;15750
2017-07-17;238.0;238.5;233.0;236.5;3754
2017-07-14;227.5;237.0;223.5;235.0;3246
2017-07-13;238.0;239.5;236.0;237.0;8481
2017-07-12;237.0;239.5;232.0;239.0;4175
2017-07-11;237.5;238.0;232.0;237.0;17577
2017-07-10;227.5;233.0;227.0;232.0;3440
2017-07-07;224.0;229.0;224.0;227.5;4370
2017-07-06;227.0;227.0;220.5;223.0;5267
2017-07-05;220.0;227.0;216.0;219.5;48660
2017-07-04;219.0;219.0;212.0;215.0;7412
2017-07-03;220.0;220.0;215.0;219.0;10135
2017-06-30;221.0;223.5;218.0;222.0;10687
2017-06-29;228.0;228.0;218.0;221.5;6540
2017-06-28;227.0;230.0;224.5;224.5;3667
2017-06-27;231.5;232.5;227.0;227.0;4187
2017-06-26;235.0;238.0;229.5;230.5;32350
2017-06-23;;232.0;232.0;232.0;0
2017-06-22;240.0;240.0;230.0;232.0;9475
2017-06-21;248.0;248.0;237.0;239.5;6813
2017-06-20;248.0;248.0;243.0;245.0;5191
2017-06-19;242.5;250.5;240.0;248.0;12956
2017-06-16;238.0;242.5;236.5;242.5;23030
2017-06-15;234.5;240.0;229.0;238.0;381921
2017-06-14;231.0;234.5;228.5;234.5;61314
2017-06-13;232.0;232.0;228.0;231.0;18545
2017-06-12;230.0;231.5;227.0;231.5;7179
2017-06-09;227.5;235.0;227.5;230.0;5463
2017-06-08;226.0;229.0;226.0;227.0;9411
2017-06-07;227.0;229.0;224.5;226.0;8320
2017-06-06;;227.0;227.0;227.0;0
2017-06-05;231.5;232.0;225.0;227.0;11879
2017-06-02;234.0;237.5;229.0;231.0;30209
2017-06-01;227.0;236.0;226.0;233.0;25385
2017-05-31;226.0;228.0;221.5;228.0;21090
2017-05-30;229.0;229.0;222.5;227.0;9948
2017-05-29;230.0;232.0;225.5;229.0;9434
2017-05-26;238.5;238.5;228.5;229.5;16519
2017-05-24;234.0;239.0;230.5;238.5;4868
2017-05-23;238.0;239.0;232.5;239.0;2498
