Dates;Open;High;Low;Close;Volume
2017-12-27;28.7;28.7;28.5;28.6;26779
2017-12-22;28.6;29.0;28.6;28.9;4291
2017-12-21;29.2;29.2;28.8;29.0;18308
2017-12-20;29.3;29.6;29.3;29.4;14290
2017-12-19;29.2;29.4;29.0;29.4;13499
2017-12-18;29.4;29.4;28.6;29.2;18232
2017-12-15;28.1;29.5;27.9;29.5;30256
2017-12-14;28.8;28.8;28.3;28.4;87060
2017-12-13;28.6;28.9;28.5;28.8;18963
2017-12-12;28.8;28.8;28.6;28.6;3012
2017-12-11;29.0;29.0;28.2;28.5;34432
2017-12-08;28.6;29.0;28.6;29.0;15955
2017-12-07;28.6;29.1;28.5;28.9;11814
2017-12-06;29.0;29.1;28.3;28.8;80892
2017-12-05;29.6;29.7;29.4;29.5;2725
2017-12-04;29.8;29.8;29.6;29.7;4346
2017-12-01;30.2;30.3;29.8;29.9;13733
2017-11-30;30.4;30.4;29.7;30.2;32711
2017-11-29;29.9;30.5;29.6;30.5;20558
2017-11-28;29.9;29.9;29.3;29.8;8947
2017-11-27;29.9;29.9;29.5;29.6;9477
2017-11-24;29.5;29.8;29.5;29.7;4060
2017-11-23;29.8;30.1;29.5;29.5;18530
2017-11-22;30.0;30.0;29.6;29.8;20470
2017-11-21;29.6;30.0;29.4;30.0;17024
2017-11-20;29.9;29.9;29.3;29.6;45072
2017-11-17;30.0;30.2;29.0;29.9;36020
2017-11-16;29.3;30.0;29.3;30.0;6286
2017-11-15;29.7;29.7;29.1;29.4;23027
2017-11-14;30.2;30.3;29.8;29.8;9875
2017-11-13;30.1;30.5;30.0;30.1;53736
2017-11-10;30.5;30.6;30.2;30.5;4079
2017-11-09;30.6;30.6;30.3;30.5;25192
2017-11-08;30.6;30.8;30.5;30.6;15968
2017-11-07;30.8;30.8;30.5;30.6;17120
2017-11-06;30.7;30.9;30.7;30.7;11425
2017-11-03;30.3;30.8;30.2;30.6;69720
2017-11-02;30.7;30.7;30.1;30.3;19489
2017-11-01;30.9;31.0;30.5;30.7;13101
2017-10-31;30.4;30.8;30.4;30.8;20831
2017-10-30;29.4;30.5;29.4;30.4;69546
2017-10-27;29.4;29.4;28.6;29.3;224453
2017-10-26;29.3;29.7;28.5;29.5;154901
2017-10-25;29.9;30.0;29.4;29.6;38028
2017-10-24;29.9;30.0;29.6;30.0;14906
2017-10-23;30.0;30.1;29.8;30.1;37521
2017-10-20;30.4;30.5;30.0;30.1;11100
2017-10-19;30.0;30.4;30.0;30.4;103943
2017-10-18;30.1;30.2;29.0;30.2;70411
2017-10-17;30.1;30.2;29.7;30.1;18313
2017-10-13;31.0;31.1;30.7;30.8;48329
2017-10-12;30.1;31.1;30.1;31.0;23583
2017-10-11;30.3;30.8;29.9;30.8;53947
2017-10-10;30.5;30.5;30.1;30.3;29093
2017-10-09;30.8;30.8;30.4;30.6;24967
2017-10-06;31.7;31.7;30.5;30.7;48745
2017-10-05;30.9;32.0;30.9;31.7;91959
2017-10-04;30.8;31.1;30.8;30.9;15514
2017-10-03;30.9;31.1;30.9;31.0;18223
2017-10-02;31.0;31.3;30.6;30.8;55054
2017-09-29;30.2;32.0;30.2;30.9;73918
2017-09-28;30.5;30.8;29.9;30.2;34758
2017-09-27;29.7;30.5;29.4;30.4;122892
2017-09-26;29.8;29.8;29.6;29.7;15781
2017-09-25;29.5;30.0;29.4;29.8;84561
2017-09-22;28.8;29.5;28.6;29.5;46533
2017-09-21;28.8;28.9;28.7;28.8;14719
2017-09-20;28.8;28.8;28.6;28.8;10189
2017-09-19;28.9;28.9;28.4;28.8;4262
2017-09-18;28.7;28.9;28.5;28.5;26714
2017-09-15;28.7;29.0;28.4;28.8;31297
2017-09-14;27.8;28.6;27.7;28.6;95047
2017-09-13;28.0;28.0;27.7;27.9;1698
2017-09-12;28.1;28.1;27.9;28.0;25836
2017-09-11;28.0;28.2;27.9;28.1;9326
2017-09-08;28.1;28.1;27.7;28.0;4205
2017-09-07;27.8;28.0;27.8;28.0;17431
2017-09-06;27.8;27.9;27.3;27.7;239804
2017-09-04;27.7;28.4;27.7;28.2;9867
2017-09-01;28.4;28.7;28.0;28.0;15860
2017-08-31;28.4;28.5;28.0;28.5;5428
2017-08-30;28.0;28.3;27.6;28.1;4721
2017-08-29;28.5;28.5;27.8;28.0;31214
2017-08-28;28.4;28.6;28.2;28.5;17531
2017-08-25;29.0;29.0;28.3;28.3;3820
2017-08-24;28.3;28.7;28.3;28.4;3918
2017-08-23;28.2;28.5;28.2;28.3;214814
2017-08-22;28.5;28.7;28.1;28.2;46174
2017-08-21;28.2;28.6;28.2;28.5;13786
2017-08-18;28.8;28.8;28.2;28.5;12737
2017-08-17;29.2;29.2;28.8;28.8;3424
2017-08-16;29.7;29.7;29.0;29.0;16841
2017-08-15;29.0;29.4;28.9;29.4;5737
2017-08-14;28.8;29.4;28.8;29.4;18477
2017-08-11;29.0;29.2;28.7;28.8;94234
2017-08-10;29.8;29.8;29.2;29.4;12621
2017-08-09;29.6;29.6;29.2;29.5;17199
2017-08-08;29.7;29.8;29.4;29.6;55499
2017-08-07;29.2;29.8;29.2;29.6;70575
2017-08-04;27.9;28.8;27.8;28.6;184571
2017-08-03;27.5;27.9;27.5;27.9;9332
2017-08-02;27.0;28.0;27.0;27.6;150648
2017-08-01;27.5;27.6;27.5;27.6;15793
2017-07-31;27.5;28.0;27.5;27.5;21818
2017-07-28;27.1;27.6;27.1;27.5;38891
2017-07-27;27.5;27.5;27.0;27.5;3740
2017-07-26;27.2;27.6;27.2;27.5;5011
2017-07-25;27.8;27.8;27.1;27.2;23613
2017-07-24;27.9;27.9;27.3;27.8;24620
2017-07-21;27.9;28.0;27.7;27.9;6196
2017-07-20;27.7;27.9;27.7;27.9;33013
2017-07-19;28.0;28.2;27.7;27.9;29211
2017-07-18;28.3;28.3;27.7;27.9;81563
2017-07-17;28.3;28.4;27.9;27.9;18003
2017-07-14;28.3;28.3;28.1;28.3;17420
2017-07-13;28.5;28.5;27.9;28.1;24663
2017-07-12;28.9;28.9;28.0;28.3;67960
2017-07-11;27.5;28.0;27.5;28.0;60646
2017-07-10;27.8;28.0;27.3;27.3;31623
2017-07-07;27.7;27.7;27.5;27.7;12372
2017-07-06;27.9;28.0;27.3;27.4;32521
2017-07-05;28.1;28.1;27.7;27.9;15909
2017-07-04;27.7;28.0;27.7;28.0;36214
2017-07-03;28.1;28.1;27.8;28.0;36480
2017-06-30;28.1;28.1;27.7;27.8;13097
2017-06-29;28.3;28.3;27.8;27.9;9529
2017-06-28;28.9;28.9;27.0;28.0;36935
2017-06-27;28.7;28.7;28.5;28.5;10431
2017-06-26;28.7;29.0;28.5;28.5;24150
2017-06-23;;28.7;28.7;28.7;0
2017-06-22;29.2;29.2;28.4;28.7;94492
2017-06-21;29.5;29.5;28.6;28.8;26089
2017-06-20;29.5;29.7;29.1;29.3;76487
2017-06-19;28.8;29.6;28.8;29.1;77097
2017-06-16;28.4;28.4;28.0;28.2;20489
2017-06-15;29.0;29.0;28.2;28.4;23543
2017-06-14;28.4;28.8;28.4;28.7;16261
2017-06-13;28.1;28.9;28.0;28.4;86008
2017-06-12;28.7;29.0;28.1;28.1;20546
2017-06-09;29.4;29.4;28.6;28.7;33872
2017-06-08;29.3;29.7;29.3;29.4;39258
2017-06-07;27.9;29.4;27.9;29.1;79932
2017-06-06;;27.6;27.6;27.6;0
2017-06-05;28.2;28.2;27.0;27.6;38204
2017-06-02;27.8;28.4;27.8;28.1;56112
2017-06-01;27.8;27.9;27.1;27.8;78713
2017-05-31;27.5;27.6;27.2;27.3;84280
2017-05-30;26.7;27.1;26.4;26.9;39043
2017-05-29;27.4;27.4;26.6;26.7;21416
2017-05-26;26.8;27.0;26.7;26.7;37766
2017-05-24;26.5;26.9;26.5;26.8;22290
2017-05-23;26.5;26.5;25.7;26.4;52101
2017-05-22;26.5;26.5;25.9;26.2;21342
2017-05-19;26.0;26.4;25.9;26.3;31300
2017-05-18;26.2;26.5;25.6;26.0;18400
2017-05-17;26.0;26.6;25.5;26.4;156488
2017-05-16;25.9;26.0;25.8;26.0;8276
2017-05-15;25.8;25.9;25.6;25.7;19369
2017-05-12;25.5;25.8;25.8;25.8;131690
2017-05-11;25.8;25.8;25.4;25.5;7880
2017-05-10;25.5;25.8;25.3;25.8;8160
2017-05-09;25.3;25.4;25.1;25.4;20941
2017-05-08;25.0;25.4;24.9;25.0;45805
2017-05-05;25.2;25.2;24.9;25.0;11594
2017-05-04;24.7;25.2;24.7;24.9;3143
2017-05-03;25.2;25.4;24.8;25.0;7456
2017-05-02;24.6;25.2;24.4;24.9;38898
2017-05-01;;24.6;24.6;24.6;0
2017-04-28;24.5;24.8;24.4;24.6;259909
2017-04-27;25.1;25.1;24.1;24.5;3165
2017-04-26;24.8;24.9;24.4;24.6;8166
2017-04-25;24.1;24.9;24.1;24.5;62040
2017-04-24;24.2;24.2;24.0;24.1;33931
2017-04-21;24.2;24.2;24.0;24.2;14033
2017-04-20;24.2;24.3;24.0;24.2;12326
2017-04-19;23.8;24.2;23.8;24.2;25429
2017-04-18;24.2;24.2;23.8;23.9;8647
2017-04-13;24.1;24.2;24.0;24.2;5129
