Dates;Open;High;Low;Close;Volume
2017-12-27;622.0;635.0;622.0;628.0;14628
2017-12-22;629.0;639.0;628.0;635.0;8096
2017-12-21;617.0;634.0;613.0;633.0;28806
2017-12-20;626.0;626.0;611.0;617.0;15568
2017-12-19;631.0;634.0;624.0;627.0;8517
2017-12-18;625.0;635.0;617.0;632.0;9782
2017-12-15;627.0;635.0;618.0;625.0;20362
2017-12-14;636.0;636.0;625.0;631.0;6861
2017-12-13;625.0;636.0;614.0;636.0;16763
2017-12-12;638.0;638.0;627.0;630.0;11612
2017-12-11;631.0;639.0;616.0;638.0;14950
2017-12-08;629.0;635.0;629.0;631.0;14430
2017-12-07;617.0;633.0;614.0;629.0;23293
2017-12-06;619.0;622.0;609.0;617.0;19523
2017-12-05;616.0;627.0;613.0;620.0;19481
2017-12-04;612.0;624.0;608.0;620.0;16724
2017-12-01;630.0;631.0;615.0;621.0;19461
2017-11-30;618.0;633.0;615.0;633.0;51028
2017-11-29;607.0;618.0;607.0;614.0;23534
2017-11-28;609.0;610.0;604.0;607.0;15697
2017-11-27;611.0;618.0;603.0;608.0;26355
2017-11-24;609.0;618.0;607.0;611.0;34319
2017-11-23;595.0;610.0;592.0;608.0;11952
2017-11-22;595.0;601.0;594.0;596.0;16740
2017-11-21;606.0;607.0;592.0;594.0;23138
2017-11-20;579.0;613.0;577.0;605.0;23587
2017-11-17;580.0;594.0;576.0;579.0;19988
2017-11-16;567.0;588.0;564.0;579.0;24546
2017-11-15;568.0;574.0;562.0;568.0;29982
2017-11-14;561.0;574.0;561.0;566.0;23997
2017-11-13;562.0;576.0;552.0;559.0;28166
2017-11-10;572.0;586.0;557.0;562.0;48958
2017-11-09;609.0;609.0;573.0;576.0;41338
2017-11-08;587.0;612.0;586.0;609.0;440762
2017-11-07;605.0;610.0;589.0;589.0;32781
2017-11-06;630.0;630.0;595.0;605.0;123149
2017-11-03;618.0;628.0;613.0;623.0;58387
2017-11-02;680.0;695.0;610.0;610.0;133075
2017-11-01;669.0;672.0;662.0;670.0;18981
2017-10-31;671.0;671.0;662.0;669.0;7370
2017-10-30;669.0;674.0;662.0;670.0;17453
2017-10-27;670.0;670.0;662.0;667.0;11163
2017-10-26;647.0;670.0;642.0;670.0;14703
2017-10-25;645.0;655.0;645.0;647.0;19520
2017-10-24;658.0;658.0;645.0;647.0;15170
2017-10-23;640.0;659.0;640.0;655.0;32104
2017-10-20;642.0;650.0;632.0;641.0;19929
2017-10-19;655.0;655.0;633.0;642.0;17536
2017-10-18;661.0;662.0;648.0;648.0;20336
2017-10-17;673.0;673.0;652.0;662.0;10509
2017-10-13;675.0;692.0;669.0;673.0;14371
2017-10-12;677.0;680.0;672.0;679.0;12338
2017-10-11;667.0;679.0;662.0;677.0;16165
2017-10-10;670.0;672.0;663.0;669.0;60058
2017-10-09;673.0;673.0;660.0;665.0;11002
2017-10-06;668.0;674.0;662.0;667.0;12358
2017-10-05;662.0;677.0;657.0;668.0;14005
2017-10-04;676.0;676.0;659.0;662.0;10765
2017-10-03;678.0;679.0;671.0;676.0;9969
2017-10-02;656.0;678.0;656.0;674.0;20065
2017-09-29;648.0;665.0;648.0;661.0;15003
2017-09-28;652.0;653.0;644.0;652.0;11874
2017-09-27;651.0;655.0;642.0;652.0;11342
2017-09-26;670.0;670.0;650.0;650.0;12008
2017-09-25;661.0;672.0;654.0;669.0;19655
2017-09-22;652.0;662.0;643.0;660.0;22633
2017-09-21;653.0;653.0;637.0;652.0;15749
2017-09-20;668.0;671.0;646.0;653.0;13507
2017-09-19;650.0;667.0;646.0;666.0;21407
2017-09-18;670.0;670.0;642.0;646.0;21241
2017-09-15;663.0;672.0;662.0;670.0;23989
2017-09-14;679.0;679.0;660.0;668.0;10941
2017-09-13;680.0;684.0;663.0;667.0;18803
2017-09-12;677.0;693.0;676.0;685.0;69892
2017-09-11;657.0;677.0;657.0;677.0;18469
2017-09-08;659.0;669.0;650.0;656.0;20444
2017-09-07;642.0;659.0;642.0;659.0;15613
2017-09-06;661.0;664.0;635.0;640.0;19429
2017-09-04;658.0;660.0;648.0;655.0;15612
2017-09-01;667.0;670.0;661.0;665.0;17462
2017-08-31;662.0;670.0;660.0;667.0;24629
2017-08-30;671.0;683.0;658.0;662.0;27044
2017-08-29;677.0;678.0;655.0;672.0;23170
2017-08-28;677.0;689.0;674.0;680.0;10099
2017-08-25;704.0;705.0;683.0;683.0;21579
2017-08-24;700.0;705.0;690.0;702.0;17632
2017-08-23;700.0;707.0;698.0;700.0;30444
2017-08-22;699.0;703.0;697.0;700.0;39342
2017-08-21;693.0;700.0;691.0;696.0;21667
2017-08-18;682.0;697.0;682.0;693.0;14247
2017-08-17;695.0;697.0;686.0;688.0;16647
2017-08-16;685.0;700.0;685.0;690.0;23515
2017-08-15;695.0;700.0;673.0;682.0;21334
2017-08-14;652.0;698.0;652.0;695.0;48763
2017-08-11;652.0;660.0;626.0;649.0;71792
2017-08-10;678.0;680.0;653.0;662.0;37908
2017-08-09;696.0;696.0;676.0;678.0;27547
2017-08-08;699.0;700.0;693.0;699.0;15402
2017-08-07;701.0;717.0;687.0;697.0;60905
2017-08-04;686.0;701.0;681.0;701.0;25336
2017-08-03;682.0;689.0;675.0;686.0;38988
2017-08-02;672.0;689.0;668.0;686.0;70292
2017-08-01;654.0;671.0;650.0;667.0;34833
2017-07-31;639.0;664.0;611.0;654.0;38178
2017-07-28;650.0;670.0;632.0;645.0;25825
2017-07-27;640.0;664.0;637.0;654.0;28839
2017-07-26;642.0;643.0;631.0;637.0;14337
2017-07-25;636.0;641.0;628.0;639.0;14933
2017-07-24;630.0;641.0;627.0;635.0;25436
2017-07-21;631.0;637.0;623.0;634.0;19053
2017-07-20;635.0;639.0;626.0;630.0;22383
2017-07-19;626.0;637.0;620.0;635.0;31801
2017-07-18;620.0;630.0;611.0;620.0;65219
2017-07-17;572.0;638.0;572.0;620.0;108569
2017-07-14;563.0;630.0;560.0;568.0;93623
2017-07-13;539.0;539.0;520.0;526.0;12365
2017-07-12;507.0;542.0;507.0;534.0;37068
2017-07-11;513.0;513.0;502.0;507.0;11546
2017-07-10;511.0;519.0;507.0;507.0;13890
2017-07-07;513.0;519.0;503.0;510.0;12055
2017-07-06;530.0;539.0;510.0;513.0;18595
2017-07-05;516.0;529.0;510.0;528.0;16617
2017-07-04;520.0;535.0;512.0;518.0;17437
2017-07-03;529.0;529.0;508.0;521.0;55513
2017-06-30;534.0;534.0;517.0;529.0;25569
2017-06-29;546.0;553.0;530.0;534.0;18718
2017-06-28;566.0;566.0;539.0;548.0;25039
2017-06-27;570.0;576.0;560.0;566.0;12408
2017-06-26;585.0;585.0;571.0;572.0;10004
2017-06-23;;585.0;585.0;585.0;0
2017-06-22;580.0;587.0;571.0;585.0;10698
2017-06-21;579.0;581.0;568.0;581.0;18851
2017-06-20;589.0;589.0;578.0;582.0;11735
2017-06-19;580.0;588.0;578.0;588.0;32923
2017-06-16;570.0;579.0;570.0;577.0;17468
2017-06-15;572.0;578.0;570.0;573.0;28826
2017-06-14;565.0;573.0;561.0;572.0;20806
2017-06-13;550.0;564.0;550.0;561.0;11301
2017-06-12;565.0;570.0;543.0;550.0;11528
2017-06-09;561.0;570.0;553.0;565.0;38804
2017-06-08;565.0;573.0;561.0;565.0;26053
2017-06-07;555.0;568.0;548.0;565.0;30335
2017-06-06;;560.0;560.0;560.0;0
2017-06-05;567.0;570.0;555.0;560.0;15175
2017-06-02;565.0;570.0;562.0;568.0;27561
2017-06-01;535.0;577.0;535.0;569.0;43665
2017-05-31;519.0;544.0;519.0;544.0;45214
2017-05-30;522.0;525.0;518.0;520.0;144242
2017-05-29;526.0;526.0;519.0;522.0;8231
2017-05-26;535.0;535.0;522.0;527.0;11243
2017-05-24;525.0;537.0;524.0;531.0;78786
2017-05-23;525.0;528.0;523.0;526.0;21607
2017-05-22;525.0;527.0;514.0;525.0;9574
2017-05-19;520.0;526.0;512.0;524.0;16587
2017-05-18;524.0;524.0;492.5;513.0;50390
2017-05-17;537.0;537.0;519.0;533.0;22030
2017-05-16;521.0;538.0;521.0;537.0;15454
2017-05-15;528.0;533.0;513.0;528.0;19752
2017-05-12;525.0;527.0;527.0;527.0;15578
2017-05-11;529.0;529.0;515.0;525.0;18322
2017-05-10;530.0;530.0;521.0;530.0;19397
2017-05-09;534.0;534.0;521.0;530.0;14887
